Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2012-2013,19,Real Murcia,esESP,2.La Liga 2,27,"2,127",0,1,,,,,,,,,27,"2,127",0,1,24,"2,127",23.6,0,1,1,0,0,0,10,2,,,,,,,,0.0,0.04,0.04,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,,,0.08,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,127",79,56.3,23.6,24,,,3,,,,,,,,,,,,,,10,2,,,,,,,,,,,,,,,"€ 87,500(£ 75,277, $95,678)","€ 4,550,000(£ 3,914,412, $4,975,246)",,https://fbref.com/es/jugadores/f0661424/Nicolas-Tagliafico
2016-2017,23,Independiente,arARG,1.Primera Div,29,"2,610",0,3,,,,,,,,,29,"2,610",0,3,29,"2,610",29.0,0,3,3,0,0,0,6,0,0.0,0.0,0.0,0.0,64.0,132.0,102.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,63.0,48.0,31.0,24.0,8.0,26.0,43.0,60.5,17.0,43.0,13.0,30.0,102.0,165.0,89.0,1.0,1213.0,1545.0,78.5,20266.0,7765.0,585.0,647.0,90.4,496.0,612.0,81.0,102.0,194.0,52.6,3,0.0,0.0,3.0,17.0,85.0,20.0,7.0,132.0,1545.0,1309.0,231.0,39.0,1.0,6.0,44.0,191.0,1.0,1.0,0.0,0.0,1213.0,5.0,36.0,110.0,647.0,941.0,337.0,38.0,1907.0,28.0,15.0,53.6,13.0,46.4,942.0,5191.0,2991.0,64.0,39.0,5.0,39.0,16.0,1018.0,102.0,0,20.0,4,20.0,0.69,0.14,0.0,0.0,16.8,0.0,0,0,0.0,0.0,0.0,0.0,0.0,63.0,2.17,46.0,2.0,0.0,2.0,8.0,5.0,8.0,0.28,6.0,1.0,0.0,1.0,0.0,0.0,"2,610",90,96.7,29.0,29,90.0,29.0,0,,0.0,1.79,38.0,22.0,16.0,0.55,0.55,0.0,0.0,0.0,0.0,0.0,6,0,0.0,32.0,78.0,0.0,44.0,102.0,48.0,0.0,1.0,0.0,148.0,51.0,29.0,63.8,"€ 87,500(£ 73,923, $94,031)","€ 4,550,000(£ 3,843,972, $4,889,633)",,https://fbref.com/es/jugadores/f0661424/Nicolas-Tagliafico
2017-2018,24,Independiente,arARG,1.Liga Argentina,9,762,0,0,,,,,,,,,9,762,0,0,8,762,8.5,0,0,0,0,0,0,0,0,0.7,0.7,0.5,1.2,17.0,50.0,26.0,0.0,0.0,0.0,0.0,0.0,0.08,0.06,0.14,0.08,0.14,25.0,14.0,13.0,10.0,2.0,10.0,13.0,76.9,3.0,10.0,2.0,8.0,35.0,60.0,26.0,0.0,337.0,417.0,80.8,5674.0,2380.0,154.0,176.0,87.5,157.0,182.0,86.3,22.0,39.0,56.4,0,0.5,0.6,-0.5,4.0,33.0,4.0,1.0,50.0,417.0,352.0,64.0,8.0,0.0,0.0,9.0,56.0,0.0,0.0,0.0,0.0,337.0,1.0,12.0,23.0,166.0,288.0,96.0,10.0,540.0,15.0,8.0,53.3,7.0,46.7,268.0,1568.0,947.0,17.0,9.0,1.0,16.0,5.0,281.0,26.0,0,4.0,0,0.0,0.47,0.0,0.0,,14.1,0.0,0,0,0.7,0.7,0.18,-0.7,-0.7,11.0,1.3,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762,85,31.4,8.5,8,90.0,8.0,1,41.0,0.0,1.89,9.0,6.0,3.0,0.35,-0.02,13.8,6.0,7.8,0.92,0.9,0,0,0.0,7.0,20.0,1.0,9.0,35.0,14.0,0.0,0.0,0.0,44.0,20.0,7.0,74.1,"€ 70,000(£ 60,171, $79,500)","€ 3,640,000(£ 3,128,886, $4,133,991)",,https://fbref.com/es/jugadores/f0661424/Nicolas-Tagliafico
2017-2018,24,Ajax,nlNED,1.Eredivisie,15,"1,339",1,2,,,,,,,,,15,"1,339",1,2,15,"1,339",14.9,1,2,3,1,0,0,5,2,,,,,,,,0.07,0.13,0.2,0.07,0.2,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,2,,0.0,0.13,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,339",89,43.8,14.9,15,,13.0,0,,0.0,2.33,31.0,15.0,16.0,1.08,-1.02,,,,,,5,2,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2018-2019,25,Ajax,nlNED,1.Eredivisie,29,"2,512",2,4,,,,,10.0,900.0,3.0,0.0,39,"3,412",5,4,29,"2,512",27.9,2,4,6,2,0,0,4,0,4.1,4.1,3.4,7.5,60.0,148.0,205.0,0.07,0.14,0.21,0.07,0.21,0.15,0.12,0.27,0.15,0.27,68.0,51.0,38.0,25.0,5.0,36.0,73.0,49.3,37.0,31.0,5.0,26.0,62.0,130.0,67.0,2.0,1478.0,1806.0,81.8,20031.0,6552.0,895.0,968.0,92.5,421.0,548.0,76.8,66.0,122.0,54.1,4,3.4,4.5,0.6,33.0,113.0,53.0,24.0,148.0,1806.0,1557.0,240.0,29.0,0.0,6.0,96.0,211.0,0.0,0.0,0.0,0.0,1478.0,9.0,23.0,93.0,447.0,962.0,754.0,80.0,2150.0,24.0,14.0,58.3,10.0,41.7,1213.0,4691.0,2768.0,60.0,71.0,12.0,30.0,17.0,1324.0,205.0,2,37.0,9,24.3,1.33,0.32,0.05,0.22,14.7,0.0,0,0,4.1,4.1,0.11,-2.1,-2.1,85.0,3.05,65.0,5.0,1.0,9.0,3.0,2.0,12.0,0.43,9.0,0.0,0.0,1.0,1.0,1.0,"2,512",87,82.1,27.9,29,87.0,25.0,0,,1.0,2.69,100.0,18.0,82.0,2.94,2.12,79.1,25.3,53.8,1.93,1.11,4,0,0.0,36.0,59.0,6.0,96.0,62.0,51.0,1.0,0.0,1.0,183.0,54.0,48.0,52.9,,,,
2019-2020,26,Ajax,nlNED,1.Eredivisie,24,"2,054",3,4,,,,,7.0,628.0,1.0,1.0,31,"2,682",4,5,23,"2,054",22.8,3,4,7,3,0,0,6,0,3.9,3.9,5.3,9.2,52.0,128.0,205.0,0.13,0.18,0.31,0.13,0.31,0.17,0.23,0.4,0.17,0.4,61.0,27.0,23.0,28.0,10.0,34.0,69.0,49.3,35.0,18.0,7.0,11.0,40.0,101.0,50.0,0.0,1263.0,1493.0,84.6,17443.0,5184.0,788.0,863.0,91.3,371.0,446.0,83.2,55.0,93.0,59.1,4,5.3,6.0,-1.3,24.0,76.0,46.0,14.0,128.0,1493.0,1305.0,185.0,14.0,0.0,1.0,57.0,171.0,0.0,0.0,0.0,0.0,1263.0,3.0,20.0,68.0,321.0,809.0,652.0,76.0,1767.0,14.0,10.0,71.4,4.0,28.6,1031.0,3829.0,2075.0,52.0,46.0,8.0,23.0,15.0,1118.0,205.0,3,39.0,11,28.2,1.71,0.48,0.08,0.27,15.2,0.0,0,0,3.9,3.9,0.1,-0.9,-0.9,54.0,2.37,40.0,2.0,1.0,6.0,5.0,0.0,7.0,0.31,4.0,1.0,0.0,2.0,0.0,0.0,"2,054",86,91.3,22.8,23,89.0,22.0,1,7.0,0.0,2.21,64.0,22.0,42.0,1.84,0.46,70.3,25.0,45.3,1.98,1.77,6,0,0.0,35.0,44.0,2.0,57.0,40.0,27.0,0.0,0.0,0.0,123.0,47.0,35.0,57.3,,,,
2020-2021,27,Ajax,nlNED,1.Eredivisie,25,"2,002",1,3,,,,,11.0,945.0,0.0,0.0,36,"2,947",1,3,25,"2,002",22.2,1,3,4,1,0,0,5,1,4.3,4.3,5.2,9.5,51.0,159.0,192.0,0.04,0.13,0.18,0.04,0.18,0.19,0.23,0.43,0.19,0.43,51.0,31.0,20.0,24.0,7.0,22.0,46.0,47.8,24.0,23.0,2.0,21.0,47.0,98.0,31.0,0.0,1161.0,1447.0,80.2,18762.0,6735.0,590.0,667.0,88.5,471.0,571.0,82.5,76.0,137.0,55.5,3,5.2,6.7,-2.2,27.0,113.0,40.0,13.0,159.0,1447.0,1265.0,175.0,26.0,2.0,5.0,75.0,148.0,1.0,0.0,0.0,0.0,1161.0,7.0,28.0,53.0,351.0,782.0,573.0,94.0,1687.0,17.0,10.0,58.8,7.0,41.2,857.0,3516.0,1784.0,51.0,38.0,5.0,30.0,9.0,1053.0,192.0,1,38.0,9,23.7,1.71,0.4,0.03,0.11,12.7,0.0,0,0,4.3,4.3,0.11,-3.3,-3.3,67.0,3.01,57.0,5.0,0.0,4.0,1.0,0.0,6.0,0.27,6.0,0.0,0.0,0.0,0.0,0.0,"2,002",80,65.4,22.2,25,80.0,17.0,0,,1.0,2.52,58.0,13.0,45.0,2.02,-0.87,56.5,19.2,37.3,1.68,-0.74,5,1,0.0,38.0,32.0,2.0,75.0,47.0,31.0,0.0,1.0,0.0,147.0,52.0,28.0,65.0,,,,
2021-2022,28,Ajax,nlNED,1.Eredivisie,22,937,2,2,,,,,3.0,139.0,0.0,1.0,25,"1,076",2,3,9,937,10.4,2,2,4,2,0,0,0,0,1.2,1.2,1.8,3.0,24.0,79.0,75.0,0.19,0.19,0.38,0.19,0.38,0.12,0.17,0.29,0.12,0.29,21.0,17.0,7.0,9.0,5.0,12.0,30.0,40.0,18.0,13.0,1.0,12.0,10.0,31.0,11.0,1.0,611.0,744.0,82.1,9754.0,3534.0,308.0,341.0,90.3,264.0,318.0,83.0,29.0,48.0,60.4,2,1.8,3.3,0.2,13.0,48.0,21.0,4.0,79.0,744.0,664.0,77.0,5.0,0.0,1.0,31.0,72.0,0.0,0.0,0.0,0.0,611.0,3.0,13.0,24.0,170.0,435.0,248.0,41.0,849.0,13.0,8.0,61.5,5.0,38.5,494.0,2221.0,1136.0,24.0,16.0,3.0,18.0,7.0,560.0,75.0,2,13.0,4,30.8,1.25,0.38,0.15,0.5,16.3,0.0,0,0,1.2,1.2,0.09,0.8,0.8,32.0,3.06,29.0,1.0,1.0,1.0,0.0,0.0,4.0,0.38,4.0,0.0,0.0,0.0,0.0,0.0,937,43,30.6,10.4,9,73.0,4.0,13,22.0,7.0,2.68,33.0,6.0,27.0,2.59,0.39,31.3,11.1,20.2,1.93,0.01,0,0,0.0,10.0,12.0,0.0,31.0,10.0,17.0,0.0,0.0,0.0,71.0,17.0,13.0,56.7,,,,
2022-2023,29,Lyon,frFRA,1.Ligue 1,34,"2,991",1,3,4.0,228.0,0.0,2.0,,,,,38,"3,219",1,5,34,"2,991",33.2,1,3,4,1,0,0,5,0,2.4,1.9,4.2,6.1,38.0,156.0,171.0,0.03,0.09,0.12,0.03,0.12,0.07,0.13,0.2,0.06,0.18,91.0,53.0,36.0,41.0,14.0,50.0,78.0,64.1,28.0,45.0,11.0,34.0,57.0,148.0,47.0,0.0,1587.0,1883.0,84.3,24353.0,7754.0,816.0,906.0,90.1,642.0,751.0,85.5,69.0,122.0,56.6,3,4.2,3.8,-1.2,24.0,123.0,36.0,7.0,156.0,1883.0,1602.0,276.0,19.0,0.0,1.0,68.0,256.0,1.0,0.0,0.0,0.0,1587.0,5.0,41.0,86.0,527.0,1118.0,610.0,48.0,2237.0,38.0,10.0,26.3,19.0,50.0,1539.0,7465.0,3182.0,38.0,44.0,5.0,46.0,16.0,1405.0,171.0,1,23.0,5,21.7,0.69,0.15,0.04,0.2,16.8,0.0,0,0,2.4,1.9,0.08,-1.4,-0.9,59.0,1.78,46.0,7.0,0.0,3.0,2.0,1.0,5.0,0.15,4.0,1.0,0.0,0.0,0.0,0.0,"2,991",88,87.5,33.2,34,88.0,30.0,0,,0.0,1.56,53.0,39.0,14.0,0.42,-0.42,51.4,43.8,7.6,0.23,-0.18,5,0,0.0,40.0,59.0,2.0,68.0,57.0,53.0,0.0,2.0,0.0,166.0,42.0,37.0,53.2,,,,
2023-2024,30,Lyon,frFRA,1.Ligue 1,25,"2,123",3,1,6.0,501.0,0.0,0.0,,,,,31,"2,624",3,1,25,"2,123",23.6,3,1,4,3,0,0,7,1,2.6,2.6,1.0,3.5,32.0,105.0,119.0,0.13,0.04,0.17,0.13,0.17,0.11,0.04,0.15,0.11,0.15,54.0,34.0,23.0,22.0,9.0,22.0,49.0,44.9,27.0,25.0,8.0,17.0,28.0,82.0,43.0,0.0,999.0,1175.0,85.0,15340.0,5299.0,513.0,565.0,90.8,398.0,455.0,87.5,52.0,87.0,59.8,1,1.0,1.7,0.0,18.0,82.0,20.0,5.0,105.0,1175.0,1017.0,153.0,15.0,3.0,0.0,40.0,137.0,1.0,0.0,0.0,0.0,999.0,5.0,21.0,72.0,364.0,688.0,339.0,35.0,1385.0,16.0,5.0,31.3,10.0,62.5,954.0,4778.0,2019.0,32.0,27.0,4.0,13.0,12.0,897.0,119.0,3,15.0,6,40.0,0.64,0.25,0.2,0.5,13.7,0.0,0,0,2.6,2.6,0.17,0.4,0.4,42.0,1.78,28.0,6.0,1.0,3.0,3.0,1.0,2.0,0.08,1.0,0.0,0.0,0.0,1.0,0.0,"2,123",85,69.4,23.6,25,85.0,19.0,0,,0.0,1.72,31.0,36.0,-5.0,-0.21,-0.12,33.2,38.0,-4.8,-0.2,-0.42,7,1,1.0,37.0,32.0,0.0,40.0,28.0,34.0,1.0,0.0,0.0,76.0,20.0,15.0,57.1,,,,
