Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2015-2016,18,Young Boys,chSUI,1.Super Lg,27,"1,847",1,1,,,,,,,,,27,"1,847",1,1,21,"1,847",20.5,1,1,2,1,0,0,5,1,,,,,,,,0.05,0.05,0.1,0.05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6,,,0.29,,0.17,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,847",68,57.0,20.5,21,,13,6,,2,1.93,33,24,9,0.44,-0.98,,,,,,5,1,,,,,,,,,,,,,,,"€ 38,077(£ 33,075, $41,731)","€ 1,980,000(£ 1,719,877, $2,170,037)",Estimación no verificada,https://fbref.com/es/jugadores/384d58d9/Denis-Zakaria
2016-2017,19,Young Boys,chSUI,1.Super Lg,23,"1,919",1,1,,,,,5.0,440.0,0.0,0.0,28,"2,359",1,1,23,"1,919",21.3,1,1,2,1,0,0,6,0,,,,,,,,0.05,0.05,0.09,0.05,0.09,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,4,,0.0,0.19,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,919",83,59.2,21.3,23,,16,0,,2,1.78,43,24,19,0.89,0.28,,,,,,6,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 38,462(£ 33,409, $42,153)","€ 2,000,000(£ 1,737,249, $2,191,956)",Estimación no verificada,https://fbref.com/es/jugadores/384d58d9/Denis-Zakaria
2017-2018,20,Gladbach,deGER,1.Bundesliga,30,"2,296",2,1,3.0,245.0,0.0,0.0,,,,,33,"2,541",2,1,29,"2,296",25.5,2,1,3,2,0,0,11,0,1.5,1.5,0.6,2.1,31.0,74.0,31.0,0.08,0.04,0.12,0.08,0.12,0.06,0.02,0.08,0.06,0.08,74.0,48.0,38.0,32.0,4.0,40.0,61.0,65.6,21.0,52.0,9.0,43.0,45.0,119.0,40.0,1.0,883.0,994.0,88.8,14864.0,4000.0,408.0,441.0,92.5,376.0,410.0,91.7,72.0,94.0,76.6,1,0.6,0.9,0.4,14.0,64.0,6.0,0.0,74.0,994.0,979.0,12.0,11.0,2.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,883.0,3.0,21.0,68.0,330.0,810.0,164.0,24.0,1281.0,62.0,30.0,48.4,32.0,51.6,711.0,4038.0,1848.0,31.0,39.0,9.0,31.0,31.0,833.0,31.0,2,20.0,4,20.0,0.78,0.16,0.1,0.5,25.9,0.0,0,0,1.5,1.5,0.07,0.5,0.5,42.0,1.65,35.0,0.0,3.0,1.0,2.0,1.0,5.0,0.2,4.0,0.0,0.0,0.0,0.0,1.0,"2,296",77,75.0,25.5,29,,16,1,,0,1.3,34,40,-6,-0.24,-0.35,36.7,38.3,-1.6,-0.06,-0.15,11,0,0.0,57.0,25.0,1.0,2.0,45.0,48.0,0.0,1.0,0.0,135.0,17.0,24.0,41.5,"€ 40,385(£ 35,079, $44,261)","€ 2,100,000(£ 1,824,112, $2,301,554)",,https://fbref.com/es/jugadores/384d58d9/Denis-Zakaria
2018-2019,21,Gladbach,deGER,1.Bundesliga,31,"1,959",4,0,1.0,16.0,0.0,0.0,,,,,32,"1,975",4,0,21,"1,959",21.8,4,0,4,4,0,0,7,0,3.8,3.8,0.7,4.5,56.0,90.0,82.0,0.18,0.0,0.18,0.18,0.18,0.18,0.03,0.21,0.18,0.21,40.0,21.0,15.0,24.0,1.0,12.0,30.0,40.0,18.0,38.0,9.0,29.0,26.0,66.0,20.0,0.0,629.0,768.0,81.9,10633.0,2609.0,274.0,309.0,88.7,278.0,315.0,88.3,46.0,74.0,62.2,0,0.7,0.7,-0.7,16.0,67.0,11.0,2.0,90.0,768.0,756.0,10.0,3.0,2.0,6.0,14.0,7.0,0.0,0.0,0.0,0.0,629.0,2.0,18.0,39.0,198.0,589.0,255.0,41.0,1024.0,53.0,29.0,54.7,24.0,45.3,597.0,3976.0,2258.0,56.0,41.0,10.0,36.0,23.0,684.0,82.0,4,36.0,13,36.1,1.65,0.6,0.11,0.31,18.2,0.0,0,0,3.8,3.8,0.11,0.2,0.2,39.0,1.79,34.0,0.0,1.0,4.0,0.0,0.0,7.0,0.32,5.0,0.0,0.0,2.0,0.0,0.0,"1,959",63,64.0,21.8,21,83.0,14,10,22.0,1,1.65,28,26,2,0.09,-0.81,30.4,33.8,-3.5,-0.16,-0.44,7,0,0.0,31.0,19.0,1.0,14.0,26.0,21.0,0.0,0.0,0.0,132.0,16.0,19.0,45.7,"€ 40,385(£ 35,079, $44,261)","€ 2,100,000(£ 1,824,112, $2,301,554)",,https://fbref.com/es/jugadores/384d58d9/Denis-Zakaria
2019-2020,22,Gladbach,deGER,1.Bundesliga,23,"1,947",2,2,2.0,179.0,0.0,0.0,6.0,540.0,0.0,0.0,31,"2,666",2,2,22,"1,947",21.6,2,2,4,2,0,0,7,0,2.3,2.3,1.6,3.9,43.0,91.0,19.0,0.09,0.09,0.18,0.09,0.18,0.11,0.08,0.18,0.11,0.18,49.0,30.0,23.0,23.0,3.0,20.0,39.0,51.3,19.0,39.0,12.0,27.0,37.0,86.0,31.0,1.0,769.0,892.0,86.2,12833.0,4134.0,364.0,397.0,91.7,311.0,351.0,88.6,67.0,90.0,74.4,2,1.6,1.2,0.4,11.0,65.0,9.0,0.0,91.0,892.0,864.0,25.0,21.0,5.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,769.0,3.0,10.0,77.0,374.0,666.0,133.0,16.0,1137.0,59.0,46.0,78.0,13.0,22.0,709.0,4438.0,2372.0,43.0,34.0,4.0,20.0,19.0,693.0,19.0,2,23.0,5,21.7,1.06,0.23,0.09,0.4,20.9,1.0,0,0,2.3,2.3,0.1,-0.3,-0.3,35.0,1.62,30.0,0.0,4.0,0.0,0.0,1.0,4.0,0.18,4.0,0.0,0.0,0.0,0.0,0.0,"1,947",85,63.6,21.6,22,88.0,21,1,22.0,0,2.0,43,25,18,0.83,0.19,47.1,29.3,17.8,0.82,0.16,7,0,0.0,24.0,16.0,0.0,3.0,37.0,30.0,0.0,0.0,0.0,173.0,21.0,23.0,47.7,"€ 40,385(£ 35,079, $44,261)","€ 2,100,000(£ 1,824,112, $2,301,554)",,https://fbref.com/es/jugadores/384d58d9/Denis-Zakaria
2020-2021,23,Gladbach,deGER,1.Bundesliga,25,"1,419",1,1,2.0,22.0,0.0,0.0,5.0,292.0,0.0,0.0,32,"1,733",1,1,15,"1,419",15.8,1,1,2,1,0,0,5,0,1.5,1.5,1.1,2.5,29.0,57.0,27.0,0.06,0.06,0.13,0.06,0.13,0.09,0.07,0.16,0.09,0.16,30.0,15.0,12.0,15.0,3.0,11.0,20.0,55.0,9.0,20.0,7.0,13.0,23.0,53.0,29.0,1.0,564.0,647.0,87.2,9128.0,2702.0,278.0,303.0,91.7,232.0,256.0,90.6,39.0,55.0,70.9,1,1.1,0.7,-0.1,9.0,52.0,6.0,1.0,57.0,647.0,637.0,9.0,9.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,564.0,1.0,14.0,63.0,257.0,472.0,100.0,15.0,820.0,32.0,21.0,65.6,11.0,34.4,474.0,2826.0,1529.0,29.0,15.0,3.0,20.0,8.0,550.0,27.0,1,11.0,2,18.2,0.7,0.13,0.09,0.5,19.9,0.0,0,0,1.5,1.5,0.14,-0.5,-0.5,21.0,1.33,16.0,0.0,3.0,2.0,0.0,0.0,2.0,0.13,2.0,0.0,0.0,0.0,0.0,0.0,"1,419",57,46.4,15.8,15,80.0,7,10,21.0,1,1.48,37,26,11,0.7,0.86,24.9,21.8,3.2,0.2,-0.13,5,0,0.0,23.0,12.0,0.0,6.0,23.0,15.0,0.0,0.0,0.0,95.0,13.0,14.0,48.1,"€ 74,038(£ 64,312, $81,145)","€ 3,850,000(£ 3,344,205, $4,219,516)",,https://fbref.com/es/jugadores/384d58d9/Denis-Zakaria
2021-2022,24,Gladbach,deGER,1.Bundesliga,16,"1,395",2,1,2.0,135.0,0.0,0.0,,,,,18,"1,530",2,1,15,"1,395",15.5,2,1,3,2,0,0,4,0,0.9,0.9,0.8,1.7,31.0,88.0,20.0,0.13,0.06,0.19,0.13,0.19,0.06,0.05,0.11,0.06,0.11,23.0,14.0,9.0,10.0,4.0,12.0,35.0,34.3,23.0,25.0,5.0,20.0,19.0,42.0,22.0,1.0,732.0,819.0,89.4,11846.0,4167.0,353.0,380.0,92.9,319.0,353.0,90.4,43.0,53.0,81.1,1,0.8,0.5,0.2,10.0,71.0,7.0,0.0,88.0,819.0,792.0,25.0,20.0,0.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,732.0,2.0,10.0,58.0,320.0,565.0,120.0,14.0,991.0,42.0,29.0,69.0,13.0,31.0,603.0,3366.0,1900.0,31.0,24.0,5.0,17.0,11.0,645.0,20.0,2,18.0,4,22.2,1.16,0.26,0.11,0.5,24.8,0.0,0,0,0.9,0.9,0.05,1.1,1.1,28.0,1.81,22.0,0.0,0.0,3.0,2.0,1.0,4.0,0.26,2.0,0.0,0.0,2.0,0.0,0.0,"1,395",87,45.6,15.5,15,90.0,15,1,45.0,0,1.13,22,27,-5,-0.32,-0.21,25.7,21.6,4.2,0.27,0.43,4,0,0.0,19.0,11.0,1.0,5.0,19.0,14.0,0.0,1.0,0.0,134.0,14.0,13.0,51.9,"£ 90,000(€ 104,613, $114,391)","£ 4,680,000(€ 5,439,897, $5,948,314)",,https://fbref.com/es/jugadores/384d58d9/Denis-Zakaria
2021-2022,24,Juventus,itITA,1.Serie A,9,597,1,1,3.0,216.0,0.0,0.0,1.0,10.0,0.0,0.0,13,823,1,1,6,597,6.6,1,1,2,1,0,0,1,0,1.5,1.5,0.1,1.6,8.0,14.0,17.0,0.15,0.15,0.3,0.15,0.3,0.22,0.02,0.24,0.22,0.24,11.0,7.0,3.0,6.0,2.0,3.0,11.0,27.3,8.0,16.0,3.0,13.0,11.0,22.0,7.0,0.0,129.0,168.0,76.8,2066.0,760.0,64.0,74.0,86.5,51.0,58.0,87.9,11.0,16.0,68.8,1,0.1,0.3,0.9,3.0,14.0,3.0,0.0,14.0,168.0,167.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,129.0,1.0,12.0,10.0,62.0,111.0,68.0,15.0,237.0,5.0,2.0,40.0,3.0,60.0,114.0,593.0,289.0,8.0,9.0,0.0,11.0,7.0,136.0,17.0,1,9.0,4,44.4,1.36,0.6,0.11,0.25,17.8,0.0,0,0,1.5,1.5,0.16,-0.5,-0.5,9.0,1.36,5.0,0.0,1.0,2.0,1.0,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,597,66,17.5,6.6,6,80.0,4,3,40.0,1,1.89,11,7,4,0.6,0.09,9.3,7.0,2.3,0.35,0.0,1,0,0.0,11.0,4.0,0.0,5.0,11.0,7.0,0.0,0.0,0.0,27.0,2.0,8.0,20.0,"€ 75,000(£ 63,362, $80,598)","€ 3,900,000(£ 3,294,833, $4,191,114)",Estimación no verificada,https://fbref.com/es/jugadores/384d58d9/Denis-Zakaria
2022-2023,25,Juventus,itITA,1.Serie A,2,123,0,0,,,,,,,,,2,123,0,0,1,123,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,4.0,1.0,2.0,2.0,100.0,0.0,2.0,0.0,2.0,2.0,8.0,1.0,0.0,32.0,38.0,84.2,469.0,119.0,18.0,20.0,90.0,11.0,12.0,91.7,2.0,2.0,100.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,38.0,37.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,2.0,2.0,14.0,30.0,9.0,1.0,51.0,0.0,0.0,,0.0,,27.0,149.0,104.0,2.0,3.0,0.0,1.0,1.0,36.0,3.0,0,0.0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,1.0,0.73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123,62,3.6,1.4,1,90.0,1,1,33.0,2,2.0,3,1,2,1.46,0.89,2.1,1.8,0.2,0.17,-0.2,0,0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,,"€ 75,192(£ 64,634, $85,397)","€ 3,910,000(£ 3,360,973, $4,440,633)",Estimación no verificada,https://fbref.com/es/jugadores/384d58d9/Denis-Zakaria
2022-2023,25,Chelsea,engENG,1.Premier League,7,411,0,0,2.0,112.0,0.0,0.0,2.0,74.0,1.0,0.0,11,597,1,0,5,411,4.6,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,9.0,5.0,5.0,2.0,2.0,2.0,8.0,25.0,6.0,4.0,1.0,3.0,3.0,12.0,10.0,0.0,158.0,179.0,88.3,2222.0,571.0,90.0,98.0,91.8,54.0,56.0,96.4,5.0,6.0,83.3,0,0.0,0.1,0.0,1.0,8.0,0.0,0.0,6.0,179.0,177.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,5.0,12.0,66.0,113.0,44.0,2.0,218.0,9.0,6.0,66.7,3.0,33.3,140.0,646.0,291.0,9.0,3.0,2.0,4.0,9.0,159.0,3.0,0,2.0,0,0.0,0.44,0.0,0.0,,16.9,0.0,0,0,0.2,0.2,0.09,-0.2,-0.2,2.0,0.44,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411,59,12.0,4.6,5,72.0,1,2,26.0,9,1.0,5,5,0,0.0,0.27,5.3,7.6,-2.3,-0.5,-0.48,0,0,0.0,5.0,2.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,21.0,0.0,2.0,0.0,"€ 75,192(£ 64,634, $85,397)","€ 3,910,000(£ 3,360,973, $4,440,633)",Estimación no verificada,https://fbref.com/es/jugadores/384d58d9/Denis-Zakaria
