Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2009-2010,17,Nîmes,frFRA,2.Ligue 2,3,67,0,0,,,,,,,,,3,67,0,0,0,67,0.7,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,67,22,2.0,0.7,0,,,3,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,"€ 12,308(£ 10,691, $13,489)","€ 640,000(£ 555,920, $701,426)",Estimación no verificada,https://fbref.com/es/jugadores/d33c706e/Andy-Delort
2010-2011,18,Ajaccio,frFRA,2.Ligue 2,24,828,4,2,,,,,,,,,24,828,4,2,5,828,9.2,4,2,6,4,0,0,5,0,,,,,,,,0.43,0.22,0.65,0.43,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,10,,,1.09,,0.4,,,0,0,,,,,,,,,,,,,,,,,,,,,,828,35,24.2,9.2,5,,,19,,,,,,,,,,,,,,5,0,,,,,,,,,,,,,,,"€ 32,692(£ 28,397, $35,830)","€ 1,700,000(£ 1,476,662, $1,863,163)",Estimación no verificada,https://fbref.com/es/jugadores/d33c706e/Andy-Delort
2011-2012,19,Metz,frFRA,2.Ligue 2,13,624,1,0,,,,,,,,,13,624,1,0,7,624,6.9,1,0,1,1,0,0,2,0,,,,,,,,0.14,0.0,0.14,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,0.43,,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,624,48,18.2,6.9,7,,,6,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,"€ 33,846(£ 29,400, $37,095)","€ 1,760,000(£ 1,528,779, $1,928,922)",Estimación no verificada,https://fbref.com/es/jugadores/d33c706e/Andy-Delort
2011-2012,19,Ajaccio,frFRA,1.Ligue 1,7,240,0,0,,,,,,,,,7,240,0,0,2,240,2.7,0,0,0,0,0,0,2,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,,,0.75,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,240,34,7.0,2.7,2,,1.0,5,,,,,,,,,,,,,,2,0,,12.0,,,,,,,,,,,,,"€ 27,692(£ 24,054, $30,350)","€ 1,440,000(£ 1,250,819, $1,578,209)",Estimación no verificada,https://fbref.com/es/jugadores/d33c706e/Andy-Delort
2012-2013,20,Ajaccio,frFRA,1.Ligue 1,16,255,1,1,,,,,,,,,16,255,1,1,1,255,2.8,1,1,2,0,1,1,2,0,,,,,,,,0.35,0.35,0.71,0.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,,1.76,,0.0,,,1,1,,,,,,,,,,,,,,,,,,,,,,255,16,7.5,2.8,1,,0.0,15,,,,,,,,,,,,,,2,0,,15.0,,,,,,,,,,,,,"€ 15,577(£ 13,531, $17,072)","€ 810,000(£ 703,586, $887,742)",Estimación no verificada,https://fbref.com/es/jugadores/d33c706e/Andy-Delort
2013-2014,21,Tours,frFRA,2.Ligue 2,36,"3,129",24,8,,,,,,,,,36,"3,129",24,8,36,"3,129",34.8,24,8,32,19,5,5,7,1,,,,,,,,0.69,0.23,0.92,0.55,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,53,,,1.52,,0.36,,,5,5,,,,,,,,,,,,,,,,,,,,,,"3,129",87,91.5,34.8,36,,,0,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,"€ 27,692(£ 24,054, $30,350)","€ 1,440,000(£ 1,250,819, $1,578,209)",,https://fbref.com/es/jugadores/d33c706e/Andy-Delort
2014-2015,22,Tours,frFRA,2.Ligue 2,16,"1,397",2,5,,,,,,,,,16,"1,397",2,5,15,"1,397",15.5,2,5,7,2,0,0,2,0,,,,,,,,0.13,0.32,0.45,0.13,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,12,,,0.77,,0.17,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,397",87,40.8,15.5,15,,14.0,1,,0.0,1.31,16.0,16.0,0.0,0.0,0.22,,,,,,2,0,,,,,,,,,,,,,,,"€ 48,462(£ 42,095, $53,113)","€ 2,520,000(£ 2,188,934, $2,761,865)",Estimación no verificada,https://fbref.com/es/jugadores/d33c706e/Andy-Delort
2014-2015,22,Wigan Athletic,engENG,2.Championship,11,437,0,0,,,,,,,,,11,437,0,0,4,437,4.9,0,0,0,0,0,0,2,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,6,,,1.24,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,437,40,10.6,4.9,4,,2.0,7,,4.0,0.45,1.0,6.0,-5.0,-1.03,-0.54,,,,,,2,0,,17.0,,,,,,,,,,,,,"€ 48,462(£ 41,692, $52,991)","€ 2,520,000(£ 2,167,982, $2,755,521)",Estimación no verificada,https://fbref.com/es/jugadores/d33c706e/Andy-Delort
2015-2016,23,Caen,frFRA,1.Ligue 1,36,"3,137",12,2,1.0,90.0,1.0,0.0,,,,,37,"3,227",13,2,34,"3,137",34.9,12,2,14,8,4,5,5,0,,,,,,,,0.34,0.06,0.4,0.23,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,62,,,1.78,,0.13,,,4,5,,,,,,,,,,,,,,,,,,,,,,"3,137",87,91.7,34.9,34,,30.0,2,,0.0,1.47,37.0,41.0,-4.0,-0.11,2.75,,,,,,5,0,,83.0,,,,,,,,,,,,,"€ 48,462(£ 41,692, $52,991)","€ 2,520,000(£ 2,167,982, $2,755,521)",Estimación no verificada,https://fbref.com/es/jugadores/d33c706e/Andy-Delort
2016-2017,24,UANL,mxMEX,1.Liga MX,11,363,2,1,,,,,,,,,11,363,2,1,3,363,4.0,2,1,3,2,0,0,0,0,,,,,,,,0.5,0.25,0.74,0.5,0.74,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,5,,0.0,1.24,,0.4,,,0,0,,,,,,,,,,,,,,,,,,,,,,363,33,11.9,4.0,3,,2.0,8,,1.0,1.79,5.0,3.0,2.0,0.5,-0.2,,,,,,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 48,846(£ 41,987, $55,475)","€ 2,540,000(£ 2,183,343, $2,884,708)",Estimación no verificada,https://fbref.com/es/jugadores/d33c706e/Andy-Delort
