Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2011-2012,23,Arles-Avignon,frFRA,2.Ligue 2,18,"1,497",1,0,,,,,,,,,18,"1,497",1,0,17,"1,497",16.6,1,0,1,1,0,0,3,0,,,,,,,,0.06,0.0,0.06,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,0.12,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,497",83,43.8,16.6,17,,,1,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,"€ 6,346(£ 5,512, $6,955)","€ 330,000(£ 286,646, $361,673)",Estimación no verificada,https://fbref.com/es/jugadores/32c2d95f/Yunis-Abdelhamid
2012-2013,24,Arles-Avignon,frFRA,2.Ligue 2,34,"3,060",2,1,,,,,,,,,34,"3,060",2,1,34,"3,060",34.0,2,1,3,2,0,0,5,0,,,,,,,,0.06,0.03,0.09,0.06,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,,,0.15,,0.4,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,060",90,89.5,34.0,34,,,0,,,,,,,,,,,,,,5,0,,,,,,,,,,,,,,,"€ 9,808(£ 8,519, $10,749)","€ 510,000(£ 442,999, $558,949)",Estimación no verificada,https://fbref.com/es/jugadores/32c2d95f/Yunis-Abdelhamid
2013-2014,25,Arles-Avignon,frFRA,2.Ligue 2,35,"2,924",2,0,,,,,,,,,35,"2,924",2,0,32,"2,924",32.5,2,0,2,2,0,0,7,1,,,,,,,,0.06,0.0,0.06,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,7,,,0.22,,0.29,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,924",84,85.5,32.5,32,,,3,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,"€ 18,462(£ 16,036, $20,233)","€ 960,000(£ 833,880, $1,052,139)",,https://fbref.com/es/jugadores/32c2d95f/Yunis-Abdelhamid
2014-2015,26,Valenciennes,frFRA,2.Ligue 2,38,"3,393",1,1,1.0,90.0,0.0,0.0,,,,,39,"3,483",1,1,38,"3,393",37.7,1,1,2,1,0,0,6,0,,,,,,,,0.03,0.03,0.05,0.03,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,0.11,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,393",89,99.2,37.7,38,,37.0,0,,0.0,1.11,34.0,50.0,-16.0,-0.42,2.91,,,,,,6,0,,,,,,,,,,,,,,,"€ 18,462(£ 16,036, $20,233)","€ 960,000(£ 833,880, $1,052,139)",,https://fbref.com/es/jugadores/32c2d95f/Yunis-Abdelhamid
2015-2016,27,Valenciennes,frFRA,2.Ligue 2,35,"3,049",2,0,1.0,90.0,0.0,0.0,,,,,36,"3,139",2,0,35,"3,049",33.9,2,0,2,2,0,0,5,2,,,,,,,,0.06,0.0,0.06,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,0.09,,0.67,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,049",87,89.2,33.9,35,,32.0,0,,0.0,1.11,35.0,40.0,-5.0,-0.15,-0.39,,,,,,5,2,,39.0,,,,,,,,,,,,,"€ 23,077(£ 20,045, $25,292)","€ 1,200,000(£ 1,042,350, $1,315,174)",,https://fbref.com/es/jugadores/32c2d95f/Yunis-Abdelhamid
2016-2017,28,Dijon,frFRA,1.Ligue 1,18,"1,314",0,0,1.0,120.0,0.0,0.0,,,,,19,"1,434",0,0,15,"1,314",14.6,0,0,0,0,0,0,3,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,36.0,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8.0,2,25.0,0.55,0.14,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,314",73,38.4,14.6,15,,13.0,3,,9.0,1.0,18.0,23.0,-5.0,-0.34,-0.04,,,,,,3,0,0.0,21.0,8.0,1.0,1.0,42.0,36.0,0.0,1.0,0.0,,,,,"€ 23,077(£ 19,853, $25,234)","€ 1,200,000(£ 1,032,372, $1,312,153)",,https://fbref.com/es/jugadores/32c2d95f/Yunis-Abdelhamid
2017-2018,29,Reims,frFRA,2.Ligue 2,35,"3,150",4,0,3.0,187.0,0.0,0.0,,,,,38,"3,337",4,0,35,"3,150",35.0,4,0,4,4,0,0,5,0,,,,,,,,0.11,0.0,0.11,0.11,0.11,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0,6,,0.0,0.17,,0.67,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,150",90,92.1,35.0,35,,35.0,0,,0.0,2.43,71.0,21.0,50.0,1.43,1.43,,,,,,5,0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 23,077(£ 19,496, $24,800)","€ 1,200,000(£ 1,013,795, $1,289,574)",,https://fbref.com/es/jugadores/32c2d95f/Yunis-Abdelhamid
2018-2019,30,Reims,frFRA,1.Ligue 1,38,"3,420",0,0,2.0,210.0,0.0,0.0,,,,,40,"3,630",0,0,38,"3,420",38.0,0,0,0,0,0,0,2,0,1.6,1.6,0.1,1.8,16.0,71.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.05,0.04,0.05,60.0,33.0,48.0,11.0,1.0,30.0,40.0,75.0,10.0,44.0,24.0,20.0,65.0,125.0,196.0,0.0,1330.0,1614.0,82.4,28130.0,10765.0,344.0,405.0,84.9,804.0,877.0,91.7,171.0,289.0,59.2,0,0.1,0.3,-0.1,3.0,49.0,3.0,0.0,71.0,1614.0,1543.0,63.0,62.0,0.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,1330.0,8.0,19.0,259.0,1276.0,738.0,46.0,27.0,2027.0,23.0,21.0,91.3,2.0,8.7,1040.0,5366.0,2909.0,16.0,7.0,1.0,16.0,6.0,1182.0,1.0,0,19.0,4,21.1,0.5,0.11,0.0,0.0,15.4,0.0,0,0,1.6,1.6,0.09,-1.6,-1.6,25.0,0.66,17.0,1.0,3.0,4.0,0.0,0.0,2.0,0.05,2.0,0.0,0.0,0.0,0.0,0.0,"3,420",90,100.0,38.0,38,90.0,38.0,0,,0.0,1.45,39.0,42.0,-3.0,-0.08,,38.1,45.0,-6.9,-0.18,,2,0,0.0,34.0,20.0,1.0,0.0,65.0,33.0,0.0,1.0,1.0,205.0,113.0,71.0,61.4,"€ 20,962(£ 18,018, $23,806)","€ 1,090,000(£ 936,947, $1,237,926)",Estimación no verificada,https://fbref.com/es/jugadores/32c2d95f/Yunis-Abdelhamid
2019-2020,31,Reims,frFRA,1.Ligue 1,28,"2,520",3,0,5.0,480.0,0.0,0.0,,,,,33,"3,000",3,0,28,"2,520",28.0,3,0,3,3,0,0,0,0,1.7,1.7,1.2,2.9,21.0,96.0,6.0,0.11,0.0,0.11,0.11,0.11,0.06,0.04,0.1,0.06,0.1,46.0,33.0,29.0,15.0,2.0,17.0,30.0,56.7,13.0,26.0,14.0,12.0,47.0,93.0,99.0,1.0,1323.0,1570.0,84.3,27406.0,10308.0,370.0,420.0,88.1,762.0,854.0,89.2,185.0,269.0,68.8,0,1.2,0.3,-1.2,5.0,53.0,1.0,0.0,96.0,1570.0,1491.0,75.0,72.0,0.0,13.0,1.0,3.0,0.0,0.0,0.0,0.0,1323.0,4.0,10.0,194.0,1052.0,768.0,51.0,29.0,1854.0,26.0,20.0,76.9,6.0,23.1,1031.0,5773.0,3542.0,21.0,12.0,0.0,15.0,5.0,1216.0,6.0,3,19.0,5,26.3,0.68,0.18,0.16,0.6,13.3,0.0,0,0,1.7,1.7,0.09,1.3,1.3,23.0,0.82,16.0,0.0,1.0,4.0,2.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,"2,520",90,100.0,28.0,28,90.0,28.0,0,,0.0,1.46,26.0,21.0,5.0,0.18,,30.6,28.5,2.1,0.08,,0,0,0.0,21.0,17.0,0.0,1.0,47.0,33.0,0.0,1.0,0.0,140.0,85.0,51.0,62.5,,,,
2020-2021,32,Reims,frFRA,1.Ligue 1,33,"2,889",3,0,1.0,90.0,0.0,0.0,,,,,34,"2,979",3,0,33,"2,889",32.1,3,0,3,3,0,0,4,1,1.9,1.9,0.3,2.2,18.0,99.0,3.0,0.09,0.0,0.09,0.09,0.09,0.06,0.01,0.07,0.06,0.07,59.0,37.0,36.0,23.0,0.0,26.0,42.0,61.9,16.0,34.0,15.0,19.0,61.0,120.0,132.0,0.0,1506.0,1762.0,85.5,30174.0,12190.0,427.0,483.0,88.4,909.0,999.0,91.0,154.0,238.0,64.7,0,0.3,0.3,-0.3,4.0,76.0,1.0,0.0,99.0,1762.0,1697.0,60.0,60.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1506.0,5.0,10.0,230.0,1160.0,920.0,38.0,23.0,2103.0,16.0,7.0,43.8,9.0,56.3,1255.0,6240.0,3618.0,18.0,5.0,1.0,14.0,12.0,1354.0,3.0,3,15.0,5,33.3,0.47,0.16,0.2,0.6,10.5,0.0,0,0,1.9,1.9,0.13,1.1,1.1,17.0,0.53,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,889",88,84.5,32.1,33,88.0,32.0,0,,0.0,1.18,37.0,39.0,-2.0,-0.06,0.95,29.1,45.4,-16.2,-0.51,1.2,4,1,0.0,37.0,22.0,0.0,0.0,61.0,37.0,0.0,1.0,0.0,200.0,92.0,53.0,63.4,,,,
