Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,18,Lechia Gdańsk,plPOL,1.Ekstraklasa,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,1,,,,,,,,,,,,7.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 3,846(£ 3,341, $4,215)","€ 200,000(£ 173,725, $219,196)",Estimación no verificada,https://fbref.com/es/jugadores/50ac8941/Karol-Fila
2017-2018,19,Lechia Gdańsk,plPOL,1.Ekstraklasa,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,3,,,,,,,,,,,,7.0,1.0,1.0,,,,,,,,,0.0,,,,,"€ 3,846(£ 3,309, $4,206)","€ 200,000(£ 172,062, $218,692)",Estimación no verificada,https://fbref.com/es/jugadores/50ac8941/Karol-Fila
2018-2019,20,Lechia Gdańsk,plPOL,1.Ekstraklasa,29.0,"1,625",1.0,0.0,,,,,,,,,29.0,"1,625",1,0,17,"1,625",18.1,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,,,,,,,,0.06,0.0,0.06,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,625",56.0,48.8,18.1,17,87.0,11,12,13.0,7,1.79,30.0,26.0,4.0,0.22,-0.41,,,,,,4.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 9,615(£ 8,123, $10,333)","€ 500,000(£ 422,415, $537,322)",,https://fbref.com/es/jugadores/50ac8941/Karol-Fila
2019-2020,21,Lechia Gdańsk,plPOL,1.Ekstraklasa,31.0,"2,534",0.0,2.0,,,,,,,,,31.0,"2,534",0,2,30,"2,534",28.2,0.0,2.0,2.0,0.0,0.0,0.0,7.0,1.0,,,,,,,,0.0,0.07,0.07,0.0,0.07,,,,,,10.0,8.0,5.0,4.0,1.0,4.0,8.0,50.0,4.0,7.0,2.0,5.0,4.0,14.0,6.0,0.0,294.0,377.0,78.0,4658.0,1891.0,156.0,171.0,91.2,123.0,159.0,77.4,12.0,31.0,38.7,0.0,0.5,0.8,-0.5,2.0,19.0,10.0,3.0,39.0,377.0,302.0,74.0,7.0,0.0,1.0,24.0,67.0,0.0,0.0,0.0,0.0,294.0,1.0,6.0,8.0,75.0,194.0,155.0,10.0,422.0,6.0,3.0,50.0,3.0,50.0,249.0,1014.0,434.0,10.0,7.0,1.0,6.0,3.0,275.0,51.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,8.0,1.29,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16,1.0,0.0,0.0,0.0,0.0,0.0,"2,534",82.0,76.1,28.2,30,84.0,24,1,19.0,2,1.52,33.0,34.0,-1.0,-0.04,0.08,,,,,,3.0,0.0,0.0,8.0,9.0,0.0,24.0,4.0,8.0,0.0,0.0,0.0,32.0,7.0,7.0,50.0,"€ 9,615(£ 8,265, $10,920)","€ 500,000(£ 429,792, $567,856)",,https://fbref.com/es/jugadores/50ac8941/Karol-Fila
2020-2021,22,Lechia Gdańsk,plPOL,1.Ekstraklasa,26.0,"1,774",1.0,0.0,,,,,,,,,26.0,"1,774",1,0,19,"1,774",19.7,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,,,,,,,,0.05,0.0,0.05,0.05,0.05,,,,,,32.0,19.0,14.0,17.0,1.0,12.0,22.0,54.5,10.0,17.0,4.0,13.0,19.0,51.0,21.0,1.0,341.0,483.0,70.6,6406.0,2821.0,127.0,161.0,78.9,172.0,212.0,81.1,34.0,91.0,37.4,0.0,0.3,0.4,-0.3,5.0,39.0,5.0,5.0,48.0,483.0,408.0,74.0,10.0,1.0,10.0,12.0,64.0,0.0,0.0,0.0,0.0,341.0,1.0,11.0,51.0,232.0,315.0,69.0,4.0,600.0,18.0,13.0,72.2,4.0,22.2,369.0,2663.0,1350.0,14.0,15.0,0.0,8.0,7.0,285.0,5.0,1.0,4.0,1.0,25.0,0.37,0.09,0.25,1.0,20.6,0.0,0.0,0.0,0.6,0.6,0.14,0.4,0.4,10.0,0.94,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.09,0.0,0.0,0.0,1.0,0.0,0.0,"1,774",68.0,65.7,19.7,19,86.0,13,7,21.0,2,1.46,25.0,28.0,-3.0,-0.15,-0.74,,,,,,4.0,0.0,0.0,20.0,5.0,0.0,12.0,19.0,19.0,0.0,1.0,0.0,87.0,16.0,13.0,55.2,,,,
2021-2022,23,Strasbourg,frFRA,1.Ligue 1,16.0,560,0.0,0.0,1.0,61.0,0.0,0.0,,,,,17.0,621,0,0,7,560,6.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.5,10.0,39.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,33.0,41.0,80.5,464.0,131.0,15.0,17.0,88.2,16.0,19.0,84.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,4.0,41.0,39.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,1.0,3.0,19.0,25.0,5.0,46.0,0.0,0.0,,0.0,,36.0,237.0,191.0,4.0,1.0,2.0,1.0,0.0,32.0,4.0,0.0,1.0,0.0,0.0,1.91,0.0,0.0,,20.7,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1,3.0,5.63,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.87,1.0,0.0,0.0,0.0,0.0,0.0,560,35.0,16.4,6.2,7,69.0,0,9,9.0,16,2.13,6.0,10.0,-4.0,-0.64,-1.3,7.9,7.9,0.0,0.0,-0.38,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,,
2022-2023,24,Zulte Waregem,beBEL,1.Pro League A,11.0,962,1.0,0.0,,,,,,,,,11.0,962,1,0,11,962,10.7,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,0.3,0.9,14.0,48.0,5.0,0.09,0.0,0.09,0.09,0.09,0.05,0.03,0.08,0.05,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,18.0,0.0,1.0,1.0,100.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962,87.0,31.4,10.7,11,87.0,8,0,,0,0.64,20.0,27.0,-7.0,-0.65,0.25,15.6,19.4,-3.8,-0.35,0.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
2022-2023,24,Strasbourg,frFRA,1.Ligue 1,2.0,47,0.0,0.0,,,,,,,,,2.0,47,0,0,0,47,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,15.0,7.0,8.0,6.0,1.0,6.0,13.0,46.2,7.0,3.0,0.0,3.0,6.0,21.0,12.0,0.0,123.0,145.0,84.8,1950.0,693.0,64.0,67.0,95.5,49.0,56.0,87.5,6.0,15.0,40.0,0.0,0.1,0.2,-0.1,2.0,7.0,6.0,2.0,14.0,145.0,119.0,26.0,5.0,0.0,1.0,9.0,20.0,1.0,1.0,0.0,0.0,123.0,0.0,2.0,17.0,51.0,88.0,57.0,8.0,193.0,7.0,3.0,42.9,3.0,42.9,113.0,697.0,267.0,3.0,2.0,3.0,5.0,3.0,103.0,18.0,1.0,4.0,3.0,75.0,0.98,0.74,0.25,0.33,9.8,0.0,0.0,0.0,0.7,0.7,0.17,0.3,0.3,8.0,1.97,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,24.0,1.4,0.5,0,,0,2,24.0,1,0.5,2.0,0.0,2.0,3.83,4.1,1.9,0.4,1.5,2.81,3.03,3.0,0.0,0.0,7.0,3.0,2.0,9.0,6.0,7.0,0.0,0.0,0.0,14.0,2.0,3.0,40.0,,,,
2023-2024,25,Strasbourg,frFRA,1.Ligue 1,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,26,Strasbourg,frFRA,1.Ligue 1,1.0,5,0.0,0.0,,,,,,,,,1.0,5,0,0,0,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5.0,0.2,0.1,0,,0,1,5.0,1,1.0,0.0,0.0,0.0,0.0,-0.42,0.2,0.0,0.2,4.06,4.24,,,,,,,,,,,,,,,,,,,,
