Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Partidos,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Tkl,Tkl(Derribos),3.º def.,3.º cent.,3.º ataq.,Tkl(Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),xA,A-xAG,PC,1/3,PPA,CrAP,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,npxG/Sh,G-xG,np:G-xG,Toques,Ataq. pen.,Succ,Exitosa%,Tkld,Tkld%,Transportes,TAP,Errores de control,Des,Rec,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,% Salvadas_penales,TL,TE,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),TI,%deLanzamientos,Long. prom.,%deLanzamientos (Saques de meta),Long. prom. (Saques de meta),Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera (expected),2a amarilla,Fls,FR,TklG,Penal ejecutado,Penal concedido,Recup.,% de ganados,link
Aron Dønnum,noNOR,"DF,CC",27-009,30,29,"2,509",27.9,1,2,3,1,0,0,5,0,1.8,1.8,4.4,6.3,91,124,134,0.04,0.07,0.11,0.04,0.11,0.07,0.16,0.22,0.07,0.22,Partidos,85.0,3.05,57.0,16.0,3.0,5.0,3.0,1.0,10.0,0.36,7.0,2.0,0.0,1.0,0.0,0.0,54.0,34.0,24.0,23.0,7.0,31.0,53.0,58.5,22.0,28.0,3.0,25.0,26.0,80.0,36.0,1.0,828.0,1146.0,72.3,15064.0,5148.0,393.0,453.0,86.8,317.0,420.0,75.5,108.0,200.0,54.0,5.5,-2.4,41.0,69.0,47.0,13.0,957.0,181.0,31.0,7.0,22.0,113.0,120.0,30.0,21.0,5.0,0.0,8.0,4.0,14.8,0.97,0.14,0.04,0.25,20.0,0.07,-0.8,-0.8,1453.0,68.0,45.0,44.6,47.0,46.5,812.0,24.0,40.0,34.0,855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,89.9,86,18,1,27,0,1.13,34,36,-2,-0.07,-0.39,35.6,30.6,+4.9,+0.18,-1.72,0.0,37.0,48.0,34.0,0.0,0.0,156.0,40.7,/es/jugadores/10cff752/Aron-Donnum
Cristian Cásseres Jr.,veVEN,CC,25-099,29,28,"2,426",27.0,1,3,4,1,0,0,9,0,0.9,0.9,2.3,3.2,29,121,42,0.04,0.11,0.15,0.04,0.15,0.03,0.09,0.12,0.03,0.12,Partidos,70.0,2.6,35.0,19.0,4.0,1.0,5.0,6.0,5.0,0.19,2.0,2.0,0.0,0.0,0.0,1.0,86.0,58.0,41.0,35.0,10.0,41.0,77.0,53.2,36.0,32.0,7.0,25.0,38.0,124.0,34.0,1.0,1008.0,1287.0,78.3,17648.0,4850.0,432.0,517.0,83.6,478.0,546.0,87.5,79.0,159.0,49.7,3.0,0.7,26.0,83.0,21.0,6.0,1166.0,116.0,66.0,4.0,8.0,67.0,9.0,34.0,22.0,8.0,0.0,5.0,5.0,31.3,0.59,0.19,0.06,0.2,22.1,0.06,0.1,0.1,1561.0,16.0,19.0,59.4,10.0,31.3,797.0,4.0,34.0,10.0,927.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,87.0,85,17,1,33,0,1.14,33,33,0,0.00,+0.25,37.4,27.5,+9.8,+0.37,+0.11,0.0,49.0,41.0,58.0,0.0,0.0,159.0,54.3,/es/jugadores/f86fe8c1/Cristian-Casseres-Jr
Charlie Cresswell,engENG,DF,22-255,29,27,"2,412",26.8,3,1,4,3,0,0,4,0,3.3,3.3,1.7,5.0,8,65,12,0.11,0.04,0.15,0.11,0.15,0.12,0.06,0.19,0.12,0.19,Partidos,22.0,0.82,16.0,0.0,0.0,5.0,1.0,0.0,2.0,0.07,1.0,0.0,0.0,1.0,0.0,0.0,34.0,22.0,18.0,15.0,1.0,28.0,45.0,62.2,17.0,42.0,27.0,15.0,28.0,62.0,176.0,3.0,1201.0,1454.0,82.6,22279.0,7674.0,408.0,453.0,90.1,703.0,777.0,90.5,85.0,203.0,41.9,1.0,-0.7,5.0,57.0,4.0,1.0,1381.0,70.0,29.0,0.0,8.0,4.0,12.0,0.0,0.0,0.0,0.0,3.0,13.0,40.6,1.19,0.49,0.09,0.23,9.5,0.1,-0.3,-0.3,1802.0,55.0,3.0,33.3,5.0,55.6,966.0,1.0,20.0,3.0,1112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,86.5,88,24,2,12,1,1.17,33,33,0,0.00,+0.24,38.8,28.9,+9.9,+0.37,+0.12,0.0,27.0,13.0,22.0,0.0,0.0,96.0,70.1,/es/jugadores/4654e5f5/Charlie-Cresswell
Mark McKenzie,usUSA,DF,26-063,28,27,"2,316",25.7,1,0,1,1,0,0,1,1,1.4,1.4,0.4,1.8,9,92,5,0.04,0.00,0.04,0.04,0.04,0.05,0.02,0.07,0.05,0.07,Partidos,13.0,0.51,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,28.0,29.0,18.0,1.0,30.0,42.0,71.4,12.0,26.0,15.0,11.0,21.0,69.0,121.0,1.0,1081.0,1258.0,85.9,19614.0,7551.0,426.0,468.0,91.0,569.0,634.0,89.7,76.0,133.0,57.1,0.2,-0.4,3.0,95.0,0.0,0.0,1152.0,106.0,28.0,0.0,6.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,0.31,0.08,0.13,0.5,11.2,0.17,-0.4,-0.4,1523.0,15.0,4.0,44.4,5.0,55.6,807.0,1.0,13.0,6.0,894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,83.0,85,24,1,21,1,1.18,35,33,+2,+0.08,+0.65,36.5,27.2,+9.3,+0.36,+0.07,0.0,30.0,11.0,28.0,0.0,1.0,122.0,56.0,/es/jugadores/a5f5d094/Mark-McKenzie
Guillaume Restes,frFRA,PO,20-049,26,26,"2,273",25.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,1.0,3.0,13.0,1.0,514.0,703.0,73.1,11993.0,8093.0,134.0,135.0,99.3,271.0,274.0,98.9,105.0,289.0,36.3,0.0,0.0,0.0,4.0,0.0,0.0,518.0,185.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,754.0,0.0,0.0,0.0,1.0,100.0,449.0,0.0,2.0,0.0,380.0,32.0,1.27,78.0,48.0,60.3,7.0,6.0,13.0,8.0,30.8,1.0,1.0,1.0,1.0,50.0,1.0,2.0,23.7,0.29,-5.3,-0.21,583.0,69.0,28.6,29.5,56.7,42.0,309.0,5.0,1.6,25.0,0.99,16.1,87,81.5,87,24,0,,0,1.04,26,32,-6,-0.24,-1.11,34.1,25.5,+8.6,+0.34,-0.06,0.0,1.0,2.0,1.0,0.0,1.0,43.0,0.0,/es/jugadores/6b91b999/Guillaume-Restes
Vincent Sierro,chSUI,CC,29-203,26,24,"2,132",23.7,5,1,6,3,2,2,4,0,3.8,2.2,2.9,5.2,13,133,23,0.21,0.04,0.25,0.13,0.17,0.16,0.12,0.28,0.09,0.22,Partidos,57.0,2.41,35.0,16.0,1.0,2.0,2.0,1.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0,43.0,27.0,15.0,22.0,6.0,27.0,52.0,51.9,25.0,30.0,6.0,24.0,15.0,58.0,39.0,1.0,967.0,1243.0,77.8,17275.0,5366.0,410.0,469.0,87.4,455.0,539.0,84.4,82.0,182.0,45.1,3.4,-1.9,28.0,91.0,25.0,1.0,1115.0,126.0,67.0,6.0,13.0,64.0,3.0,38.0,18.0,18.0,0.0,2.0,4.0,15.4,1.1,0.17,0.12,0.75,21.2,0.09,1.2,0.8,1488.0,29.0,8.0,34.8,15.0,65.2,823.0,3.0,42.0,18.0,963.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,76.4,86,15,2,38,0,1.15,32,32,0,0.00,+0.14,33.9,25.1,+8.8,+0.37,+0.08,0.0,29.0,29.0,27.0,0.0,0.0,116.0,49.1,/es/jugadores/92ffb8f9/Vincent-Sierro
Yann Gboho,frFRA,"CC,DL",24-105,28,24,"2,067",23.0,2,3,5,2,0,0,2,0,4.7,4.7,3.2,7.9,103,89,174,0.09,0.13,0.22,0.09,0.22,0.21,0.14,0.35,0.21,0.35,Partidos,81.0,3.53,57.0,0.0,12.0,5.0,6.0,1.0,6.0,0.26,4.0,0.0,0.0,2.0,0.0,0.0,24.0,11.0,6.0,10.0,8.0,12.0,30.0,40.0,18.0,20.0,0.0,20.0,5.0,29.0,4.0,0.0,422.0,567.0,74.4,5933.0,1811.0,248.0,296.0,83.8,135.0,170.0,79.4,16.0,28.0,57.1,3.8,-0.2,28.0,47.0,25.0,0.0,557.0,6.0,2.0,5.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,51.1,1.96,1.0,0.04,0.09,16.1,0.1,-2.7,-2.7,847.0,114.0,48.0,42.5,60.0,53.1,617.0,31.0,59.0,47.0,639.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,74.1,82,12,4,25,0,1.11,25,29,-4,-0.17,-0.55,31.7,22.1,+9.6,+0.42,+0.26,0.0,13.0,59.0,11.0,1.0,0.0,95.0,15.6,/es/jugadores/6be41a31/Yann-Gboho
Gabriel Suazo,clCHI,DF,27-263,29,23,"2,142",23.8,0,6,6,0,0,0,0,0,0.8,0.8,3.8,4.6,39,107,116,0.00,0.25,0.25,0.00,0.25,0.04,0.16,0.19,0.04,0.19,Partidos,81.0,3.4,59.0,18.0,1.0,0.0,2.0,1.0,11.0,0.46,8.0,2.0,1.0,0.0,0.0,0.0,59.0,39.0,25.0,22.0,12.0,30.0,72.0,41.7,42.0,27.0,3.0,24.0,36.0,95.0,40.0,1.0,983.0,1233.0,79.7,15655.0,6425.0,529.0,595.0,88.9,370.0,455.0,81.3,56.0,118.0,47.5,4.7,2.2,39.0,74.0,35.0,11.0,1020.0,210.0,36.0,3.0,8.0,75.0,154.0,20.0,14.0,4.0,0.0,3.0,4.0,57.1,0.29,0.17,0.0,0.0,17.1,0.12,-0.8,-0.8,1469.0,39.0,25.0,64.1,11.0,28.2,772.0,8.0,36.0,14.0,878.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,76.8,86,17,6,26,1,1.07,32,33,-1,-0.04,-0.04,36.0,27.9,+8.1,+0.34,-0.04,0.0,32.0,29.0,39.0,0.0,0.0,125.0,40.6,/es/jugadores/39b326ed/Gabriel-Suazo
Zakaria Aboukhlal,maMAR,"CC,DL",25-070,24,22,"1,848",20.5,7,2,9,6,1,2,4,0,10.1,8.5,1.6,10.1,31,22,158,0.34,0.10,0.44,0.29,0.39,0.49,0.08,0.57,0.41,0.49,Partidos,33.0,1.61,19.0,0.0,4.0,5.0,4.0,1.0,7.0,0.34,3.0,0.0,1.0,0.0,3.0,0.0,19.0,11.0,6.0,7.0,6.0,4.0,21.0,19.0,17.0,16.0,1.0,15.0,6.0,25.0,8.0,0.0,215.0,341.0,63.0,2695.0,744.0,142.0,189.0,75.1,53.0,91.0,58.2,6.0,14.0,42.9,2.0,0.4,12.0,15.0,10.0,4.0,325.0,13.0,1.0,0.0,0.0,33.0,7.0,3.0,2.0,0.0,0.0,3.0,24.0,40.7,2.87,1.17,0.1,0.25,14.5,0.14,-3.1,-2.5,591.0,110.0,12.0,26.1,32.0,69.6,361.0,18.0,62.0,25.0,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,66.2,82,9,2,24,0,1.25,22,22,0,0.00,+0.10,27.6,22.5,+5.1,+0.25,-0.30,0.0,34.0,24.0,11.0,2.0,0.0,58.0,36.7,/es/jugadores/c2a6033c/Zakaria-Aboukhlal
Djibril Sidibé,frFRA,DF,32-274,25,21,"1,850",20.6,0,2,2,0,0,0,1,0,0.4,0.4,2.3,2.7,15,107,44,0.00,0.10,0.10,0.00,0.10,0.02,0.11,0.13,0.02,0.13,Partidos,31.0,1.51,30.0,0.0,0.0,0.0,1.0,0.0,5.0,0.24,5.0,0.0,0.0,0.0,0.0,0.0,56.0,30.0,30.0,18.0,8.0,26.0,42.0,61.9,16.0,8.0,2.0,6.0,19.0,75.0,54.0,1.0,902.0,1124.0,80.2,15715.0,7087.0,379.0,419.0,90.5,433.0,515.0,84.1,68.0,135.0,50.4,2.1,-0.3,15.0,76.0,23.0,10.0,955.0,167.0,42.0,5.0,4.0,39.0,120.0,1.0,0.0,1.0,0.0,2.0,1.0,20.0,0.24,0.05,0.0,0.0,12.8,0.08,-0.4,-0.4,1294.0,13.0,10.0,62.5,6.0,37.5,723.0,0.0,20.0,9.0,790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,66.3,86,14,4,12,0,1.28,28,24,+4,+0.19,+0.67,32.3,20.4,+11.9,+0.58,+0.68,0.0,19.0,17.0,30.0,0.0,0.0,84.0,66.7,/es/jugadores/4c5b714f/Djibril-Sidibe
