Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
37,Lucas França,Goalkeeper,"Jan 19, 1996 (29)",Brazil,"1,94m",right,"Jul 1, 2022",,"Jun 30, 2026",€800k,https://www.transfermarkt.com/lucas-franca/profil/spieler/418615
1,Rui Encarnação,Goalkeeper,"Apr 5, 1998 (27)",Portugal,"1,85m",right,"Aug 20, 2020",,"Jun 30, 2025",€150k,https://www.transfermarkt.com/rui-encarnacao/profil/spieler/671203
12,César Augusto,Goalkeeper,"Aug 23, 2003 (21)","Brazil, Italy","1,94m",right,"Aug 12, 2024",,"Jun 30, 2026",€100k,https://www.transfermarkt.com/cesar-augusto/profil/spieler/870390
4,Ulisses,Centre-Back,"Sep 28, 1999 (25)",Brazil,"1,86m",right,"Jul 16, 2024",,"Jun 30, 2028",€1.00m,https://www.transfermarkt.com/ulisses/profil/spieler/678991
38,Zé Vítor,Centre-Back,"Feb 9, 2001 (24)",Brazil,"1,89m",left,"Jul 4, 2024",,"Jun 30, 2027",€1.00m,https://www.transfermarkt.com/ze-vitor/profil/spieler/879236
34,Léo Santos,Centre-Back,"Dec 9, 1998 (26)",Brazil,"1,86m",right,"Aug 27, 2024",,"Jun 30, 2027",€600k,https://www.transfermarkt.com/leo-santos/profil/spieler/351894
14,Ivanildo Fernandes,Centre-Back,"Mar 26, 1996 (29)","Cape Verde, Portugal","1,94m",left,"Jan 22, 2025",,"Jun 30, 2027",€300k,https://www.transfermarkt.com/ivanildo-fernandes/profil/spieler/340524
33,Chico Gonçalves,Centre-Back,"Mar 5, 2004 (21)",Portugal,"1,88m",right,"Jul 1, 2023",,"Jun 30, 2029",€300k,https://www.transfermarkt.com/chico-goncalves/profil/spieler/1020652
14,Lucas Oliveira,Centre-Back,"Feb 5, 2004 (21)",Brazil,"1,95m",right,"Jan 1, 2023",,"Jun 30, 2025",€50k,https://www.transfermarkt.com/lucas-oliveira/profil/spieler/1099788
5,José Gomes,Left-Back,"Jul 20, 1996 (28)",Portugal,"1,85m",left,"Jul 7, 2021",,"Jun 30, 2027",€600k,https://www.transfermarkt.com/jose-gomes/profil/spieler/305946
22,Garcia,Right-Back,"Jan 4, 2002 (23)",Brazil,"1,75m",right,"Jul 16, 2024",,"Jun 30, 2025",€2.00m,https://www.transfermarkt.com/garcia/profil/spieler/574758
2,João Aurélio,Right-Back,"Aug 17, 1988 (36)",Portugal,"1,82m",right,"Jul 1, 2022",,"Jun 30, 2025",€75k,https://www.transfermarkt.com/joao-aurelio/profil/spieler/84711
88,Matheus Dias,Defensive Midfield,"May 9, 2002 (22)",Brazil,"1,87m",right,"Aug 1, 2024",,"Jun 30, 2025",€1.80m,https://www.transfermarkt.com/matheus-dias/profil/spieler/815384
27,Djibril Soumaré,Defensive Midfield,"Jan 7, 2003 (22)",Senegal,"1,89m",left,"Jul 16, 2024",,"Jun 30, 2025",€1.00m,https://www.transfermarkt.com/djibril-soumare/profil/spieler/1041532
8,Bruno Costa,Central Midfield,"Apr 19, 1997 (28)",Portugal,"1,74m",right,"Jul 28, 2024",,"Jun 30, 2026",€500k,https://www.transfermarkt.com/bruno-costa/profil/spieler/344519
18,André Sousa,Central Midfield,"Jul 9, 1990 (34)",Portugal,"1,81m",left,"Jul 3, 2023",,"Jun 30, 2025",€75k,https://www.transfermarkt.com/andre-sousa/profil/spieler/187860
10,Luís Esteves,Attacking Midfield,"Apr 9, 1998 (27)",Portugal,"1,73m",right,"Jul 4, 2022",,"Jun 30, 2025",€800k,https://www.transfermarkt.com/luis-esteves/profil/spieler/609518
17,Daniel Penha,Attacking Midfield,"Oct 17, 1998 (26)",Brazil,"1,70m",left,"Jul 15, 2024",,"Jun 30, 2025",€750k,https://www.transfermarkt.com/daniel-penha/profil/spieler/468256
15,Chiheb Labidi,Attacking Midfield,"Jun 1, 2001 (23)",Tunisia,"1,90m",left,"Sep 2, 2024",,"Jun 30, 2027",€500k,https://www.transfermarkt.com/chiheb-labidi/profil/spieler/673511
19,Miguel Baeza,Attacking Midfield,"Mar 27, 2000 (25)",Spain,"1,77m",left,"Jul 16, 2024",,"Jun 30, 2025",€400k,https://www.transfermarkt.com/miguel-baeza/profil/spieler/523977
20,Jota,Attacking Midfield,"Mar 7, 1993 (32)",Portugal,"1,73m",right,"Jul 1, 2021",,"Jun 30, 2025",€75k,https://www.transfermarkt.com/jota/profil/spieler/213510
98,Paulinho,Left Winger,"Jun 26, 1998 (26)",Brazil,"1,71m",right,"Jan 6, 2025",,"Jun 30, 2025",€700k,https://www.transfermarkt.com/paulinho/profil/spieler/544895
7,Rúben Macedo,Left Winger,"Mar 9, 1996 (29)","Portugal, Switzerland","1,71m",right,"Jan 31, 2022",,"Jun 30, 2025",€450k,https://www.transfermarkt.com/ruben-macedo/profil/spieler/225119
71,Fuki Yamada,Right Winger,"Jul 10, 2001 (23)",Japan,"1,81m",left,"Jan 6, 2025",,"Jun 30, 2025",€700k,https://www.transfermarkt.com/fuki-yamada/profil/spieler/432400
70,Arvin Appiah,Right Winger,"Jan 5, 2001 (24)","England, Netherlands","1,77m",left,"Jul 30, 2024",,"Jun 30, 2025",€400k,https://www.transfermarkt.com/arvin-appiah/profil/spieler/433257
23,Isaac,Centre-Forward,"Mar 26, 2004 (21)","Brazil, Croatia","1,85m",both,"Aug 5, 2024",,"Jun 30, 2025",€600k,https://www.transfermarkt.com/isaac/profil/spieler/1083069
99,Dudu Teodora,Centre-Forward,"Aug 10, 1999 (25)",Brazil,"1,79m",right,"Feb 1, 2021",,"Jun 30, 2025",€600k,https://www.transfermarkt.com/dudu-teodora/profil/spieler/594561
95,Joel Tagueu,Centre-Forward,"Dec 6, 1993 (31)","Cameroon, Brazil","1,78m",left,"Jan 1, 2025",,"Jun 30, 2025",€350k,https://www.transfermarkt.com/joel-tagueu/profil/spieler/184928
81,Dyego Sousa,Centre-Forward,"Sep 14, 1989 (35)","Portugal, Brazil","1,89m",right,"Aug 31, 2024",,"Jun 30, 2025",€100k,https://www.transfermarkt.com/dyego-sousa/profil/spieler/157036
