Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
27,Joel Robles,Goalkeeper,"Jun 17, 1990 (34)",Spain,"1,94m",right,"Jul 31, 2024",,"Jun 30, 2028",€600k,https://www.transfermarkt.com/joel-robles/profil/spieler/101118
1,Kevin Chamorro,Goalkeeper,"Apr 8, 2000 (25)","Costa Rica, Nicaragua","1,87m",left,"Jul 10, 2024",,"Jun 30, 2025",€300k,https://www.transfermarkt.com/kevin-chamorro/profil/spieler/378521
44,Kévin Boma,Centre-Back,"Nov 20, 2002 (22)","Togo, France","1,93m",right,"Jul 1, 2024",,"Jun 30, 2028",€2.50m,https://www.transfermarkt.com/kevin-boma/profil/spieler/709727
23,Pedro Álvaro,Centre-Back,"Mar 2, 2000 (25)",Portugal,"1,87m",right,"Jul 3, 2022",,"Jun 30, 2025",€1.50m,https://www.transfermarkt.com/pedro-alvaro/profil/spieler/375376
25,Felix Bacher,Centre-Back,"Oct 25, 2000 (24)",Austria,"1,90m",right,"Jul 25, 2024",,"Jun 30, 2028",€1.00m,https://www.transfermarkt.com/felix-bacher/profil/spieler/394134
5,Eliaquim Mangala,Centre-Back,"Feb 13, 1991 (34)","France, Belgium","1,87m",left,"Aug 7, 2023",,"Jun 30, 2025",€350k,https://www.transfermarkt.com/eliaquim-mangala/profil/spieler/90681
24,Pedro Amaral,Left-Back,"Aug 25, 1997 (27)",Portugal,"1,78m",left,"Jul 9, 2024",,"Jun 30, 2026",€1.00m,https://www.transfermarkt.com/pedro-amaral/profil/spieler/319623
18,Gonçalo Costa,Left-Back,"Feb 18, 2000 (25)",Portugal,"1,79m",left,"Jul 31, 2024",,"Jun 30, 2028",€500k,https://www.transfermarkt.com/goncalo-costa/profil/spieler/383014
20,Wagner Pina,Right-Back,"Nov 3, 2002 (22)","Cape Verde, Portugal","1,80m",right,"Oct 20, 2023",,"Jun 30, 2027",€5.00m,https://www.transfermarkt.com/wagner-pina/profil/spieler/1072017
22,Pedro Carvalho,Right-Back,"Feb 14, 2003 (22)",Portugal,"1,69m",right,"Jul 24, 2024",,"Jun 30, 2028",€300k,https://www.transfermarkt.com/pedro-carvalho/profil/spieler/1072238
7,Zanocelo,Defensive Midfield,"Jan 30, 2001 (24)",Brazil,"1,85m",right,"Jan 30, 2024",,"Jun 30, 2025",€2.50m,https://www.transfermarkt.com/zanocelo/profil/spieler/646404
10,Jordan Holsgrove,Defensive Midfield,"Sep 10, 1999 (25)","Scotland, England","1,80m",left,"Aug 13, 2024",,"Jun 30, 2028",€2.50m,https://www.transfermarkt.com/jordan-holsgrove/profil/spieler/429309
88,Xeka,Central Midfield,"Nov 10, 1994 (30)",Portugal,"1,85m",both,"Aug 15, 2024",,"Jun 30, 2025",€2.00m,https://www.transfermarkt.com/xeka/profil/spieler/290256
6,Jandro Orellana,Central Midfield,"Aug 7, 2000 (24)",Spain,"1,76m",right,"Jul 8, 2024",,"Jun 30, 2027",€1.20m,https://www.transfermarkt.com/jandro-orellana/profil/spieler/388548
12,João Carvalho,Attacking Midfield,"Mar 9, 1997 (28)",Portugal,"1,72m",right,"Aug 16, 2024",,"Jun 30, 2027",€2.00m,https://www.transfermarkt.com/joao-carvalho/profil/spieler/258005
26,Foe Ondoa,Attacking Midfield,"Dec 12, 2005 (19)","France, Cameroon","1,83m",right,"Sep 2, 2024",,"Jun 30, 2028",€400k,https://www.transfermarkt.com/foe-ondoa/profil/spieler/1143375
19,André Lacximicant,Left Winger,"May 19, 2001 (23)",Portugal,"1,88m",left,"Jul 25, 2024",,"Jun 30, 2028",€600k,https://www.transfermarkt.com/andre-lacximicant/profil/spieler/752442
99,Rafik Guitane,Right Winger,"May 26, 1999 (25)","Algeria, France","1,70m",left,"Jul 23, 2023",,"Jun 30, 2026",€5.00m,https://www.transfermarkt.com/rafik-guitane/profil/spieler/394328
17,Fabrício Garcia,Right Winger,"May 4, 2001 (24)",Cape Verde,"1,72m",left,"Jul 1, 2024",,"Jun 30, 2026",€800k,https://www.transfermarkt.com/fabricio-garcia/profil/spieler/1070645
9,Alejandro Marqués,Centre-Forward,"Aug 4, 2000 (24)","Venezuela, Spain","1,89m",right,"Jul 27, 2023",,"Jun 30, 2026",€1.50m,https://www.transfermarkt.com/alejandro-marques/profil/spieler/525602
14,Yanis Begraoui,Centre-Forward,"Jul 4, 2001 (23)","Morocco, France","1,79m",both,"Jul 1, 2024",,"Jun 30, 2028",€1.50m,https://www.transfermarkt.com/yanis-begraoui/profil/spieler/569376
92,Israel Salazar,Centre-Forward,"May 10, 2003 (21)",Spain,"1,78m",right,"Aug 15, 2024",,"Jun 30, 2028",€200k,https://www.transfermarkt.com/israel-salazar/profil/spieler/634430
