Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,19,Braga,ptPOR,1.Primeira Liga,,,,,,,,,,,,,,,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,29.0,18.0,18.0,3.0,16.0,24.0,66.7,8.0,24.0,3.0,21.0,34.0,73.0,24.0,0.0,498.0,684.0,72.8,9940.0,3631.0,165.0,222.0,74.3,258.0,322.0,80.1,72.0,112.0,64.3,0.0,1.0,0.7,-1.0,9.0,68.0,3.0,0.0,96.0,684.0,670.0,13.0,11.0,3.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,498.0,1.0,18.0,31.0,185.0,564.0,123.0,17.0,851.0,18.0,15.0,83.3,3.0,16.7,458.0,2482.0,973.0,16.0,17.0,3.0,25.0,29.0,504.0,24.0,3.0,20.0,7.0,35.0,1.22,0.43,0.15,0.43,24.8,0.0,0.0,0.0,0.7,0.7,0.04,2.3,2.3,27.0,1.64,24.0,0.0,1.0,1.0,0.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,,6.0,0.0,0.0,27.0,28.0,0.0,6.0,34.0,29.0,0.0,0.0,0.0,131.0,47.0,25.0,65.3,"€ 7,500(£ 6,515, $8,220)","€ 390,000(£ 338,764, $427,431)",Estimación no verificada,https://fbref.com/es/jugadores/bcfc4473/Mamadou-Loum
2017-2018,20,Braga,ptPOR,1.Primeira Liga,,,,,,,,,,,,,,,0,0,17.0,"1,478",16.4,3.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,0.7,0.7,1.0,1.7,16.0,96.0,24.0,0.18,0.0,0.18,0.18,0.18,0.05,0.06,0.1,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,81.8,260.0,52.0,8.0,9.0,88.9,9.0,11.0,81.8,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,6.0,16.0,1.0,0.0,22.0,0.0,0.0,,0.0,,14.0,70.0,15.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,478",87.0,48.3,16.4,17.0,87.0,14.0,0.0,,0.0,1.82,18.0,20.0,-2.0,-0.12,0.05,17.4,23.6,-6.2,-0.38,-0.04,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
2018-2019,21,Moreirense,ptPOR,1.Primeira Liga,17.0,"1,478",3.0,0.0,,,,,,,,,17.0,"1,478",3,0,0.0,20,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,1.0,6.0,16.7,5.0,6.0,2.0,4.0,7.0,11.0,7.0,0.0,120.0,160.0,75.0,1766.0,402.0,65.0,84.0,77.4,44.0,56.0,78.6,5.0,9.0,55.6,0.0,0.1,0.2,-0.1,2.0,8.0,1.0,0.0,12.0,160.0,156.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,2.0,11.0,44.0,128.0,30.0,4.0,198.0,6.0,4.0,66.7,2.0,33.3,78.0,393.0,173.0,3.0,1.0,0.0,3.0,2.0,118.0,4.0,1.0,5.0,2.0,40.0,1.25,0.5,0.2,0.5,18.7,0.0,0.0,0.0,0.3,0.3,0.05,0.7,0.7,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,10.0,0.7,0.2,0.0,,0.0,2.0,9.0,2.0,3.0,1.0,0.0,1.0,4.5,2.93,0.9,0.2,0.8,3.41,1.94,0.0,0.0,0.0,12.0,3.0,2.0,0.0,7.0,2.0,0.0,0.0,0.0,26.0,15.0,6.0,71.4,,,,
2018-2019,21,Porto,ptPOR,1.Primeira Liga,2.0,20,0.0,0.0,,,,,,,,,2.0,20,0,0,4.0,360,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,3.0,12.0,4.0,0.25,0.0,0.25,0.25,0.25,0.06,0.03,0.09,0.06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,75.0,34.0,3.0,2.0,2.0,100.0,1.0,2.0,50.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,5.0,1.0,1.0,100.0,0.0,0.0,3.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360,60.0,11.8,4.0,4.0,83.0,3.0,2.0,14.0,9.0,2.67,8.0,1.0,7.0,1.75,0.25,5.4,2.4,2.9,0.74,-0.51,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,
2019-2020,22,Porto,ptPOR,1.Primeira Liga,6.0,360,1.0,0.0,,,,,1.0,73.0,0.0,0.0,7.0,433,1,0,0.0,8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,22.0,26.0,22.0,1.0,17.0,45.0,37.8,28.0,30.0,11.0,19.0,37.0,86.0,68.0,1.0,606.0,835.0,72.6,11052.0,3266.0,259.0,331.0,78.2,265.0,333.0,79.6,75.0,129.0,58.1,0.0,0.6,0.5,-0.6,9.0,60.0,3.0,1.0,72.0,835.0,825.0,9.0,9.0,4.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,606.0,1.0,16.0,89.0,328.0,721.0,138.0,29.0,1174.0,42.0,26.0,61.9,16.0,38.1,551.0,2510.0,1091.0,13.0,14.0,2.0,47.0,25.0,589.0,14.0,2.0,33.0,8.0,24.2,1.28,0.31,0.06,0.25,21.3,0.0,0.0,0.0,2.9,2.9,0.09,-0.9,-0.9,22.0,0.86,15.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3.0,0.3,0.1,0.0,,0.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,11.25,9.95,0.8,0.1,0.7,7.99,6.97,10.0,0.0,0.0,50.0,22.0,1.0,4.0,37.0,22.0,0.0,0.0,0.0,160.0,100.0,42.0,70.4,,,,
2020-2021,23,Porto,ptPOR,1.Primeira Liga,3.0,8,0.0,0.0,,,,,3.0,5.0,0.0,0.0,6.0,13,0,0,26.0,"2,312",25.7,2.0,0.0,2.0,2.0,0.0,0.0,10.0,0.0,2.9,2.9,0.6,3.4,13.0,72.0,14.0,0.08,0.0,0.08,0.08,0.08,0.11,0.02,0.13,0.11,0.13,58.0,27.0,26.0,29.0,3.0,21.0,46.0,45.7,25.0,31.0,5.0,26.0,27.0,85.0,52.0,1.0,609.0,810.0,75.2,10006.0,2875.0,287.0,336.0,85.4,268.0,339.0,79.1,37.0,83.0,44.6,1.0,0.3,0.7,0.7,5.0,52.0,5.0,0.0,65.0,810.0,804.0,3.0,3.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,609.0,3.0,15.0,74.0,289.0,706.0,129.0,18.0,1110.0,56.0,29.0,51.8,18.0,32.1,478.0,2339.0,957.0,13.0,15.0,1.0,45.0,14.0,561.0,18.0,1.0,24.0,5.0,20.8,1.06,0.22,0.04,0.2,22.6,0.0,0.0,0.0,1.2,1.2,0.05,-0.2,-0.2,22.0,0.97,17.0,0.0,1.0,3.0,1.0,0.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,"2,312",72.0,67.6,25.7,26.0,84.0,16.0,6.0,23.0,0.0,0.91,27.0,43.0,-16.0,-0.62,0.84,28.9,37.7,-8.8,-0.34,0.54,11.0,1.0,0.0,45.0,26.0,0.0,3.0,27.0,27.0,0.0,1.0,0.0,175.0,57.0,31.0,64.8,,,,
2021-2022,24,Alavés,esESP,1.La Liga,32.0,"2,312",2.0,0.0,,,,,,,,,32.0,"2,312",2,0,23.0,"2,033",22.6,1.0,1.0,2.0,1.0,0.0,0.0,11.0,1.0,1.2,1.2,0.3,1.5,13.0,65.0,18.0,0.04,0.04,0.09,0.04,0.09,0.05,0.01,0.07,0.05,0.07,,16.0,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,21.0,5.0,23.8,0.78,0.18,0.05,0.2,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,033",70.0,49.1,22.6,23.0,83.0,16.0,6.0,20.0,3.0,1.17,24.0,40.0,-16.0,-0.71,-0.45,20.8,31.0,-10.2,-0.45,-0.12,6.0,1.0,1.0,33.0,14.0,1.0,2.0,16.0,16.0,,,0.0,,,,,,,,
2022-2023,25,Reading,engENG,2.Championship,29.0,"2,033",1.0,1.0,3.0,196.0,0.0,0.0,,,,,32.0,"2,229",1,1,27.0,"2,438",27.1,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,,,,,,,,0.04,0.0,0.04,0.04,0.04,,,,,,15.0,8.0,8.0,6.0,1.0,11.0,21.0,52.4,10.0,7.0,4.0,3.0,10.0,25.0,37.0,1.0,330.0,391.0,84.4,5927.0,1690.0,132.0,154.0,85.7,164.0,186.0,88.2,32.0,40.0,80.0,0.0,0.5,0.3,-0.5,4.0,26.0,1.0,1.0,42.0,391.0,376.0,14.0,10.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,330.0,1.0,6.0,53.0,169.0,301.0,39.0,8.0,506.0,8.0,3.0,37.5,4.0,50.0,235.0,845.0,337.0,5.0,4.0,0.0,8.0,6.0,291.0,2.0,0.0,11.0,1.0,9.1,1.42,0.13,0.0,0.0,24.5,0.0,0.0,0.0,0.4,0.4,0.03,-0.4,-0.4,13.0,1.68,9.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,438",84.0,79.7,27.1,27.0,90.0,24.0,2.0,9.0,0.0,1.07,34.0,41.0,-7.0,-0.26,-0.11,,,,,,4.0,1.0,0.0,16.0,7.0,0.0,1.0,10.0,8.0,0.0,0.0,0.0,52.0,20.0,17.0,54.1,,,,
2023-2024,26,Al-Raed,saKSA,1.Pro League,29.0,"2,438",1.0,0.0,,,,,,,,,29.0,"2,438",1,0,7.0,696,7.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.4,0.4,0.5,0.9,5.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.12,0.05,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696,37.0,24.9,7.7,7.0,73.0,2.0,12.0,16.0,6.0,1.16,5.0,18.0,-13.0,-1.68,-1.51,8.9,12.5,-3.5,-0.45,-0.34,,,,,,,,,,,,,,,,,,,,
2024-2025,27,Arouca,ptPOR,1.Primeira Liga,19.0,696,0.0,0.0,,,,,,,,,19.0,696,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
