Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2009-2010,18,Sedan,frFRA,2.Ligue 2,2,41,0,0,,,,,,,,,2,41,0,0,0,41,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,41,21,1.2,0.5,0,,,2,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,"€ 10,192(£ 8,853, $11,171)","€ 530,000(£ 460,371, $580,868)",Estimación no verificada,https://fbref.com/es/jugadores/23c5db70/Abdoulay-Diaby
2010-2011,19,Sedan,frFRA,2.Ligue 2,10,277,2,1,,,,,,,,,10,277,2,1,1,277,3.1,2,1,3,2,0,0,1,0,,,,,,,,0.65,0.32,0.97,0.65,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,,,1.3,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,277,28,8.1,3.1,1,,,9,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,"€ 28,462(£ 24,722, $31,193)","€ 1,480,000(£ 1,285,564, $1,622,048)",Estimación no verificada,https://fbref.com/es/jugadores/23c5db70/Abdoulay-Diaby
2011-2012,20,Sedan,frFRA,2.Ligue 2,28,"1,309",7,1,,,,,,,,,28,"1,309",7,1,12,"1,309",14.5,7,1,8,7,0,0,4,0,,,,,,,,0.48,0.07,0.55,0.48,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,13,,,0.89,,0.54,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,309",47,38.3,14.5,12,,,16,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,,,,
2012-2013,21,Sedan,frFRA,2.Ligue 2,26,"1,987",7,2,,,,,,,,,26,"1,987",7,2,25,"1,987",22.1,7,2,9,7,0,0,4,1,,,,,,,,0.32,0.09,0.41,0.32,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,20,,,0.91,,0.35,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,987",76,58.1,22.1,25,,,1,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,
2014-2015,23,Lille,frFRA,1.Ligue 1,3,28,0,0,,,,,,,,,3,28,0,0,0,28,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,28,9,0.8,0.3,0,,0.0,3,,4.0,3.0,0.0,0.0,0.0,0.0,-0.03,,,,,,0,0,,0.0,,,,,,,,,,,,,,,,
2014-2015,23,RE Mouscron,beBEL,1.Pro League,21,"1,809",12,5,,,,,,,,,21,"1,809",12,5,20,"1,809",20.1,12,5,17,12,0,0,3,0,,,,,,,,0.6,0.25,0.85,0.6,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,22,,,1.09,,0.55,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,809",86,55.8,20.1,20,,16.0,1,,0.0,1.1,30.0,32.0,-2.0,-0.1,0.91,,,,,,3,0,,,,,,,,,,,,,,,,,,
2015-2016,24,Club Brugge,beBEL,1.Pro League,32,"2,039",16,5,,,,,5.0,285.0,0.0,1.0,37,"2,324",16,6,24,"2,039",22.7,16,5,21,14,2,2,4,0,,,,,,,,0.71,0.22,0.93,0.62,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,35,,,1.54,,0.4,,,2,2,,,,,,,,,,,,,,,,,,,,,,"2,039",64,56.6,22.7,24,,5.0,8,,3.0,2.22,54.0,20.0,34.0,1.5,0.58,,,,,,4,0,,34.0,,,,,,,,,,,,,,,,
2016-2017,25,Club Brugge,beBEL,1.First Division A,16,710,0,1,,,,,2.0,108.0,0.0,0.0,18,818,0,1,6,710,7.9,0,1,1,0,0,0,1,0,,,,,,,,0.0,0.13,0.13,0.0,0.13,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,9,,0.0,1.14,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,710,44,19.7,7.9,6,,3.0,10,,4.0,1.81,11.0,7.0,4.0,0.51,-0.43,,,,,,1,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2017-2018,26,Club Brugge,beBEL,1.First Division A,34,"2,136",15,4,,,,,,,,,34,"2,136",15,4,26,"2,136",23.7,15,4,19,14,1,1,5,0,13.2,12.4,5.5,17.9,58.0,54.0,197.0,0.63,0.17,0.8,0.59,0.76,0.56,0.23,0.79,0.52,0.75,14.0,12.0,5.0,6.0,3.0,2.0,18.0,11.1,16.0,15.0,0.0,15.0,5.0,19.0,2.0,0.0,500.0,645.0,77.5,7637.0,1288.0,266.0,334.0,79.6,188.0,225.0,83.6,31.0,42.0,73.8,4,5.5,4.6,-1.5,36.0,33.0,16.0,1.0,54.0,645.0,597.0,43.0,1.0,3.0,3.0,16.0,9.0,1.0,0.0,0.0,0.0,500.0,5.0,19.0,3.0,25.0,320.0,516.0,139.0,851.0,49.0,31.0,63.3,18.0,36.7,531.0,3205.0,1261.0,58.0,28.0,34.0,52.0,42.0,706.0,197.0,15,77.0,35,45.5,3.24,1.47,0.18,0.4,14.6,0.0,1,1,13.2,12.4,0.16,1.8,1.6,95.0,4.0,61.0,0.0,12.0,11.0,11.0,0.0,13.0,0.55,7.0,0.0,2.0,0.0,4.0,0.0,"2,136",63,59.3,23.7,26,,7.0,8,,1.0,2.0,56.0,28.0,28.0,1.18,0.44,48.6,23.8,24.8,1.04,0.63,5,0,0.0,39.0,43.0,21.0,16.0,5.0,12.0,4.0,0.0,0.0,66.0,13.0,38.0,25.5,,,,
2018-2019,27,Sporting CP,ptPOR,1.Primeira Liga,29,"1,726",2,3,,,,,6.0,323.0,2.0,0.0,35,"2,049",4,3,19,"1,726",19.2,2,3,5,2,0,0,3,0,5.2,5.2,1.4,6.6,59.0,57.0,174.0,0.1,0.16,0.26,0.1,0.26,0.27,0.07,0.34,0.27,0.34,26.0,15.0,9.0,12.0,5.0,3.0,24.0,12.5,21.0,14.0,0.0,14.0,11.0,37.0,10.0,0.0,435.0,563.0,77.3,6276.0,1345.0,241.0,300.0,80.3,145.0,170.0,85.3,23.0,41.0,56.1,3,1.4,1.9,1.6,13.0,33.0,14.0,2.0,57.0,563.0,547.0,13.0,5.0,0.0,5.0,25.0,7.0,1.0,0.0,0.0,0.0,435.0,3.0,16.0,5.0,72.0,310.0,367.0,79.0,740.0,36.0,21.0,58.3,15.0,41.7,500.0,2890.0,1398.0,59.0,24.0,19.0,37.0,40.0,593.0,174.0,2,37.0,10,27.0,1.93,0.52,0.05,0.2,13.4,0.0,0,0,5.2,5.2,0.14,-3.2,-3.2,70.0,3.65,47.0,2.0,5.0,8.0,6.0,2.0,12.0,0.63,8.0,0.0,1.0,0.0,3.0,0.0,"1,726",60,56.4,19.2,19,83.0,9.0,10,15.0,1.0,2.1,45.0,18.0,27.0,1.41,0.6,36.2,19.9,16.3,0.85,0.34,3,0,0.0,40.0,25.0,8.0,25.0,11.0,15.0,2.0,0.0,0.0,68.0,16.0,31.0,34.0,,,,
