Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Partidos,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Tkl,Tkl(Derribos),3.º def.,3.º cent.,3.º ataq.,Tkl(Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),xA,A-xAG,PC,1/3,PPA,CrAP,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,npxG/Sh,G-xG,np:G-xG,Toques,Ataq. pen.,Succ,Exitosa%,Tkld,Tkld%,Transportes,TAP,Errores de control,Des,Rec,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,% Salvadas_penales,TL,TE,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),TI,%deLanzamientos,Long. prom.,%deLanzamientos (Saques de meta),Long. prom. (Saques de meta),Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera (expected),2a amarilla,Fls,FR,TklG,Penal ejecutado,Penal concedido,Recup.,% de ganados,link
Ricardo Horta,ptPOR,"CC,DL",30-226,31,29,"2,567",28.5,9,4,13,9,0,0,2,0,6.6,6.6,4.7,11.2,25,108,148,0.32,0.14,0.46,0.32,0.46,0.23,0.16,0.39,0.23,0.39,Partidos,93,3.26,57,24,1,7,4,0,9,0.32,5,2,0,1,1,0,40,25,9,20,11,12,35,34.3,23,20,3,17,8,48,21,0,851,1061,80.2,13316,3270,471,530,88.9,277,329,84.2,73,129,56.6,4.0,-0.7,50,81,27,5,919,131,28,4,4,85,29,47,20,17,1,11,18,40.9,1.54,0.63,0.20,0.50,15.5,0.15,+2.4,+2.4,1284,92,11,39.3,13,46.4,649,7,30,20,871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,92.0,86,19,2,34,0,2.06,47,24,+23,+0.81,-0.40,39.6,29.3,+10.3,+0.36,-1.45,0,22,30,25,0,0,75,16.7,/es/jugadores/6603fed7/Ricardo-Horta
Sikou Niakaté,mlMLI,DF,25-293,21,19,"1,706",19.0,1,1,2,1,0,0,4,0,1.0,1.0,0.9,1.9,9,89,4,0.05,0.05,0.11,0.05,0.11,0.05,0.05,0.10,0.05,0.10,Partidos,20,1.05,16,0,0,4,0,0,2,0.11,0,0,0,2,0,0,13,8,7,6,0,6,12,50.0,6,11,8,3,31,44,80,3,1128,1296,87.0,21650,7874,357,382,93.5,645,688,93.8,106,190,55.8,0.6,+0.1,6,98,2,1,1252,40,36,2,1,4,2,0,0,0,0,4,3,27.3,0.58,0.16,0.09,0.33,9.9,0.09,0.0,0.0,1478,20,4,66.7,2,33.3,942,0,13,2,1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,61.1,86,17,2,35,2,1.95,38,19,+19,+1.00,+0.42,36.1,18.8,+17.3,+0.91,+1.12,0,20,14,8,0,0,91,69.5,/es/jugadores/8eef18aa/Sikou-Niakate
Roger Fernandes,gwGNB,"DL,CC",19-159,25,19,"1,539",17.1,3,3,6,3,0,0,2,0,2.6,2.6,3.5,6.1,78,47,161,0.18,0.18,0.35,0.18,0.35,0.15,0.20,0.36,0.15,0.36,Partidos,65,3.80,34,13,5,8,4,1,6,0.35,3,1,0,1,0,1,34,15,16,14,4,14,26,53.8,12,19,0,19,18,52,18,1,500,696,71.8,8344,1816,256,298,85.9,186,250,74.4,49,108,45.4,3.8,-0.5,31,21,21,6,622,71,17,1,6,106,21,33,22,2,1,3,21,50.0,2.46,1.23,0.07,0.14,19.5,0.07,+0.4,+0.4,923,67,29,49.2,26,44.1,596,34,41,20,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,55.2,73,7,6,24,1,1.92,25,12,+13,+0.76,-0.18,26.8,16.5,+10.3,+0.60,+0.28,0,23,31,15,0,0,94,30.8,/es/jugadores/de8f6250/Roger-Fernandes
Paulo Oliveira,ptPOR,DF,33-111,19,19,"1,530",17.0,1,0,1,1,0,0,5,0,2.0,2.0,0.0,2.1,2,46,1,0.06,0.00,0.06,0.06,0.06,0.12,0.00,0.12,0.12,0.12,Partidos,11,0.65,8,1,0,2,0,0,2,0.12,2,0,0,0,0,0,22,12,15,7,0,7,10,70.0,3,21,13,8,24,46,114,1,904,1058,85.4,18571,6165,228,245,93.1,582,631,92.2,92,165,55.8,0.4,0.0,1,52,0,0,1029,28,27,0,4,1,1,0,0,0,0,1,4,30.8,0.76,0.24,0.08,0.25,12.0,0.16,-1.0,-1.0,1268,16,1,100.0,0,0.0,758,0,5,1,868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,54.8,81,14,0,,3,2.16,28,15,+13,+0.76,-0.16,21.6,15.1,+6.5,+0.38,-0.22,0,21,5,12,0,1,59,57.4,/es/jugadores/a8fbae1d/Paulo-Oliveira
Victor Gomez,esESP,DF,25-028,24,18,"1,650",18.3,0,1,1,0,0,0,1,0,0.3,0.3,1.4,1.7,30,106,134,0.00,0.05,0.05,0.00,0.05,0.02,0.08,0.09,0.02,0.09,Partidos,41,2.24,36,0,1,1,1,2,8,0.44,7,0,0,0,1,0,37,24,18,15,4,21,38,55.3,17,17,3,14,26,63,62,0,914,1155,79.1,16971,5764,359,404,88.9,450,528,85.2,93,173,53.8,1.1,-0.4,17,84,30,11,940,211,29,1,5,70,180,2,0,2,0,4,1,11.1,0.49,0.05,0.00,0.00,20.0,0.03,-0.3,-0.3,1329,15,3,37.5,4,50.0,627,1,13,2,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,59.1,88,14,6,12,5,2.17,30,16,+14,+0.76,-0.18,21.5,18.4,+3.2,+0.17,-0.75,0,14,18,24,0,0,80,50.0,/es/jugadores/b7de5bad/Victor-Gomez
Vitor Carvalho,brBRA,CC,27-337,22,18,"1,482",16.5,0,0,0,0,0,0,3,0,1.0,1.0,0.6,1.6,13,80,19,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.10,0.06,0.10,Partidos,26,1.58,23,0,0,2,1,0,4,0.24,4,0,0,0,0,0,33,20,10,20,3,18,31,58.1,13,13,3,10,22,55,28,0,706,864,81.7,13278,2839,263,307,85.7,344,395,87.1,85,123,69.1,0.9,-0.6,8,62,5,0,842,18,13,3,6,3,4,0,0,0,0,4,1,5.3,1.15,0.06,0.00,0.00,15.8,0.05,-1.0,-1.0,1035,18,5,55.6,4,44.4,525,1,15,8,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,53.1,80,11,4,9,2,2.09,29,16,+13,+0.79,-0.11,28.5,16.8,+11.7,+0.71,+0.50,0,39,18,20,0,0,81,60.0,/es/jugadores/adc77724/Vitor-Carvalho
Matheus,brBRA,PO,32-284,17,17,"1,530",17.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos,4,0.24,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2,1,2,0,0,2,5,40.0,3,1,0,1,0,2,5,0,436,584,74.7,10760,7180,84,86,97.7,247,250,98.8,105,247,42.5,0.0,0.0,1,10,0,0,432,152,46,0,2,0,0,0,0,0,0,0,0,,0.00,0.00,,,,,0.0,0.0,616,0,0,,0,,365,0,0,0,310,19.0,1.12,65.0,47.0,73.8,9.0,4.0,4.0,7.0,41.2,2.0,2.0,2.0,2.0,0.0,0.0,2.0,17.6,0.24,-0.4,-0.02,478.0,72.0,28.5,31.9,29.2,31.6,183.0,9.0,4.9,25.0,1.47,17.4,90,54.8,90,17,0,,1,1.82,30,19,+11,+0.65,-0.42,30.6,18.7,+11.9,+0.70,+0.49,0,0,5,1,0,0,23,66.7,/es/jugadores/ef3909cd/Matheus
João Moutinho,ptPOR,CC,38-233,19,16,"1,421",15.8,1,2,3,1,0,0,6,1,0.3,0.3,1.1,1.4,13,122,15,0.06,0.13,0.19,0.06,0.19,0.02,0.07,0.09,0.02,0.09,Partidos,35,2.22,28,5,0,1,1,0,5,0.32,3,1,0,1,0,0,39,20,15,20,4,19,39,48.7,20,20,4,16,20,59,20,0,891,1030,86.5,16109,4606,363,391,92.8,418,455,91.9,92,152,60.5,1.6,+0.9,15,114,14,2,957,72,45,2,4,27,6,20,7,7,1,1,1,11.1,0.57,0.06,0.11,1.00,19.6,0.03,+0.7,+0.7,1156,13,9,75.0,3,25.0,624,0,7,4,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,50.9,82,6,3,38,3,2.00,24,12,+12,+0.76,-0.16,20.6,15.3,+5.3,+0.34,-0.29,1,31,16,20,0,0,92,51.4,/es/jugadores/f5a00fa4/Joao-Moutinho
Amine El Ouazzani,maMAR,DL,23-288,31,15,"1,564",17.4,7,1,8,7,0,0,1,0,6.5,6.5,1.8,8.3,12,21,67,0.40,0.06,0.46,0.40,0.46,0.37,0.10,0.48,0.37,0.48,Partidos,40,2.30,29,0,2,5,2,2,4,0.23,2,0,0,1,1,0,17,10,4,7,6,6,12,50.0,6,18,2,16,5,22,8,0,220,307,71.7,2750,584,153,185,82.7,44,66,66.7,8,11,72.7,1.7,-0.8,19,16,4,1,293,11,0,1,2,4,3,0,0,0,0,3,20,52.6,2.19,1.15,0.18,0.35,12.7,0.17,+0.5,+0.5,474,74,5,38.5,8,61.5,232,6,44,15,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,56.1,74,3,16,28,0,2.06,28,9,+19,+1.09,+0.58,27.8,16.1,+11.6,+0.67,+0.44,0,27,19,10,2,0,44,39.8,/es/jugadores/e5236aa9/Amine-El-Ouazzani
Gabri Martínez,esESP,"DL,CC",22-097,28,14,"1,522",16.9,4,2,6,4,0,0,4,0,4.6,4.1,3.8,7.9,92,61,168,0.24,0.12,0.35,0.24,0.35,0.27,0.22,0.49,0.25,0.47,Partidos,53,3.14,38,2,8,1,3,1,4,0.24,2,0,2,0,0,0,46,29,22,13,11,32,52,61.5,20,25,1,24,7,53,24,2,493,689,71.6,7716,2150,268,320,83.8,188,246,76.4,30,60,50.0,3.4,-1.8,23,31,20,1,619,68,3,4,3,50,56,9,2,0,0,2,20,55.6,2.13,1.18,0.11,0.20,17.2,0.12,-0.6,-0.1,937,94,30,44.8,35,52.2,534,52,44,29,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,54.6,79,5,14,30,3,2.11,25,18,+7,+0.41,-0.93,25.8,18.4,+7.4,+0.44,-0.09,0,18,29,29,0,0,82,30.8,/es/jugadores/0c89e00b/Gabri-Martinez
