Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2017-2018,18,Le Havre,frFRA,2.Ligue 2,18.0,461,2.0,0.0,,,,,,,,,18.0,461,2,0,2,461,5.1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,0.39,0.0,0.39,0.39,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,4.0,,,0.78,,0.5,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,461,26.0,13.5,5.1,2,,2,16,,10,1.47,7.0,5.0,2.0,0.39,-0.13,,,,,,0.0,0.0,,12.0,,,,,,,,,,,,,"€ 10,769(£ 9,354, $11,803)","€ 560,000(£ 486,430, $613,748)",Estimación no verificada,https://fbref.com/es/jugadores/7091324a/Rafik-Guitane
2018-2019,19,Rennes,frFRA,1.Ligue 1,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,66.7,109.0,10.0,6.0,10.0,60.0,2.0,2.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,12.0,4.0,16.0,1.0,0.0,0.0,1.0,100.0,12.0,79.0,47.0,2.0,1.0,0.0,2.0,1.0,12.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,11.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,0,0,,2,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"€ 23,077(£ 20,045, $25,292)","€ 1,200,000(£ 1,042,350, $1,315,174)",Estimación no verificada,https://fbref.com/es/jugadores/7091324a/Rafik-Guitane
2019-2020,20,Rennes,frFRA,1.Ligue 1,2.0,16,0.0,0.0,,,,,2.0,71.0,0.0,0.0,4.0,87,0,0,0,16,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,23.0,16.0,6.0,16.0,1.0,9.0,21.0,42.9,12.0,11.0,0.0,11.0,12.0,35.0,2.0,0.0,448.0,572.0,78.3,7235.0,1612.0,238.0,281.0,84.7,152.0,180.0,84.4,42.0,62.0,67.7,1.0,2.3,1.9,-1.3,28.0,46.0,15.0,2.0,58.0,572.0,553.0,15.0,6.0,6.0,0.0,15.0,2.0,7.0,5.0,2.0,0.0,448.0,4.0,19.0,5.0,83.0,488.0,259.0,22.0,798.0,117.0,69.0,59.0,48.0,41.0,571.0,4000.0,1933.0,55.0,50.0,9.0,59.0,45.0,618.0,63.0,0.0,11.0,5.0,45.5,0.66,0.3,0.0,0.0,19.0,0.0,0.0,0.0,1.5,1.5,0.14,-1.5,-1.5,51.0,3.06,34.0,2.0,8.0,2.0,4.0,1.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,16,8.0,0.6,0.2,0,,0,2,7.0,6,1.5,1.0,1.0,0.0,0.0,-0.5,1.1,0.1,1.0,5.89,5.68,4.0,0.0,0.0,23.0,45.0,0.0,15.0,12.0,16.0,0.0,0.0,0.0,93.0,3.0,11.0,21.4,"€ 2,115(£ 1,820, $2,313)","€ 110,000(£ 94,634, $120,281)",Estimación no verificada,https://fbref.com/es/jugadores/7091324a/Rafik-Guitane
2020-2021,21,Marítimo,ptPOR,1.Primeira Liga,26.0,"1,505",0.0,1.0,,,,,,,,,26.0,"1,505",0,1,18,"1,505",16.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.5,1.5,2.3,3.8,55.0,58.0,63.0,0.0,0.06,0.06,0.0,0.06,0.09,0.14,0.23,0.09,0.23,19.0,12.0,7.0,7.0,5.0,9.0,22.0,40.9,13.0,20.0,0.0,20.0,6.0,25.0,2.0,0.0,550.0,707.0,77.8,9460.0,2406.0,248.0,314.0,79.0,227.0,254.0,89.4,58.0,83.0,69.9,1.0,3.3,3.4,-2.3,22.0,54.0,25.0,1.0,93.0,707.0,686.0,15.0,11.0,11.0,2.0,13.0,3.0,1.0,0.0,0.0,0.0,550.0,6.0,21.0,3.0,112.0,554.0,333.0,62.0,981.0,148.0,72.0,48.6,76.0,51.4,703.0,5360.0,2639.0,81.0,55.0,23.0,66.0,44.0,772.0,91.0,4.0,20.0,10.0,50.0,0.94,0.47,0.15,0.3,17.8,0.0,1.0,1.0,2.6,1.8,0.09,1.4,1.2,61.0,2.88,40.0,0.0,6.0,4.0,10.0,1.0,6.0,0.28,2.0,0.0,1.0,1.0,2.0,0.0,"1,505",58.0,49.2,16.7,18,75.0,5,8,19.0,4,0.96,10.0,22.0,-12.0,-0.72,-0.25,16.6,18.9,-2.3,-0.14,0.58,3.0,0.0,0.0,14.0,54.0,1.0,13.0,6.0,12.0,1.0,0.0,0.0,89.0,0.0,6.0,0.0,,,,
2021-2022,22,Marítimo,ptPOR,1.Primeira Liga,29.0,"1,907",4.0,1.0,,,,,,,,,29.0,"1,907",4,1,22,"1,907",21.2,4.0,1.0,5.0,3.0,1.0,1.0,3.0,0.0,2.6,1.8,3.3,5.1,81.0,93.0,91.0,0.19,0.05,0.24,0.14,0.19,0.12,0.16,0.28,0.08,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,,0.0,,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,907",66.0,62.3,21.2,22,78.0,4,7,28.0,1,1.17,23.0,23.0,0.0,0.0,0.39,22.6,32.2,-9.7,-0.46,0.34,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
2022-2023,23,Reims,frFRA,1.Ligue 1,1.0,3,0.0,0.0,2.0,155.0,1.0,2.0,,,,,3.0,158,1,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,2.0,4.0,1.0,4.0,12.0,33.3,8.0,10.0,1.0,9.0,3.0,10.0,2.0,0.0,210.0,267.0,78.7,3635.0,908.0,111.0,124.0,89.5,57.0,70.0,81.4,34.0,47.0,72.3,1.0,1.2,1.3,-0.2,10.0,14.0,15.0,3.0,29.0,267.0,253.0,12.0,4.0,2.0,3.0,14.0,1.0,7.0,4.0,3.0,0.0,210.0,2.0,7.0,3.0,53.0,183.0,133.0,12.0,358.0,61.0,33.0,54.1,23.0,37.7,249.0,1995.0,997.0,28.0,20.0,4.0,18.0,9.0,264.0,25.0,0.0,5.0,2.0,40.0,0.57,0.23,0.0,0.0,24.6,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,25.0,2.87,16.0,3.0,3.0,1.0,1.0,1.0,3.0,0.34,3.0,0.0,0.0,0.0,0.0,0.0,3,3.0,0.1,0.0,0,,0,1,3.0,7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.03,1.0,0.0,0.0,7.0,14.0,1.0,14.0,3.0,6.0,0.0,0.0,0.0,38.0,1.0,3.0,25.0,,,,
2022-2023,23,Estoril,ptPOR,1.Primeira Liga,13.0,785,0.0,1.0,,,,,,,,,13.0,785,0,1,9,785,8.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.2,1.4,28.0,29.0,25.0,0.0,0.11,0.11,0.0,0.11,0.02,0.14,0.16,0.02,0.16,18.0,9.0,5.0,10.0,3.0,5.0,18.0,27.8,13.0,18.0,1.0,17.0,7.0,25.0,3.0,0.0,809.0,1060.0,76.3,12613.0,3236.0,444.0,518.0,85.7,292.0,378.0,77.2,50.0,92.0,54.3,3.0,5.6,5.2,-2.6,59.0,83.0,51.0,7.0,129.0,1060.0,1016.0,41.0,17.0,17.0,4.0,64.0,7.0,17.0,15.0,2.0,0.0,809.0,3.0,35.0,6.0,110.0,687.0,619.0,86.0,1379.0,196.0,108.0,55.1,76.0,38.8,965.0,7539.0,4410.0,145.0,134.0,37.0,72.0,70.0,1087.0,174.0,5.0,33.0,8.0,24.2,1.1,0.27,0.15,0.63,20.7,0.0,0.0,0.0,2.6,2.6,0.08,2.4,2.4,129.0,4.28,88.0,7.0,22.0,3.0,8.0,1.0,17.0,0.56,9.0,0.0,6.0,1.0,1.0,0.0,785,60.0,25.7,8.7,9,78.0,1,4,20.0,2,0.77,9.0,14.0,-5.0,-0.57,-0.14,8.2,16.4,-8.3,-0.95,-0.27,0.0,0.0,0.0,11.0,56.0,6.0,64.0,7.0,9.0,0.0,0.0,0.0,129.0,0.0,12.0,0.0,,,,
2023-2024,24,Estoril,ptPOR,1.Primeira Liga,33.0,"2,711",5.0,3.0,,,,,,,,,33.0,"2,711",5,3,31,"2,711",30.1,5.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,2.6,2.6,5.6,8.2,145.0,129.0,174.0,0.17,0.1,0.27,0.17,0.27,0.08,0.19,0.27,0.08,0.27,6.0,4.0,1.0,3.0,2.0,2.0,4.0,50.0,2.0,8.0,0.0,8.0,1.0,7.0,1.0,1.0,221.0,278.0,79.5,3272.0,792.0,120.0,140.0,85.7,83.0,100.0,83.0,10.0,17.0,58.8,2.0,2.1,1.7,-0.1,14.0,16.0,12.0,2.0,39.0,278.0,266.0,10.0,1.0,4.0,0.0,12.0,0.0,2.0,2.0,0.0,0.0,221.0,2.0,6.0,2.0,24.0,176.0,193.0,20.0,383.0,56.0,32.0,57.1,21.0,37.5,280.0,1852.0,789.0,20.0,30.0,6.0,25.0,33.0,319.0,57.0,0.0,8.0,1.0,12.5,0.98,0.12,0.0,0.0,23.7,0.0,0.0,0.0,0.7,0.7,0.08,-0.7,-0.7,31.0,3.79,23.0,1.0,4.0,1.0,2.0,0.0,3.0,0.37,3.0,0.0,0.0,0.0,0.0,0.0,"2,711",82.0,88.6,30.1,31,86.0,18,2,16.0,0,0.91,41.0,50.0,-9.0,-0.3,-0.3,34.6,43.4,-8.8,-0.29,0.64,0.0,0.0,0.0,4.0,21.0,4.0,12.0,1.0,4.0,0.0,0.0,0.0,38.0,3.0,4.0,42.9,,,,
2024-2025,25,Estoril,ptPOR,1.Primeira Liga,17.0,736,0.0,2.0,,,,,,,,,17.0,736,0,2,8,736,8.2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,2.1,2.8,20.0,39.0,57.0,0.0,0.24,0.24,0.0,0.24,0.08,0.26,0.34,0.08,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,110.0,0.0,1.0,1.0,100.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,6.0,0.0,0.0,,0.0,,5.0,33.0,20.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736,43.0,27.3,8.2,8,71.0,0,9,19.0,0,1.47,10.0,14.0,-4.0,-0.49,-0.21,9.8,12.6,-2.7,-0.33,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
2024-2025,25,Braga,ptPOR,1.Primeira Liga,1.0,2,0.0,0.0,,,,,1.0,45.0,0.0,0.0,2.0,47,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,0.1,0.0,0,,0,1,2.0,4,0.0,0.0,0.0,0.0,0.0,-0.84,0.0,0.0,0.0,-0.4,-0.88,,,,,,,,,,,,,,,,,,,,
