Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2017-2018,17,Arg Juniors,arARG,1.Liga Argentina,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4.0,5.0,3.0,0.0,2.0,2.0,100.0,0.0,4.0,3.0,1.0,2.0,10.0,9.0,0.0,52.0,68.0,76.5,1120.0,313.0,14.0,15.0,93.3,30.0,39.0,76.9,8.0,12.0,66.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,68.0,67.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,1.0,14.0,49.0,46.0,1.0,1.0,96.0,0.0,0.0,,0.0,,47.0,150.0,71.0,0.0,0.0,0.0,1.0,0.0,47.0,0.0,0.0,1.0,0.0,0.0,0.48,0.0,0.0,,9.2,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,1.0,0.48,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,0,0,,3,,,,,,,,,,,,2.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,5.0,2.0,4.0,33.3,"€ 16,538(£ 14,366, $18,126)","€ 860,000(£ 747,017, $942,541)",Estimación no verificada,https://fbref.com/es/jugadores/f7c491f1/Nehuen-Perez
2018-2019,18,Arg Juniors,arARG,1.Liga Argentina,3.0,186,0.0,0.0,,,,,,,,,3.0,186,0,0,2,186,2.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,38.0,26.0,25.0,12.0,1.0,17.0,26.0,65.4,9.0,29.0,25.0,4.0,25.0,63.0,87.0,0.0,1150.0,1341.0,85.8,26774.0,9307.0,213.0,236.0,90.3,716.0,769.0,93.1,214.0,322.0,66.5,0.0,0.6,0.5,-0.6,4.0,91.0,2.0,0.0,84.0,1341.0,1268.0,72.0,71.0,1.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,1150.0,1.0,6.0,159.0,803.0,723.0,23.0,14.0,1541.0,8.0,5.0,62.5,3.0,37.5,932.0,5417.0,3665.0,22.0,6.0,0.0,6.0,3.0,1083.0,3.0,1.0,9.0,1.0,11.1,0.4,0.04,0.11,1.0,9.5,0.0,0.0,0.0,1.4,1.4,0.15,-0.4,-0.4,21.0,0.94,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186,62.0,8.3,2.1,2,91.0,2,1,5.0,12,1.33,1.0,2.0,-1.0,-0.48,0.04,2.7,2.8,-0.1,-0.05,-0.1,6.0,1.0,0.0,25.0,6.0,0.0,0.0,25.0,26.0,0.0,0.0,0.0,97.0,31.0,26.0,54.4,"€ 15,962(£ 13,865, $17,494)","€ 830,000(£ 720,958, $909,662)",Estimación no verificada,https://fbref.com/es/jugadores/f7c491f1/Nehuen-Perez
2018-2019,18,Atlético Madrid,esESP,1.La Liga,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,6.0,0.0,0.0,4.0,6.0,66.7,2.0,5.0,4.0,1.0,12.0,18.0,33.0,0.0,150.0,199.0,75.4,3094.0,1049.0,48.0,55.0,87.3,84.0,98.0,85.7,17.0,42.0,40.5,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,199.0,186.0,11.0,10.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,150.0,2.0,0.0,47.0,153.0,108.0,9.0,6.0,269.0,2.0,2.0,100.0,0.0,0.0,125.0,785.0,462.0,2.0,0.0,0.0,1.0,1.0,130.0,0.0,0.0,5.0,1.0,20.0,0.61,0.12,0.0,0.0,9.8,0.0,0.0,0.0,0.7,0.7,0.13,-0.7,-0.7,1.0,0.12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,0,0,,2,,,,,,,,,,,,4.0,0.0,0.0,10.0,1.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,22.0,15.0,20.0,42.9,"€ 15,962(£ 13,732, $17,453)","€ 830,000(£ 714,058, $907,572)",Estimación no verificada,https://fbref.com/es/jugadores/f7c491f1/Nehuen-Perez
2019-2020,19,Famalicão,ptPOR,1.Primeira Liga,23.0,"2,014",1.0,0.0,,,,,,,,,23.0,"2,014",1,0,23,"2,014",22.4,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,1.4,1.4,0.6,1.9,22.0,84.0,3.0,0.04,0.0,0.04,0.04,0.04,0.06,0.02,0.09,0.06,0.09,44.0,21.0,21.0,21.0,2.0,16.0,25.0,64.0,9.0,27.0,9.0,18.0,21.0,65.0,47.0,0.0,593.0,774.0,76.6,10904.0,4448.0,248.0,282.0,87.9,265.0,322.0,82.3,64.0,131.0,48.9,1.0,0.6,0.5,0.4,6.0,43.0,1.0,0.0,40.0,774.0,630.0,141.0,31.0,0.0,12.0,2.0,106.0,0.0,0.0,0.0,0.0,593.0,3.0,10.0,117.0,435.0,462.0,80.0,20.0,969.0,15.0,7.0,46.7,8.0,53.3,437.0,2335.0,1353.0,16.0,9.0,1.0,13.0,4.0,476.0,8.0,0.0,10.0,1.0,10.0,0.53,0.05,0.0,0.0,10.5,0.0,0.0,0.0,1.1,1.1,0.12,-1.1,-1.1,17.0,0.9,12.0,4.0,1.0,0.0,0.0,0.0,3.0,0.16,2.0,1.0,0.0,0.0,0.0,0.0,"2,014",88.0,65.8,22.4,23,88.0,20,0,,3,1.74,37.0,33.0,4.0,0.18,0.35,30.0,38.3,-8.3,-0.37,-0.61,6.0,0.0,0.0,30.0,9.0,0.0,2.0,21.0,21.0,0.0,1.0,0.0,104.0,28.0,36.0,43.8,"€ 15,962(£ 13,485, $17,153)","€ 830,000(£ 701,208, $891,955)",Estimación no verificada,https://fbref.com/es/jugadores/f7c491f1/Nehuen-Perez
2020-2021,20,Granada,esESP,1.La Liga,14.0,741,0.0,0.0,5.0,406.0,0.0,0.0,7.0,308.0,0.0,0.0,26.0,"1,455",0,0,9,741,8.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,0.0,0.7,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,77.0,40.0,54.0,20.0,3.0,39.0,55.0,70.9,16.0,53.0,23.0,30.0,35.0,112.0,106.0,1.0,1538.0,1807.0,85.1,30754.0,10954.0,557.0,598.0,93.1,730.0,810.0,90.1,224.0,352.0,63.6,0.0,0.5,0.5,-0.5,10.0,107.0,8.0,3.0,101.0,1807.0,1621.0,184.0,57.0,0.0,63.0,18.0,120.0,0.0,0.0,0.0,0.0,1538.0,2.0,13.0,248.0,1051.0,947.0,153.0,21.0,2136.0,11.0,5.0,45.5,6.0,54.5,1217.0,6225.0,3638.0,23.0,24.0,1.0,15.0,9.0,1379.0,26.0,2.0,16.0,8.0,50.0,0.51,0.26,0.13,0.25,18.9,0.0,0.0,0.0,1.0,1.0,0.06,1.0,1.0,28.0,0.89,24.0,2.0,0.0,1.0,0.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,741,53.0,21.7,8.2,9,75.0,5,5,14.0,20,1.36,10.0,14.0,-4.0,-0.49,-0.02,8.1,16.0,-7.8,-0.95,-0.71,7.0,1.0,0.0,29.0,11.0,0.0,18.0,35.0,40.0,0.0,0.0,1.0,146.0,35.0,22.0,61.4,"€ 15,962(£ 13,595, $17,796)","€ 830,000(£ 706,919, $925,372)",Estimación no verificada,https://fbref.com/es/jugadores/f7c491f1/Nehuen-Perez
2020-2021,20,Atlético Madrid,esESP,1.La Liga,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,48.0,42.0,28.0,2.0,39.0,48.0,81.3,9.0,53.0,26.0,27.0,45.0,117.0,158.0,1.0,1267.0,1599.0,79.2,24513.0,9872.0,481.0,540.0,89.1,617.0,713.0,86.5,155.0,303.0,51.2,0.0,0.2,0.4,-0.2,7.0,114.0,8.0,3.0,119.0,1599.0,1386.0,209.0,94.0,1.0,29.0,19.0,107.0,0.0,0.0,0.0,0.0,1267.0,4.0,11.0,249.0,947.0,939.0,133.0,29.0,1991.0,15.0,9.0,60.0,5.0,33.3,998.0,4824.0,2854.0,28.0,21.0,1.0,18.0,6.0,1061.0,24.0,0.0,20.0,2.0,10.0,0.56,0.06,0.0,0.0,12.3,0.0,0.0,0.0,1.3,1.3,0.07,-1.3,-1.3,39.0,1.08,34.0,1.0,1.0,3.0,0.0,0.0,5.0,0.14,5.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,0,0,,3,,,,,,,,,,,,9.0,1.0,1.0,34.0,17.0,0.0,19.0,45.0,48.0,0.0,1.0,0.0,164.0,81.0,44.0,64.8,"€ 15,962(£ 13,595, $17,796)","€ 830,000(£ 706,919, $925,372)",Estimación no verificada,https://fbref.com/es/jugadores/f7c491f1/Nehuen-Perez
2021-2022,21,Atlético Madrid,esESP,1.La Liga,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,7.0,0.0,49.0,60.0,81.7,1023.0,477.0,21.0,24.0,87.5,17.0,19.0,89.5,10.0,14.0,71.4,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,60.0,51.0,9.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,1.0,13.0,41.0,31.0,4.0,1.0,74.0,1.0,1.0,100.0,0.0,0.0,28.0,151.0,78.0,2.0,1.0,1.0,0.0,0.0,34.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,0,0,,1,,,,,,,,,,,,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,3.0,1.0,75.0,"€ 15,962(£ 13,595, $17,796)","€ 830,000(£ 706,919, $925,372)",Estimación no verificada,https://fbref.com/es/jugadores/f7c491f1/Nehuen-Perez
2021-2022,21,Udinese,itITA,1.Serie A,20.0,"1,692",0.0,1.0,2.0,197.0,0.0,0.0,,,,,22.0,"1,889",0,1,19,"1,692",18.8,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,1.1,1.1,0.6,1.7,16.0,40.0,8.0,0.0,0.05,0.05,0.0,0.05,0.06,0.03,0.09,0.06,0.09,26.0,16.0,14.0,11.0,1.0,14.0,19.0,73.7,5.0,18.0,9.0,9.0,22.0,48.0,61.0,2.0,1460.0,1605.0,91.0,29244.0,8791.0,415.0,449.0,92.4,901.0,947.0,95.1,139.0,196.0,70.9,1.0,0.4,0.9,0.6,6.0,105.0,6.0,4.0,115.0,1605.0,1560.0,44.0,32.0,1.0,19.0,8.0,5.0,0.0,0.0,0.0,0.0,1460.0,1.0,4.0,148.0,730.0,976.0,64.0,20.0,1762.0,5.0,3.0,60.0,2.0,40.0,1152.0,6260.0,3546.0,16.0,9.0,0.0,10.0,1.0,1350.0,6.0,1.0,12.0,5.0,41.7,0.56,0.23,0.08,0.2,12.2,0.0,0.0,0.0,1.2,1.2,0.1,-0.2,-0.2,25.0,1.17,22.0,0.0,0.0,2.0,0.0,1.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,"1,692",85.0,49.5,18.8,19,87.0,15,1,36.0,12,1.2,31.0,32.0,-1.0,-0.05,-0.26,26.1,28.5,-2.4,-0.13,-0.19,8.0,0.0,0.0,33.0,6.0,1.0,8.0,22.0,16.0,0.0,0.0,1.0,81.0,59.0,37.0,61.5,,,,
2022-2023,22,Udinese,itITA,1.Serie A,34.0,"2,818",2.0,0.0,2.0,180.0,2.0,0.0,,,,,36.0,"2,998",4,0,33,"2,818",31.3,2.0,0.0,2.0,2.0,0.0,0.0,7.0,1.0,1.0,1.0,0.5,1.5,23.0,101.0,26.0,0.06,0.0,0.06,0.06,0.06,0.03,0.02,0.05,0.03,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,818",83.0,82.4,31.3,33,85.0,24,1,13.0,0,1.18,38.0,39.0,-1.0,-0.03,-0.03,37.9,43.2,-5.3,-0.17,-0.23,,,,,,,,,,,,,,,,,,,,
2023-2024,23,Udinese,itITA,1.Serie A,36.0,"3,238",0.0,0.0,,,,,,,,,36.0,"3,238",0,0,36,"3,238",36.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.3,1.3,0.2,1.5,28.0,119.0,24.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,238",90.0,94.7,36.0,36,90.0,34,0,,0,1.0,36.0,49.0,-13.0,-0.36,1.12,37.9,47.0,-9.1,-0.25,0.2,,,,,,,,,,,,,,,,,,,,
