Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Partidos,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Tkl,Tkl(Derribos),3.º def.,3.º cent.,3.º ataq.,Tkl(Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),xA,A-xAG,PC,1/3,PPA,CrAP,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,npxG/Sh,G-xG,np:G-xG,Toques,Ataq. pen.,Succ,Exitosa%,Tkld,Tkld%,Transportes,TAP,Errores de control,Des,Rec,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,% Salvadas_penales,TL,TE,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),TI,%deLanzamientos,Long. prom.,%deLanzamientos (Saques de meta),Long. prom. (Saques de meta),Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera (expected),2a amarilla,Fls,FR,TklG,Penal ejecutado,Penal concedido,Recup.,% de ganados,link
Diogo Costa,ptPOR,PO,25-222,30,30,"2,700",30.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos,4,0.13,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,12,0,950,1144,83.0,23617,15338,186,187,99.5,533,536,99.4,230,415,55.4,0.1,0.0,0,20,0,0,942,198,60,0,3,0,0,0,0,0,0,4,0,,0.00,0.00,,,,,0.0,0.0,1186,0,0,,0,,786,0,1,0,713,26.0,0.87,76.0,50.0,71.1,19.0,5.0,6.0,15.0,50.0,4.0,4.0,4.0,4.0,20.0,1.0,4.0,25.7,0.28,0.7,0.02,1002.0,131.0,23.1,29.1,37.0,36.8,281.0,17.0,6.0,47.0,1.57,18.8,90,96.8,90,30,0,,0,2.07,57,26,+31,+1.03,+3.03,50.9,24.7,+26.2,+0.87,+2.83,0,0,1,0,0,0,53,100.0,/es/jugadores/93fffbcf/Diogo-Costa
Alan Varela,arARG,CC,23-299,29,24,"2,101",23.3,0,2,2,0,0,0,8,0,0.7,0.7,1.2,1.9,15,160,19,0.00,0.09,0.09,0.00,0.09,0.03,0.05,0.08,0.03,0.08,Partidos,61,2.71,45,11,0,3,1,1,10,0.44,6,2,0,1,1,0,40,20,11,25,4,22,41,53.7,19,17,3,14,19,59,28,0,1260,1457,86.5,21106,5650,591,634,93.2,566,619,91.4,83,153,54.2,2.9,+0.8,27,150,22,4,1341,112,63,8,6,60,1,46,16,22,0,4,5,33.3,0.64,0.21,0.00,0.00,25.9,0.05,-0.7,-0.7,1627,6,7,43.8,8,50.0,846,0,15,10,1137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,75.3,85,15,5,13,1,2.03,41,21,+20,+0.86,-0.32,37.9,21.4,+16.5,+0.73,-0.18,0,29,26,20,0,1,103,57.9,/es/jugadores/9ffb2ce6/Alan-Varela
Moura,ptPOR,DF,25-256,24,23,"1,940",21.6,1,8,9,1,0,0,2,0,0.1,0.1,4.0,4.2,44,94,159,0.05,0.37,0.42,0.05,0.42,0.01,0.19,0.19,0.01,0.19,Partidos,66,3.06,56,7,1,0,0,2,8,0.37,8,0,0,0,0,0,30,15,11,12,7,16,31,51.6,15,35,6,29,15,45,37,0,960,1201,79.9,15552,5956,463,512,90.4,421,514,81.9,52,102,51.0,3.5,+4.0,31,54,27,14,980,218,19,1,1,70,197,2,2,0,0,3,2,66.7,0.14,0.09,0.33,0.50,11.8,0.04,+0.9,+0.9,1389,47,8,29.6,18,66.7,666,4,21,16,839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,69.5,83,13,1,23,1,1.96,38,22,+16,+0.74,-0.63,33.6,20.0,+13.6,+0.63,-0.49,0,18,15,15,0,0,81,62.2,/es/jugadores/d51d1d9d/Moura
Pepê,brBRA,"DL,CC",28-064,28,23,"1,895",21.1,3,2,5,3,0,0,3,0,4.6,4.6,2.8,7.4,37,80,164,0.14,0.09,0.24,0.14,0.24,0.23,0.13,0.36,0.23,0.36,Partidos,55,2.68,42,7,1,3,2,0,8,0.39,7,0,0,1,0,0,23,14,3,7,13,8,25,32.0,17,18,0,18,11,34,5,0,608,796,76.4,9944,2160,311,369,84.3,224,268,83.6,51,91,56.0,3.0,-0.8,29,36,28,7,707,87,12,12,5,60,38,34,22,7,0,2,13,48.1,1.28,0.62,0.11,0.23,15.3,0.17,-1.6,-1.6,1013,73,18,36.0,27,54.0,552,12,51,28,721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,67.9,77,6,5,24,0,2.11,40,14,+26,+1.23,+0.93,34.1,18.3,+15.9,+0.77,-0.02,0,24,30,14,1,1,82,44.8,/es/jugadores/fc4e7637/Pepe
Nehuén Pérez,arARG,DF,24-309,23,22,"1,925",21.4,1,1,2,1,0,0,8,0,1.2,1.2,0.4,1.6,16,115,6,0.05,0.05,0.09,0.05,0.09,0.06,0.02,0.07,0.06,0.07,Partidos,25,1.17,22,0,0,2,0,1,2,0.09,2,0,0,0,0,0,26,16,14,11,1,14,19,73.7,5,18,9,9,22,48,61,2,1460,1605,91.0,29244,8791,415,449,92.4,901,947,95.1,139,196,70.9,0.9,+0.6,6,105,6,4,1560,44,32,1,19,8,5,0,0,0,0,1,5,41.7,0.56,0.23,0.08,0.20,12.2,0.10,-0.2,-0.2,1762,20,3,60.0,2,40.0,1152,0,10,1,1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,69.0,87,19,1,8,2,2.09,43,21,+22,+1.03,+0.30,35.5,18.2,+17.3,+0.81,+0.08,0,33,6,16,0,0,81,61.5,/es/jugadores/f7c491f1/Nehuen-Perez
Samu Omorodion,esESP,DL,20-359,27,20,"2,004",22.3,16,3,19,14,2,2,3,1,11.5,9.9,2.0,11.9,19,24,115,0.72,0.13,0.85,0.63,0.76,0.52,0.09,0.61,0.44,0.53,Partidos,37,1.66,27,0,2,3,3,2,7,0.31,5,0,0,1,1,0,3,2,0,1,2,1,2,50.0,1,12,1,11,6,9,11,0,249,322,77.3,4031,652,142,172,82.6,74,89,83.1,25,32,78.1,2.2,+1.0,17,15,7,0,280,40,1,7,7,4,4,0,0,0,0,2,24,35.3,3.05,1.08,0.21,0.58,12.8,0.15,+4.5,+4.1,582,121,8,25.0,23,71.9,325,13,76,24,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,71.8,89,15,7,33,0,1.93,43,24,+19,+0.85,-0.29,34.6,20.7,+13.8,+0.62,-0.57,0,29,29,2,1,0,45,51.6,/es/jugadores/dc44b03c/Samu-Omorodion
Stephen Eustáquio,caCAN,"CC,DF",28-129,28,20,"1,764",19.6,0,0,0,0,0,0,5,0,1.0,1.0,1.4,2.3,10,133,35,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.12,0.05,0.12,Partidos,51,2.60,39,7,1,4,0,0,6,0.31,3,1,0,2,0,0,49,27,13,24,12,18,38,47.4,20,26,3,23,22,71,39,1,1125,1287,87.4,21150,5715,408,459,88.9,564,602,93.7,126,179,70.4,2.3,-1.4,19,103,14,2,1213,74,41,3,7,31,6,22,6,5,1,0,6,37.5,0.82,0.31,0.00,0.00,14.8,0.06,-1.0,-1.0,1485,28,2,33.3,4,66.7,786,0,19,10,1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,63.2,80,8,8,22,2,1.96,33,20,+13,+0.66,-0.74,28.0,18.0,+10.0,+0.51,-0.74,0,33,19,27,0,0,80,37.1,/es/jugadores/577efaec/Stephen-Eustaquio
Otavio Ataide,brBRA,DF,23-008,19,18,"1,626",18.1,2,0,2,2,0,0,5,0,1.5,1.5,0.2,1.6,20,120,15,0.11,0.00,0.11,0.11,0.11,0.08,0.01,0.09,0.08,0.09,Partidos,25,1.38,20,1,0,4,0,0,1,0.06,1,0,0,0,0,0,25,15,16,9,0,19,30,63.3,11,18,9,9,23,48,54,3,1236,1404,88.0,23202,7168,464,503,92.2,632,682,92.7,123,183,67.2,0.5,-0.2,6,123,5,1,1343,59,41,0,2,5,9,0,0,0,0,2,5,29.4,0.94,0.28,0.12,0.40,18.4,0.09,+0.5,+0.5,1584,19,5,33.3,8,53.3,977,1,12,2,1187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,58.3,90,18,1,6,4,1.95,29,14,+15,+0.83,-0.25,30.6,13.4,+17.2,+0.95,+0.41,0,21,29,15,0,2,73,52.0,/es/jugadores/6f22e535/Otavio-Ataide
Fabio Vieira,ptPOR,"CC,DL",24-334,22,18,"1,553",17.3,4,3,7,4,0,0,5,0,2.4,2.2,3.6,5.8,18,108,97,0.23,0.17,0.41,0.23,0.41,0.13,0.20,0.34,0.12,0.33,Partidos,85,4.78,46,20,1,7,9,2,8,0.45,4,2,0,1,1,0,36,23,11,18,7,17,26,65.4,9,11,2,9,10,46,12,0,661,841,78.6,11991,3365,307,340,90.3,254,300,84.7,90,170,52.9,4.4,-0.6,36,75,36,15,750,90,44,5,4,87,4,40,25,10,0,1,14,36.8,2.20,0.81,0.11,0.29,21.6,0.06,+1.6,+1.8,1013,45,10,33.3,20,66.7,560,6,20,10,694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,55.7,81,6,4,24,1,2.00,30,17,+13,+0.75,-0.41,26.3,16.9,+9.4,+0.53,-0.59,0,29,35,23,0,0,77,44.4,/es/jugadores/6412cc03/Fabio-Vieira
Galeno,brBRA,"DL,DF",27-189,18,17,"1,445",16.1,8,0,8,4,4,6,4,0,9.1,4.2,2.2,6.4,56,58,175,0.50,0.00,0.50,0.25,0.25,0.57,0.14,0.71,0.26,0.40,Partidos,60,3.74,38,4,4,4,8,2,6,0.37,3,0,0,0,3,0,17,12,9,2,6,8,16,50.0,8,13,5,8,15,32,22,0,566,739,76.6,9489,2573,301,342,88.0,213,269,79.2,48,88,54.5,2.3,-2.2,23,24,24,3,628,105,10,3,5,24,88,7,0,0,0,6,20,46.5,2.68,1.25,0.09,0.20,21.7,0.10,-1.1,-0.2,940,62,14,40.0,16,45.7,539,17,34,15,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,51.8,84,10,1,22,1,2.11,31,13,+18,+1.12,+0.39,30.9,11.8,+19.0,+1.19,+0.84,0,21,31,12,3,0,73,33.3,/es/jugadores/5b3d1a7a/Galeno
