Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,15,Chelsea,engENG,Jr.PL2 — Div. 1,3.0,270,0.0,1.0,,,,,,,,,3,270,0,1,3.0,270,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.33,0.33,0.0,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,270,90.0,13.6,3.0,3.0,90.0,3.0,0.0,,0.0,1.33,5.0,4.0,1.0,0.33,-0.04,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 4,231(£ 3,675, $4,637)","€ 220,000(£ 191,097, $241,115)",Estimación no verificada,https://fbref.com/es/jugadores/c795c408/Jonathan-Panzo
2018-2019,17,Monaco,frFRA,1.Ligue 1,,,,,1.0,90.0,0.0,0.0,,,,,1,90,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,3.0,1.0,2.0,3.0,5.0,7.0,0.0,62.0,72.0,86.1,1256.0,430.0,18.0,19.0,94.7,38.0,38.0,100.0,5.0,12.0,41.7,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,72.0,69.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,10.0,39.0,48.0,1.0,1.0,88.0,0.0,0.0,,0.0,,56.0,428.0,329.0,1.0,1.0,0.0,0.0,0.0,63.0,0.0,0.0,1.0,0.0,0.0,0.84,0.0,0.0,,13.1,0.0,0.0,0.0,0.1,0.1,0.09,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,5.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,4.0,2.0,3.0,40.0,"€ 2,115(£ 1,837, $2,318)","€ 110,000(£ 95,549, $120,558)",Estimación no verificada,https://fbref.com/es/jugadores/c795c408/Jonathan-Panzo
2019-2020,18,Monaco,frFRA,1.Ligue 1,2.0,107,0.0,0.0,,,,,,,,,2,107,0,0,1.0,107,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,25.0,17.0,17.0,7.0,1.0,14.0,26.0,53.8,12.0,14.0,8.0,6.0,24.0,49.0,23.0,0.0,565.0,742.0,76.1,9763.0,4410.0,247.0,285.0,86.7,255.0,324.0,78.7,48.0,95.0,50.5,1.0,1.5,1.8,-0.5,14.0,49.0,16.0,9.0,69.0,742.0,609.0,132.0,21.0,1.0,2.0,35.0,110.0,0.0,0.0,0.0,0.0,565.0,1.0,10.0,41.0,312.0,416.0,184.0,15.0,900.0,31.0,15.0,48.4,16.0,51.6,402.0,2926.0,1439.0,31.0,29.0,3.0,26.0,14.0,486.0,67.0,0.0,8.0,0.0,0.0,0.51,0.0,0.0,,17.5,0.0,0.0,0.0,0.5,0.5,0.06,-0.5,-0.5,29.0,1.87,22.0,3.0,2.0,2.0,0.0,0.0,2.0,0.13,2.0,0.0,0.0,0.0,0.0,0.0,107,54.0,4.2,1.2,1.0,91.0,1.0,1.0,16.0,1.0,0.5,0.0,4.0,-4.0,-3.36,-3.51,0.9,1.6,-0.6,-0.54,-0.79,5.0,1.0,1.0,30.0,20.0,0.0,35.0,24.0,17.0,0.0,0.0,0.0,88.0,21.0,19.0,52.5,,,,
2019-2020,18,Cercle Brugge,beBEL,1.First Division A,17.0,"1,401",0.0,1.0,,,,,,,,,17,"1,401",0,1,17.0,"1,401",15.6,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.5,0.5,1.5,2.0,31.0,69.0,67.0,0.0,0.06,0.06,0.0,0.06,0.03,0.1,0.13,0.03,0.13,17.0,12.0,13.0,4.0,0.0,8.0,11.0,72.7,3.0,27.0,13.0,14.0,59.0,76.0,91.0,2.0,950.0,1096.0,86.7,18977.0,6535.0,284.0,313.0,90.7,540.0,584.0,92.5,116.0,172.0,67.4,0.0,0.0,0.3,0.0,0.0,39.0,3.0,0.0,56.0,1096.0,1065.0,28.0,26.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,950.0,3.0,5.0,172.0,837.0,482.0,27.0,9.0,1332.0,15.0,14.0,93.3,1.0,6.7,843.0,4457.0,2341.0,14.0,7.0,0.0,9.0,3.0,885.0,1.0,0.0,5.0,2.0,40.0,0.25,0.1,0.0,0.0,14.4,0.0,0.0,0.0,0.3,0.3,0.06,-0.3,-0.3,4.0,0.2,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,401",82.0,53.7,15.6,17.0,82.0,12.0,0.0,,0.0,0.65,13.0,27.0,-14.0,-0.9,0.07,21.0,23.8,-2.8,-0.18,-0.08,5.0,0.0,0.0,28.0,9.0,0.0,1.0,59.0,12.0,0.0,3.0,0.0,108.0,39.0,24.0,61.9,,,,
2020-2021,19,Dijon,frFRA,1.Ligue 1,22.0,"1,801",0.0,0.0,1.0,90.0,0.0,0.0,,,,,23,"1,891",0,0,21.0,"1,801",20.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,0.0,0.3,14.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,801",82.0,52.7,20.0,21.0,84.0,16.0,1.0,36.0,12.0,0.5,11.0,37.0,-26.0,-1.3,-0.08,15.3,36.3,-21.1,-1.05,-0.07,2.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
2021-2022,20,Dijon,frFRA,2.Ligue 2,,,,,3.0,270.0,0.0,0.0,,,,,3,270,0,0,6.0,540,6.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,,,,,,,,0.17,0.0,0.17,0.17,0.17,,,,,,2.0,2.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,49.0,57.0,86.0,878.0,173.0,17.0,21.0,81.0,28.0,30.0,93.3,4.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,57.0,54.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0,1.0,0.0,2.0,17.0,48.0,4.0,0.0,69.0,2.0,2.0,100.0,0.0,0.0,52.0,306.0,191.0,7.0,3.0,0.0,2.0,2.0,52.0,0.0,0.0,1.0,0.0,0.0,1.41,0.0,0.0,,37.3,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1.0,1.41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540,90.0,23.1,6.0,6.0,90.0,6.0,0.0,,0.0,2.67,17.0,1.0,16.0,2.67,2.42,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,2.0,1.0,66.7,,,,
2021-2022,20,Nottingham Forest,engENG,Jr.PL2 — Div. 2,6.0,540,1.0,0.0,,,,,,,,,6,540,1,0,1.0,64,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,45.0,32.0,34.0,10.0,1.0,17.0,27.0,63.0,10.0,22.0,14.0,8.0,50.0,95.0,88.0,0.0,921.0,1114.0,82.7,16733.0,5853.0,361.0,413.0,87.4,466.0,536.0,86.9,84.0,134.0,62.7,1.0,0.1,0.3,0.9,3.0,90.0,1.0,0.0,99.0,1114.0,1090.0,22.0,12.0,1.0,3.0,7.0,10.0,0.0,0.0,0.0,0.0,921.0,2.0,9.0,124.0,617.0,685.0,104.0,17.0,1390.0,12.0,5.0,41.7,5.0,41.7,817.0,5125.0,2966.0,25.0,23.0,0.0,17.0,7.0,833.0,7.0,1.0,15.0,4.0,26.7,0.6,0.16,0.07,0.25,12.7,0.0,0.0,0.0,1.9,1.9,0.13,-0.9,-0.9,21.0,0.84,18.0,0.0,0.0,3.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,64,64.0,1.5,0.7,1.0,64.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,-0.73,0.7,0.2,0.5,0.7,0.4,7.0,0.0,0.0,27.0,13.0,1.0,7.0,50.0,32.0,0.0,0.0,0.0,163.0,58.0,40.0,59.2,,,,
2021-2022,20,Nott'ham Forest,engENG,2.Championship,1.0,64,0.0,0.0,,,,,,,,,1,64,0,0,24.0,"2,239",24.9,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,1.9,1.9,0.1,2.0,25.0,99.0,7.0,0.04,0.04,0.08,0.04,0.08,0.08,0.0,0.08,0.08,0.08,3.0,2.0,2.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,2.0,5.0,5.0,0.0,106.0,131.0,80.9,1930.0,608.0,34.0,37.0,91.9,63.0,73.0,86.3,6.0,16.0,37.5,0.0,0.1,0.0,-0.1,1.0,16.0,0.0,0.0,18.0,131.0,118.0,12.0,2.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,106.0,1.0,2.0,3.0,37.0,89.0,23.0,2.0,148.0,1.0,1.0,100.0,0.0,0.0,109.0,748.0,463.0,6.0,2.0,0.0,3.0,2.0,104.0,3.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4.0,1.64,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,239",77.0,54.1,24.9,24.0,88.0,20.0,5.0,25.0,8.0,1.48,30.0,21.0,9.0,0.36,0.22,32.2,29.5,2.7,0.11,-0.15,1.0,0.0,0.0,3.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,,,,
2022-2023,21,Coventry City,engENG,2.Championship,29.0,"2,239",1.0,1.0,1.0,56.0,0.0,0.0,,,,,30,"2,295",1,1,2.0,219,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,6.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,3.0,4.0,3.0,0.0,58.0,69.0,84.1,1082.0,344.0,22.0,26.0,84.6,29.0,32.0,90.6,6.0,7.0,85.7,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,69.0,62.0,6.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,58.0,1.0,1.0,7.0,38.0,42.0,0.0,0.0,79.0,1.0,1.0,100.0,0.0,0.0,46.0,283.0,121.0,2.0,0.0,0.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219,44.0,8.1,2.4,2.0,68.0,1.0,3.0,28.0,2.0,0.91,5.0,5.0,0.0,0.0,0.29,3.7,3.8,-0.1,-0.03,0.39,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,6.0,2.0,3.0,40.0,,,,
2023-2024,22,Standard Liège,beBEL,1.Pro League A,5.0,219,0.0,0.0,,,,,,,,,5,219,0,0,0.0,84,0.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,11.0,6.0,1.0,10.0,20.0,50.0,10.0,17.0,7.0,10.0,14.0,32.0,73.0,1.0,618.0,681.0,90.7,12395.0,4222.0,176.0,194.0,90.7,377.0,398.0,94.7,63.0,78.0,80.8,0.0,0.4,0.3,-0.4,3.0,34.0,0.0,0.0,39.0,681.0,654.0,25.0,19.0,0.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,618.0,2.0,5.0,92.0,451.0,346.0,21.0,5.0,817.0,3.0,2.0,66.7,1.0,33.3,489.0,2592.0,1315.0,6.0,4.0,0.0,6.0,1.0,555.0,0.0,1.0,5.0,1.0,20.0,0.41,0.08,0.2,1.0,12.4,0.0,0.0,0.0,0.7,0.7,0.13,0.3,0.3,10.0,0.82,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84,21.0,2.0,0.9,0.0,,0.0,4.0,21.0,18.0,1.5,2.0,2.0,0.0,0.0,0.38,1.1,2.5,-1.5,-1.57,-1.02,4.0,1.0,0.0,18.0,8.0,0.0,2.0,14.0,11.0,0.0,0.0,1.0,53.0,23.0,11.0,67.6,,,,
