Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,21,Vitória,ptPOR,1.Primeira Liga,24.0,"2,093",0.0,1.0,,,,,,,,,24.0,"2,093",0,1,24,"2,093",23.3,0.0,1.0,1.0,0.0,0.0,0.0,10.0,1.0,,,,,,,,0.0,0.04,0.04,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,3.0,,,0.13,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,093",87.0,68.4,23.3,24,,21,0,,2,1.54,33.0,22.0,11.0,0.47,0.1,,,,,,10.0,1.0,,,,,,,,,,,,,,,"€ 13,269(£ 11,526, $14,543)","€ 690,000(£ 599,351, $756,225)",Estimación no verificada,https://fbref.com/es/jugadores/55ae91f0/Bruno-Gaspar
2015-2016,22,Vitória,ptPOR,1.Primeira Liga,28.0,"2,520",0.0,1.0,,,,,,,,,28.0,"2,520",0,1,28,"2,520",28.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,0.0,0.04,0.04,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,,0.07,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,520",90.0,82.4,28.0,28,,28,0,,0,1.21,37.0,44.0,-7.0,-0.25,-0.08,,,,,,2.0,0.0,,32.0,,,,,,,,,,,,,,,,
2016-2017,23,Vitória,ptPOR,1.Primeira Liga,28.0,"2,267",0.0,3.0,,,,,,,,,28.0,"2,267",0,3,26,"2,267",25.2,0.0,3.0,3.0,0.0,0.0,0.0,8.0,0.0,,,,,,,,0.0,0.12,0.12,0.0,0.12,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,267",81.0,74.1,25.2,26,,23,2,,2,1.86,36.0,25.0,11.0,0.44,0.44,,,,,,8.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2017-2018,24,Fiorentina,itITA,1.Serie A,15.0,781,0.0,2.0,2.0,162.0,0.0,0.0,,,,,17.0,943,0,2,6,781,8.7,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.8,0.8,19.0,52.0,48.0,0.0,0.23,0.23,0.0,0.23,0.0,0.09,0.09,0.0,0.09,20.0,11.0,13.0,6.0,1.0,9.0,15.0,60.0,6.0,8.0,1.0,7.0,9.0,29.0,25.0,0.0,469.0,580.0,80.9,7728.0,2690.0,214.0,232.0,92.2,203.0,249.0,81.5,36.0,64.0,56.3,2.0,0.8,0.8,1.2,10.0,35.0,12.0,6.0,52.0,580.0,467.0,113.0,7.0,0.0,1.0,36.0,106.0,0.0,0.0,0.0,0.0,469.0,0.0,18.0,14.0,144.0,336.0,187.0,9.0,664.0,9.0,5.0,55.6,4.0,44.4,318.0,1632.0,811.0,19.0,17.0,3.0,15.0,7.0,402.0,48.0,0.0,1.0,0.0,0.0,0.12,0.0,0.0,,30.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,25.0,2.88,20.0,2.0,2.0,0.0,1.0,0.0,2.0,0.23,2.0,0.0,0.0,0.0,0.0,0.0,781,52.0,22.8,8.7,6,,5,9,,21,1.53,16.0,14.0,2.0,0.23,0.03,12.3,10.6,1.7,0.2,-0.21,2.0,0.0,0.0,9.0,9.0,1.0,36.0,9.0,11.0,0.0,0.0,0.0,35.0,7.0,8.0,46.7,,,,
2018-2019,25,Sporting CP,ptPOR,1.Primeira Liga,16.0,"1,065",1.0,0.0,,,,,5.0,325.0,0.0,0.0,21.0,"1,390",1,0,12,"1,065",11.8,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,0.9,1.3,21.0,35.0,66.0,0.08,0.0,0.08,0.08,0.08,0.04,0.07,0.11,0.04,0.11,23.0,19.0,11.0,10.0,2.0,6.0,15.0,40.0,9.0,17.0,3.0,14.0,14.0,37.0,25.0,0.0,474.0,596.0,79.5,7657.0,2643.0,239.0,269.0,88.8,189.0,229.0,82.5,33.0,59.0,55.9,0.0,0.9,1.4,-0.9,8.0,35.0,10.0,7.0,35.0,596.0,446.0,150.0,11.0,0.0,1.0,41.0,139.0,0.0,0.0,0.0,0.0,474.0,0.0,24.0,19.0,168.0,336.0,217.0,21.0,717.0,9.0,2.0,22.2,7.0,77.8,283.0,1592.0,787.0,21.0,13.0,8.0,14.0,17.0,358.0,66.0,1.0,9.0,2.0,22.2,0.76,0.17,0.11,0.5,18.5,0.0,0.0,0.0,0.5,0.5,0.05,0.5,0.5,26.0,2.2,19.0,4.0,1.0,1.0,1.0,0.0,2.0,0.17,2.0,0.0,0.0,0.0,0.0,0.0,"1,065",67.0,34.8,11.8,12,85.0,10,4,13.0,6,1.88,27.0,14.0,13.0,1.1,-0.07,20.1,15.0,5.1,0.43,-0.41,4.0,0.0,0.0,20.0,10.0,3.0,41.0,14.0,19.0,0.0,0.0,0.0,51.0,21.0,16.0,56.8,,,,
2019-2020,26,Olympiacos,grGRE,1.Super League,15.0,931,0.0,1.0,,,,,2.0,42.0,0.0,0.0,17.0,973,0,1,10,931,10.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,0.0,0.1,0.1,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,931,62.0,28.7,10.3,10,86.0,8,5,14.0,9,2.73,28.0,4.0,24.0,2.32,0.99,,,,,,3.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
2021-2022,28,Vitória,ptPOR,1.Primeira Liga,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,6.0,6.0,2.0,1.0,2.0,3.0,66.7,1.0,1.0,1.0,0.0,4.0,13.0,5.0,0.0,88.0,122.0,72.1,1559.0,738.0,39.0,50.0,78.0,35.0,43.0,81.4,10.0,22.0,45.5,1.0,0.5,0.4,0.5,1.0,8.0,1.0,1.0,7.0,122.0,84.0,38.0,5.0,1.0,2.0,8.0,30.0,3.0,0.0,0.0,0.0,88.0,0.0,1.0,6.0,38.0,72.0,41.0,5.0,151.0,4.0,0.0,0.0,4.0,100.0,67.0,264.0,101.0,4.0,0.0,0.0,2.0,1.0,74.0,9.0,0.0,1.0,0.0,0.0,0.42,0.0,0.0,,14.0,0.0,0.0,0.0,0.1,0.1,0.08,-0.1,-0.1,8.0,3.36,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.42,1.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,0,0,,1,,,,,,,,,,,,0.0,1.0,0.0,4.0,5.0,1.0,8.0,4.0,6.0,0.0,0.0,0.0,9.0,1.0,1.0,50.0,,,,
2022-2023,29,Vitória,ptPOR,1.Primeira Liga,7.0,214,0.0,1.0,,,,,,,,,7.0,214,0,1,1,214,2.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.5,0.6,4.0,7.0,9.0,0.0,0.42,0.42,0.0,0.42,0.03,0.23,0.26,0.03,0.26,37.0,23.0,21.0,10.0,6.0,19.0,32.0,59.4,13.0,35.0,4.0,31.0,17.0,54.0,32.0,1.0,983.0,1365.0,72.0,16274.0,7432.0,504.0,591.0,85.3,364.0,497.0,73.2,84.0,179.0,46.9,3.0,2.2,3.9,0.8,31.0,63.0,44.0,28.0,91.0,1365.0,1024.0,333.0,14.0,2.0,2.0,107.0,318.0,1.0,0.0,0.0,0.0,983.0,8.0,56.0,42.0,317.0,701.0,593.0,51.0,1601.0,28.0,11.0,39.3,15.0,53.6,721.0,3050.0,1628.0,46.0,35.0,8.0,37.0,13.0,869.0,212.0,2.0,17.0,3.0,17.6,0.67,0.12,0.12,0.67,15.2,0.0,0.0,0.0,1.6,1.6,0.09,0.4,0.4,70.0,2.76,58.0,7.0,2.0,2.0,1.0,0.0,8.0,0.32,8.0,0.0,0.0,0.0,0.0,0.0,214,31.0,7.0,2.4,1,30.0,0,6,31.0,12,1.29,3.0,4.0,-1.0,-0.42,-0.29,3.1,3.6,-0.5,-0.22,-0.04,7.0,0.0,0.0,40.0,29.0,4.0,107.0,17.0,23.0,0.0,0.0,0.0,101.0,25.0,32.0,43.9,,,,
2023-2024,30,Vitória,ptPOR,1.Primeira Liga,28.0,"2,286",2.0,3.0,,,,,,,,,28.0,"2,286",2,3,28,"2,286",25.4,2.0,3.0,5.0,2.0,0.0,0.0,7.0,0.0,1.6,1.6,2.2,3.8,46.0,91.0,212.0,0.08,0.12,0.2,0.08,0.2,0.06,0.09,0.15,0.06,0.15,16.0,11.0,8.0,5.0,3.0,6.0,12.0,50.0,6.0,12.0,0.0,12.0,4.0,20.0,13.0,0.0,353.0,464.0,76.1,5836.0,2099.0,163.0,193.0,84.5,159.0,184.0,86.4,21.0,56.0,37.5,0.0,0.6,0.9,-0.6,13.0,33.0,13.0,9.0,42.0,464.0,347.0,117.0,14.0,0.0,1.0,33.0,103.0,0.0,0.0,0.0,0.0,353.0,0.0,12.0,17.0,134.0,245.0,172.0,17.0,548.0,3.0,0.0,0.0,3.0,100.0,218.0,782.0,393.0,14.0,8.0,1.0,10.0,3.0,285.0,62.0,0.0,4.0,1.0,25.0,0.42,0.1,0.0,0.0,17.7,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2,26.0,2.7,21.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,286",82.0,74.7,25.4,28,82.0,17,0,,0,2.0,39.0,24.0,15.0,0.59,0.71,33.8,25.8,7.9,0.31,0.56,2.0,0.0,0.0,14.0,9.0,1.0,33.0,4.0,11.0,0.0,0.0,0.0,26.0,6.0,15.0,28.6,,,,
2024-2025,31,Vitória,ptPOR,1.Primeira Liga,11.0,866,0.0,0.0,,,,,2.0,180.0,0.0,1.0,13.0,"1,046",0,1,10,866,9.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.6,0.8,14.0,42.0,62.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866,79.0,31.0,9.6,10,86.0,8,1,10.0,6,1.82,15.0,10.0,5.0,0.52,0.19,12.0,8.3,3.7,0.39,-0.1,,,,,,,,,,,,,,,,,,,,
