Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2015-2016,16,Bochum,deGER,2.2. Bundesliga,1,13,0,0.0,,,,,1,13,0,0,Partidos,https://fbref.com/es/jugadores/d578db11/Vangelis-Pavlidis,,,0,13,0.1,0,0.0,0.0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,13,13,0.4,0.1,0,,0,1,,0,3.0,0,1,-1,-6.92,-7.43,,,,,,0,0,,0.0,,,,,,,,,,,,,,,,
2016-2017,17,Bochum,deGER,2.2. Bundesliga,3,118,0,0.0,,,,,3,118,0,0,Partidos,https://fbref.com/es/jugadores/d578db11/Vangelis-Pavlidis,,,1,118,1.3,0,0.0,0.0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,118,39,3.9,1.3,1,,0,2,,6,1.0,1,2,-1,-0.76,-0.64,,,,,,0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2016-2017,17,Bochum U19,deGER,Jr.U19 Bundesliga,18,"1,412",6,,,,,,18,"1,412",6,0,Partidos,https://fbref.com/es/jugadores/d578db11/Vangelis-Pavlidis,,,17,"1,412",15.7,6,,,6,0,0,2,1,,,,,,,,0.38,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,412",78,60.3,15.7,17,80.0,5,1,45.0,0,2.17,35,20,15,0.96,-0.01,,,,,,2,1,0.0,,,,,,,,,0.0,,,,,,,,
2018-2019,19,Willem II,nlNED,1.Eredivisie,14,874,5,3.0,,,,,14,874,5,3,Partidos,https://fbref.com/es/jugadores/d578db11/Vangelis-Pavlidis,,,9,874,9.7,5,3.0,8.0,5,0,0,0,0,5.1,5.1,1.4,6.4,14.0,16.0,77.0,0.51,0.31,0.82,0.51,0.82,0.52,0.14,0.66,0.52,0.66,11.0,7.0,3.0,7.0,1.0,7.0,15.0,46.7,8.0,10.0,0.0,10.0,2.0,13.0,0.0,0.0,227.0,327.0,69.4,2821.0,579.0,147.0,184.0,79.9,47.0,68.0,69.1,10.0,24.0,41.7,3.0,1.4,1.2,1.6,13.0,20.0,6.0,2.0,16.0,327.0,317.0,10.0,0.0,0.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,227.0,0.0,11.0,2.0,41.0,240.0,214.0,48.0,488.0,33.0,11.0,33.3,21.0,63.6,311.0,1599.0,557.0,14.0,15.0,8.0,41.0,49.0,380.0,77.0,5,28.0,12.0,42.9,2.88,1.24,0.18,0.42,13.4,0.0,0,0,5.1,5.1,0.19,-0.1,-0.1,27.0,2.78,20.0,0.0,3.0,3.0,1.0,0.0,8.0,0.82,5.0,0.0,0.0,2.0,1.0,0.0,874,62,28.6,9.7,9,79.0,2,5,33.0,0,1.5,23,23,0,0.0,0.58,19.3,16.4,2.9,0.29,0.64,0,0,0.0,13.0,18.0,6.0,7.0,2.0,7.0,1.0,0.0,0.0,42.0,40.0,46.0,46.5,,,,
2019-2020,20,Willem II,nlNED,1.Eredivisie,25,"2,167",11,2.0,,,,,25,"2,167",11,2,Partidos,https://fbref.com/es/jugadores/d578db11/Vangelis-Pavlidis,,,25,"2,167",24.1,11,2.0,13.0,10,1,3,2,0,13.7,11.2,3.6,14.8,37.0,37.0,124.0,0.46,0.08,0.54,0.42,0.5,0.57,0.15,0.72,0.46,0.62,19.0,9.0,2.0,10.0,7.0,9.0,21.0,42.9,12.0,19.0,2.0,17.0,6.0,25.0,18.0,0.0,460.0,679.0,67.7,6260.0,980.0,282.0,384.0,73.4,115.0,158.0,72.8,24.0,34.0,70.6,2.0,3.6,1.6,-1.6,25.0,35.0,11.0,0.0,37.0,679.0,621.0,56.0,5.0,0.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,460.0,2.0,20.0,25.0,57.0,517.0,466.0,122.0,1025.0,75.0,35.0,46.7,40.0,53.3,547.0,2817.0,1084.0,37.0,23.0,25.0,88.0,66.0,775.0,124.0,11,67.0,29.0,43.3,2.78,1.2,0.15,0.34,15.4,1.0,1,3,13.7,11.2,0.17,-2.7,-1.2,60.0,2.49,37.0,0.0,9.0,6.0,5.0,3.0,11.0,0.46,5.0,0.0,2.0,3.0,1.0,0.0,"2,167",87,92.6,24.1,25,87.0,14,0,,0,1.76,37,31,6,0.25,1.81,34.7,31.6,3.1,0.13,-0.35,2,0,0.0,28.0,43.0,10.0,5.0,6.0,9.0,2.0,0.0,0.0,82.0,118.0,137.0,46.3,,,,
2020-2021,21,Willem II,nlNED,1.Eredivisie,34,"2,929",12,4.0,,,,,34,"2,929",12,4,Partidos,https://fbref.com/es/jugadores/d578db11/Vangelis-Pavlidis,,,33,"2,929",32.5,12,4.0,16.0,12,0,0,4,0,10.5,10.5,5.6,16.1,80.0,78.0,209.0,0.37,0.12,0.49,0.37,0.49,0.32,0.17,0.49,0.32,0.49,38.0,17.0,8.0,22.0,8.0,16.0,47.0,34.0,31.0,52.0,4.0,48.0,12.0,50.0,41.0,0.0,671.0,1013.0,66.2,10453.0,2439.0,357.0,495.0,72.1,211.0,300.0,70.3,59.0,91.0,64.8,4.0,5.6,4.1,-1.6,37.0,58.0,15.0,1.0,78.0,1013.0,950.0,60.0,2.0,1.0,11.0,20.0,22.0,0.0,0.0,0.0,0.0,671.0,3.0,40.0,46.0,180.0,734.0,676.0,156.0,1567.0,130.0,74.0,56.9,56.0,43.1,889.0,4733.0,2186.0,80.0,61.0,41.0,165.0,78.0,1127.0,209.0,12,94.0,38.0,40.4,2.89,1.17,0.13,0.32,17.0,0.0,0,0,10.5,10.5,0.11,1.5,1.5,115.0,3.53,74.0,0.0,22.0,10.0,9.0,0.0,15.0,0.46,5.0,0.0,4.0,4.0,2.0,0.0,"2,929",86,95.7,32.5,33,89.0,27,1,6.0,0,0.91,38,65,-27,-0.83,-0.14,40.6,55.6,-14.9,-0.46,0.06,4,0,0.0,27.0,57.0,19.0,20.0,12.0,17.0,1.0,0.0,0.0,142.0,132.0,136.0,49.3,,,,
2021-2022,22,AZ Alkmaar,nlNED,1.Eredivisie,33,"2,495",16,5.0,8.0,546.0,4.0,1.0,41,"3,041",20,6,Partidos,https://fbref.com/es/jugadores/d578db11/Vangelis-Pavlidis,,,32,"2,495",27.7,16,5.0,21.0,16,0,0,6,0,15.1,15.1,3.6,18.7,34.0,55.0,192.0,0.58,0.18,0.76,0.58,0.76,0.55,0.13,0.67,0.55,0.67,31.0,11.0,6.0,12.0,13.0,11.0,33.0,33.3,22.0,27.0,2.0,25.0,12.0,43.0,17.0,0.0,511.0,755.0,67.7,7313.0,1249.0,277.0,378.0,73.3,158.0,227.0,69.6,31.0,47.0,66.0,5.0,3.6,3.7,1.4,32.0,31.0,19.0,2.0,55.0,755.0,693.0,57.0,0.0,8.0,6.0,12.0,3.0,1.0,0.0,0.0,0.0,511.0,5.0,24.0,21.0,86.0,538.0,547.0,151.0,1160.0,74.0,37.0,50.0,36.0,48.6,586.0,2544.0,979.0,34.0,27.0,18.0,112.0,50.0,829.0,192.0,16,83.0,31.0,37.3,2.99,1.12,0.19,0.52,12.4,0.0,0,0,15.1,15.1,0.18,0.9,0.9,67.0,2.42,50.0,0.0,9.0,4.0,4.0,0.0,7.0,0.25,5.0,0.0,1.0,0.0,1.0,0.0,"2,495",76,81.5,27.7,32,77.0,5,1,31.0,0,1.73,51,33,18,0.65,0.33,46.3,32.7,13.6,0.49,0.14,6,0,0.0,34.0,30.0,28.0,12.0,12.0,11.0,1.0,0.0,0.0,89.0,112.0,112.0,50.0,,,,
2022-2023,23,AZ Alkmaar,nlNED,1.Eredivisie,25,"1,869",12,8.0,7.0,532.0,5.0,0.0,32,"2,401",17,8,Partidos,https://fbref.com/es/jugadores/d578db11/Vangelis-Pavlidis,,,22,"1,869",20.8,12,8.0,20.0,11,1,1,2,0,10.9,10.1,5.3,15.5,40.0,56.0,169.0,0.58,0.39,0.96,0.53,0.91,0.53,0.26,0.78,0.49,0.74,18.0,9.0,2.0,10.0,6.0,5.0,17.0,29.4,12.0,16.0,1.0,15.0,4.0,22.0,14.0,0.0,434.0,628.0,69.1,6589.0,1146.0,215.0,301.0,71.4,164.0,206.0,79.6,22.0,37.0,59.5,8.0,5.3,2.5,2.7,35.0,29.0,13.0,0.0,56.0,628.0,581.0,47.0,2.0,3.0,11.0,8.0,5.0,0.0,0.0,0.0,0.0,434.0,0.0,29.0,17.0,63.0,396.0,456.0,153.0,903.0,66.0,24.0,36.4,38.0,57.6,484.0,2396.0,1027.0,40.0,18.0,27.0,77.0,52.0,668.0,169.0,12,63.0,30.0,47.6,3.03,1.44,0.17,0.37,12.4,0.0,1,1,10.9,10.1,0.16,1.1,0.9,71.0,3.42,53.0,1.0,6.0,6.0,3.0,2.0,13.0,0.63,8.0,0.0,1.0,3.0,1.0,0.0,"1,869",75,61.1,20.8,22,80.0,10,3,33.0,0,2.0,42,20,22,1.06,0.23,33.3,23.6,9.7,0.47,-0.05,2,0,0.0,20.0,30.0,16.0,8.0,4.0,9.0,1.0,0.0,0.0,73.0,71.0,60.0,54.2,,,,
2023-2024,24,AZ Alkmaar,nlNED,1.Eredivisie,34,"2,995",29,4.0,6.0,540.0,3.0,1.0,40,"3,535",32,5,Partidos,https://fbref.com/es/jugadores/d578db11/Vangelis-Pavlidis,,,34,"2,995",33.3,29,4.0,33.0,28,1,1,2,0,23.8,23.0,6.2,29.2,70.0,79.0,253.0,0.87,0.12,0.99,0.84,0.96,0.71,0.19,0.9,0.69,0.88,35.0,18.0,5.0,20.0,10.0,17.0,30.0,56.7,13.0,26.0,6.0,20.0,3.0,38.0,31.0,0.0,635.0,937.0,67.8,10149.0,2042.0,328.0,424.0,77.4,225.0,307.0,73.3,50.0,85.0,58.8,4.0,6.2,5.8,-2.2,47.0,62.0,29.0,4.0,79.0,937.0,854.0,78.0,2.0,9.0,16.0,35.0,7.0,0.0,0.0,0.0,0.0,635.0,5.0,50.0,35.0,102.0,619.0,780.0,264.0,1487.0,120.0,45.0,37.5,69.0,57.5,818.0,4057.0,1841.0,70.0,35.0,50.0,138.0,65.0,1052.0,253.0,29,121.0,61.0,50.4,3.64,1.83,0.23,0.46,12.6,0.0,1,1,23.8,23.0,0.19,5.2,5.0,102.0,3.07,71.0,0.0,12.0,13.0,3.0,3.0,13.0,0.39,9.0,0.0,1.0,0.0,1.0,2.0,"2,995",88,97.9,33.3,34,88.0,28,0,,0,1.91,70,38,32,0.96,2.35,55.1,38.5,16.5,0.5,0.1,2,0,0.0,30.0,54.0,23.0,35.0,3.0,18.0,0.0,0.0,0.0,90.0,65.0,91.0,41.7,,,,
2024-2025,25,Benfica,ptPOR,1.Primeira Liga,31,"2,000",18,6.0,12.0,895.0,7.0,2.0,43,"2,895",25,8,Partidos,https://fbref.com/es/jugadores/d578db11/Vangelis-Pavlidis,,,24,"2,000",22.2,18,6.0,24.0,15,3,3,2,0,17.6,15.3,4.4,19.7,34.0,49.0,154.0,0.81,0.27,1.08,0.68,0.95,0.79,0.2,0.99,0.69,0.89,13.0,8.0,1.0,3.0,9.0,6.0,12.0,50.0,6.0,12.0,1.0,11.0,5.0,18.0,10.0,1.0,362.0,491.0,73.7,5305.0,1034.0,215.0,268.0,80.2,97.0,121.0,80.2,28.0,40.0,70.0,6.0,4.4,3.5,1.6,36.0,21.0,22.0,1.0,49.0,491.0,448.0,38.0,0.0,9.0,7.0,7.0,2.0,0.0,0.0,0.0,0.0,362.0,5.0,17.0,13.0,47.0,263.0,447.0,154.0,747.0,57.0,24.0,42.1,32.0,56.1,432.0,1926.0,746.0,34.0,13.0,24.0,51.0,28.0,551.0,154.0,18,74.0,32.0,43.2,3.33,1.44,0.2,0.47,13.4,0.0,3,3,17.6,15.3,0.21,0.4,-0.3,73.0,3.28,51.0,0.0,9.0,8.0,5.0,0.0,11.0,0.49,6.0,0.0,2.0,2.0,1.0,0.0,"2,000",65,71.7,22.2,24,77.0,2,7,22.0,0,2.42,57,17,40,1.8,0.09,48.0,17.3,30.7,1.38,-0.52,2,0,0.0,16.0,25.0,26.0,7.0,5.0,8.0,1.0,0.0,0.0,54.0,27.0,53.0,33.8,,,,
