Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,19,Châteauroux,frFRA,1.Coupe de la Ligue,,,,,3.0,231.0,0.0,0.0,,,,,3,231,0,0,13.0,"1,203",13.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.07,0.07,0.0,0.07,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6.0,,0.0,0.45,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,203",50.0,35.2,13.4,13.0,,3.0,11.0,,6.0,1.42,16.0,18.0,-2.0,-0.15,-0.23,,,,,,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 5,385(£ 4,677, $5,901)","€ 280,000(£ 243,215, $306,874)",Estimación no verificada,https://fbref.com/es/jugadores/49000148/Mehdi-Merghem
2017-2018,20,Châteauroux,frFRA,2.Ligue 2,24.0,"1,203",0.0,1.0,4.0,248.0,0.0,0.0,,,,,28,"1,451",0,1,8.0,585,6.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,,,,,,,,0.15,0.0,0.15,0.15,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,585,59.0,17.1,6.5,8.0,69.0,2.0,2.0,15.0,0.0,1.1,4.0,8.0,-4.0,-0.62,-0.58,,,,,,4.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
2018-2019,21,Châteauroux,frFRA,2.Ligue 2,10.0,585,1.0,0.0,1.0,90.0,0.0,0.0,,,,,11,675,1,0,9.0,721,8.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.6,1.6,0.1,1.7,20.0,31.0,49.0,0.0,0.12,0.12,0.0,0.12,0.2,0.02,0.21,0.2,0.21,25.0,18.0,15.0,7.0,3.0,11.0,21.0,52.4,10.0,14.0,1.0,13.0,9.0,34.0,6.0,0.0,203.0,290.0,70.0,3418.0,859.0,101.0,122.0,82.8,79.0,106.0,74.5,19.0,41.0,46.3,1.0,0.1,0.3,0.9,2.0,23.0,5.0,3.0,31.0,290.0,285.0,3.0,0.0,1.0,1.0,26.0,3.0,0.0,0.0,0.0,0.0,203.0,2.0,12.0,10.0,81.0,199.0,148.0,17.0,421.0,30.0,17.0,56.7,13.0,43.3,243.0,1760.0,739.0,20.0,16.0,2.0,17.0,18.0,273.0,49.0,0.0,24.0,4.0,16.7,3.0,0.5,0.0,0.0,26.0,1.0,0.0,0.0,1.6,1.6,0.07,-1.6,-1.6,15.0,1.87,9.0,0.0,2.0,1.0,3.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,721,80.0,21.1,8.0,9.0,80.0,4.0,0.0,,1.0,0.78,7.0,12.0,-5.0,-0.62,0.54,8.8,13.0,-4.1,-0.52,-0.22,3.0,0.0,0.0,11.0,7.0,0.0,26.0,9.0,18.0,0.0,0.0,0.0,49.0,8.0,7.0,53.3,,,,
2018-2019,21,Guingamp,frFRA,1.Ligue 1,9.0,721,0.0,1.0,,,,,,,,,9,721,0,1,4.0,360,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.25,0.0,0.25,0.25,0.25,,,,,,,4.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,5.0,71.4,1.75,1.25,0.14,0.2,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,360,30.0,14.3,4.0,4.0,55.0,0.0,8.0,18.0,6.0,1.25,6.0,4.0,2.0,0.5,0.29,,,,,,0.0,0.0,0.0,11.0,7.0,1.0,23.0,1.0,4.0,,,0.0,,,,,,,,
2019-2020,22,Guingamp,frFRA,2.Ligue 2,12.0,360,1.0,0.0,1.0,60.0,0.0,0.0,,,,,13,420,1,0,3.0,313,3.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.29,0.29,0.0,0.29,,,,,,,2.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,4.0,66.7,1.73,1.15,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,313,39.0,9.2,3.5,3.0,60.0,0.0,5.0,26.0,1.0,1.38,6.0,6.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,10.0,7.0,0.0,12.0,4.0,2.0,,,0.0,,,,,,,,
2020-2021,23,Nancy,frFRA,2.Ligue 2,8.0,313,0.0,1.0,,,,,,,,,8,313,0,1,17.0,"1,532",17.0,3.0,2.0,5.0,3.0,0.0,0.0,8.0,1.0,,,,,,,,0.18,0.12,0.29,0.18,0.29,,,,,,,13.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,56.0,13.0,23.2,3.29,0.76,0.05,0.23,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,532",53.0,44.8,17.0,17.0,73.0,1.0,12.0,24.0,0.0,1.59,25.0,23.0,2.0,0.12,0.02,,,,,,8.0,1.0,1.0,34.0,35.0,2.0,57.0,7.0,13.0,,,0.0,,,,,,,,
2021-2022,24,Guingamp,frFRA,2.Ligue 2,29.0,"1,532",3.0,2.0,2.0,54.0,0.0,0.0,,,,,31,"1,586",3,2,5.0,507,5.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,0.18,0.0,0.18,0.18,0.18,,,,,,,5.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,16.0,5.0,31.3,2.84,0.89,0.06,0.2,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,507,42.0,14.8,5.6,5.0,75.0,0.0,7.0,19.0,2.0,1.5,10.0,5.0,5.0,0.89,0.89,,,,,,1.0,0.0,0.0,10.0,15.0,1.0,19.0,4.0,5.0,,,0.0,,,,,,,,
2022-2023,25,Guingamp,frFRA,2.Ligue 2,12.0,507,1.0,0.0,,,,,,,,,12,507,1,0,31.0,"2,567",28.5,5.0,1.0,6.0,5.0,0.0,0.0,4.0,0.0,,,,,,,,0.18,0.04,0.21,0.18,0.21,,,,,,,50.0,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,326.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,63.0,27.0,42.9,2.21,0.95,0.08,0.19,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,567",73.0,75.1,28.5,31.0,80.0,7.0,4.0,21.0,0.0,1.31,33.0,26.0,7.0,0.25,0.56,,,,,,4.0,0.0,0.0,37.0,51.0,3.0,326.0,22.0,50.0,,,0.0,,,,,,,,
2023-2024,26,Guingamp,frFRA,2.Ligue 2,35.0,"2,567",5.0,1.0,2.0,125.0,0.0,0.0,,,,,37,"2,692",5,1,5.0,460,5.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.5,1.8,17.0,23.0,24.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3,0.35,0.05,0.35,17.0,11.0,10.0,4.0,3.0,7.0,14.0,50.0,7.0,9.0,0.0,9.0,4.0,21.0,1.0,0.0,112.0,156.0,71.8,2107.0,751.0,53.0,63.0,84.1,40.0,52.0,76.9,17.0,33.0,51.5,0.0,1.5,1.0,-1.5,10.0,8.0,9.0,3.0,23.0,156.0,128.0,27.0,5.0,1.0,1.0,28.0,6.0,15.0,10.0,3.0,0.0,112.0,1.0,7.0,2.0,35.0,94.0,97.0,13.0,224.0,15.0,10.0,66.7,5.0,33.3,108.0,967.0,524.0,17.0,7.0,5.0,13.0,7.0,132.0,24.0,0.0,9.0,1.0,11.1,1.76,0.2,0.0,0.0,25.0,3.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,19.0,3.72,9.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460,38.0,16.5,5.1,5.0,65.0,0.0,7.0,19.0,0.0,1.0,3.0,7.0,-4.0,-0.78,-0.09,4.0,9.4,-5.4,-1.06,-0.45,2.0,0.0,0.0,14.0,5.0,1.0,28.0,4.0,11.0,0.0,0.0,0.0,22.0,3.0,7.0,30.0,,,,
2024-2025,27,Farense,ptPOR,1.Primeira Liga,12.0,460,0.0,0.0,,,,,,,,,12,460,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
