Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2007-2008,19,Porto,ptPOR,1.Primeira Liga,2,43,0,0,,,,,2,43,0,0,Partidos,https://fbref.com/es/jugadores/37d0048f/Andre-Castro,,,0,43,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,43,22,1.6,0.5,0,,,2,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
2009-2010,21,Olhanense,ptPOR,1.Primeira Liga,28,"2,421",6,1,,,,,28,"2,421",6,1,Partidos,https://fbref.com/es/jugadores/37d0048f/Andre-Castro,,,28,"2,421",26.9,6,1,7,6,0,0,9,0,,,,,,,,0.22,0.04,0.26,0.22,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,20,,,0.74,,0.3,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,421",86,89.7,26.9,28,,21.0,0,,,,,,,,,,,,,,9,0,,29.0,,,,,,,,,,,,,,,,
2010-2011,22,Porto,ptPOR,1.Primeira Liga,1,16,0,0,1.0,6.0,0.0,0.0,2,22,0,0,Partidos,https://fbref.com/es/jugadores/37d0048f/Andre-Castro,,,0,16,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,16,16,0.6,0.2,0,,,1,,,,,,,,,,,,,,0,0,,1.0,,,,,,,,,,,,,,,,
2010-2011,22,Sporting Gijón,esESP,1.La Liga,15,897,2,0,,,,,15,897,2,0,Partidos,https://fbref.com/es/jugadores/37d0048f/Andre-Castro,,,11,897,10.0,2,0,2,2,0,0,3,0,,,,,,,,0.2,0.0,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,,,0.5,,0.4,,,0,0,,,,,,,,,,,,,,,,,,,,,,897,60,26.2,10.0,11,,4.0,4,,,,,,,,,,,,,,3,0,,23.0,,,,,,,,,,,,,,,,
2011-2012,23,Sporting Gijón,esESP,1.La Liga,29,"2,129",2,2,,,,,29,"2,129",2,2,Partidos,https://fbref.com/es/jugadores/37d0048f/Andre-Castro,,,26,"2,129",23.7,2,2,4,2,0,0,7,0,,,,,,,,0.08,0.08,0.17,0.08,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,11,,,0.47,,0.18,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,129",73,62.3,23.7,26,,15.0,3,,,,,,,,,,,,,,7,0,,41.0,,,,,,,,,,,,,,,,
2012-2013,24,Porto,ptPOR,1.Primeira Liga,17,264,1,0,2.0,11.0,0.0,0.0,19,275,1,0,Partidos,https://fbref.com/es/jugadores/37d0048f/Andre-Castro,,,0,264,2.9,1,0,1,1,0,0,0,0,,,,,,,,0.34,0.0,0.34,0.34,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,1.36,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,264,16,9.8,2.9,0,,,17,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
2013-2014,25,Kasımpaşa,trTUR,1.Süper Lig,33,"2,856",3,2,,,,,33,"2,856",3,2,,https://fbref.com/es/jugadores/37d0048f/Andre-Castro,,,32,"2,856",31.7,3,2,5,3,0,0,4,0,,,,,,,,0.09,0.06,0.16,0.09,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,12,,,0.38,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,856",87,93.3,31.7,32,,,1,,,,,,,,,,,,,,4,0,,42.0,,,,,,,,,,,,,,,,
2014-2015,26,Kasımpaşa,trTUR,1.Süper Lig,32,"2,724",5,2,,,,,32,"2,724",5,2,Partidos,https://fbref.com/es/jugadores/37d0048f/Andre-Castro,,,32,"2,724",30.3,5,2,7,5,0,0,8,0,,,,,,,,0.17,0.07,0.23,0.17,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,19,,,0.63,,0.26,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,724",85,89.0,30.3,32,,23.0,0,,0.0,1.13,48.0,64.0,-16.0,-0.53,-0.26,,,,,,8,0,,,,,,,,,,,,,,,,,,
2015-2016,27,Kasımpaşa,trTUR,1.Süper Lig,33,"2,796",4,3,,,,,33,"2,796",4,3,Partidos,https://fbref.com/es/jugadores/37d0048f/Andre-Castro,,,32,"2,796",31.1,4,3,7,4,0,0,5,0,,,,,,,,0.13,0.1,0.23,0.13,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,14,,,0.45,,0.29,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,796",85,91.4,31.1,32,,24.0,1,,0.0,1.42,41.0,36.0,5.0,0.16,-1.54,,,,,,5,0,,58.0,,,,,,,,,,,,,,,,
2016-2017,28,Kasımpaşa,trTUR,1.Süper Lig,33,"2,869",6,3,,,,,33,"2,869",6,3,Partidos,https://fbref.com/es/jugadores/37d0048f/Andre-Castro,,,32,"2,869",31.9,6,3,9,6,0,0,5,0,,,,,,,,0.19,0.09,0.28,0.19,0.28,,,,,,,37.0,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,59.0,20,33.9,1.85,0.63,0.1,0.3,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,869",87,93.8,31.9,32,,24.0,1,,0.0,1.21,42.0,48.0,-6.0,-0.19,-1.6,,,,,,5,0,0.0,39.0,70.0,3.0,122.0,29.0,37.0,0.0,0.0,0.0,,,,,,,,
