Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Partidos,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Tkl,Tkl(Derribos),3.º def.,3.º cent.,3.º ataq.,Tkl(Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),xA,A-xAG,PC,1/3,PPA,CrAP,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,npxG/Sh,G-xG,np:G-xG,Toques,Ataq. pen.,Succ,Exitosa%,Tkld,Tkld%,Transportes,TAP,Errores de control,Des,Rec,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,% Salvadas_penales,TL,TE,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),TI,%deLanzamientos,Long. prom.,%deLanzamientos (Saques de meta),Long. prom. (Saques de meta),Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera (expected),2a amarilla,Fls,FR,TklG,Penal ejecutado,Penal concedido,Recup.,% de ganados,link
Marcelo dos Santos Ferreira,brBRA,DF,35-276,30,30,"2,700",30.0,0,0,0,0,0,0,7,0,0.9,0.9,0.6,1.5,3,48,3,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Partidos,22.0,0.73,20.0,0.0,0.0,2.0,0.0,0.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,46.0,27.0,39.0,6.0,1.0,27.0,39.0,69.2,12.0,39.0,31.0,8.0,29.0,75.0,187.0,2.0,1337.0,1574.0,84.9,28100.0,9167.0,326.0,358.0,91.1,828.0,899.0,92.1,169.0,291.0,58.1,0.5,-0.6,9.0,54.0,1.0,0.0,1493.0,80.0,74.0,1.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,16.7,0.2,0.03,0.0,0.0,9.1,0.15,-0.9,-0.9,1912.0,26.0,1.0,50.0,1.0,50.0,1052.0,0.0,4.0,3.0,1207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,96.8,90,30,0,,0,1.10,33,43,-10,-0.33,-1.33,28.1,34.9,-6.8,-0.23,-1.46,0.0,36.0,24.0,27.0,0.0,1.0,66.0,60.5,/es/jugadores/15a5e48c/Marcelo-dos-Santos-Ferreira
Kewin,brBRA,PO,29-186,29,29,"2,610",29.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,0.0,1.0,26.0,4.0,703.0,1020.0,68.9,20064.0,14159.0,125.0,125.0,100.0,320.0,327.0,97.9,254.0,561.0,45.3,0.0,0.0,1.0,8.0,2.0,0.0,707.0,311.0,82.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,,,,,0.0,0.0,1094.0,0.0,1.0,100.0,0.0,0.0,621.0,0.0,1.0,0.0,486.0,42.0,1.45,114.0,72.0,65.8,9.0,7.0,13.0,6.0,20.7,3.0,3.0,3.0,3.0,0.0,1.0,6.0,39.3,0.33,-2.7,-0.09,789.0,126.0,38.7,35.0,59.0,43.8,472.0,36.0,7.6,19.0,0.66,10.6,90,93.5,90,29,0,,1,1.17,33,42,-9,-0.31,-0.31,29.1,33.4,-4.3,-0.15,+0.47,0.0,0.0,6.0,1.0,0.0,0.0,29.0,78.6,/es/jugadores/aea1afc8/Kewin
Alan,brBRA,CC,25-052,28,28,"2,248",25.0,6,4,10,1,5,5,5,0,6.0,2.0,3.7,5.7,43,148,90,0.24,0.16,0.40,0.04,0.20,0.24,0.15,0.39,0.08,0.23,Partidos,101.0,4.04,73.0,15.0,7.0,3.0,2.0,1.0,9.0,0.36,5.0,3.0,1.0,0.0,0.0,0.0,25.0,9.0,6.0,12.0,7.0,8.0,25.0,32.0,17.0,13.0,1.0,12.0,6.0,31.0,6.0,0.0,914.0,1136.0,80.5,14171.0,4379.0,466.0,516.0,90.3,328.0,382.0,85.9,64.0,133.0,48.1,3.5,0.3,57.0,100.0,27.0,1.0,1001.0,129.0,71.0,3.0,7.0,74.0,5.0,38.0,15.0,18.0,1.0,6.0,13.0,37.1,1.4,0.52,0.03,0.08,25.9,0.06,0.0,-1.0,1333.0,41.0,29.0,61.7,15.0,31.9,841.0,2.0,52.0,44.0,1014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,80.6,80,11,0,,0,1.29,24,34,-10,-0.40,-0.57,22.1,27.3,-5.2,-0.21,-0.15,0.0,30.0,50.0,9.0,0.0,0.0,90.0,19.2,/es/jugadores/b35de685/Alan
Godfried Frimpong,nlNED,DF,25-282,28,27,"2,359",26.2,1,3,4,1,0,0,6,0,0.3,0.3,2.8,3.1,28,61,93,0.04,0.11,0.15,0.04,0.15,0.01,0.11,0.12,0.01,0.12,Partidos,30.0,1.14,27.0,1.0,0.0,0.0,1.0,1.0,6.0,0.23,4.0,1.0,0.0,0.0,1.0,0.0,28.0,18.0,18.0,9.0,1.0,15.0,23.0,65.2,8.0,20.0,6.0,14.0,37.0,65.0,116.0,1.0,784.0,1114.0,70.4,12170.0,5439.0,415.0,485.0,85.6,298.0,393.0,75.8,45.0,156.0,28.8,2.3,0.2,19.0,42.0,32.0,22.0,846.0,264.0,30.0,1.0,6.0,78.0,232.0,2.0,2.0,0.0,0.0,4.0,2.0,40.0,0.19,0.08,0.2,0.5,16.9,0.07,0.7,0.7,1407.0,16.0,9.0,33.3,18.0,66.7,603.0,2.0,27.0,12.0,697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,84.6,87,24,1,21,0,1.21,33,40,-7,-0.27,+0.15,27.2,30.2,-3.0,-0.11,+0.42,0.0,25.0,18.0,18.0,0.0,0.0,77.0,42.3,/es/jugadores/fb5f19d5/Godfried-Frimpong
Maracás,brBRA,DF,31-002,28,25,"2,303",25.6,1,1,2,1,0,0,5,0,1.4,1.4,0.9,2.3,3,33,2,0.04,0.04,0.08,0.04,0.08,0.06,0.04,0.09,0.06,0.09,Partidos,9.0,0.35,5.0,0.0,1.0,3.0,0.0,0.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,29.0,16.0,22.0,7.0,0.0,15.0,22.0,68.2,7.0,31.0,24.0,7.0,25.0,54.0,160.0,1.0,1004.0,1150.0,87.3,19771.0,6239.0,297.0,315.0,94.3,593.0,636.0,93.2,100.0,166.0,60.2,0.1,0.1,1.0,18.0,0.0,0.0,1118.0,29.0,27.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,45.5,0.43,0.2,0.09,0.2,8.9,0.13,-0.4,-0.4,1445.0,15.0,4.0,57.1,3.0,42.9,797.0,0.0,10.0,1.0,933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,82.5,90,25,3,18,2,1.07,29,39,-10,-0.39,-0.58,25.4,30.2,-4.9,-0.19,-0.07,0.0,20.0,15.0,16.0,0.0,0.0,67.0,59.8,/es/jugadores/276127e4/Maracas
Ismael,ptPOR,CC,26-035,29,25,"2,021",22.5,1,1,2,1,0,0,6,0,1.9,1.9,0.7,2.6,14,95,35,0.04,0.04,0.09,0.04,0.09,0.08,0.03,0.12,0.08,0.12,Partidos,40.0,1.78,32.0,0.0,1.0,0.0,5.0,2.0,3.0,0.13,1.0,0.0,0.0,0.0,2.0,0.0,70.0,37.0,32.0,33.0,5.0,24.0,40.0,60.0,16.0,27.0,11.0,16.0,35.0,105.0,49.0,1.0,851.0,1007.0,84.5,14187.0,4258.0,424.0,474.0,89.5,313.0,350.0,89.4,78.0,119.0,65.5,0.7,0.3,15.0,85.0,10.0,3.0,985.0,20.0,19.0,1.0,14.0,16.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,18.2,0.49,0.09,0.09,0.5,20.2,0.17,-0.9,-0.9,1261.0,13.0,7.0,53.8,5.0,38.5,603.0,2.0,30.0,18.0,791.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,72.4,77,10,4,26,1,1.21,20,27,-7,-0.31,-0.08,21.7,22.8,-1.0,-0.05,+0.48,0.0,43.0,36.0,37.0,0.0,0.0,97.0,48.1,/es/jugadores/0ea6e37d/Ismael
Dinis Pinto,ptPOR,DF,24-248,24,21,"1,901",21.1,2,1,3,2,0,0,6,0,1.6,1.6,1.3,2.9,49,64,89,0.09,0.05,0.14,0.09,0.14,0.08,0.06,0.14,0.08,0.14,Partidos,34.0,1.61,24.0,5.0,1.0,3.0,1.0,0.0,4.0,0.19,1.0,2.0,0.0,1.0,0.0,0.0,52.0,32.0,31.0,16.0,5.0,33.0,50.0,66.0,17.0,22.0,6.0,16.0,21.0,73.0,78.0,0.0,820.0,1105.0,74.2,12598.0,5052.0,425.0,490.0,86.7,304.0,410.0,74.1,52.0,134.0,38.8,2.1,-0.3,12.0,40.0,14.0,13.0,829.0,272.0,29.0,0.0,5.0,59.0,243.0,0.0,0.0,0.0,0.0,4.0,5.0,23.8,0.99,0.24,0.1,0.4,14.5,0.08,0.4,0.4,1380.0,39.0,12.0,37.5,15.0,46.9,604.0,2.0,28.0,19.0,702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,68.1,87,17,3,24,5,1.25,28,28,0,0.00,+0.91,22.2,23.0,-0.8,-0.04,+0.44,0.0,42.0,29.0,32.0,0.0,1.0,72.0,44.8,/es/jugadores/a968014d/Dinis-Pinto
Lawrence Ofori,ghGHA,CC,26-305,25,20,"1,780",19.8,1,1,2,1,0,0,1,0,0.1,0.1,0.8,1.0,17,93,13,0.05,0.05,0.10,0.05,0.10,0.01,0.04,0.05,0.01,0.05,Partidos,47.0,2.38,40.0,2.0,1.0,1.0,0.0,3.0,2.0,0.1,1.0,0.0,1.0,0.0,0.0,0.0,30.0,18.0,14.0,14.0,2.0,13.0,33.0,39.4,20.0,11.0,1.0,10.0,21.0,51.0,23.0,3.0,922.0,1046.0,88.1,15539.0,4682.0,425.0,458.0,92.8,393.0,421.0,93.3,73.0,121.0,60.3,0.9,0.2,14.0,100.0,11.0,0.0,984.0,60.0,57.0,4.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,33.3,0.3,0.1,0.17,0.5,29.1,0.02,0.9,0.9,1208.0,4.0,13.0,68.4,5.0,26.3,732.0,1.0,32.0,19.0,833.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,63.8,81,11,5,32,0,1.24,24,28,-4,-0.20,+0.24,21.2,23.7,-2.5,-0.13,+0.14,0.0,10.0,29.0,18.0,0.0,0.0,120.0,21.4,/es/jugadores/643d81ad/Lawrence-Ofori
Guilherme Schettine,brBRA,DL,29-201,27,17,"1,521",16.9,5,3,8,5,0,0,4,1,4.4,4.4,1.5,5.9,21,18,50,0.30,0.18,0.47,0.30,0.47,0.26,0.09,0.35,0.26,0.35,Partidos,37.0,2.19,23.0,0.0,4.0,5.0,4.0,1.0,5.0,0.3,3.0,0.0,1.0,1.0,0.0,0.0,9.0,5.0,2.0,4.0,3.0,4.0,10.0,40.0,6.0,10.0,2.0,8.0,1.0,10.0,18.0,0.0,201.0,292.0,68.8,2573.0,461.0,111.0,142.0,78.2,59.0,90.0,65.6,8.0,14.0,57.1,0.7,1.5,16.0,10.0,5.0,1.0,250.0,42.0,0.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,41.5,2.43,1.01,0.12,0.29,17.6,0.11,0.6,0.6,489.0,56.0,12.0,37.5,20.0,62.5,271.0,5.0,47.0,17.0,335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,54.5,77,4,10,22,1,1.07,20,29,-9,-0.53,-0.53,16.2,19.9,-3.7,-0.22,-0.09,0.0,38.0,29.0,5.0,0.0,0.0,47.0,45.1,/es/jugadores/6b074beb/Guilherme-Schettine
Bernardo Martins,ptPOR,"DL,CC",27-146,29,17,"1,456",16.2,3,3,6,3,0,0,5,0,1.2,1.2,1.6,2.9,20,73,69,0.19,0.19,0.37,0.19,0.37,0.08,0.10,0.18,0.08,0.18,Partidos,46.0,2.84,31.0,7.0,4.0,2.0,1.0,1.0,7.0,0.43,6.0,1.0,0.0,0.0,0.0,0.0,32.0,19.0,11.0,15.0,6.0,14.0,46.0,30.4,32.0,20.0,1.0,19.0,10.0,42.0,19.0,2.0,482.0,610.0,79.0,7425.0,2247.0,257.0,303.0,84.8,154.0,179.0,86.0,39.0,71.0,54.9,1.8,1.4,20.0,63.0,14.0,1.0,576.0,31.0,17.0,5.0,4.0,21.0,7.0,6.0,0.0,6.0,0.0,3.0,9.0,34.6,1.61,0.56,0.12,0.33,22.8,0.05,1.8,1.8,824.0,18.0,26.0,52.0,20.0,40.0,469.0,6.0,42.0,30.0,562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,52.2,71,4,12,20,2,1.14,22,27,-5,-0.31,-0.04,15.2,19.0,-3.8,-0.23,-0.12,0.0,40.0,27.0,19.0,0.0,0.0,76.0,43.5,/es/jugadores/a2b07e59/Bernardo-Martins
