Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,22,Racing Club,arARG,1.Primera Div,1,90,0,0,,,,,,,,,1,90,0,0,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,21,66.7,379,290,4,4,100.0,6,6,100.0,3,10,30.0,0,0.0,0.0,0.0,0,2,0,0,0,21,14,7,0,0,0,0,0,0,0,0,0,14,0,0,21,23,0,0,0,23,0,0,,0,,10,88,68,0,0,0,0,0,8,0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,90,90,3.3,1.0,1,90,1,0,,25,3.0,2,1,1,1.0,0.66,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"€ 14,231(£ 12,361, $15,597)","€ 740,000(£ 642,782, $811,024)",Estimación no verificada,https://fbref.com/es/jugadores/a111cf41/Juan-Musso
2017-2018,23,Racing Club,arARG,1.Liga Argentina,22,"1,980",0,0,,,,,,,,,22,"1,980",0,0,22,"1,980",22.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0.0,1,0,0,0,4,5,13,2,374,596,62.8,12089,9708,60,60,100.0,133,139,95.7,177,391,45.3,0,0.0,0.0,0.0,0,2,0,0,0,596,377,217,53,0,1,0,0,0,0,0,0,374,2,0,535,660,0,0,0,660,0,0,,0,,314,2314,1873,0,0,0,1,0,181,0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,"1,980",90,81.5,22.0,22,90,22,0,,2,1.73,42,29,13,0.59,0.39,37.5,27.4,10.1,0.46,0.15,1,0,0,1,2,0,0,4,0,0,1,1,17,4,0,100.0,"€ 14,231(£ 12,361, $15,597)","€ 740,000(£ 642,782, $811,024)",,https://fbref.com/es/jugadores/a111cf41/Juan-Musso
2018-2019,24,Udinese,itITA,1.Serie A,29,"2,610",0,0,,,,,,,,,29,"2,610",0,0,29,"2,610",29.0,0,0,0,0,0,0,4,0,0.0,0.0,0.1,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,10,4,534,879,60.8,19932,15984,30,30,100.0,176,182,96.7,327,659,49.6,0,0.1,0.0,-0.1,1,7,0,0,0,879,492,380,66,0,3,0,1,0,0,0,0,534,7,0,845,953,3,0,0,956,0,0,,0,,444,2996,2328,0,0,0,2,0,263,0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,4,0.14,2,2,0,0,0,0,0,0.0,0,0,0,0,0,0,"2,610",90,76.3,29.0,29,90,29,0,,8,1.21,31,40,-9,-0.31,0.25,32.6,47.1,-14.4,-0.5,-0.19,4,0,0,1,5,0,0,0,0,0,1,0,28,14,1,93.3,"€ 21,346(£ 18,542, $23,395)","€ 1,110,000(£ 964,173, $1,216,536)",,https://fbref.com/es/jugadores/a111cf41/Juan-Musso
2019-2020,25,Udinese,itITA,1.Serie A,38,"3,420",0,0,1.0,90.0,0.0,0.0,,,,,39,"3,510",0,0,38,"3,420",38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,18,2,895,1174,76.2,24334,17295,199,200,99.5,369,374,98.7,318,585,54.4,0,0.1,0.0,-0.1,2,8,0,0,0,1174,721,449,91,0,2,0,0,0,0,0,0,895,4,2,1124,1283,5,1,1,1288,1,1,100.0,0,0.0,616,3851,2665,0,0,0,2,0,409,0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,4,0.11,2,2,0,0,0,0,0,0.0,0,0,0,0,0,0,"3,420",90,100.0,38.0,38,90,38,0,,0,1.18,37,51,-14,-0.37,,41.6,53.4,-11.8,-0.31,,1,0,0,1,3,0,0,1,0,0,1,0,66,3,0,100.0,"€ 56,923(£ 49,445, $62,386)","€ 2,960,000(£ 2,571,129, $3,244,095)",,https://fbref.com/es/jugadores/a111cf41/Juan-Musso
2020-2021,26,Udinese,itITA,1.Serie A,35,"3,147",0,0,1.0,120.0,0.0,0.0,,,,,36,"3,267",0,0,35,"3,147",35.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,8,1,769,1017,75.6,20946,14856,170,170,100.0,336,342,98.2,253,492,51.4,0,0.0,0.0,0.0,0,6,0,0,0,1017,674,340,85,0,2,0,1,0,0,0,0,769,3,0,958,1086,7,1,1,1093,1,1,100.0,0,0.0,600,3560,2172,0,1,1,0,0,400,0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,1,0.03,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,"3,147",90,92.0,35.0,35,90,34,0,,0,1.06,36,51,-15,-0.43,-0.1,41.4,48.5,-7.0,-0.2,-0.27,5,0,0,4,4,0,0,1,1,0,4,0,43,8,0,100.0,"€ 56,923(£ 48,972, $62,243)","€ 2,960,000(£ 2,546,519, $3,236,643)",,https://fbref.com/es/jugadores/a111cf41/Juan-Musso
2021-2022,27,Atalanta,itITA,1.Serie A,33,"2,932",0,0,2.0,180.0,0.0,0.0,12.0,"1,080",0.0,0.0,47,"4,192",0,0,33,"2,932",32.6,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,17,1,715,958,74.6,20801,14921,97,97,100.0,349,355,98.3,262,490,53.5,0,0.0,0.0,0.0,0,11,0,0,0,958,688,264,56,0,2,0,0,0,0,0,0,715,6,2,831,1010,10,0,0,1019,1,1,100.0,0,0.0,589,3258,2006,0,0,0,0,0,451,0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,3,0.09,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,"2,932",89,85.7,32.6,33,89,32,0,,4,1.7,61,42,19,0.58,0.95,53.6,39.9,13.6,0.42,-0.23,1,1,0,3,1,0,0,0,1,0,1,0,26,6,0,100.0,"€ 56,923(£ 48,090, $61,172)","€ 2,960,000(£ 2,500,694, $3,180,948)",,https://fbref.com/es/jugadores/a111cf41/Juan-Musso
2022-2023,28,Atalanta,itITA,1.Serie A,24,"2,077",0,0,2.0,180.0,0.0,0.0,,,,,26,"2,257",0,0,24,"2,077",23.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,11,1,513,705,72.8,14449,10079,93,93,100.0,243,246,98.8,174,360,48.3,0,0.1,0.0,-0.1,1,0,0,0,0,705,497,207,50,0,3,0,0,0,0,0,0,513,1,1,654,742,3,0,0,745,0,0,,0,,436,2893,1620,0,1,1,2,0,316,0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,1,0.04,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,"2,077",87,60.7,23.1,24,87,23,0,,10,1.79,41,27,14,0.61,0.34,36.5,23.5,13.1,0.57,0.35,1,0,0,0,5,0,0,0,1,0,0,1,18,1,0,100.0,"€ 64,038(£ 55,046, $72,729)","€ 3,330,000(£ 2,862,415, $3,781,920)",,https://fbref.com/es/jugadores/a111cf41/Juan-Musso
2023-2024,29,Atalanta,itITA,1.Serie A,11,990,0,0,1.0,90.0,0.0,0.0,12.0,"1,080",0.0,0.0,24,"2,160",0,0,11,990,11.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,6,0,278,371,74.9,7215,4905,55,55,100.0,148,150,98.7,74,163,45.4,0,0.0,0.0,0.0,0,3,0,0,0,371,282,87,17,0,1,0,0,0,0,0,0,278,2,0,331,392,5,0,0,396,0,0,,0,,247,1394,921,0,0,0,2,0,191,0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,1,0.09,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,990,90,28.9,11.0,11,90,11,0,,27,1.73,19,12,7,0.64,-0.22,16.2,10.1,6.0,0.55,0.15,0,0,0,1,0,0,0,0,0,0,1,0,22,2,0,100.0,,,,
2024-2025,30,Atalanta,itITA,1.Serie A,1,90,0,0,,,,,1.0,90,0.0,0.0,2,180,0,0,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,17,33,51.5,486,331,2,2,100.0,9,9,100.0,6,22,27.3,0,0.0,0.0,0.0,0,0,0,0,0,33,17,16,2,0,0,0,0,0,0,0,0,17,0,0,30,35,0,0,0,35,0,0,,0,,12,91,48,0,0,0,0,0,10,0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,90,90,2.9,1.0,1,90,1,0,,1,3.0,4,0,4,4.0,3.03,1.7,1.5,0.2,0.17,-0.54,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,
2024-2025,30,Atlético Madrid,esESP,1.La Liga,1,90,0,0,7.0,630.0,0.0,0.0,,,,,8,720,0,0,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,23,29,79.3,443,264,5,5,100.0,16,16,100.0,2,7,28.6,0,0.0,0.0,0.0,0,0,0,0,0,29,13,15,4,0,1,0,0,0,0,0,0,23,1,0,29,30,0,0,0,30,0,0,,0,,13,50,34,0,0,0,0,0,9,0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,90,90,3.0,1.0,1,90,1,0,,30,3.0,1,0,1,1.0,0.13,1.7,0.3,1.4,1.44,0.76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
