Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2012-2013,19,Schalke 04,deGER,1.Bundesliga,16,"1,105",0,1,,,,,3.0,270.0,0.0,0.0,19,"1,375",0,1,12,"1,105",12.3,0,1,1,0,0,0,2,0,,,,,,,,0.0,0.08,0.08,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3,,,0.24,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,105",69,36.1,12.3,12,,11,4,,,,,,,,,,,,,,2,0,,29,,,,,,,,,,,,,"€ 14,038(£ 12,194, $15,386)","€ 730,000(£ 634,096, $800,064)",Estimación no verificada,https://fbref.com/es/jugadores/3935e52e/Sead-Kolasinac
2013-2014,20,Schalke 04,deGER,1.Bundesliga,24,"1,851",0,2,,,,,6.0,300.0,0.0,0.0,30,"2,151",0,2,21,"1,851",20.6,0,2,2,0,0,0,5,0,,,,,,,,0.0,0.1,0.1,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3,,,0.15,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,851",77,60.5,20.6,21,,16,3,,,,,,,,,,,,,,5,0,,30,,,,,,,,,,,,,"€ 12,308(£ 10,691, $13,489)","€ 640,000(£ 555,920, $701,426)",Estimación no verificada,https://fbref.com/es/jugadores/3935e52e/Sead-Kolasinac
2014-2015,21,Schalke 04,deGER,1.Bundesliga,6,451,0,0,1.0,90.0,0.0,0.0,,,,,7,541,0,0,6,451,5.0,0,0,0,0,0,0,3,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,0.2,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,451,75,14.7,5.0,6,,4,0,,4.0,0.83,2.0,5.0,-3.0,-0.6,-0.77,,,,,,3,0,,6,,,,,,,,,,,,,"€ 11,923(£ 10,357, $13,067)","€ 620,000(£ 538,547, $679,506)",Estimación no verificada,https://fbref.com/es/jugadores/3935e52e/Sead-Kolasinac
2015-2016,22,Schalke 04,deGER,1.Bundesliga,23,"1,574",1,0,1.0,75.0,0.0,0.0,6.0,402.0,0.0,1.0,30,"2,051",1,1,18,"1,574",17.5,1,0,1,1,0,0,5,0,,,,,,,,0.06,0.0,0.06,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,0.17,,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,574",68,51.4,17.5,18,,14,5,,10.0,1.7,26.0,26.0,0.0,0.0,-0.12,,,,,,5,0,,35,,,,,,,,,,,,,"€ 14,423(£ 12,528, $15,807)","€ 750,000(£ 651,468, $821,984)",Estimación no verificada,https://fbref.com/es/jugadores/3935e52e/Sead-Kolasinac
2016-2017,23,Schalke 04,deGER,1.Bundesliga,25,"2,065",3,5,3.0,239.0,0.0,1.0,8.0,581.0,0.0,2.0,36,"2,885",3,8,24,"2,065",22.9,3,5,8,3,0,0,5,0,,,,,,,,0.13,0.22,0.35,0.13,0.35,,,,,,,52.0,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,17.0,5,29.4,0.74,0.22,0.18,0.6,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,065",83,67.5,22.9,24,,18,1,,5.0,1.6,36.0,19.0,17.0,0.74,1.83,,,,,,5,0,0.0,39,22.0,5.0,50.0,79.0,52.0,0.0,1.0,1.0,,,,,"£ 100,000(€ 115,113, $126,180)","£ 5,200,000(€ 5,985,896, $6,561,382)",Estimación no verificada,https://fbref.com/es/jugadores/3935e52e/Sead-Kolasinac
2017-2018,24,Arsenal,engENG,1.Premier League,27,"2,147",2,4,4.0,251.0,1.0,0.0,5.0,224.0,2.0,0.0,36,"2,622",5,4,25,"2,147",23.9,2,4,6,2,0,0,3,0,2.2,2.2,3.5,5.8,68.0,105.0,186.0,0.08,0.17,0.25,0.08,0.25,0.09,0.15,0.24,0.09,0.24,49.0,37.0,28.0,13.0,8.0,20.0,39.0,51.3,19.0,15.0,3.0,12.0,26.0,75.0,56.0,0.0,1203.0,1515.0,79.4,17835.0,5821.0,648.0,753.0,86.1,469.0,576.0,81.4,40.0,86.0,46.5,4,3.5,3.3,0.5,19.0,69.0,19.0,6.0,105.0,1515.0,1294.0,219.0,16.0,0.0,4.0,42.0,203.0,0.0,0.0,0.0,0.0,1203.0,2.0,38.0,56.0,403.0,766.0,565.0,86.0,1726.0,22.0,12.0,54.5,10.0,45.5,935.0,4189.0,2707.0,68.0,52.0,17.0,22.0,16.0,1108.0,186.0,2,21.0,6,28.6,0.88,0.25,0.1,0.33,13.2,0.0,0,0,2.2,2.2,0.11,-0.2,-0.2,50.0,2.1,41.0,3.0,3.0,2.0,1.0,0.0,6.0,0.25,6.0,0.0,0.0,0.0,0.0,0.0,"2,147",80,62.8,23.9,25,,19,2,,9.0,1.89,49.0,30.0,19.0,0.8,0.51,45.4,28.5,17.0,0.71,0.46,3,0,0.0,32,10.0,1.0,42.0,26.0,37.0,0.0,0.0,0.0,134.0,47.0,32.0,59.5,"£ 100,000(€ 115,113, $126,180)","£ 5,200,000(€ 5,985,896, $6,561,382)",Estimación no verificada,https://fbref.com/es/jugadores/3935e52e/Sead-Kolasinac
2018-2019,25,Arsenal,engENG,1.Premier League,24,"1,887",0,5,2.0,172.0,0.0,0.0,10.0,726.0,0.0,2.0,36,"2,785",0,7,22,"1,887",21.0,0,5,5,0,0,0,5,0,0.4,0.4,6.0,6.3,74.0,76.0,179.0,0.0,0.24,0.24,0.0,0.24,0.02,0.28,0.3,0.02,0.3,34.0,21.0,21.0,7.0,6.0,20.0,34.0,58.8,14.0,12.0,3.0,9.0,20.0,54.0,28.0,3.0,951.0,1229.0,77.4,13166.0,4258.0,568.0,649.0,87.5,290.0,371.0,78.2,40.0,77.0,51.9,5,6.0,4.7,-1.0,31.0,44.0,25.0,9.0,76.0,1229.0,1008.0,216.0,11.0,3.0,4.0,51.0,202.0,3.0,1.0,1.0,0.0,951.0,5.0,49.0,40.0,330.0,602.0,492.0,79.0,1416.0,24.0,13.0,54.2,11.0,45.8,658.0,3388.0,2102.0,74.0,38.0,24.0,31.0,17.0,862.0,179.0,0,9.0,2,22.2,0.43,0.1,0.0,0.0,17.5,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,49.0,2.34,42.0,1.0,4.0,0.0,1.0,1.0,10.0,0.48,9.0,0.0,0.0,0.0,1.0,0.0,"1,887",79,55.2,21.0,22,84.0,16,2,23.0,5.0,1.71,37.0,29.0,8.0,0.38,-0.44,32.4,29.2,3.2,0.15,0.0,5,0,0.0,21,10.0,10.0,51.0,20.0,21.0,1.0,1.0,0.0,126.0,19.0,28.0,40.4,"£ 100,000(€ 115,113, $126,180)","£ 5,200,000(€ 5,985,896, $6,561,382)",Estimación no verificada,https://fbref.com/es/jugadores/3935e52e/Sead-Kolasinac
2019-2020,26,Arsenal,engENG,1.Premier League,26,"1,701",0,2,5.0,266.0,0.0,0.0,1.0,79.0,0.0,0.0,32,"2,046",0,2,19,"1,701",18.9,0,2,2,0,0,0,4,0,0.4,0.4,1.3,1.7,36.0,74.0,88.0,0.0,0.11,0.11,0.0,0.11,0.02,0.07,0.09,0.02,0.09,29.0,16.0,18.0,6.0,5.0,12.0,23.0,52.2,11.0,14.0,4.0,10.0,25.0,54.0,34.0,1.0,877.0,1041.0,84.2,12502.0,3694.0,516.0,565.0,91.3,301.0,367.0,82.0,30.0,52.0,57.7,2,1.3,1.2,0.7,10.0,46.0,13.0,4.0,74.0,1041.0,925.0,113.0,4.0,0.0,1.0,29.0,109.0,0.0,0.0,0.0,0.0,877.0,3.0,15.0,61.0,361.0,570.0,281.0,29.0,1202.0,21.0,16.0,76.2,5.0,23.8,631.0,3253.0,2016.0,36.0,33.0,11.0,21.0,11.0,755.0,88.0,0,4.0,0,0.0,0.21,0.0,0.0,,12.2,0.0,0,0,0.4,0.4,0.1,-0.4,-0.4,28.0,1.48,28.0,0.0,0.0,0.0,0.0,0.0,3.0,0.16,3.0,0.0,0.0,0.0,0.0,0.0,"1,701",65,49.7,18.9,19,81.0,14,7,23.0,3.0,1.58,28.0,26.0,2.0,0.11,-0.21,25.5,23.1,2.4,0.13,0.69,4,0,0.0,20,16.0,5.0,29.0,25.0,16.0,0.0,0.0,0.0,103.0,27.0,19.0,58.7,"€ 111,154(£ 96,551, $121,822)","€ 5,780,000(£ 5,020,650, $6,334,754)",,https://fbref.com/es/jugadores/3935e52e/Sead-Kolasinac
2020-2021,27,Schalke 04,deGER,1.Bundesliga,17,"1,426",1,1,1.0,61.0,0.0,0.0,,,,,18,"1,487",1,1,16,"1,426",15.8,1,1,2,1,0,0,5,0,0.3,0.3,1.4,1.7,33.0,51.0,61.0,0.06,0.06,0.13,0.06,0.13,0.02,0.09,0.11,0.02,0.11,20.0,17.0,10.0,7.0,3.0,8.0,18.0,44.4,10.0,17.0,5.0,12.0,20.0,40.0,17.0,0.0,583.0,738.0,79.0,8755.0,3095.0,310.0,356.0,87.1,230.0,285.0,80.7,23.0,50.0,46.0,1,1.4,0.9,-0.4,13.0,28.0,9.0,4.0,51.0,738.0,628.0,109.0,14.0,0.0,0.0,19.0,94.0,0.0,0.0,0.0,0.0,583.0,1.0,12.0,49.0,270.0,416.0,192.0,29.0,872.0,24.0,15.0,62.5,9.0,37.5,439.0,2295.0,1470.0,33.0,19.0,6.0,19.0,8.0,520.0,61.0,1,6.0,1,16.7,0.38,0.06,0.17,1.0,15.1,0.0,0,0,0.3,0.3,0.06,0.7,0.7,22.0,1.39,16.0,0.0,4.0,0.0,1.0,1.0,2.0,0.13,2.0,0.0,0.0,0.0,0.0,0.0,"1,426",84,46.6,15.8,16,88.0,14,1,17.0,0.0,0.53,12.0,38.0,-26.0,-1.64,0.29,11.4,27.2,-15.8,-1.0,0.36,5,0,0.0,19,13.0,2.0,19.0,20.0,17.0,0.0,1.0,0.0,104.0,14.0,21.0,40.0,"£ 100,000(€ 115,113, $126,180)","£ 5,200,000(€ 5,985,896, $6,561,382)",,https://fbref.com/es/jugadores/3935e52e/Sead-Kolasinac
2020-2021,27,Arsenal,engENG,1.Premier League,1,90,0,0,4.0,308.0,0.0,0.0,4.0,360.0,0.0,0.0,9,758,0,0,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,57.0,67.0,85.1,814.0,147.0,33.0,36.0,91.7,22.0,23.0,95.7,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,67.0,62.0,4.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,57.0,1.0,2.0,2.0,13.0,39.0,17.0,2.0,69.0,0.0,0.0,,0.0,,31.0,110.0,62.0,2.0,0.0,1.0,0.0,0.0,50.0,9.0,0,0.0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,90,2.6,1.0,1,90.0,1,0,,3.0,3.0,2.0,1.0,1.0,1.0,0.59,1.1,2.0,-0.9,-0.9,-1.16,0,0,0.0,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0,"£ 100,000(€ 115,113, $126,180)","£ 5,200,000(€ 5,985,896, $6,561,382)",,https://fbref.com/es/jugadores/3935e52e/Sead-Kolasinac
