Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Partidos,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Tkl,Tkl(Derribos),3.º def.,3.º cent.,3.º ataq.,Tkl(Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),xA,A-xAG,PC,1/3,PPA,CrAP,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,npxG/Sh,G-xG,np:G-xG,Toques,Ataq. pen.,Succ,Exitosa%,Tkld,Tkld%,Transportes,TAP,Errores de control,Des,Rec,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,% Salvadas_penales,TL,TE,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),TI,%deLanzamientos,Long. prom.,%deLanzamientos (Saques de meta),Long. prom. (Saques de meta),Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera (expected),2a amarilla,Fls,FR,TklG,Penal ejecutado,Penal concedido,Recup.,% de ganados,link
Gabriel Strefezza,brBRA,"DL,CC",28-011,33,29,"2,332",25.9,4,4,8,4,0,0,4,0,3.4,3.4,3.5,7.0,63,97,155,0.15,0.15,0.31,0.15,0.31,0.13,0.14,0.27,0.13,0.27,Partidos,101,3.90,69,22,2,3,3,2,4,0.15,4,0,0,0,0,0,52,38,19,18,15,20,50,40.0,30,23,2,21,12,64,23,0,791,1052,75.2,12108,3131,441,495,89.1,231,303,76.2,66,135,48.9,3.6,+0.5,52,62,26,8,946,98,31,6,10,108,6,57,18,20,0,8,18,34.0,2.05,0.69,0.08,0.22,20.5,0.06,+0.6,+0.6,1348,79,34,43.6,32,41.0,942,27,45,50,1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,76.2,78,6,4,19,0,1.27,32,30,+2,+0.08,+0.82,26.7,23.8,+2.9,+0.11,+0.07,0,44,66,38,0,0,103,29.0,/es/jugadores/ac4a4508/Gabriel-Strefezza
Marc-Oliver Kempf,deGER,DF,30-091,28,27,"2,345",26.1,0,0,0,0,0,0,5,1,1.3,1.3,1.2,2.5,14,79,3,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.10,0.05,0.10,Partidos,33,1.27,28,0,0,5,0,0,1,0.04,1,0,0,0,0,0,28,19,13,14,1,12,22,54.5,10,29,21,8,31,59,119,3,1323,1520,87.0,23240,8743,570,616,92.5,627,672,93.3,106,187,56.7,1.2,-1.2,10,104,9,1,1396,115,53,3,12,4,12,0,0,0,0,9,3,20.0,0.58,0.12,0.00,0.00,11.2,0.09,-1.3,-1.3,1779,21,4,80.0,1,20.0,1007,1,10,4,1157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,76.6,86,23,1,22,0,1.43,39,33,+6,+0.23,+1.49,33.3,27.7,+5.7,+0.22,+0.52,1,19,17,19,0,0,92,73.2,/es/jugadores/815c314f/Marc-Oliver-Kempf
Nicolás Paz,arARG,"CC,DL",20-233,31,26,"2,338",26.0,6,6,12,6,0,1,6,0,8.4,7.6,5.4,13.0,71,144,137,0.23,0.23,0.46,0.23,0.46,0.32,0.21,0.53,0.29,0.50,Partidos,125,4.81,82,11,18,8,5,1,13,0.50,11,0,2,0,0,0,48,31,16,25,7,23,45,51.1,22,43,2,41,19,67,14,0,852,1057,80.6,11997,3479,515,577,89.3,258,306,84.3,42,85,49.4,3.3,+0.6,47,101,34,2,1001,46,16,10,2,40,3,22,6,9,0,10,36,37.5,3.70,1.39,0.06,0.17,20.4,0.08,-2.4,-1.6,1459,77,64,52.5,50,41.0,940,15,90,39,1078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,76.4,85,15,5,26,1,1.32,35,34,+1,+0.04,+0.66,31.7,26.7,+5.0,+0.19,+0.41,0,40,30,31,0,1,111,58.3,/es/jugadores/01bb93d5/Nicolas-Paz
Lucas Da Cunha,frFRA,CC,23-324,32,26,"2,287",25.4,3,2,5,3,0,0,4,0,1.9,1.9,3.5,5.4,59,121,77,0.12,0.08,0.20,0.12,0.20,0.08,0.14,0.21,0.08,0.21,Partidos,96,3.78,61,26,1,5,2,1,7,0.28,4,2,0,0,0,1,37,19,14,15,8,16,32,50.0,16,15,3,12,14,51,29,1,1222,1458,83.8,19913,5513,608,667,91.2,460,518,88.8,102,183,55.7,4.2,-1.5,49,116,27,8,1328,127,70,2,10,94,5,52,11,24,0,3,12,38.7,1.22,0.47,0.10,0.25,22.6,0.06,+1.1,+1.1,1661,38,9,36.0,16,64.0,1039,13,19,15,1177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,74.7,82,12,6,25,2,1.22,32,33,-1,-0.04,+0.31,29.9,25.4,+4.5,+0.18,+0.32,0,18,23,19,0,0,135,40.5,/es/jugadores/007faf7a/Lucas-Da-Cunha
Edoardo Goldaniga,itITA,DF,31-178,29,25,"2,262",25.1,1,0,1,1,0,0,11,1,2.5,2.5,0.1,2.6,18,64,7,0.04,0.00,0.04,0.04,0.04,0.10,0.01,0.10,0.10,0.10,Partidos,23,0.91,17,2,0,4,0,0,3,0.12,2,0,0,1,0,0,31,19,18,8,5,11,15,73.3,4,17,8,9,27,58,89,3,1142,1333,85.7,21341,8018,437,464,94.2,588,644,91.3,98,181,54.1,0.3,-0.1,3,70,5,1,1195,133,59,0,13,6,58,0,0,0,0,5,5,45.5,0.44,0.20,0.09,0.20,9.1,0.22,-1.5,-1.5,1545,23,3,42.9,4,57.1,891,0,10,7,1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,73.9,89,24,4,12,3,1.31,29,36,-7,-0.28,-0.62,29.1,29.5,-0.4,-0.02,-0.43,1,39,30,19,0,0,65,59.2,/es/jugadores/4b029b31/Edoardo-Goldaniga
Patrick Cutrone,itITA,DL,27-116,29,22,"1,894",21.0,6,4,10,6,0,1,1,0,6.0,5.3,2.1,7.4,49,29,143,0.29,0.19,0.48,0.29,0.48,0.29,0.10,0.39,0.25,0.35,Partidos,46,2.18,32,0,1,8,3,2,6,0.28,6,0,0,0,0,0,14,10,0,9,5,5,11,45.5,6,11,0,11,3,17,7,0,318,454,70.0,4207,643,195,247,78.9,90,121,74.4,8,20,40.0,2.0,+1.9,19,15,10,2,401,49,0,0,2,30,2,0,0,0,0,4,22,37.3,2.80,1.05,0.10,0.27,15.8,0.09,0.0,+0.7,650,107,9,39.1,11,47.8,417,22,60,25,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,61.9,78,5,7,25,5,1.00,26,30,-4,-0.19,-0.19,25.3,23.9,+1.4,+0.07,-0.07,0,22,24,10,1,0,52,26.8,/es/jugadores/a4fe8cda/Patrick-Cutrone
Alberto Dossena,itITA,DF,26-198,23,20,"1,825",20.3,0,2,2,0,0,0,1,1,0.8,0.8,0.7,1.5,4,36,1,0.00,0.10,0.10,0.00,0.10,0.04,0.03,0.07,0.04,0.07,Partidos,11,0.54,9,0,1,1,0,0,2,0.10,1,0,0,1,0,0,33,20,23,8,2,16,28,57.1,12,22,11,11,22,55,89,1,894,1020,87.6,16693,5441,310,336,92.3,507,547,92.7,65,110,59.1,0.4,+1.3,5,33,1,0,952,65,43,0,3,1,4,0,0,0,0,3,3,25.0,0.59,0.15,0.00,0.00,11.3,0.07,-0.8,-0.8,1220,20,4,66.7,2,33.3,693,0,8,3,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,59.6,87,14,3,29,3,0.91,25,34,-9,-0.44,-0.81,22.7,22.9,-0.2,-0.01,-0.26,0,22,16,20,0,2,68,71.1,/es/jugadores/61efb926/Alberto-Dossena
Alieu Fadera,gmGAM,"DL,DF",23-177,26,20,"1,620",18.0,1,3,4,1,0,0,2,1,1.6,1.6,3.9,5.5,73,35,160,0.06,0.17,0.22,0.06,0.22,0.09,0.21,0.30,0.09,0.30,Partidos,51,2.83,35,1,5,3,6,1,7,0.39,6,0,1,0,0,0,63,46,25,26,12,20,45,44.4,25,17,1,16,11,74,10,0,431,579,74.4,6104,1609,245,278,88.1,137,189,72.5,23,42,54.8,1.9,-0.9,22,13,24,5,529,49,1,3,3,39,48,0,0,0,0,1,9,33.3,1.50,0.50,0.04,0.11,18.8,0.06,-0.6,-0.6,828,59,26,38.8,33,49.3,536,31,41,33,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,52.9,77,6,6,15,5,1.19,24,24,0,0.00,+0.25,21.1,18.1,+3.0,+0.17,+0.15,0,40,49,46,0,0,93,42.3,/es/jugadores/53210e42/Alieu-Fadera
Alberto Moreno,esESP,DF,32-298,21,19,"1,551",17.2,0,0,0,0,0,0,4,0,0.3,0.3,1.1,1.5,22,71,54,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Partidos,33,1.91,29,3,0,1,0,0,2,0.12,2,0,0,0,0,0,24,11,16,8,0,12,23,52.2,11,12,3,9,12,36,33,2,789,955,82.6,13923,4848,337,368,91.6,369,423,87.2,68,125,54.4,1.5,-1.1,17,58,21,11,802,150,28,1,4,45,122,0,0,0,0,3,5,41.7,0.70,0.29,0.00,0.00,25.2,0.03,-0.3,-0.3,1081,17,3,42.9,3,42.9,644,4,17,2,709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,50.7,78,8,2,32,5,1.05,18,25,-7,-0.41,-0.59,19.4,20.1,-0.7,-0.04,-0.28,0,15,13,11,0,0,65,29.6,/es/jugadores/11b9265b/Alberto-Moreno
Máximo Perrone,arARG,CC,22-112,22,16,"1,535",17.1,0,2,2,0,0,0,5,0,0.9,0.9,1.6,2.5,13,81,17,0.00,0.12,0.12,0.00,0.12,0.05,0.10,0.15,0.05,0.15,Partidos,38,2.23,37,1,0,0,0,0,2,0.12,2,0,0,0,0,0,32,23,15,12,5,11,34,32.4,23,12,1,11,16,48,35,0,976,1078,90.5,15677,5197,494,520,95.0,399,430,92.8,60,82,73.2,1.3,+0.4,25,79,14,0,1039,37,33,5,6,3,3,1,0,0,0,2,1,11.1,0.53,0.06,0.00,0.00,21.5,0.10,-0.9,-0.9,1210,14,3,42.9,4,57.1,763,0,19,13,928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,50.2,85,10,6,30,0,1.32,23,22,+1,+0.06,+0.35,22.3,18.7,+3.6,+0.21,+0.23,0,24,11,23,0,0,82,45.5,/es/jugadores/53552942/Maximo-Perrone
