Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,18,Milan,itITA,1.Serie A,1,6,0,0,,,,,,,,,1,6,0,0,0,6,0.1,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0.0,15.0,0.0,0.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,6,6,0.2,0.1,0,,0,1,,9,3.0,1,0,1,15.0,14.71,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,,,,,"€ 3,654(£ 3,174, $4,005)","€ 190,000(£ 165,039, $208,236)",Estimación no verificada,https://fbref.com/es/jugadores/a4fe8cda/Patrick-Cutrone
2017-2018,19,Milan,itITA,1.Serie A,28,"1,503",10,1,5.0,286.0,2.0,0.0,9.0,662.0,4.0,1.0,42,"2,451",16,2,17,"1,503",16.7,10,1,11,10,0,0,3,0,7.8,7.8,0.8,8.6,23.0,20.0,141.0,0.6,0.06,0.66,0.6,0.66,0.47,0.05,0.51,0.47,0.51,11.0,10,2.0,7.0,2.0,1.0,10.0,10.0,9.0,11.0,1.0,10.0,3,14.0,12.0,0.0,252.0,336.0,75.0,3184.0,337.0,166.0,201.0,82.6,67.0,91.0,73.6,5.0,10.0,50.0,1,0.8,0.7,0.2,14.0,6.0,4.0,0.0,20.0,336.0,308.0,27.0,0.0,0.0,0.0,14,2.0,0.0,0.0,0.0,0.0,252.0,1.0,12.0,13.0,32.0,214.0,265.0,88.0,504.0,14.0,6.0,42.9,8.0,57.1,320.0,1777.0,598.0,23.0,19.0,9.0,56.0,24.0,394.0,141.0,10,45,20,44.4,2.69,1.2,0.22,0.5,11.5,0.0,0,0,7.8,7.8,0.19,2.2,2.2,28.0,1.67,21.0,0.0,0.0,6.0,1.0,0.0,6.0,0.36,3.0,0.0,0.0,2.0,1.0,0.0,"1,503",54,43.9,16.7,17,,3,11,,10,1.71,30,20,10,0.6,0.41,25.2,17.4,7.7,0.46,0.15,3,0,0,31,18,23,14,3,10,1,0,0,36.0,12.0,49.0,19.7,"€ 8,846(£ 7,684, $9,695)","€ 460,000(£ 399,567, $504,150)",Estimación no verificada,https://fbref.com/es/jugadores/a4fe8cda/Patrick-Cutrone
2018-2019,20,Milan,itITA,1.Serie A,34,"1,457",3,2,4.0,147.0,2.0,0.0,5.0,328.0,4.0,0.0,43,"1,932",9,2,12,"1,457",16.2,3,2,5,3,0,0,2,0,3.0,3.0,1.6,4.5,26.0,13.0,142.0,0.19,0.12,0.31,0.19,0.31,0.18,0.1,0.28,0.18,0.28,9.0,5,0.0,3.0,6.0,2.0,16.0,12.5,14.0,13.0,2.0,11.0,7,16.0,13.0,0.0,241.0,335.0,71.9,2977.0,541.0,166.0,208.0,79.8,55.0,77.0,71.4,7.0,16.0,43.8,2,1.6,0.9,0.4,21.0,14.0,4.0,1.0,13.0,335.0,312.0,23.0,0.0,1.0,2.0,17,3.0,0.0,0.0,0.0,0.0,241.0,0.0,17.0,18.0,47.0,215.0,268.0,73.0,524.0,16.0,5.0,31.3,11.0,68.8,355.0,1835.0,676.0,26.0,11.0,11.0,61.0,26.0,388.0,142.0,3,34,14,41.2,2.1,0.86,0.09,0.21,15.7,0.0,0,0,3.0,3.0,0.09,0.0,0.0,30.0,1.85,28.0,0.0,1.0,1.0,0.0,0.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,"1,457",43,42.6,16.2,12,85.0,9,22,20.0,2,1.76,20,13,7,0.43,-0.12,20.2,17.8,2.5,0.15,-0.08,2,0,0,27,21,12,17,7,5,0,0,0,52.0,17.0,62.0,21.5,"€ 39,231(£ 34,077, $42,996)","€ 2,040,000(£ 1,771,994, $2,235,796)",Estimación no verificada,https://fbref.com/es/jugadores/a4fe8cda/Patrick-Cutrone
2019-2020,21,Fiorentina,itITA,1.Serie A,19,838,4,1,2.0,107.0,1.0,0.0,,,,,21,945,5,1,9,838,9.3,4,1,5,4,0,0,1,0,3.9,3.9,1.5,5.4,11.0,9.0,69.0,0.43,0.11,0.54,0.43,0.54,0.42,0.16,0.58,0.42,0.58,4.0,2,2.0,1.0,1.0,1.0,15.0,6.7,14.0,6.0,1.0,5.0,2,6.0,6.0,0.0,118.0,168.0,70.2,1601.0,250.0,76.0,96.0,79.2,33.0,44.0,75.0,4.0,10.0,40.0,1,1.5,0.9,-0.5,6.0,3.0,6.0,1.0,9.0,168.0,163.0,5.0,0.0,1.0,1.0,6,1.0,0.0,0.0,0.0,0.0,118.0,0.0,9.0,7.0,32.0,103.0,132.0,42.0,266.0,9.0,4.0,44.4,5.0,55.6,163.0,761.0,267.0,11.0,4.0,7.0,37.0,10.0,200.0,69.0,4,21,13,61.9,2.26,1.4,0.19,0.31,14.0,0.0,0,0,3.9,3.9,0.19,0.1,0.1,19.0,2.04,14.0,0.0,0.0,3.0,2.0,0.0,2.0,0.21,1.0,0.0,0.0,0.0,1.0,0.0,838,44,24.5,9.3,9,64.0,0,10,26.0,1,1.47,18,4,14,1.5,1.89,16.7,12.3,4.3,0.47,0.45,1,0,0,8,10,11,6,2,2,1,0,0,25.0,12.0,35.0,25.5,"€ 78,269(£ 67,987, $85,781)","€ 4,070,000(£ 3,535,302, $4,460,631)",,https://fbref.com/es/jugadores/a4fe8cda/Patrick-Cutrone
2019-2020,21,Wolves,engENG,1.Premier League,12,297,2,0,2.0,210.0,1.0,1.0,6.0,270.0,0.0,0.0,20,777,3,1,3,297,3.3,2,0,2,2,0,0,0,0,2.2,2.2,0.3,2.5,5.0,1.0,20.0,0.61,0.0,0.61,0.61,0.61,0.68,0.08,0.76,0.68,0.76,4.0,2,2.0,1.0,1.0,1.0,5.0,20.0,4.0,1.0,1.0,0.0,2,6.0,1.0,0.0,42.0,65.0,64.6,474.0,79.0,24.0,33.0,72.7,11.0,17.0,64.7,0.0,5.0,0.0,0,0.3,0.4,-0.3,2.0,2.0,1.0,1.0,1.0,65.0,57.0,8.0,0.0,1.0,0.0,6,0.0,0.0,0.0,0.0,0.0,42.0,0.0,1.0,1.0,11.0,49.0,44.0,13.0,102.0,5.0,3.0,60.0,2.0,40.0,51.0,321.0,135.0,5.0,3.0,1.0,8.0,9.0,57.0,20.0,2,11,4,36.4,3.33,1.21,0.18,0.5,13.8,0.0,0,0,2.2,2.2,0.2,-0.2,-0.2,5.0,1.52,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297,25,8.7,3.3,3,65.0,0,9,11.0,8,1.67,6,6,0,0.0,-0.32,5.5,6.2,-0.7,-0.22,-0.71,0,0,0,5,9,4,6,2,2,0,0,0,14.0,8.0,20.0,28.6,"£ 62,885(€ 72,389, $79,348)","£ 3,270,000(€ 3,764,208, $4,126,100)",Estimación no verificada,https://fbref.com/es/jugadores/a4fe8cda/Patrick-Cutrone
2020-2021,22,Fiorentina,itITA,1.Serie A,11,196,0,0,2.0,95.0,0.0,1.0,,,,,13,291,0,1,0,196,2.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,4.0,3,1.0,2.0,1.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,1,5.0,0.0,0.0,39.0,53.0,73.6,433.0,49.0,26.0,32.0,81.3,10.0,13.0,76.9,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,53.0,50.0,3.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,39.0,0.0,1.0,1.0,2.0,35.0,39.0,7.0,75.0,0.0,0.0,,0.0,,39.0,210.0,75.0,1.0,1.0,1.0,4.0,7.0,57.0,22.0,0,3,1,33.3,1.38,0.46,0.0,0.0,13.5,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196,18,5.7,2.2,0,,0,11,18.0,2,0.91,2,6,-4,-1.84,-1.61,2.9,3.5,-0.6,-0.29,0.16,0,0,0,8,3,0,3,1,3,0,0,0,5.0,3.0,7.0,30.0,"€ 53,462(£ 46,438, $58,593)","€ 2,780,000(£ 2,414,776, $3,046,819)",,https://fbref.com/es/jugadores/a4fe8cda/Patrick-Cutrone
2020-2021,22,Wolves,engENG,1.Premier League,2,25,0,0,2.0,80.0,0.0,0.0,,,,,4,105,0,0,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,4.0,0.0,0.0,,0.0,,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0,1,0,0.0,3.6,0.0,0.0,,10.2,0.0,0,0,0.1,0.1,0.08,-0.1,-0.1,1.0,3.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,13,0.7,0.3,0,,0,2,13.0,1,0.0,0,0,0,0.0,0.42,0.4,0.0,0.4,1.6,1.95,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,"€ 70,000(£ 60,804, $76,718)","€ 3,640,000(£ 3,161,794, $3,989,361)",,https://fbref.com/es/jugadores/a4fe8cda/Patrick-Cutrone
2020-2021,22,Valencia,esESP,1.La Liga,7,108,0,0,,,,,,,,,7,108,0,0,0,108,1.2,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.36,0.24,0.61,0.36,0.61,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,16.0,23.0,69.6,292.0,46.0,8.0,12.0,66.7,5.0,6.0,83.3,2.0,3.0,66.7,0,0.3,0.1,-0.3,1.0,1.0,2.0,0.0,3.0,23.0,21.0,2.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,2.0,18.0,11.0,3.0,31.0,1.0,1.0,100.0,0.0,0.0,22.0,76.0,37.0,1.0,1.0,0.0,4.0,0.0,23.0,6.0,0,3,1,33.3,2.5,0.83,0.0,0.0,15.8,0.0,0,0,0.4,0.4,0.14,-0.4,-0.4,3.0,2.52,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108,15,3.2,1.2,0,,0,7,15.0,5,0.29,1,1,0,0.0,0.08,1.4,2.1,-0.7,-0.61,-0.37,0,0,0,2,1,1,1,1,0,0,0,0,2.0,0.0,9.0,0.0,"€ 73,462(£ 63,811, $80,512)","€ 3,820,000(£ 3,318,146, $4,186,637)",,https://fbref.com/es/jugadores/a4fe8cda/Patrick-Cutrone
2021-2022,23,Empoli,itITA,1.Serie A,28,"1,401",3,0,3.0,153.0,0.0,0.0,,,,,31,"1,554",3,0,15,"1,401",15.6,3,0,3,3,0,0,1,0,3.7,3.7,0.9,4.6,20.0,16.0,139.0,0.19,0.0,0.19,0.19,0.19,0.24,0.06,0.3,0.24,0.3,5.0,2,0.0,3.0,2.0,1.0,9.0,11.1,8.0,11.0,1.0,10.0,5,10.0,1.0,0.0,161.0,248.0,64.9,2386.0,370.0,97.0,125.0,77.6,49.0,74.0,66.2,11.0,20.0,55.0,0,0.9,1.1,-0.9,9.0,13.0,9.0,2.0,16.0,248.0,226.0,20.0,1.0,0.0,2.0,21,2.0,0.0,0.0,0.0,0.0,161.0,2.0,9.0,3.0,17.0,132.0,250.0,78.0,391.0,18.0,9.0,50.0,8.0,44.4,235.0,1281.0,442.0,20.0,4.0,9.0,37.0,18.0,293.0,139.0,3,50,14,28.0,3.21,0.9,0.06,0.21,15.8,0.0,0,0,3.7,3.7,0.07,-0.7,-0.7,22.0,1.41,16.0,0.0,2.0,1.0,1.0,2.0,2.0,0.13,1.0,0.0,0.0,0.0,1.0,0.0,"1,401",50,41.0,15.6,15,71.0,3,13,25.0,9,1.14,20,27,-7,-0.45,0.13,18.6,26.6,-8.0,-0.51,0.08,1,0,0,13,16,20,21,5,2,1,0,0,40.0,9.0,30.0,23.1,"€ 12,308(£ 10,580, $13,978)","€ 640,000(£ 550,134, $726,856)",Estimación no verificada,https://fbref.com/es/jugadores/a4fe8cda/Patrick-Cutrone
2022-2023,24,Como,itITA,2.Serie B,35,"2,303",9,2,,,,,,,,,35,"2,303",9,2,29,"2,303",25.6,9,2,11,8,1,1,3,0,5.8,5.0,3.4,8.4,34.0,41.0,184.0,0.35,0.08,0.43,0.31,0.39,0.23,0.13,0.36,0.2,0.33,20.0,16,5.0,8.0,7.0,8.0,20.0,40.0,12.0,7.0,0.0,7.0,13,33.0,13.0,0.0,324.0,474.0,68.4,4643.0,1116.0,191.0,242.0,78.9,93.0,130.0,71.5,21.0,42.0,50.0,2,3.4,3.5,-1.4,26.0,25.0,20.0,8.0,41.0,474.0,446.0,25.0,0.0,2.0,5.0,42,2.0,0.0,0.0,0.0,0.0,324.0,3.0,25.0,15.0,55.0,279.0,388.0,117.0,715.0,38.0,16.0,42.1,17.0,44.7,403.0,2098.0,743.0,34.0,21.0,15.0,63.0,27.0,502.0,184.0,9,66,24,36.4,2.58,0.94,0.12,0.33,17.0,0.0,1,1,5.8,5.0,0.08,3.2,3.0,68.0,2.66,54.0,0.0,4.0,4.0,3.0,3.0,5.0,0.2,4.0,0.0,1.0,0.0,0.0,0.0,"2,303",66,67.3,25.6,29,76.0,5,6,16.0,0,1.29,31,35,-4,-0.16,-0.4,30.6,32.8,-2.2,-0.09,-0.48,3,0,0,28,28,23,42,13,16,0,0,0,63.0,20.0,60.0,25.0,"€ 12,308(£ 10,580, $13,978)","€ 640,000(£ 550,134, $726,856)",Estimación no verificada,https://fbref.com/es/jugadores/a4fe8cda/Patrick-Cutrone
