Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2018-2019,16,Chelsea,engENG,Jr.PL2 — Div. 1,7.0,378,2.0,0.0,,,,,,,,,7,378,2,0,3,378,4.2,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,0.48,0.0,0.48,0.48,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,378,54.0,19.1,4.2,3,81.0,1.0,4,34.0,0,1.43,10.0,9.0,1.0,0.24,0.24,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 10,769(£ 9,257, $12,231)","€ 560,000(£ 481,367, $635,999)",Estimación no verificada,https://fbref.com/es/jugadores/b105919e/Faustino-Anjorin
2019-2020,17,Chelsea,engENG,Jr.PL2 — Div. 1,11.0,706,5.0,1.0,,,,,,,,,11,706,5,1,7,706,7.8,5.0,1.0,6.0,4.0,1.0,1.0,0.0,0.0,,,,,,,,0.64,0.13,0.76,0.51,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,706,64.0,43.6,7.8,7,84.0,3.0,4,30.0,0,1.91,17.0,7.0,10.0,1.27,0.88,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
2019-2020,17,Chelsea,engENG,1.Premier League,1.0,20,0.0,0.0,1.0,24.0,0.0,0.0,,,,,2,44,0,0,0,20,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,100.0,87.0,8.0,4.0,4.0,100.0,2.0,2.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,7.0,3.0,12.0,2.0,1.0,50.0,1.0,50.0,8.0,57.0,25.0,1.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,1.0,0.0,0.0,4.5,0.0,0.0,,31.8,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,20.0,0.6,0.2,0,,0.0,1,20.0,0,3.0,0.0,0.0,0.0,0.0,-0.4,0.1,0.1,0.0,0.08,-0.73,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
2020-2021,18,Chelsea,engENG,Jr.PL2 — Div. 1,10.0,753,4.0,4.0,,,,,,,,,10,753,4,4,9,753,8.4,4.0,4.0,8.0,3.0,1.0,2.0,1.0,0.0,,,,,,,,0.48,0.48,0.96,0.36,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,753,75.0,34.9,8.4,9,80.0,5.0,1,32.0,0,1.6,16.0,15.0,1.0,0.12,-0.71,,,,,,1.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
2020-2021,18,Chelsea,engENG,1.Premier League,,,,,2.0,33.0,0.0,0.0,1.0,79.0,0.0,0.0,3,112,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,1.0,33.3,1.44,0.48,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,3,,,,,,,,,,,,1.0,0.0,0.0,3.0,4.0,0.0,5.0,4.0,3.0,,,0.0,,,,,,,,
2021-2022,19,Loko Moscow,ruRUS,1.Premier League,7.0,188,0.0,0.0,,,,,2.0,109.0,1.0,0.0,9,297,1,0,2,188,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,2.0,0.0,1.0,1.0,0.0,1.0,4.0,25.0,3.0,5.0,0.0,5.0,1.0,3.0,2.0,0.0,49.0,59.0,83.1,871.0,289.0,26.0,29.0,89.7,16.0,18.0,88.9,6.0,10.0,60.0,0.0,0.9,0.4,-0.9,5.0,7.0,1.0,0.0,7.0,59.0,53.0,6.0,2.0,2.0,0.0,7.0,0.0,4.0,3.0,1.0,0.0,49.0,0.0,1.0,4.0,16.0,42.0,34.0,6.0,89.0,8.0,6.0,75.0,2.0,25.0,47.0,289.0,153.0,5.0,3.0,1.0,8.0,1.0,62.0,11.0,1.0,3.0,0.0,0.0,1.93,0.0,0.0,,22.4,0.0,1.0,1.0,1.0,0.2,0.06,0.0,-0.2,11.0,7.07,6.0,1.0,2.0,0.0,2.0,0.0,1.0,0.64,1.0,0.0,0.0,0.0,0.0,0.0,188,27.0,7.0,2.1,2,55.0,0.0,5,16.0,0,1.71,3.0,3.0,0.0,0.0,-0.14,,,,,,0.0,0.0,0.0,3.0,5.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,75.0,,,,
2021-2022,19,Huddersfield,engENG,2.Championship,7.0,140,1.0,0.0,1.0,12.0,0.0,0.0,,,,,8,152,1,0,0,140,1.6,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.2,0.9,1.1,5.0,7.0,11.0,0.64,0.0,0.64,0.0,0.0,0.62,0.6,1.22,0.12,0.71,10.0,5.0,2.0,5.0,3.0,4.0,7.0,57.1,3.0,6.0,0.0,6.0,1.0,11.0,1.0,0.0,103.0,136.0,75.7,1622.0,385.0,54.0,62.0,87.1,35.0,44.0,79.5,8.0,16.0,50.0,0.0,0.0,0.1,0.0,2.0,14.0,2.0,0.0,13.0,136.0,124.0,10.0,3.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,103.0,2.0,4.0,2.0,24.0,120.0,61.0,12.0,201.0,25.0,8.0,32.0,16.0,64.0,120.0,919.0,435.0,14.0,11.0,3.0,8.0,11.0,134.0,17.0,2.0,7.0,3.0,42.9,1.44,0.62,0.29,0.67,18.2,0.0,0.0,0.0,0.5,0.5,0.07,1.5,1.5,8.0,1.64,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,20.0,3.4,1.6,0,,0.0,7,20.0,2,1.57,2.0,1.0,1.0,0.64,0.28,2.7,2.8,-0.1,-0.08,-0.12,0.0,0.0,0.0,4.0,4.0,0.0,8.0,1.0,5.0,0.0,1.0,0.0,26.0,4.0,10.0,28.6,,,,
2022-2023,20,Huddersfield,engENG,2.Championship,8.0,439,2.0,0.0,1.0,37.0,0.0,1.0,,,,,9,476,2,1,6,439,4.9,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.6,14.0,13.0,17.0,0.41,0.0,0.41,0.41,0.41,0.11,0.01,0.12,0.11,0.12,,7.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,11.0,4.0,36.4,2.15,0.78,0.09,0.25,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,439,55.0,10.6,4.9,6,62.0,0.0,2,34.0,0,0.88,6.0,8.0,-2.0,-0.41,-0.09,5.5,7.0,-1.5,-0.31,0.11,0.0,0.0,0.0,5.0,5.0,0.0,3.0,4.0,7.0,,,0.0,,,,,,,,
2023-2024,21,Portsmouth,engENG,3.League One,12.0,460,1.0,0.0,1.0,43.0,0.0,0.0,,,,,13,503,1,0,5,460,5.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.2,0.0,0.2,0.2,0.2,,,,,,27.0,12.0,7.0,14.0,6.0,9.0,18.0,50.0,9.0,16.0,3.0,13.0,11.0,38.0,19.0,0.0,329.0,409.0,80.4,5765.0,1977.0,149.0,175.0,85.1,148.0,165.0,89.7,25.0,48.0,52.1,3.0,1.7,1.1,1.3,17.0,40.0,13.0,1.0,53.0,409.0,388.0,20.0,8.0,2.0,4.0,17.0,0.0,8.0,4.0,2.0,0.0,329.0,1.0,7.0,23.0,121.0,329.0,144.0,17.0,581.0,38.0,15.0,39.5,20.0,52.6,304.0,1714.0,957.0,27.0,17.0,6.0,21.0,10.0,355.0,31.0,1.0,21.0,5.0,23.8,1.81,0.43,0.05,0.2,25.1,1.0,0.0,0.0,0.8,0.8,0.04,0.2,0.2,32.0,2.77,24.0,1.0,3.0,1.0,2.0,1.0,5.0,0.43,4.0,0.0,0.0,0.0,0.0,1.0,460,38.0,11.1,5.1,5,57.0,0.0,7,25.0,2,2.08,7.0,6.0,1.0,0.2,-0.68,,,,,,3.0,0.0,0.0,22.0,18.0,0.0,17.0,11.0,12.0,0.0,1.0,0.0,61.0,9.0,10.0,47.4,,,,
2024-2025,22,Empoli,itITA,1.Serie A,19.0,"1,042",1.0,3.0,,,,,,,,,19,"1,042",1,3,14,"1,042",11.6,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,1.7,2.5,27.0,53.0,31.0,0.09,0.26,0.35,0.09,0.35,0.07,0.14,0.22,0.07,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,042",55.0,34.1,11.6,14,68.0,1.0,5,17.0,0,0.84,14.0,17.0,-3.0,-0.26,0.81,9.8,13.7,-3.8,-0.33,0.24,,,,,,,,,,,,,,,,,,,,
