Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,15,Genoa,itITA,1.Serie A,3.0,75.0,1.0,0.0,,,,,,,,,3.0,75.0,1,0,1,75.0,0.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,1.2,0.0,1.2,1.2,1.2,,,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,50.0,2.4,1.2,0.5,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,75.0,25.0,2.2,0.8,1,,0,2,,4,0.0,1.0,1.0,0.0,0.0,0.7,,,,,,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,,,,,"€ 19,231(£ 16,704, $21,077)","€ 1,000,000(£ 868,625, $1,095,978)",Estimación no verificada,https://fbref.com/es/jugadores/a44d3a3c/Pietro-Pellegri
2017-2018,16,Genoa,itITA,1.Serie A,6.0,282.0,2.0,0.0,1.0,19.0,0.0,0.0,,,,,7.0,301.0,2,0,3,282.0,3.1,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.9,0.9,0.1,1.0,5.0,3.0,13.0,0.64,0.0,0.64,0.64,0.64,0.28,0.04,0.32,0.28,0.32,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,3.0,0.0,3.0,2.0,3.0,1.0,0.0,36.0,47.0,76.6,587.0,65.0,12.0,14.0,85.7,19.0,22.0,86.4,3.0,5.0,60.0,0.0,0.1,0.1,-0.1,4.0,1.0,2.0,1.0,3.0,47.0,40.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,2.0,1.0,5.0,28.0,37.0,11.0,70.0,0.0,0.0,,0.0,,42.0,326.0,86.0,5.0,1.0,1.0,7.0,2.0,50.0,13.0,2.0,8.0,2.0,25.0,2.55,0.64,0.25,1.0,15.0,0.0,0.0,0.0,0.9,0.9,0.11,1.1,1.1,5.0,1.6,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,47.0,8.2,3.1,3,,1,3,,7,0.17,3.0,3.0,0.0,0.0,0.29,2.3,4.3,-2.0,-0.63,-0.71,2.0,0.0,0.0,11.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,5.0,10.0,33.3,"€ 19,423(£ 16,871, $21,287)","€ 1,010,000(£ 877,311, $1,106,938)",Estimación no verificada,https://fbref.com/es/jugadores/a44d3a3c/Pietro-Pellegri
2017-2018,16,Monaco,frFRA,1.Ligue 1,3.0,24.0,0.0,0.0,,,,,,,,,3.0,24.0,0,0,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,42.9,25.0,1.0,1.0,3.0,33.3,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,3.0,6.0,2.0,10.0,2.0,2.0,100.0,0.0,0.0,6.0,89.0,60.0,3.0,1.0,2.0,0.0,1.0,7.0,3.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8.0,0.7,0.3,0,,0,3,8.0,3,3.0,4.0,0.0,4.0,15.0,14.05,2.0,0.1,1.9,7.06,6.75,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,20.0,"€ 22,115(£ 19,210, $24,238)","€ 1,150,000(£ 998,918, $1,260,375)",,https://fbref.com/es/jugadores/a44d3a3c/Pietro-Pellegri
2018-2019,17,Monaco,frFRA,1.Ligue 1,3.0,82.0,1.0,0.0,,,,,,,,,3.0,82.0,1,0,0,82.0,0.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.1,2.0,1.0,4.0,1.1,0.0,1.1,1.1,1.1,0.06,0.06,0.12,0.06,0.12,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,13.0,61.5,78.0,16.0,5.0,9.0,55.6,2.0,3.0,66.7,0.0,0.0,,0.0,0.1,0.0,-0.1,1.0,0.0,0.0,0.0,1.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,7.0,8.0,4.0,16.0,1.0,1.0,100.0,0.0,0.0,9.0,84.0,51.0,2.0,0.0,2.0,1.0,1.0,11.0,4.0,1.0,1.0,1.0,100.0,1.1,1.1,1.0,1.0,14.6,0.0,0.0,0.0,0.1,0.1,0.05,0.9,0.9,3.0,3.29,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.1,0.0,0.0,0.0,0.0,0.0,1.0,82.0,27.0,2.4,0.9,0,,0,3,27.0,0,0.0,1.0,2.0,-1.0,-1.1,-0.61,1.1,1.3,-0.2,-0.2,-0.13,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,5.0,16.7,"€ 22,115(£ 19,210, $24,238)","€ 1,150,000(£ 998,918, $1,260,375)",,https://fbref.com/es/jugadores/a44d3a3c/Pietro-Pellegri
2019-2020,18,Monaco,frFRA,1.Ligue 1,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,18.0,37.0,48.6,187.0,24.0,7.0,12.0,58.3,5.0,10.0,50.0,0.0,0.0,,0.0,0.2,0.3,-0.2,1.0,1.0,0.0,0.0,2.0,37.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,2.0,0.0,3.0,31.0,42.0,16.0,73.0,9.0,5.0,55.6,4.0,44.4,47.0,606.0,204.0,6.0,4.0,5.0,10.0,7.0,55.0,16.0,1.0,9.0,3.0,33.3,3.52,1.17,0.11,0.33,11.9,0.0,0.0,0.0,2.1,2.1,0.23,-1.1,-1.1,5.0,1.94,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.78,0.0,0.0,1.0,0.0,1.0,0.0,,,,,0,,0,0,,1,,,,,,,,,,,,2.0,1.0,0.0,8.0,10.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,7.0,19.0,26.9,"€ 24,615(£ 21,382, $26,978)","€ 1,280,000(£ 1,111,840, $1,402,852)",,https://fbref.com/es/jugadores/a44d3a3c/Pietro-Pellegri
2020-2021,19,Monaco,frFRA,1.Ligue 1,16.0,230.0,1.0,0.0,1.0,79.0,0.0,0.0,,,,,17.0,309.0,1,0,0,230.0,2.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,2.1,2.1,0.2,2.3,6.0,2.0,16.0,0.39,0.0,0.39,0.39,0.39,0.81,0.08,0.89,0.81,0.89,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,12.0,19.0,63.2,108.0,11.0,9.0,14.0,64.3,2.0,3.0,66.7,0.0,0.0,,0.0,0.2,0.2,-0.2,3.0,0.0,0.0,0.0,0.0,19.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,1.0,3.0,11.0,23.0,7.0,37.0,4.0,1.0,25.0,3.0,75.0,18.0,101.0,33.0,3.0,1.0,1.0,2.0,4.0,19.0,5.0,0.0,3.0,1.0,33.3,2.06,0.69,0.0,0.0,16.5,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2,5.0,3.41,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,14.0,6.7,2.6,0,,0,16,14.0,9,1.56,5.0,2.0,3.0,1.17,0.3,5.9,1.8,4.1,1.61,0.76,0.0,0.0,0.0,7.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,1.0,75.0,"€ 24,615(£ 21,382, $26,978)","€ 1,280,000(£ 1,111,840, $1,402,852)",,https://fbref.com/es/jugadores/a44d3a3c/Pietro-Pellegri
2021-2022,20,Milan,itITA,1.Serie A,6.0,131.0,0.0,0.0,,,,,,,,,6.0,131.0,0,0,1,131.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.1,0.15,0.26,0.1,0.26,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,26.0,42.0,61.9,342.0,38.0,19.0,24.0,79.2,6.0,9.0,66.7,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,42.0,38.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,5.0,6.0,8.0,35.0,39.0,8.0,81.0,8.0,4.0,50.0,4.0,50.0,50.0,290.0,96.0,3.0,0.0,1.0,20.0,8.0,62.0,17.0,1.0,5.0,2.0,40.0,2.08,0.83,0.2,0.5,15.7,0.0,0.0,0.0,0.4,0.4,0.08,0.6,0.6,2.0,0.83,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,22.0,3.8,1.5,1,14.0,0,5,23.0,6,2.5,5.0,2.0,3.0,2.06,1.1,2.5,1.8,0.7,0.46,-0.17,1.0,0.0,0.0,10.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,9.0,17.0,34.6,"€ 24,615(£ 21,177, $26,916)","€ 1,280,000(£ 1,101,197, $1,399,630)",,https://fbref.com/es/jugadores/a44d3a3c/Pietro-Pellegri
2021-2022,20,Torino,itITA,1.Serie A,9.0,216.0,1.0,0.0,,,,,,,,,9.0,216.0,1,0,1,216.0,2.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,3.0,1.0,17.0,0.42,0.0,0.42,0.42,0.42,0.16,0.02,0.18,0.16,0.18,6.0,2.0,1.0,3.0,2.0,2.0,3.0,66.7,1.0,5.0,1.0,4.0,0.0,6.0,4.0,0.0,61.0,80.0,76.3,785.0,70.0,39.0,49.0,79.6,18.0,19.0,94.7,1.0,3.0,33.3,0.0,0.5,0.5,-0.5,5.0,3.0,3.0,0.0,8.0,80.0,71.0,9.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,6.0,3.0,9.0,58.0,92.0,20.0,159.0,16.0,3.0,18.8,11.0,68.8,101.0,532.0,111.0,4.0,2.0,3.0,24.0,19.0,125.0,50.0,2.0,10.0,5.0,50.0,1.94,0.97,0.2,0.4,12.5,0.0,0.0,0.0,1.5,1.5,0.15,0.5,0.5,8.0,1.54,7.0,0.0,1.0,0.0,0.0,0.0,2.0,0.38,1.0,0.0,1.0,0.0,0.0,0.0,216.0,24.0,6.3,2.4,1,70.0,0,8,18.0,3,1.0,1.0,5.0,-4.0,-1.67,-1.92,1.4,3.4,-1.9,-0.81,-1.14,3.0,0.0,0.0,15.0,14.0,7.0,3.0,0.0,2.0,0.0,0.0,0.0,12.0,11.0,33.0,25.0,"€ 24,615(£ 20,796, $26,453)","€ 1,280,000(£ 1,081,381, $1,375,545)",,https://fbref.com/es/jugadores/a44d3a3c/Pietro-Pellegri
2022-2023,21,Torino,itITA,1.Serie A,18.0,465.0,2.0,0.0,2.0,86.0,2.0,0.0,,,,,20.0,551.0,4,0,4,465.0,5.2,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.5,1.5,0.5,2.0,4.0,8.0,50.0,0.39,0.0,0.39,0.39,0.39,0.29,0.1,0.39,0.29,0.39,5.0,1.0,1.0,4.0,0.0,1.0,5.0,20.0,4.0,4.0,1.0,3.0,2.0,7.0,3.0,0.0,86.0,138.0,62.3,1094.0,113.0,60.0,81.0,74.1,16.0,30.0,53.3,4.0,7.0,57.1,1.0,0.3,0.1,0.7,4.0,3.0,0.0,0.0,8.0,138.0,124.0,14.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,86.0,0.0,8.0,5.0,18.0,99.0,123.0,25.0,231.0,15.0,5.0,33.3,7.0,46.7,129.0,835.0,366.0,14.0,15.0,2.0,25.0,15.0,162.0,52.0,1.0,13.0,4.0,30.8,1.55,0.48,0.08,0.25,10.2,0.0,0.0,0.0,1.0,1.0,0.08,0.0,0.0,12.0,1.43,5.0,0.0,1.0,1.0,5.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,465.0,26.0,13.6,5.2,4,61.0,0,14,16.0,8,1.22,8.0,5.0,3.0,0.58,0.64,6.7,5.8,0.9,0.17,0.14,3.0,0.0,0.0,16.0,22.0,6.0,5.0,2.0,1.0,0.0,0.0,0.0,22.0,23.0,38.0,37.7,"€ 24,615(£ 21,159, $27,956)","€ 1,280,000(£ 1,100,267, $1,453,711)",,https://fbref.com/es/jugadores/a44d3a3c/Pietro-Pellegri
2023-2024,22,Torino,itITA,1.Serie A,24.0,756.0,1.0,1.0,2.0,14.0,0.0,0.0,,,,,26.0,770.0,1,1,7,756.0,8.4,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.3,1.4,14.0,8.0,52.0,0.12,0.12,0.24,0.12,0.24,0.12,0.04,0.16,0.12,0.16,7.0,2.0,0.0,6.0,1.0,2.0,4.0,50.0,2.0,2.0,0.0,2.0,0.0,7.0,3.0,0.0,50.0,72.0,69.4,725.0,123.0,24.0,29.0,82.8,21.0,25.0,84.0,1.0,2.0,50.0,0.0,0.6,0.2,-0.6,7.0,3.0,2.0,0.0,8.0,72.0,62.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,10.0,4.0,7.0,66.0,58.0,14.0,128.0,14.0,5.0,35.7,7.0,50.0,80.0,682.0,215.0,12.0,6.0,6.0,16.0,15.0,91.0,28.0,3.0,8.0,4.0,50.0,1.74,0.87,0.38,0.75,18.5,0.0,0.0,0.0,0.3,0.3,0.04,2.7,2.7,15.0,3.27,10.0,0.0,4.0,1.0,0.0,0.0,2.0,0.44,0.0,0.0,2.0,0.0,0.0,0.0,756.0,32.0,22.1,8.4,7,65.0,0,17,18.0,7,1.42,10.0,12.0,-2.0,-0.24,-0.31,6.0,12.5,-6.5,-0.78,-1.01,2.0,0.0,0.0,10.0,5.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,15.0,3.0,20.0,13.0,,,,
