Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2011-2012,17,Mallorca,esESP,1.La Liga,2.0,36,0.0,0.0,,,,,,,,,2,36,0,0,0.0,36,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,36,18.0,1.1,0.4,0.0,,,2.0,,,,,,,,,,,,,,1.0,0.0,,4.0,,,,,,,,,,,,,"£ 85,000(€ 97,846, $107,253)","£ 4,420,000(€ 5,088,012, $5,577,175)",,https://fbref.com/es/jugadores/aa54ec6f/Pablo-Mari
2014-2015,20,Gimnàstic,esESP,Copa del Rey,,,,,2.0,210.0,0.0,0.0,,,,,2,210,0,0,25.0,"2,217",24.6,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,,,,,,,,0.04,0.0,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,0.12,,0.33,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,217",89.0,58.7,24.6,25.0,,23.0,0.0,,5.0,1.64,34.0,26.0,8.0,0.32,-0.14,,,,,,7.0,1.0,,33.0,,,,,,,,,,,,,"£ 85,000(€ 97,846, $107,253)","£ 4,420,000(€ 5,088,012, $5,577,175)",,https://fbref.com/es/jugadores/aa54ec6f/Pablo-Mari
2015-2016,21,Gimnàstic,esESP,2.La Liga 2,25.0,"2,217",1.0,0.0,,,,,,,,,25,"2,217",1,0,6.0,506,5.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,506,63.0,13.4,5.6,6.0,,5.0,2.0,,14.0,2.63,10.0,8.0,2.0,0.36,-0.14,,,,,,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"£ 85,000(€ 97,846, $107,253)","£ 4,420,000(€ 5,088,012, $5,577,175)",,https://fbref.com/es/jugadores/aa54ec6f/Pablo-Mari
2016-2017,22,Girona,esESP,2.La Liga 2,8.0,506,0.0,0.0,1.0,90.0,0.0,0.0,,,,,9,596,0,0,30.0,"2,673",29.7,3.0,0.0,3.0,3.0,0.0,0.0,8.0,0.0,,,,,,,,0.1,0.0,0.1,0.1,0.1,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,10.0,,0.0,0.34,,0.3,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,673",86.0,87.4,29.7,30.0,,29.0,1.0,,0.0,1.03,37.0,48.0,-11.0,-0.37,0.79,,,,,,8.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,"€ 101,731(£ 88,366, $111,495)","€ 5,290,000(£ 4,595,024, $5,797,725)",,https://fbref.com/es/jugadores/aa54ec6f/Pablo-Mari
2017-2018,23,NAC Breda,nlNED,1.Eredivisie,31.0,"2,673",3.0,0.0,,,,,,,,,31,"2,673",3,0,35.0,"3,174",35.3,2.0,0.0,2.0,2.0,0.0,0.0,10.0,1.0,,,,,,,,0.06,0.0,0.06,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"3,174",86.0,86.0,35.3,35.0,90.0,34.0,2.0,17.0,2.0,1.5,40.0,26.0,14.0,0.4,-0.3,,,,,,10.0,1.0,1.0,,,,,,,,,0.0,,,,,"€ 100,000(£ 86,031, $109,346)","€ 5,200,000(£ 4,473,614, $5,685,995)",,https://fbref.com/es/jugadores/aa54ec6f/Pablo-Mari
2018-2019,24,La Coruña,esESP,2.La Liga 2,37.0,"3,174",2.0,0.0,,,,,,,,,37,"3,174",2,0,2.0,113,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,3.0,10.0,0.0,85.0,100.0,85.0,1705.0,493.0,29.0,31.0,93.5,42.0,44.0,95.5,14.0,22.0,63.6,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,100.0,99.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,19.0,53.0,59.0,2.0,0.0,114.0,0.0,0.0,,0.0,,70.0,476.0,294.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113,57.0,3.3,1.3,2.0,57.0,1.0,0.0,,0.0,1.5,1.0,0.0,1.0,0.8,0.61,1.3,1.6,-0.3,-0.22,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,4.0,2.0,66.7,"€ 39,423(£ 33,306, $42,366)","€ 2,050,000(£ 1,731,900, $2,203,022)",,https://fbref.com/es/jugadores/aa54ec6f/Pablo-Mari
2019-2020,25,Arsenal,engENG,Jr.PL2 — Div. 1,2.0,90,0.0,0.0,,,,,,,,,2,90,0,0,2.0,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,90,45.0,5.6,1.0,2.0,45.0,0.0,0.0,,0.0,0.0,2.0,3.0,-1.0,-1.0,-1.06,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 39,423(£ 33,887, $44,773)","€ 2,050,000(£ 1,762,147, $2,328,209)",,https://fbref.com/es/jugadores/aa54ec6f/Pablo-Mari
2019-2020,25,Arsenal,engENG,1.Premier League,2.0,113,0.0,0.0,1.0,90.0,0.0,0.0,,,,,3,203,0,0,2.0,135,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,135,68.0,6.3,1.5,2.0,68.0,1.0,0.0,,0.0,3.0,3.0,2.0,1.0,0.67,0.98,,,,,,1.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 39,423(£ 33,887, $44,773)","€ 2,050,000(£ 1,762,147, $2,328,209)",,https://fbref.com/es/jugadores/aa54ec6f/Pablo-Mari
2020-2021,26,Arsenal,engENG,Jr.PL2 — Div. 1,2.0,135,0.0,0.0,,,,,,,,,2,135,0,0,10.0,900,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.3,0.3,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.01,0.03,15.0,9.0,12.0,3.0,0.0,5.0,10.0,50.0,5.0,8.0,7.0,1.0,9.0,24.0,30.0,2.0,552.0,630.0,87.6,9934.0,3287.0,221.0,235.0,94.0,281.0,302.0,93.0,44.0,83.0,53.0,0.0,0.3,0.3,-0.3,2.0,13.0,0.0,0.0,21.0,630.0,622.0,8.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,552.0,0.0,2.0,83.0,390.0,302.0,9.0,3.0,700.0,3.0,3.0,100.0,0.0,0.0,455.0,2154.0,1336.0,4.0,4.0,0.0,1.0,0.0,518.0,0.0,0.0,2.0,0.0,0.0,0.2,0.0,0.0,,21.6,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,3.0,0.3,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,90.0,26.3,10.0,10.0,90.0,10.0,0.0,,7.0,2.0,19.0,8.0,11.0,1.1,0.92,16.4,12.7,3.7,0.37,0.19,2.0,0.0,0.0,8.0,4.0,0.0,0.0,9.0,9.0,0.0,1.0,0.0,36.0,25.0,21.0,54.3,"€ 39,423(£ 33,887, $44,773)","€ 2,050,000(£ 1,762,147, $2,328,209)",,https://fbref.com/es/jugadores/aa54ec6f/Pablo-Mari
2020-2021,26,Arsenal,engENG,1.Premier League,10.0,900,0.0,0.0,1.0,120.0,0.0,0.0,5.0,450.0,1.0,0.0,16,"1,470",1,0,2.0,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.1,0.04,0.1,5.0,3.0,1.0,3.0,1.0,3.0,6.0,50.0,3.0,5.0,4.0,1.0,3.0,8.0,10.0,0.0,79.0,92.0,85.9,1437.0,481.0,33.0,37.0,89.2,40.0,41.0,97.6,5.0,11.0,45.5,0.0,0.1,0.3,-0.1,1.0,6.0,0.0,0.0,9.0,92.0,91.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,14.0,46.0,71.0,4.0,3.0,120.0,0.0,0.0,,0.0,,68.0,363.0,202.0,0.0,0.0,0.0,2.0,0.0,67.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,,5.8,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,90.0,5.3,2.0,2.0,90.0,2.0,0.0,,4.0,0.0,0.0,4.0,-4.0,-2.0,-2.47,1.6,4.3,-2.8,-1.38,-1.87,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,10.0,5.0,3.0,62.5,"€ 39,423(£ 33,887, $44,773)","€ 2,050,000(£ 1,762,147, $2,328,209)",,https://fbref.com/es/jugadores/aa54ec6f/Pablo-Mari
