Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,19,Espanyol,esESP,1.La Liga,30,"2,587",0,0,1.0,55.0,0.0,0.0,,,,,31,"2,642",0,0,28,"2,587",28.7,0,0,0,0,0,0,5,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,50,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,33.3,0.1,0.03,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,587",86,75.6,28.7,28,90,28,2,34.0,3,1.6,38,30,8,0.28,1.25,,,,,,5,0,0,48,26,2,121,52,50,0,0,0,,,,,"€ 12,885(£ 11,192, $14,121)","€ 670,000(£ 581,978, $734,305)",Estimación no verificada,https://fbref.com/es/jugadores/2f3e911a/Aaron-Martin
2017-2018,20,Espanyol,esESP,1.La Liga,32,"2,815",0,0,3.0,178.0,0.0,0.0,,,,,35,"2,993",0,0,31,"2,815",31.3,0,0,0,0,0,0,6,0,0.1,0.1,2.8,2.9,64.0,86.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,56.0,36,41.0,12.0,3.0,31.0,59.0,52.5,28.0,26.0,5.0,21.0,49,105.0,78.0,0.0,1053.0,1412.0,74.6,15981.0,5502.0,635.0,717.0,88.6,320.0,419.0,76.4,77.0,194.0,39.7,0,2.8,3.7,-2.8,31.0,63.0,30.0,23.0,86.0,1412.0,1066.0,339.0,40.0,2.0,4.0,148,282.0,17.0,8.0,9.0,0.0,1053.0,7.0,45.0,72.0,490.0,768.0,454.0,15.0,1695.0,52.0,35.0,67.3,17.0,32.7,816.0,4527.0,2590.0,64.0,52.0,1.0,23.0,25.0,858.0,114.0,0,5,2,40.0,0.16,0.06,0.0,0.0,25.9,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,59.0,1.89,45.0,11.0,1.0,0.0,1.0,1.0,3.0,0.1,2.0,1.0,0.0,0.0,0.0,0.0,"2,815",88,82.3,31.3,31,90,30,1,35.0,5,1.31,28,35,-7,-0.22,-0.37,30.3,43.7,-13.4,-0.43,-0.76,6,0,0,29,20,0,148,49,36,0,0,0,151.0,18.0,41.0,30.5,"€ 17,308(£ 15,034, $18,969)","€ 900,000(£ 781,762, $986,380)",Estimación no verificada,https://fbref.com/es/jugadores/2f3e911a/Aaron-Martin
2018-2019,21,Mainz 05,deGER,1.Bundesliga,33,"2,878",0,3,1.0,90.0,0.0,0.0,,,,,34,"2,968",0,3,32,"2,878",32.0,0,3,3,0,0,0,3,0,0.8,0.8,4.9,5.7,115.0,106.0,187.0,0.0,0.09,0.09,0.0,0.09,0.02,0.15,0.18,0.02,0.18,55.0,30,29.0,21.0,5.0,20.0,38.0,52.6,18.0,38.0,11.0,27.0,38,93.0,75.0,1.0,1284.0,1739.0,73.8,20885.0,7229.0,714.0,787.0,90.7,439.0,590.0,74.4,110.0,278.0,39.6,3,4.9,5.6,-1.9,63.0,74.0,38.0,23.0,106.0,1739.0,1281.0,451.0,62.0,2.0,3.0,235,302.0,87.0,31.0,50.0,1.0,1284.0,7.0,42.0,114.0,504.0,824.0,731.0,28.0,2043.0,56.0,45.0,80.4,11.0,19.6,976.0,6575.0,3864.0,115.0,85.0,11.0,22.0,23.0,1079.0,187.0,0,18,5,27.8,0.56,0.16,0.0,0.0,23.6,2.0,0,0,0.8,0.8,0.04,-0.8,-0.8,106.0,3.31,71.0,23.0,8.0,2.0,1.0,1.0,9.0,0.28,5.0,2.0,1.0,0.0,1.0,0.0,"2,878",87,94.1,32.0,32,89,30,1,27.0,1,1.3,46,50,-4,-0.13,3.34,50.0,55.7,-5.7,-0.18,0.99,3,0,0,29,28,6,235,38,30,1,0,0,166.0,23.0,36.0,39.0,"€ 17,308(£ 15,034, $18,969)","€ 900,000(£ 781,762, $986,380)",Estimación no verificada,https://fbref.com/es/jugadores/2f3e911a/Aaron-Martin
2019-2020,22,Mainz 05,deGER,1.Bundesliga,22,"1,792",0,0,1.0,90.0,0.0,0.0,,,,,23,"1,882",0,0,21,"1,792",19.9,0,0,0,0,0,0,2,0,0.3,0.3,2.9,3.2,40.0,44.0,90.0,0.0,0.0,0.0,0.0,0.0,0.02,0.15,0.16,0.02,0.16,29.0,15,17.0,8.0,4.0,9.0,22.0,40.9,13.0,11.0,5.0,6.0,30,59.0,36.0,0.0,649.0,907.0,71.6,9947.0,3939.0,379.0,427.0,88.8,193.0,285.0,67.7,56.0,142.0,39.4,0,2.9,3.8,-2.9,32.0,33.0,16.0,9.0,44.0,907.0,633.0,270.0,44.0,1.0,1.0,136,167.0,58.0,30.0,28.0,0.0,649.0,4.0,14.0,48.0,288.0,450.0,351.0,11.0,1072.0,28.0,19.0,67.9,9.0,32.1,527.0,3129.0,1546.0,40.0,26.0,3.0,15.0,15.0,514.0,90.0,0,9,3,33.3,0.45,0.15,0.0,0.0,23.8,1.0,0,0,0.3,0.3,0.04,-0.3,-0.3,54.0,2.71,30.0,21.0,3.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,"1,792",81,58.6,19.9,21,84,16,1,25.0,9,1.0,29,49,-20,-1.0,-0.93,27.5,40.6,-13.1,-0.66,-0.77,2,0,0,18,12,2,136,30,15,0,0,0,86.0,14.0,21.0,40.0,"€ 38,462(£ 33,409, $42,153)","€ 2,000,000(£ 1,737,249, $2,191,956)",Estimación no verificada,https://fbref.com/es/jugadores/2f3e911a/Aaron-Martin
2020-2021,23,Celta Vigo,esESP,1.La Liga,19,"1,540",0,3,1.0,90.0,0.0,0.0,,,,,20,"1,630",0,3,17,"1,540",17.1,0,3,3,0,0,0,1,0,0.2,0.2,0.8,1.0,32.0,42.0,86.0,0.0,0.18,0.18,0.0,0.18,0.01,0.05,0.06,0.01,0.06,34.0,20,15.0,16.0,3.0,10.0,33.0,30.3,23.0,15.0,4.0,11.0,13,47.0,37.0,0.0,675.0,866.0,77.9,10129.0,3019.0,373.0,407.0,91.6,245.0,319.0,76.8,35.0,93.0,37.6,3,0.8,1.0,2.2,6.0,29.0,7.0,3.0,42.0,866.0,701.0,163.0,24.0,0.0,2.0,54,138.0,1.0,0.0,0.0,0.0,675.0,2.0,17.0,52.0,312.0,461.0,253.0,16.0,1015.0,25.0,17.0,68.0,8.0,32.0,517.0,2261.0,1121.0,32.0,24.0,3.0,14.0,7.0,603.0,86.0,0,5,1,20.0,0.29,0.06,0.0,0.0,22.4,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,15.0,0.88,11.0,2.0,0.0,1.0,1.0,0.0,3.0,0.18,3.0,0.0,0.0,0.0,0.0,0.0,"1,540",81,45.0,17.1,17,87,15,2,27.0,2,1.53,29,27,2,0.12,0.31,20.7,26.9,-6.2,-0.36,-0.62,1,0,0,25,15,3,54,13,20,0,0,0,72.0,15.0,19.0,44.1,"€ 34,615(£ 30,068, $37,938)","€ 1,800,000(£ 1,563,524, $1,972,761)",Estimación no verificada,https://fbref.com/es/jugadores/2f3e911a/Aaron-Martin
2020-2021,23,Mainz 05,deGER,1.Bundesliga,5,262,0,0,,,,,,,,,5,262,0,0,3,262,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,5.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.1,0.01,0.1,3.0,2,2.0,1.0,0.0,2.0,4.0,50.0,2.0,1.0,0.0,1.0,2,5.0,2.0,0.0,120.0,173.0,69.4,2057.0,856.0,61.0,73.0,83.6,46.0,70.0,65.7,12.0,25.0,48.0,0,0.3,0.5,-0.3,3.0,6.0,3.0,3.0,9.0,173.0,130.0,43.0,1.0,0.0,0.0,21,39.0,3.0,0.0,2.0,0.0,120.0,0.0,6.0,7.0,46.0,89.0,57.0,2.0,192.0,5.0,3.0,60.0,2.0,40.0,106.0,534.0,170.0,5.0,1.0,1.0,3.0,2.0,116.0,18.0,0,1,0,0.0,0.34,0.0,0.0,,20.4,0.0,0,0,0.0,0.0,0.03,0.0,0.0,4.0,1.37,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262,52,8.6,2.9,3,79,2,2,13.0,2,0.4,0,3,-3,-1.03,-0.58,2.8,2.9,-0.1,-0.03,0.03,0,0,0,4,0,0,21,2,2,0,0,0,10.0,1.0,1.0,50.0,"€ 38,462(£ 33,409, $42,153)","€ 2,000,000(£ 1,737,249, $2,191,956)",Estimación no verificada,https://fbref.com/es/jugadores/2f3e911a/Aaron-Martin
2021-2022,24,Mainz 05,deGER,1.Bundesliga,28,"2,292",1,1,3.0,181.0,0.0,0.0,,,,,31,"2,473",1,1,25,"2,292",25.5,1,1,2,1,0,0,7,0,1.0,1.0,5.0,5.9,32.0,69.0,87.0,0.04,0.04,0.08,0.04,0.08,0.04,0.19,0.23,0.04,0.23,54.0,33,32.0,18.0,4.0,24.0,55.0,43.6,31.0,24.0,4.0,20.0,20,74.0,35.0,0.0,768.0,1126.0,68.2,13643.0,5220.0,377.0,427.0,88.3,274.0,364.0,75.3,104.0,272.0,38.2,1,5.0,4.8,-4.0,46.0,57.0,29.0,17.0,69.0,1126.0,872.0,249.0,27.0,1.0,4.0,180,126.0,96.0,53.0,35.0,0.0,768.0,5.0,24.0,39.0,333.0,607.0,412.0,19.0,1343.0,44.0,28.0,63.6,16.0,36.4,646.0,3161.0,1443.0,32.0,24.0,1.0,33.0,15.0,710.0,87.0,1,18,5,27.8,0.71,0.2,0.06,0.2,21.5,5.0,0,0,1.0,1.0,0.05,0.0,0.0,68.0,2.67,37.0,26.0,0.0,3.0,1.0,1.0,3.0,0.12,1.0,2.0,0.0,0.0,0.0,0.0,"2,292",82,74.9,25.5,25,88,20,3,31.0,3,1.46,44,35,9,0.35,0.82,41.5,33.2,8.3,0.32,0.53,7,0,0,31,18,0,180,20,33,0,0,0,161.0,12.0,15.0,44.4,"€ 38,462(£ 33,089, $42,056)","€ 2,000,000(£ 1,720,621, $2,186,921)",Estimación no verificada,https://fbref.com/es/jugadores/2f3e911a/Aaron-Martin
2022-2023,25,Mainz 05,deGER,1.Bundesliga,28,"1,847",5,3,3.0,225.0,0.0,0.0,,,,,31,"2,072",5,3,20,"1,847",20.5,5,3,8,5,0,1,3,0,2.2,1.4,2.8,4.2,25.0,86.0,61.0,0.24,0.15,0.39,0.24,0.39,0.11,0.14,0.24,0.07,0.2,42.0,27,25.0,11.0,6.0,21.0,40.0,52.5,19.0,22.0,1.0,21.0,15,57.0,31.0,0.0,761.0,1028.0,74.0,12672.0,5222.0,385.0,424.0,90.8,283.0,356.0,79.5,73.0,187.0,39.0,3,2.8,3.4,0.2,27.0,68.0,29.0,16.0,86.0,1028.0,730.0,293.0,39.0,0.0,4.0,145,195.0,59.0,42.0,16.0,0.0,761.0,5.0,29.0,47.0,303.0,523.0,380.0,14.0,1191.0,21.0,10.0,47.6,8.0,38.1,582.0,2815.0,1217.0,25.0,19.0,3.0,15.0,14.0,621.0,61.0,5,18,7,38.9,0.88,0.34,0.28,0.71,25.9,8.0,0,1,2.2,1.4,0.08,2.8,3.6,59.0,2.87,39.0,18.0,1.0,1.0,0.0,0.0,5.0,0.24,4.0,1.0,0.0,0.0,0.0,0.0,"1,847",66,60.4,20.5,20,83,14,8,23.0,6,1.25,29,34,-5,-0.24,-0.54,26.9,34.5,-7.6,-0.37,-0.45,3,0,0,28,12,2,145,15,27,0,0,0,104.0,1.0,13.0,7.1,"€ 24,615(£ 20,796, $26,453)","€ 1,280,000(£ 1,081,381, $1,375,545)",,https://fbref.com/es/jugadores/2f3e911a/Aaron-Martin
2023-2024,26,Genoa,itITA,1.Serie A,22,"1,376",0,1,2.0,168.0,0.0,0.0,,,,,24,"1,544",0,1,17,"1,376",15.3,0,1,1,0,0,0,4,1,0.2,0.2,1.7,1.9,28.0,35.0,72.0,0.0,0.07,0.07,0.0,0.07,0.01,0.11,0.12,0.01,0.12,21.0,10,7.0,10.0,4.0,9.0,22.0,40.9,13.0,12.0,4.0,8.0,9,30.0,15.0,0.0,431.0,619.0,69.6,7748.0,2727.0,195.0,216.0,90.3,169.0,227.0,74.4,54.0,128.0,42.2,1,1.7,1.7,-0.7,26.0,26.0,16.0,11.0,35.0,619.0,495.0,119.0,16.0,0.0,2.0,106,71.0,32.0,7.0,21.0,0.0,431.0,5.0,22.0,26.0,166.0,288.0,255.0,10.0,703.0,12.0,6.0,50.0,6.0,50.0,367.0,1839.0,972.0,28.0,21.0,3.0,12.0,4.0,432.0,72.0,0,5,0,0.0,0.33,0.0,0.0,,24.8,2.0,0,0,0.2,0.2,0.03,-0.2,-0.2,33.0,2.16,20.0,12.0,1.0,0.0,0.0,0.0,2.0,0.13,2.0,0.0,0.0,0.0,0.0,0.0,"1,376",63,40.2,15.3,17,76,7,5,17.0,10,1.27,22,20,2,0.13,0.22,14.2,19.4,-5.2,-0.34,-0.26,4,1,1,23,17,2,106,9,10,0,0,0,48.0,8.0,11.0,42.1,"€ 24,615(£ 21,159, $27,956)","€ 1,280,000(£ 1,100,267, $1,453,711)",,https://fbref.com/es/jugadores/2f3e911a/Aaron-Martin
2024-2025,27,Genoa,itITA,1.Serie A,32,"2,783",0,4,2.0,144.0,0.0,0.0,,,,,34,"2,927",0,4,32,"2,783",30.9,0,4,4,0,0,0,5,0,0.9,0.9,4.9,5.8,47.0,84.0,103.0,0.0,0.13,0.13,0.0,0.13,0.03,0.16,0.19,0.03,0.19,68.0,45,40.0,24.0,4.0,31.0,47.0,66.0,16.0,31.0,10.0,21.0,18,86.0,65.0,1.0,1105.0,1532.0,72.1,20578.0,7867.0,445.0,500.0,89.0,504.0,642.0,78.5,138.0,331.0,41.7,4,4.9,5.4,-0.9,57.0,73.0,25.0,17.0,84.0,1532.0,1116.0,411.0,85.0,0.0,2.0,233,235.0,91.0,41.0,47.0,0.0,1105.0,5.0,27.0,81.0,508.0,738.0,557.0,19.0,1780.0,26.0,12.0,46.2,12.0,46.2,785.0,4399.0,2111.0,47.0,29.0,4.0,21.0,17.0,942.0,103.0,0,15,4,26.7,0.49,0.13,0.0,0.0,24.0,5.0,0,0,0.9,0.9,0.06,-0.9,-0.9,85.0,2.75,37.0,43.0,2.0,1.0,2.0,0.0,8.0,0.26,4.0,4.0,0.0,0.0,0.0,0.0,"2,783",87,90.9,30.9,32,87,27,0,,1,1.22,26,37,-11,-0.36,-0.03,31.3,37.2,-5.9,-0.19,0.44,5,0,0,33,25,3,233,18,45,0,1,0,129.0,19.0,30.0,38.8,,,,
