Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,17.0,Cagliari,itITA,1.Serie A,3.0,131,0.0,0.0,1.0,90.0,0.0,0.0,,,,,4.0,221,0.0,0.0,1.0,131,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,131,44.0,3.8,1.5,1.0,,1.0,2.0,,17.0,3.0,5.0,3.0,2.0,1.37,1.98,,,,,,1.0,0.0,,1.0,,,,,,,,,,,,,"€ 712(£ 618, $780)","€ 37,000(£ 32,139, $40,551)",Estimación no verificada,https://fbref.com/es/jugadores/6928979a/Nicolo-Barella
2015-2016,18.0,Como,itITA,2.Serie B,16.0,"1,405",0.0,1.0,,,,,,,,,16.0,"1,405",0.0,1.0,16.0,"1,405",15.6,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,,,,,,,,0.0,0.06,0.06,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,4.0,,,0.26,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,405",88.0,37.2,15.6,16.0,,14.0,0.0,,1.0,0.81,17.0,20.0,-3.0,-0.19,0.64,,,,,,4.0,0.0,,,,,,,,,,,,,,,"€ 3,654(£ 3,174, $4,005)","€ 190,000(£ 165,039, $208,236)",Estimación no verificada,https://fbref.com/es/jugadores/6928979a/Nicolo-Barella
2015-2016,18.0,Cagliari,itITA,2.Serie B,5.0,156,0.0,0.0,,,,,,,,,5.0,156,0.0,0.0,2.0,156,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,0.58,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,156,31.0,4.1,1.7,2.0,,0.0,3.0,,11.0,2.2,1.0,1.0,0.0,0.0,-0.92,,,,,,0.0,0.0,,,,,,,,,,,,,,,"€ 10,769(£ 9,354, $11,803)","€ 560,000(£ 486,430, $613,748)",Estimación no verificada,https://fbref.com/es/jugadores/6928979a/Nicolo-Barella
2016-2017,19.0,Cagliari,itITA,1.Serie A,28.0,"1,908",0.0,1.0,2.0,111.0,0.0,0.0,,,,,30.0,"2,019",0.0,1.0,22.0,"1,908",21.2,0.0,1.0,1.0,0.0,0.0,0.0,11.0,1.0,,,,,,,,0.0,0.05,0.05,0.0,0.05,,,,,,,46.0,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19.0,3.0,15.8,0.9,0.14,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,908",68.0,55.8,21.2,22.0,,13.0,6.0,,2.0,1.25,26.0,42.0,-16.0,-0.75,-0.46,,,,,,11.0,1.0,1.0,44.0,49.0,0.0,44.0,28.0,46.0,0.0,1.0,0.0,,,,,"€ 25,000(£ 21,716, $27,399)","€ 1,300,000(£ 1,129,212, $1,424,772)",Estimación no verificada,https://fbref.com/es/jugadores/6928979a/Nicolo-Barella
2017-2018,20.0,Cagliari,itITA,1.Serie A,34.0,"2,955",6.0,2.0,1.0,120.0,0.0,0.0,,,,,35.0,"3,075",6.0,2.0,34.0,"2,955",32.8,6.0,2.0,8.0,3.0,3.0,3.0,15.0,1.0,3.6,1.2,1.9,3.1,55.0,200.0,101.0,0.18,0.06,0.24,0.09,0.15,0.11,0.06,0.17,0.04,0.09,92.0,69.0,37.0,43.0,12.0,25.0,78.0,32.1,53.0,48.0,6.0,42.0,45.0,137.0,53.0,0.0,1235.0,1641.0,75.3,22685.0,7038.0,557.0,662.0,84.1,482.0,604.0,79.8,163.0,285.0,57.2,2.0,1.9,2.5,0.1,35.0,168.0,39.0,7.0,200.0,1641.0,1496.0,137.0,55.0,5.0,26.0,107.0,8.0,48.0,15.0,25.0,1.0,1235.0,8.0,43.0,55.0,383.0,1171.0,510.0,35.0,2025.0,79.0,50.0,63.3,29.0,36.7,1081.0,6157.0,2563.0,55.0,58.0,9.0,65.0,42.0,1248.0,101.0,6.0,31.0,8.0,25.8,0.94,0.24,0.1,0.38,27.1,0.0,3.0,3.0,3.6,1.2,0.04,2.4,1.8,88.0,2.68,65.0,12.0,5.0,2.0,3.0,1.0,4.0,0.12,4.0,0.0,0.0,0.0,0.0,0.0,"2,955",87.0,86.4,32.8,34.0,,23.0,0.0,,0.0,1.0,28.0,49.0,-21.0,-0.64,0.72,34.8,47.6,-12.8,-0.39,0.92,15.0,1.0,1.0,78.0,64.0,1.0,107.0,45.0,69.0,0.0,1.0,0.0,244.0,30.0,20.0,60.0,"€ 89,038(£ 77,341, $97,584)","€ 4,630,000(£ 4,021,732, $5,074,379)",,https://fbref.com/es/jugadores/6928979a/Nicolo-Barella
2018-2019,21.0,Cagliari,itITA,1.Serie A,35.0,"3,107",1.0,3.0,3.0,270.0,0.0,0.0,,,,,38.0,"3,377",1.0,3.0,35.0,"3,107",34.5,1.0,3.0,4.0,1.0,0.0,1.0,10.0,2.0,2.6,1.8,3.1,4.9,112.0,206.0,139.0,0.03,0.09,0.12,0.03,0.12,0.07,0.09,0.17,0.05,0.14,99.0,65.0,38.0,41.0,20.0,30.0,82.0,36.6,52.0,61.0,2.0,59.0,38.0,137.0,27.0,0.0,1518.0,1923.0,78.9,24926.0,6737.0,788.0,893.0,88.2,498.0,604.0,82.5,160.0,270.0,59.3,3.0,3.1,4.0,-0.1,43.0,154.0,44.0,13.0,206.0,1923.0,1812.0,108.0,37.0,6.0,22.0,92.0,18.0,28.0,12.0,10.0,2.0,1518.0,3.0,46.0,43.0,363.0,1395.0,707.0,58.0,2422.0,67.0,42.0,62.7,25.0,37.3,1472.0,8731.0,4219.0,112.0,86.0,21.0,113.0,63.0,1683.0,139.0,1.0,53.0,12.0,22.6,1.54,0.35,0.02,0.08,24.1,2.0,0.0,1.0,2.6,1.8,0.03,-1.6,-0.8,114.0,3.3,89.0,7.0,3.0,5.0,7.0,3.0,9.0,0.26,7.0,0.0,0.0,1.0,0.0,1.0,"3,107",89.0,90.8,34.5,35.0,89.0,30.0,0.0,,0.0,1.06,32.0,50.0,-18.0,-0.52,-0.52,36.6,56.8,-20.2,-0.58,-0.63,10.0,2.0,2.0,60.0,82.0,3.0,92.0,38.0,65.0,0.0,2.0,0.0,253.0,19.0,47.0,28.8,"€ 89,038(£ 77,341, $97,584)","€ 4,630,000(£ 4,021,732, $5,074,379)",,https://fbref.com/es/jugadores/6928979a/Nicolo-Barella
2019-2020,22.0,Inter,itITA,1.Serie A,27.0,"2,013",1.0,4.0,4.0,360.0,1.0,1.0,10.0,714.0,2.0,1.0,41.0,"3,087",4.0,6.0,23.0,"2,013",22.4,1.0,4.0,5.0,1.0,0.0,0.0,11.0,0.0,2.1,2.1,1.7,3.7,47.0,183.0,98.0,0.04,0.18,0.22,0.04,0.22,0.09,0.07,0.17,0.09,0.17,36.0,21.0,14.0,15.0,7.0,8.0,37.0,21.6,29.0,20.0,5.0,15.0,14.0,50.0,14.0,0.0,1007.0,1237.0,81.4,17609.0,5724.0,460.0,518.0,88.8,381.0,446.0,85.4,124.0,166.0,74.7,4.0,1.7,2.3,2.3,23.0,124.0,30.0,6.0,183.0,1237.0,1214.0,16.0,10.0,1.0,19.0,38.0,5.0,1.0,0.0,0.0,0.0,1007.0,7.0,30.0,27.0,246.0,850.0,391.0,31.0,1462.0,54.0,36.0,66.7,18.0,33.3,882.0,4821.0,2402.0,47.0,36.0,8.0,37.0,23.0,1092.0,98.0,1.0,24.0,5.0,20.8,1.07,0.22,0.04,0.2,21.0,0.0,0.0,0.0,2.1,2.1,0.09,-1.1,-1.1,61.0,2.73,50.0,1.0,3.0,2.0,5.0,0.0,5.0,0.22,4.0,0.0,0.0,0.0,1.0,0.0,"2,013",75.0,58.9,22.4,23.0,83.0,17.0,4.0,27.0,1.0,2.3,45.0,21.0,24.0,1.07,-0.27,40.9,24.1,16.7,0.75,-0.02,11.0,0.0,0.0,39.0,37.0,2.0,38.0,14.0,21.0,1.0,0.0,0.0,147.0,19.0,23.0,45.2,"€ 178,077(£ 154,682, $195,168)","€ 9,260,000(£ 8,043,464, $10,148,758)",,https://fbref.com/es/jugadores/6928979a/Nicolo-Barella
2020-2021,23.0,Inter,itITA,1.Serie A,36.0,"2,896",3.0,7.0,4.0,310.0,0.0,2.0,6.0,527.0,0.0,1.0,46.0,"3,733",3.0,10.0,32.0,"2,896",32.2,3.0,7.0,10.0,3.0,0.0,0.0,5.0,0.0,2.4,2.4,5.7,8.1,99.0,261.0,149.0,0.09,0.22,0.31,0.09,0.31,0.07,0.18,0.25,0.07,0.25,58.0,31.0,23.0,29.0,6.0,23.0,72.0,31.9,49.0,29.0,4.0,25.0,26.0,84.0,14.0,0.0,1591.0,1931.0,82.4,25100.0,8423.0,850.0,935.0,90.9,564.0,662.0,85.2,123.0,201.0,61.2,7.0,5.7,4.8,1.3,47.0,182.0,66.0,10.0,261.0,1931.0,1894.0,29.0,10.0,5.0,12.0,64.0,18.0,1.0,1.0,0.0,0.0,1591.0,8.0,41.0,41.0,358.0,1168.0,737.0,54.0,2236.0,52.0,35.0,67.3,17.0,32.7,1305.0,7055.0,3879.0,99.0,77.0,12.0,63.0,28.0,1700.0,149.0,3.0,36.0,8.0,22.2,1.12,0.25,0.08,0.38,21.2,0.0,0.0,0.0,2.4,2.4,0.07,0.6,0.6,105.0,3.26,97.0,1.0,2.0,3.0,2.0,0.0,14.0,0.44,13.0,0.0,0.0,1.0,0.0,0.0,"2,896",80.0,84.7,32.2,32.0,87.0,23.0,4.0,31.0,1.0,2.36,66.0,31.0,35.0,1.09,-2.18,60.5,35.1,25.5,0.79,-0.73,5.0,0.0,0.0,43.0,53.0,2.0,64.0,26.0,31.0,0.0,1.0,0.0,193.0,30.0,28.0,51.7,"€ 178,077(£ 153,201, $194,720)","€ 9,260,000(£ 7,966,474, $10,125,445)",,https://fbref.com/es/jugadores/6928979a/Nicolo-Barella
2021-2022,24.0,Inter,itITA,1.Serie A,36.0,"2,913",3.0,11.0,6.0,503.0,1.0,0.0,6.0,493.0,0.0,0.0,48.0,"3,909",4.0,11.0,36.0,"2,913",32.4,3.0,11.0,14.0,3.0,0.0,0.0,9.0,0.0,4.7,4.7,8.9,13.6,114.0,231.0,204.0,0.09,0.34,0.43,0.09,0.43,0.14,0.27,0.42,0.14,0.42,63.0,42.0,17.0,35.0,11.0,29.0,55.0,52.7,26.0,26.0,2.0,24.0,21.0,84.0,8.0,2.0,1554.0,1876.0,82.8,24817.0,7894.0,824.0,916.0,90.0,552.0,641.0,86.1,125.0,191.0,65.4,11.0,8.9,7.5,2.1,64.0,191.0,84.0,16.0,231.0,1876.0,1836.0,31.0,17.0,11.0,15.0,66.0,14.0,0.0,0.0,0.0,0.0,1554.0,9.0,44.0,28.0,344.0,1133.0,757.0,95.0,2199.0,64.0,37.0,57.8,27.0,42.2,1427.0,8196.0,4128.0,114.0,69.0,15.0,56.0,38.0,1703.0,204.0,3.0,68.0,12.0,17.6,2.1,0.37,0.04,0.25,20.5,0.0,0.0,0.0,4.7,4.7,0.07,-1.7,-1.7,140.0,4.32,116.0,0.0,10.0,6.0,6.0,2.0,21.0,0.65,18.0,0.0,1.0,1.0,1.0,0.0,"2,913",81.0,85.2,32.4,36.0,81.0,17.0,0.0,,1.0,2.17,74.0,29.0,45.0,1.39,0.15,68.4,33.6,34.9,1.08,-0.28,9.0,0.0,0.0,30.0,52.0,4.0,66.0,21.0,42.0,1.0,0.0,0.0,190.0,22.0,24.0,47.8,"€ 231,538(£ 195,610, $248,822)","€ 12,040,000(£ 10,171,742, $12,938,722)",,https://fbref.com/es/jugadores/6928979a/Nicolo-Barella
2022-2023,25.0,Inter,itITA,1.Serie A,35.0,"2,613",6.0,6.0,5.0,407.0,0.0,3.0,12.0,991.0,3.0,0.0,52.0,"4,011",9.0,9.0,31.0,"2,613",29.0,6.0,6.0,12.0,6.0,0.0,0.0,6.0,0.0,3.2,3.2,5.6,8.8,76.0,214.0,162.0,0.21,0.21,0.41,0.21,0.41,0.11,0.19,0.3,0.11,0.3,49.0,25.0,17.0,26.0,6.0,28.0,53.0,52.8,25.0,29.0,5.0,24.0,12.0,61.0,12.0,0.0,1306.0,1601.0,81.6,21320.0,6648.0,684.0,773.0,88.5,486.0,564.0,86.2,102.0,177.0,57.6,6.0,5.6,4.1,0.4,55.0,150.0,50.0,15.0,214.0,1601.0,1566.0,29.0,13.0,6.0,16.0,84.0,8.0,6.0,0.0,2.0,0.0,1306.0,6.0,30.0,43.0,303.0,962.0,656.0,57.0,1892.0,70.0,40.0,57.1,17.0,24.3,1253.0,7327.0,3430.0,76.0,69.0,10.0,52.0,39.0,1426.0,162.0,6.0,33.0,13.0,39.4,1.14,0.45,0.18,0.46,20.6,1.0,0.0,0.0,3.2,3.2,0.1,2.8,2.8,121.0,4.17,103.0,4.0,5.0,2.0,6.0,1.0,13.0,0.45,11.0,0.0,2.0,0.0,0.0,0.0,"2,613",75.0,76.4,29.0,31.0,81.0,17.0,4.0,23.0,2.0,1.8,51.0,31.0,20.0,0.69,-0.31,53.1,27.3,25.7,0.89,0.24,6.0,0.0,0.0,32.0,45.0,9.0,84.0,12.0,25.0,0.0,0.0,0.0,178.0,20.0,15.0,57.1,"€ 231,538(£ 199,027, $262,961)","€ 12,040,000(£ 10,349,391, $13,673,970)",,https://fbref.com/es/jugadores/6928979a/Nicolo-Barella
