Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Partidos,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Tkl,Tkl(Derribos),3.º def.,3.º cent.,3.º ataq.,Tkl(Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),xA,A-xAG,PC,1/3,PPA,CrAP,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,npxG/Sh,G-xG,np:G-xG,Toques,Ataq. pen.,Succ,Exitosa%,Tkld,Tkld%,Transportes,TAP,Errores de control,Des,Rec,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,% Salvadas_penales,TL,TE,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),TI,%deLanzamientos,Long. prom.,%deLanzamientos (Saques de meta),Long. prom. (Saques de meta),Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera (expected),2a amarilla,Fls,FR,TklG,Penal ejecutado,Penal concedido,Recup.,% de ganados,link
Mattéo Guendouzi,frFRA,CC,26-015,33,33,"2,910",32.3,1,3,4,1,0,0,5,0,1.3,1.3,3.0,4.3,82,286,51,0.03,0.09,0.12,0.03,0.12,0.04,0.09,0.13,0.04,0.13,Partidos,98.0,3.03,87.0,3.0,2.0,4.0,1.0,1.0,7.0,0.22,7.0,0.0,0.0,0.0,0.0,0.0,32.0,17.0,10.0,17.0,5.0,17.0,41.0,41.5,24.0,31.0,9.0,22.0,29.0,61.0,45.0,2.0,1747.0,1943.0,89.9,32224.0,8847.0,694.0,735.0,94.4,870.0,926.0,94.0,167.0,220.0,75.9,2.5,0.0,36.0,258.0,29.0,3.0,1841.0,96.0,60.0,6.0,23.0,18.0,26.0,7.0,0.0,0.0,0.0,6.0,7.0,28.0,0.77,0.22,0.04,0.14,20.0,0.05,-0.3,-0.3,2170.0,37.0,15.0,62.5,9.0,37.5,1372.0,8.0,23.0,15.0,1638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,95.1,88,28,0,,0,1.73,55,43,+12,+0.37,+0.37,47.0,33.9,+13.1,+0.40,-0.56,0.0,25.0,30.0,17.0,0.0,1.0,153.0,47.1,/es/jugadores/5ea8ef20/Matteo-Guendouzi
Mattia Zaccagni,itITA,DL,29-317,31,30,"2,451",27.2,8,6,14,6,2,2,9,0,6.4,4.9,4.3,9.2,87,110,233,0.29,0.22,0.51,0.22,0.44,0.24,0.16,0.40,0.18,0.34,Partidos,98.0,3.6,63.0,21.0,1.0,6.0,6.0,1.0,9.0,0.33,7.0,2.0,0.0,0.0,0.0,0.0,34.0,24.0,12.0,18.0,4.0,14.0,27.0,51.9,13.0,16.0,1.0,15.0,25.0,59.0,19.0,2.0,789.0,1043.0,75.6,12904.0,3535.0,412.0,455.0,90.5,284.0,373.0,76.1,71.0,155.0,45.8,3.8,1.7,51.0,49.0,37.0,4.0,894.0,147.0,36.0,9.0,5.0,140.0,18.0,93.0,46.0,28.0,0.0,2.0,14.0,30.4,1.69,0.51,0.13,0.43,17.3,0.11,1.6,1.1,1323.0,92.0,42.0,46.2,35.0,38.5,821.0,27.0,44.0,37.0,987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,80.1,81,10,1,18,0,1.71,38,35,+3,+0.11,-1.22,36.2,25.4,+10.8,+0.40,-0.17,0.0,32.0,92.0,24.0,0.0,0.0,77.0,48.6,/es/jugadores/d85c238b/Mattia-Zaccagni
Ivan Provedel,itITA,PO,31-043,29,29,"2,610",29.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Partidos,13.0,0.45,10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,1.0,12.0,3.0,865.0,1118.0,77.4,24564.0,16820.0,121.0,121.0,100.0,428.0,432.0,99.1,315.0,560.0,56.3,0.1,-0.3,3.0,25.0,2.0,0.0,946.0,169.0,63.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,0.0,,,,,0.0,0.0,1167.0,0.0,0.0,,0.0,,744.0,0.0,0.0,0.0,749.0,42.0,1.45,92.0,52.0,58.7,15.0,6.0,8.0,5.0,17.2,4.0,4.0,4.0,4.0,0.0,0.0,3.0,31.5,0.32,-8.5,-0.29,1009.0,96.0,30.8,33.3,59.4,46.1,366.0,29.0,7.9,32.0,1.1,14.5,90,85.3,90,29,0,,5,1.76,51,42,+9,+0.31,-0.29,44.5,32.1,+12.4,+0.43,-0.02,0.0,0.0,5.0,0.0,0.0,0.0,44.0,87.5,/es/jugadores/277da414/Ivan-Provedel
Mario Gila,esESP,DF,24-243,28,28,"2,451",27.2,1,0,1,1,0,0,6,0,0.9,0.9,0.5,1.4,44,133,11,0.04,0.00,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05,Partidos,29.0,1.06,27.0,0.0,0.0,1.0,0.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,51.0,36.0,32.0,17.0,2.0,34.0,49.0,69.4,15.0,19.0,13.0,6.0,25.0,76.0,106.0,3.0,1677.0,1828.0,91.7,32767.0,10655.0,536.0,567.0,94.5,940.0,983.0,95.6,184.0,235.0,78.3,0.9,-0.5,12.0,133.0,7.0,1.0,1747.0,77.0,46.0,4.0,15.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,27.3,0.4,0.11,0.09,0.33,15.2,0.08,0.1,0.1,2087.0,23.0,4.0,30.8,6.0,46.2,1304.0,0.0,14.0,7.0,1492.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,80.1,88,26,0,,2,1.89,46,31,+15,+0.55,+0.99,40.0,27.8,+12.2,+0.45,+0.08,0.0,26.0,28.0,36.0,0.0,0.0,129.0,52.5,/es/jugadores/9c435456/Mario-Gila
Nicolò Rovella,itITA,CC,23-146,29,27,"2,411",26.8,0,3,3,0,0,0,13,0,1.4,1.4,2.1,3.6,40,140,38,0.00,0.11,0.11,0.00,0.11,0.05,0.08,0.13,0.05,0.13,Partidos,65.0,2.42,52.0,5.0,2.0,0.0,3.0,3.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,74.0,42.0,32.0,35.0,7.0,34.0,66.0,51.5,32.0,18.0,4.0,14.0,44.0,118.0,41.0,3.0,1653.0,1842.0,89.7,30206.0,7619.0,653.0,688.0,94.9,820.0,873.0,93.9,152.0,223.0,68.2,2.0,0.9,29.0,147.0,21.0,2.0,1765.0,74.0,46.0,7.0,14.0,32.0,7.0,16.0,5.0,7.0,0.0,3.0,8.0,30.8,0.97,0.3,0.0,0.0,23.6,0.05,-1.4,-1.4,2095.0,15.0,16.0,69.6,6.0,26.1,1283.0,2.0,20.0,12.0,1548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,78.8,87,20,2,38,2,1.79,43,37,+6,+0.22,-0.61,38.8,27.3,+11.5,+0.43,-0.01,0.0,38.0,24.0,42.0,0.0,0.0,141.0,33.3,/es/jugadores/e58cbfd5/Nicolo-Rovella
Alessio Romagnoli,itITA,DF,30-107,28,27,"2,313",25.7,2,0,2,2,0,0,3,1,2.1,2.1,0.2,2.3,6,75,4,0.08,0.00,0.08,0.08,0.08,0.08,0.01,0.09,0.08,0.09,Partidos,20.0,0.78,18.0,0.0,0.0,2.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,43.0,27.0,17.0,24.0,2.0,21.0,26.0,80.8,5.0,27.0,12.0,15.0,23.0,66.0,104.0,1.0,1405.0,1526.0,92.1,24460.0,8398.0,561.0,592.0,94.8,751.0,781.0,96.2,74.0,114.0,64.9,0.2,-0.2,8.0,84.0,4.0,0.0,1383.0,138.0,50.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,5.0,6.0,42.9,0.54,0.23,0.14,0.33,9.1,0.15,-0.1,-0.1,1762.0,34.0,0.0,0.0,1.0,100.0,919.0,0.0,6.0,1.0,1186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,75.6,85,24,1,25,2,1.71,38,34,+4,+0.16,-0.81,36.8,24.6,+12.2,+0.47,+0.17,0.0,24.0,10.0,27.0,0.0,0.0,83.0,65.1,/es/jugadores/3ead85f9/Alessio-Romagnoli
Gustav Isaksen,dkDEN,DL,24-010,33,26,"2,016",22.4,4,2,6,4,0,0,5,0,4.0,4.0,2.0,6.0,87,40,233,0.18,0.09,0.27,0.18,0.27,0.18,0.09,0.27,0.18,0.27,Partidos,87.0,3.89,48.0,10.0,14.0,7.0,8.0,0.0,9.0,0.4,6.0,0.0,2.0,0.0,1.0,0.0,14.0,8.0,6.0,7.0,1.0,5.0,26.0,19.2,21.0,19.0,2.0,17.0,8.0,22.0,15.0,1.0,560.0,727.0,77.0,9487.0,1596.0,283.0,316.0,89.6,214.0,267.0,80.1,53.0,96.0,55.2,2.7,0.0,32.0,18.0,23.0,10.0,660.0,65.0,11.0,2.0,5.0,106.0,8.0,46.0,39.0,2.0,0.0,2.0,22.0,44.0,2.23,0.98,0.08,0.18,18.8,0.08,0.0,0.0,978.0,110.0,43.0,44.3,42.0,43.3,636.0,47.0,40.0,30.0,736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,65.9,69,2,7,32,0,1.73,35,30,+5,+0.22,-0.38,31.8,22.4,+9.4,+0.42,-0.03,0.0,22.0,42.0,8.0,1.0,0.0,59.0,35.1,/es/jugadores/5715bb71/Gustav-Isaksen
Valentín Castellanos,arARG,DL,26-208,25,24,"2,024",22.5,10,3,13,8,2,3,7,1,12.4,10.3,2.6,12.9,25,55,130,0.44,0.13,0.58,0.36,0.49,0.55,0.11,0.67,0.46,0.57,Partidos,63.0,2.8,32.0,0.0,5.0,19.0,5.0,2.0,12.0,0.53,6.0,0.0,1.0,2.0,2.0,1.0,11.0,5.0,1.0,4.0,6.0,1.0,9.0,11.1,8.0,16.0,2.0,14.0,5.0,16.0,20.0,0.0,307.0,458.0,67.0,4252.0,1029.0,179.0,238.0,75.2,100.0,145.0,69.0,10.0,20.0,50.0,2.1,0.4,21.0,41.0,12.0,2.0,415.0,41.0,0.0,7.0,0.0,23.0,4.0,0.0,0.0,0.0,0.0,2.0,32.0,35.6,4.0,1.42,0.09,0.25,17.2,0.11,-2.4,-2.3,709.0,136.0,14.0,42.4,17.0,51.5,357.0,15.0,45.0,26.0,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,66.1,83,12,1,31,2,2.00,43,24,+19,+0.84,+1.45,36.1,18.8,+17.3,+0.77,+1.00,0.0,33.0,37.0,5.0,1.0,0.0,40.0,52.3,/es/jugadores/da76bab4/Valentin-Castellanos
Boulaye Dia,snSEN,"CC,DL",28-164,31,24,"1,902",21.1,8,3,11,8,0,0,2,0,5.6,5.6,3.4,9.0,20,48,98,0.38,0.14,0.52,0.38,0.52,0.27,0.16,0.43,0.27,0.43,Partidos,50.0,2.36,38.0,0.0,4.0,5.0,2.0,1.0,8.0,0.38,7.0,0.0,0.0,1.0,0.0,0.0,20.0,8.0,5.0,10.0,5.0,6.0,15.0,40.0,9.0,10.0,1.0,9.0,5.0,25.0,13.0,1.0,442.0,525.0,84.2,7013.0,1012.0,220.0,257.0,85.6,170.0,187.0,90.9,31.0,38.0,81.6,1.3,-0.4,23.0,34.0,7.0,0.0,512.0,11.0,1.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,53.1,1.51,0.8,0.25,0.47,13.4,0.18,2.4,2.4,704.0,78.0,16.0,42.1,20.0,52.6,404.0,8.0,30.0,29.0,554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,62.2,71,3,7,30,2,1.84,35,21,+14,+0.66,+0.82,30.1,20.0,+10.1,+0.48,+0.13,0.0,21.0,23.0,8.0,1.0,0.0,49.0,27.5,/es/jugadores/244bc2c8/Boulaye-Dia
Adam Marušić,meMNE,DF,32-194,31,22,"2,093",23.3,4,0,4,4,0,0,1,0,1.9,1.9,0.6,2.4,21,77,96,0.17,0.00,0.17,0.17,0.17,0.08,0.02,0.10,0.08,0.10,Partidos,31.0,1.33,24.0,2.0,0.0,4.0,0.0,1.0,2.0,0.09,1.0,0.0,0.0,1.0,0.0,0.0,29.0,19.0,16.0,11.0,2.0,16.0,28.0,57.1,12.0,16.0,7.0,9.0,14.0,43.0,56.0,0.0,968.0,1141.0,84.8,14998.0,4766.0,509.0,554.0,91.9,387.0,448.0,86.4,52.0,101.0,51.5,0.5,-0.6,12.0,65.0,14.0,8.0,958.0,182.0,24.0,0.0,2.0,49.0,158.0,0.0,0.0,0.0,0.0,1.0,10.0,47.6,0.9,0.43,0.19,0.4,15.4,0.09,2.1,2.1,1319.0,30.0,9.0,42.9,11.0,52.4,617.0,0.0,10.0,13.0,850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,68.4,86,18,9,21,3,1.65,36,35,+1,+0.04,-0.98,32.9,25.4,+7.5,+0.32,-0.34,0.0,18.0,13.0,19.0,0.0,0.0,77.0,57.1,/es/jugadores/d4535821/Adam-Marusic
