Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,18,Hellas Verona,itITA,2.Serie B,,,,,,,,,,,,,,,0,0,0.0,12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,12,12.0,0.3,0.1,0.0,,0.0,1.0,,16.0,3.0,0.0,0.0,0.0,0.0,-0.21,,,,,,0.0,0.0,,,,,,,,,,,,,,,"€ 35,577(£ 30,607, $38,902)","€ 1,850,000(£ 1,591,574, $2,022,902)",,https://fbref.com/es/jugadores/3f5f38fb/Nicolo-Casale
2017-2018,19,Perugia,itITA,2.Serie B,1.0,12,0.0,0.0,1.0,34.0,0.0,0.0,,,,,2.0,46,0,0,16.0,"1,455",16.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.1,1.1,0.3,1.5,18.0,118.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,24.0,16.0,23.0,1.0,0.0,16.0,17.0,94.1,1.0,17.0,10.0,7.0,16.0,40.0,46.0,0.0,1006.0,1113.0,90.4,20735.0,6903.0,279.0,305.0,91.5,583.0,624.0,93.4,132.0,161.0,82.0,0.0,0.3,0.2,-0.3,2.0,70.0,3.0,0.0,118.0,1113.0,1047.0,65.0,58.0,0.0,15.0,2.0,7.0,0.0,0.0,0.0,0.0,1006.0,1.0,3.0,112.0,569.0,635.0,43.0,14.0,1241.0,1.0,1.0,100.0,0.0,0.0,724.0,4707.0,3345.0,18.0,6.0,0.0,7.0,1.0,848.0,2.0,0.0,10.0,1.0,10.0,0.62,0.06,0.0,0.0,12.9,0.0,0.0,0.0,1.1,1.1,0.11,-1.1,-1.1,11.0,0.68,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,455",73.0,42.5,16.2,16.0,85.0,14.0,4.0,24.0,7.0,1.3,14.0,19.0,-5.0,-0.31,-0.4,22.4,20.6,1.7,0.11,0.29,2.0,0.0,0.0,14.0,18.0,0.0,2.0,16.0,16.0,0.0,0.0,0.0,90.0,39.0,30.0,56.5,"€ 35,577(£ 30,056, $38,233)","€ 1,850,000(£ 1,562,934, $1,988,093)",,https://fbref.com/es/jugadores/3f5f38fb/Nicolo-Casale
2018-2019,20,Südtirol,itITA,Coppa Italia,,,,,4.0,344.0,0.0,0.0,,,,,4.0,344,0,0,20.0,"1,853",20.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.6,1.6,0.6,2.2,33.0,80.0,17.0,0.05,0.0,0.05,0.05,0.05,0.08,0.03,0.11,0.08,0.11,35.0,23.0,21.0,11.0,3.0,14.0,20.0,70.0,6.0,23.0,8.0,15.0,30.0,65.0,69.0,1.0,1026.0,1194.0,85.9,20221.0,7020.0,331.0,377.0,87.8,577.0,629.0,91.7,112.0,155.0,72.3,0.0,0.6,0.7,-0.6,10.0,59.0,7.0,5.0,80.0,1194.0,1100.0,89.0,41.0,0.0,12.0,22.0,46.0,0.0,0.0,0.0,0.0,1026.0,5.0,8.0,167.0,674.0,626.0,99.0,22.0,1391.0,3.0,2.0,66.7,1.0,33.3,776.0,5229.0,3516.0,33.0,9.0,1.0,6.0,6.0,834.0,17.0,1.0,13.0,3.0,23.1,0.63,0.15,0.08,0.33,10.4,0.0,0.0,0.0,1.6,1.6,0.13,-0.6,-0.6,17.0,0.83,15.0,1.0,1.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,"1,853",77.0,54.2,20.6,20.0,88.0,18.0,4.0,24.0,9.0,1.71,32.0,18.0,14.0,0.68,-0.41,35.4,23.7,11.6,0.56,-0.01,2.0,0.0,0.0,23.0,12.0,1.0,22.0,30.0,23.0,0.0,0.0,0.0,126.0,55.0,48.0,53.4,"€ 35,577(£ 30,581, $40,405)","€ 1,850,000(£ 1,590,230, $2,101,067)",,https://fbref.com/es/jugadores/3f5f38fb/Nicolo-Casale
2019-2020,21,Venezia,itITA,2.Serie B,20.0,"1,455",0.0,0.0,,,,,,,,,20.0,"1,455",0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,30.0,25.0,19.0,2.0,21.0,37.0,56.8,16.0,31.0,12.0,19.0,49.0,95.0,95.0,0.0,957.0,1195.0,80.1,16387.0,5759.0,429.0,498.0,86.1,421.0,502.0,83.9,78.0,127.0,61.4,1.0,1.0,1.3,0.0,11.0,63.0,12.0,4.0,91.0,1195.0,1111.0,80.0,51.0,1.0,2.0,15.0,29.0,0.0,0.0,0.0,0.0,957.0,4.0,15.0,138.0,643.0,703.0,167.0,21.0,1494.0,19.0,9.0,47.4,10.0,52.6,690.0,3782.0,2022.0,40.0,17.0,1.0,21.0,8.0,776.0,29.0,0.0,10.0,0.0,0.0,0.35,0.0,0.0,,12.9,0.0,0.0,0.0,0.7,0.7,0.07,-0.7,-0.7,34.0,1.18,33.0,1.0,0.0,0.0,0.0,0.0,5.0,0.17,5.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,,10.0,0.0,0.0,44.0,24.0,0.0,15.0,49.0,30.0,0.0,0.0,0.0,197.0,69.0,61.0,53.1,,,,
2020-2021,22,Empoli,itITA,2.Serie B,24.0,"1,853",1.0,0.0,2.0,180.0,0.0,0.0,,,,,26.0,"2,033",1,0,30.0,"2,586",28.7,0.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.7,0.7,1.0,1.7,40.0,91.0,29.0,0.0,0.03,0.03,0.0,0.03,0.03,0.03,0.06,0.03,0.06,42.0,20.0,28.0,14.0,0.0,22.0,34.0,64.7,12.0,25.0,17.0,8.0,17.0,59.0,73.0,1.0,1485.0,1616.0,91.9,26275.0,9500.0,591.0,633.0,93.4,701.0,741.0,94.6,142.0,169.0,84.0,1.0,0.3,0.6,0.7,4.0,55.0,1.0,0.0,70.0,1616.0,1535.0,79.0,72.0,2.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,1485.0,2.0,8.0,215.0,871.0,917.0,27.0,14.0,1803.0,3.0,1.0,33.3,2.0,66.7,1102.0,6813.0,3784.0,11.0,3.0,0.0,5.0,1.0,1246.0,3.0,1.0,8.0,2.0,25.0,0.3,0.07,0.13,0.5,10.9,0.0,0.0,0.0,0.6,0.6,0.08,0.4,0.4,12.0,0.44,10.0,1.0,0.0,1.0,0.0,0.0,4.0,0.15,3.0,0.0,0.0,1.0,0.0,0.0,"2,586",72.0,75.6,28.7,30.0,80.0,18.0,6.0,33.0,0.0,1.36,42.0,40.0,2.0,0.07,-0.36,37.8,36.9,0.9,0.03,-0.03,6.0,0.0,0.0,22.0,7.0,0.0,0.0,17.0,20.0,0.0,0.0,0.0,142.0,45.0,27.0,62.5,,,,
2020-2021,22,Hellas Verona,itITA,1.Serie A,,,,,,,,,,,,,,,0,0,27.0,"2,437",27.1,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.6,0.6,0.3,0.9,11.0,70.0,3.0,0.04,0.04,0.07,0.04,0.07,0.02,0.01,0.03,0.02,0.03,15.0,9.0,13.0,2.0,0.0,6.0,15.0,40.0,9.0,19.0,16.0,3.0,12.0,27.0,61.0,0.0,940.0,1024.0,91.8,17305.0,5880.0,360.0,383.0,94.0,489.0,519.0,94.2,81.0,102.0,79.4,0.0,0.0,0.2,0.0,2.0,66.0,1.0,0.0,49.0,1024.0,989.0,35.0,25.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,940.0,0.0,8.0,144.0,515.0,615.0,32.0,8.0,1155.0,4.0,2.0,50.0,0.0,0.0,646.0,3798.0,2210.0,20.0,9.0,1.0,2.0,1.0,808.0,4.0,0.0,7.0,1.0,14.3,0.4,0.06,0.0,0.0,16.4,0.0,0.0,0.0,0.9,0.9,0.12,-0.9,-0.9,12.0,0.69,9.0,0.0,0.0,3.0,0.0,0.0,1.0,0.06,0.0,0.0,0.0,1.0,0.0,0.0,"2,437",84.0,71.3,27.1,27.0,89.0,25.0,2.0,21.0,6.0,1.86,38.0,24.0,14.0,0.52,-0.95,36.3,28.5,7.7,0.29,0.09,5.0,0.0,0.0,24.0,6.0,0.0,0.0,12.0,9.0,0.0,1.0,0.0,74.0,23.0,24.0,48.9,,,,
2021-2022,23,Hellas Verona,itITA,1.Serie A,36.0,"2,586",0.0,1.0,1.0,23.0,0.0,0.0,,,,,37.0,"2,609",0,1,16.0,"1,559",17.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.9,0.9,0.0,0.9,20.0,49.0,4.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,5.0,3.0,4.0,1.0,0.0,0.0,0.0,,0.0,4.0,3.0,1.0,1.0,6.0,2.0,0.0,100.0,110.0,90.9,2040.0,595.0,27.0,30.0,90.0,59.0,62.0,95.2,13.0,17.0,76.5,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,6.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,9.0,39.0,83.0,2.0,2.0,124.0,0.0,0.0,,0.0,,83.0,375.0,211.0,0.0,1.0,1.0,1.0,0.0,99.0,0.0,0.0,1.0,1.0,100.0,0.67,0.67,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,559",78.0,45.6,17.3,16.0,85.0,14.0,4.0,49.0,13.0,1.5,22.0,24.0,-2.0,-0.12,-0.7,18.4,22.3,-3.9,-0.22,-0.63,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,6.0,0.0,100.0,,,,
2022-2023,24,Lazio,itITA,1.Serie A,29.0,"2,437",1.0,1.0,2.0,37.0,0.0,0.0,6.0,357.0,0.0,0.0,37.0,"2,831",1,1,2.0,135,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,7.0,4.0,4.0,3.0,0.0,3.0,7.0,42.9,4.0,11.0,7.0,4.0,13.0,20.0,40.0,2.0,356.0,408.0,87.3,7058.0,2338.0,107.0,122.0,87.7,218.0,235.0,92.8,29.0,35.0,82.9,0.0,0.3,0.3,-0.3,2.0,15.0,1.0,0.0,18.0,408.0,391.0,16.0,11.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,356.0,1.0,7.0,54.0,241.0,243.0,14.0,6.0,493.0,2.0,2.0,100.0,0.0,0.0,262.0,1248.0,533.0,2.0,1.0,0.0,6.0,0.0,276.0,1.0,0.0,2.0,0.0,0.0,0.25,0.0,0.0,,9.5,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,8.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,135,68.0,4.4,1.5,2.0,68.0,1.0,0.0,,0.0,1.5,3.0,2.0,1.0,0.67,0.33,2.6,0.9,1.7,1.16,0.76,1.0,0.0,0.0,18.0,4.0,0.0,0.0,13.0,4.0,0.0,0.0,1.0,34.0,29.0,22.0,56.9,,,,
2023-2024,25,Lazio,itITA,1.Serie A,20.0,"1,559",0.0,0.0,2.0,135.0,0.0,0.0,2.0,180.0,0.0,0.0,24.0,"1,874",0,0,7.0,720,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,2.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.06,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,55.0,23.5,8.0,7.0,82.0,5.0,6.0,24.0,15.0,2.0,11.0,10.0,1.0,0.12,-0.41,8.8,6.6,2.2,0.27,-0.16,,,,,,,,,,,,,,,,,,,,
2024-2025,26,Lazio,itITA,1.Serie A,2.0,135,0.0,0.0,,,,,,,,,2.0,135,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
