Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2018-2019,19.0,Betis,esESP,1.La Liga,6.0,317,0.0,0.0,,,,,1.0,2.0,0.0,0.0,7.0,319,0.0,0.0,4.0,317,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.3,0.4,7.0,13.0,26.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.12,0.05,0.12,9.0,7.0,6.0,1.0,2.0,3.0,10.0,30.0,7.0,6.0,0.0,6.0,7.0,16.0,12.0,0.0,155.0,191.0,81.2,1864.0,692.0,94.0,107.0,87.9,37.0,46.0,80.4,5.0,7.0,71.4,0.0,0.3,0.2,-0.3,4.0,3.0,4.0,1.0,13.0,191.0,149.0,41.0,5.0,0.0,0.0,8.0,36.0,0.0,0.0,0.0,0.0,155.0,1.0,6.0,11.0,69.0,91.0,89.0,7.0,248.0,3.0,0.0,0.0,3.0,100.0,129.0,632.0,287.0,7.0,6.0,3.0,8.0,1.0,151.0,26.0,0.0,3.0,1.0,33.3,0.85,0.28,0.0,0.0,18.2,0.0,0.0,0.0,0.2,0.2,0.06,-0.2,-0.2,7.0,1.99,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317,53.0,9.3,3.5,4.0,74.0,2.0,2.0,12.0,6.0,1.17,5.0,8.0,-3.0,-0.85,-0.71,3.6,6.4,-2.8,-0.78,-0.8,1.0,0.0,0.0,5.0,14.0,0.0,8.0,7.0,7.0,0.0,0.0,0.0,12.0,3.0,3.0,50.0,"€ 17,692(£ 15,368, $19,390)","€ 920,000(£ 799,135, $1,008,300)",Estimación no verificada,https://fbref.com/es/jugadores/df8b52a5/Emerson
2019-2020,20.0,Betis,esESP,1.La Liga,33.0,"2,839",3.0,6.0,1.0,120.0,0.0,0.0,,,,,34.0,"2,959",3.0,6.0,32.0,"2,839",31.5,3.0,6.0,9.0,3.0,0.0,0.0,11.0,0.0,1.8,1.8,5.0,6.8,90.0,108.0,215.0,0.1,0.19,0.29,0.1,0.29,0.06,0.16,0.22,0.06,0.22,74.0,46.0,49.0,19.0,6.0,36.0,79.0,45.6,43.0,30.0,9.0,21.0,31.0,105.0,57.0,1.0,1265.0,1615.0,78.3,19097.0,6176.0,708.0,814.0,87.0,387.0,488.0,79.3,109.0,170.0,64.1,6.0,5.0,4.8,1.0,28.0,54.0,45.0,13.0,108.0,1615.0,1300.0,311.0,45.0,3.0,12.0,80.0,266.0,0.0,0.0,0.0,0.0,1265.0,4.0,54.0,85.0,582.0,761.0,654.0,96.0,1976.0,44.0,14.0,31.8,30.0,68.2,1073.0,5851.0,3252.0,90.0,67.0,26.0,46.0,27.0,1188.0,215.0,3.0,26.0,4.0,15.4,0.82,0.13,0.12,0.75,15.0,0.0,0.0,0.0,1.8,1.8,0.07,1.2,1.2,59.0,1.87,47.0,2.0,1.0,3.0,5.0,1.0,7.0,0.22,5.0,0.0,0.0,1.0,1.0,0.0,"2,839",86.0,83.0,31.5,32.0,88.0,29.0,1.0,21.0,1.0,1.12,39.0,49.0,-10.0,-0.32,-0.01,40.1,46.0,-5.8,-0.19,-0.51,11.0,0.0,0.0,46.0,95.0,1.0,80.0,31.0,46.0,0.0,0.0,0.0,138.0,63.0,36.0,63.6,"€ 20,577(£ 17,874, $22,552)","€ 1,070,000(£ 929,428, $1,172,697)",Estimación no verificada,https://fbref.com/es/jugadores/df8b52a5/Emerson
2020-2021,21.0,Betis,esESP,1.La Liga,34.0,"2,991",1.0,4.0,4.0,194.0,1.0,0.0,,,,,38.0,"3,185",2.0,4.0,34.0,"2,991",33.2,1.0,4.0,5.0,1.0,0.0,0.0,9.0,1.0,1.5,1.5,2.7,4.3,91.0,132.0,186.0,0.03,0.12,0.15,0.03,0.15,0.05,0.08,0.13,0.05,0.13,91.0,52.0,62.0,25.0,4.0,43.0,78.0,55.1,35.0,33.0,6.0,27.0,61.0,152.0,102.0,2.0,1533.0,1936.0,79.2,22046.0,8020.0,886.0,998.0,88.8,490.0,588.0,83.3,83.0,180.0,46.1,4.0,2.7,2.8,1.3,33.0,90.0,38.0,18.0,132.0,1936.0,1573.0,357.0,46.0,0.0,4.0,90.0,311.0,0.0,0.0,0.0,0.0,1533.0,6.0,52.0,115.0,636.0,1018.0,721.0,80.0,2362.0,47.0,24.0,51.1,23.0,48.9,1184.0,5814.0,3265.0,91.0,63.0,19.0,54.0,34.0,1384.0,186.0,1.0,11.0,3.0,27.3,0.33,0.09,0.09,0.33,16.6,0.0,0.0,0.0,1.5,1.5,0.14,-0.5,-0.5,70.0,2.11,57.0,7.0,1.0,0.0,4.0,1.0,4.0,0.12,3.0,0.0,0.0,0.0,1.0,0.0,"2,991",88.0,87.5,33.2,34.0,88.0,32.0,0.0,,0.0,1.71,49.0,39.0,10.0,0.3,2.4,46.5,37.9,8.6,0.26,1.59,9.0,1.0,0.0,57.0,73.0,3.0,90.0,61.0,52.0,1.0,1.0,1.0,165.0,58.0,35.0,62.4,"€ 18,462(£ 16,036, $20,233)","€ 960,000(£ 833,880, $1,052,139)",Estimación no verificada,https://fbref.com/es/jugadores/df8b52a5/Emerson
2021-2022,22.0,Barcelona,esESP,1.La Liga,3.0,91,0.0,0.0,,,,,,,,,3.0,91,0.0,0.0,1.0,91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,2.0,5.0,1.0,0.0,57.0,68.0,83.8,769.0,108.0,36.0,38.0,94.7,15.0,19.0,78.9,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,68.0,54.0,14.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,57.0,0.0,3.0,1.0,17.0,48.0,13.0,0.0,78.0,1.0,0.0,0.0,1.0,100.0,42.0,184.0,73.0,0.0,0.0,0.0,0.0,0.0,54.0,4.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,30.0,2.7,1.0,1.0,62.0,0.0,2.0,15.0,0.0,2.33,3.0,3.0,0.0,0.0,-0.81,1.8,1.0,0.8,0.84,0.08,0.0,0.0,0.0,3.0,3.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,"£ 40,000(€ 46,045, $50,472)","£ 2,080,000(€ 2,394,359, $2,624,553)",,https://fbref.com/es/jugadores/df8b52a5/Emerson
2021-2022,22.0,Tottenham,engENG,1.Premier League,31.0,"2,286",1.0,1.0,7.0,408.0,0.0,0.0,3.0,138.0,0.0,0.0,41.0,"2,832",1.0,1.0,26.0,"2,286",25.4,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.5,1.5,2.2,3.6,68.0,68.0,175.0,0.04,0.04,0.08,0.04,0.08,0.06,0.09,0.14,0.06,0.14,72.0,47.0,50.0,16.0,6.0,36.0,67.0,53.7,31.0,25.0,2.0,23.0,22.0,94.0,92.0,1.0,1170.0,1450.0,80.7,16330.0,4045.0,686.0,762.0,90.0,368.0,459.0,80.2,52.0,94.0,55.3,1.0,2.2,3.0,-1.2,28.0,32.0,28.0,14.0,68.0,1450.0,1194.0,254.0,16.0,1.0,2.0,74.0,238.0,0.0,0.0,0.0,0.0,1170.0,2.0,47.0,98.0,579.0,666.0,530.0,56.0,1765.0,34.0,17.0,50.0,17.0,50.0,911.0,4344.0,2277.0,68.0,28.0,8.0,27.0,18.0,1019.0,175.0,1.0,15.0,4.0,26.7,0.59,0.16,0.07,0.25,14.6,0.0,0.0,0.0,1.5,1.5,0.1,-0.5,-0.5,50.0,1.97,42.0,0.0,4.0,2.0,2.0,0.0,4.0,0.16,4.0,0.0,0.0,0.0,0.0,0.0,"2,286",74.0,66.8,25.4,26.0,85.0,17.0,5.0,16.0,3.0,1.81,44.0,26.0,18.0,0.71,-0.16,41.2,24.2,17.0,0.67,0.28,5.0,0.0,0.0,28.0,45.0,2.0,74.0,22.0,47.0,0.0,0.0,0.0,152.0,33.0,42.0,44.0,"£ 40,000(€ 46,495, $50,840)","£ 2,080,000(€ 2,417,732, $2,643,695)",,https://fbref.com/es/jugadores/df8b52a5/Emerson
2022-2023,23.0,Tottenham,engENG,1.Premier League,26.0,"1,735",2.0,1.0,2.0,110.0,0.0,0.0,8.0,543.0,0.0,0.0,36.0,"2,388",2.0,1.0,20.0,"1,735",19.3,2.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,1.7,1.7,0.6,2.3,47.0,80.0,103.0,0.1,0.05,0.16,0.1,0.16,0.09,0.03,0.12,0.09,0.12,54.0,33.0,38.0,12.0,4.0,27.0,40.0,67.5,13.0,17.0,3.0,14.0,18.0,72.0,75.0,0.0,848.0,1060.0,80.0,13378.0,3797.0,437.0,482.0,90.7,330.0,392.0,84.2,53.0,93.0,57.0,1.0,0.6,1.0,0.4,9.0,58.0,17.0,3.0,80.0,1060.0,884.0,170.0,23.0,2.0,6.0,46.0,146.0,1.0,0.0,0.0,0.0,848.0,6.0,37.0,101.0,481.0,505.0,346.0,46.0,1323.0,31.0,15.0,48.4,9.0,29.0,672.0,3662.0,2046.0,47.0,32.0,6.0,22.0,19.0,775.0,103.0,2.0,17.0,6.0,35.3,0.88,0.31,0.12,0.33,16.6,0.0,0.0,0.0,1.7,1.7,0.1,0.3,0.3,36.0,1.87,32.0,0.0,0.0,1.0,2.0,1.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,"1,735",67.0,50.7,19.3,20.0,82.0,12.0,6.0,15.0,2.0,1.73,34.0,26.0,8.0,0.41,0.47,27.7,21.1,6.6,0.34,0.29,2.0,1.0,0.0,21.0,33.0,0.0,46.0,18.0,33.0,0.0,0.0,0.0,102.0,28.0,27.0,50.9,"£ 40,000(€ 47,347, $50,882)","£ 2,080,000(€ 2,462,068, $2,645,840)",,https://fbref.com/es/jugadores/df8b52a5/Emerson
2023-2024,24.0,Tottenham,engENG,1.Premier League,22.0,"1,161",1.0,0.0,2.0,210.0,0.0,0.0,,,,,24.0,"1,371",1.0,0.0,11.0,"1,161",12.9,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.2,0.2,0.4,0.6,21.0,57.0,35.0,0.08,0.0,0.08,0.08,0.08,0.02,0.03,0.05,0.02,0.05,36.0,24.0,23.0,10.0,3.0,21.0,43.0,48.8,22.0,23.0,10.0,13.0,20.0,56.0,50.0,1.0,937.0,1038.0,90.3,13652.0,3714.0,529.0,558.0,94.8,339.0,362.0,93.6,32.0,45.0,71.1,0.0,0.4,0.9,-0.4,3.0,42.0,7.0,2.0,57.0,1038.0,915.0,122.0,45.0,1.0,2.0,14.0,75.0,0.0,0.0,0.0,0.0,937.0,1.0,23.0,103.0,462.0,517.0,249.0,12.0,1220.0,21.0,10.0,47.6,6.0,28.6,686.0,2759.0,1292.0,21.0,19.0,2.0,15.0,12.0,814.0,35.0,1.0,6.0,3.0,50.0,0.47,0.23,0.17,0.33,22.5,0.0,0.0,0.0,0.2,0.2,0.03,0.8,0.8,21.0,1.63,15.0,2.0,0.0,1.0,2.0,1.0,3.0,0.23,1.0,2.0,0.0,0.0,0.0,0.0,"1,161",53.0,33.9,12.9,11.0,86.0,8.0,11.0,19.0,16.0,1.64,22.0,31.0,-9.0,-0.7,-1.57,18.5,28.3,-9.8,-0.76,-1.34,4.0,0.0,0.0,14.0,38.0,0.0,14.0,20.0,24.0,0.0,0.0,0.0,82.0,15.0,21.0,41.7,"€ 89,038(£ 76,536, $101,122)","€ 4,630,000(£ 3,979,874, $5,258,346)",,https://fbref.com/es/jugadores/df8b52a5/Emerson
2024-2025,25.0,Milan,itITA,1.Serie A,17.0,"1,377",0.0,0.0,2.0,167.0,0.0,0.0,7.0,317.0,0.0,0.0,26.0,"1,861",0.0,0.0,16.0,"1,377",15.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,0.7,1.1,23.0,68.0,71.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.07,0.03,0.07,45.0,28.0,24.0,16.0,5.0,16.0,34.0,47.1,18.0,13.0,2.0,11.0,14.0,59.0,56.0,0.0,784.0,909.0,86.2,12560.0,3198.0,380.0,418.0,90.9,355.0,390.0,91.0,32.0,54.0,59.3,0.0,0.7,1.1,-0.7,15.0,44.0,14.0,5.0,68.0,909.0,796.0,110.0,26.0,0.0,3.0,45.0,84.0,0.0,0.0,0.0,0.0,784.0,3.0,23.0,56.0,312.0,526.0,271.0,22.0,1102.0,18.0,7.0,38.9,9.0,50.0,584.0,2423.0,1228.0,23.0,19.0,3.0,18.0,10.0,710.0,71.0,0.0,10.0,2.0,20.0,0.65,0.13,0.0,0.0,20.3,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,33.0,2.16,29.0,0.0,0.0,2.0,2.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,"1,377",81.0,45.0,15.3,16.0,85.0,10.0,1.0,24.0,1.0,1.53,23.0,16.0,7.0,0.46,0.03,22.6,16.0,6.7,0.44,-0.25,5.0,0.0,0.0,34.0,32.0,0.0,45.0,14.0,28.0,0.0,0.0,0.0,59.0,24.0,14.0,63.2,"€ 89,038(£ 76,536, $101,122)","€ 4,630,000(£ 3,979,874, $5,258,346)",,https://fbref.com/es/jugadores/df8b52a5/Emerson
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€ 89,038(£ 76,536, $101,122)","€ 4,630,000(£ 3,979,874, $5,258,346)",,https://fbref.com/es/jugadores/df8b52a5/Emerson
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€ 89,038(£ 76,536, $101,122)","€ 4,630,000(£ 3,979,874, $5,258,346)",,https://fbref.com/es/jugadores/df8b52a5/Emerson
