Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,19,Paris S-G,frFRA,1.Ligue 1,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,6,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,"€ 577(£ 501, $632)","€ 30,000(£ 26,059, $32,879)",Estimación no verificada,https://fbref.com/es/jugadores/fcb38f57/Mike-Maignan
2015-2016,20,Lille,frFRA,1.Ligue 1,4.0,289,0.0,0.0,1.0,90.0,0.0,0.0,,,,,5.0,379,0,0,3,289,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,289,72.0,8.5,3.2,3,,3,1,,8,1.0,2.0,3.0,-1.0,-0.31,-0.69,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 3,846(£ 3,341, $4,215)","€ 200,000(£ 173,725, $219,196)",Estimación no verificada,https://fbref.com/es/jugadores/fcb38f57/Mike-Maignan
2016-2017,21,Lille,frFRA,1.Ligue 1,7.0,566,0.0,0.0,2.0,180.0,0.0,0.0,,,,,9.0,746,0,0,6,566,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,6.0,909.0,1155.0,78.7,24726.0,18430.0,132.0,133.0,99.2,498.0,503.0,99.0,272.0,510.0,53.3,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1155.0,789.0,365.0,79.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,909.0,1.0,1.0,1053.0,1226.0,7.0,0.0,0.0,1233.0,10.0,9.0,90.0,1.0,10.0,541.0,3338.0,2377.0,0.0,1.0,1.0,2.0,1.0,489.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5.0,0.15,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566,81.0,16.5,6.3,6,,6,1,,31,1.29,9.0,7.0,2.0,0.32,0.6,,,,,,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,69.0,12.0,4.0,75.0,"€ 4,808(£ 4,176, $5,269)","€ 250,000(£ 217,156, $273,995)",Estimación no verificada,https://fbref.com/es/jugadores/fcb38f57/Mike-Maignan
2017-2018,22,Lille,frFRA,1.Ligue 1,34.0,"3,032",0.0,0.0,2.0,210.0,0.0,0.0,,,,,36.0,"3,242",0,0,34,"3,032",33.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,12.0,1.0,716.0,1116.0,64.2,21901.0,17507.0,92.0,93.0,98.9,340.0,344.0,98.8,281.0,673.0,41.8,0.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,1116.0,717.0,396.0,123.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,716.0,3.0,0.0,1030.0,1196.0,7.0,0.0,0.0,1202.0,1.0,1.0,100.0,0.0,0.0,524.0,3256.0,2283.0,0.0,0.0,0.0,1.0,0.0,413.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4.0,0.11,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,032",89.0,88.7,33.7,34,89.0,33,0,,2,1.09,37.0,53.0,-16.0,-0.47,1.84,31.6,49.0,-17.4,-0.52,0.44,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,9.0,0.0,100.0,"€ 34,231(£ 29,734, $37,516)","€ 1,780,000(£ 1,546,152, $1,950,841)",Estimación no verificada,https://fbref.com/es/jugadores/fcb38f57/Mike-Maignan
2018-2019,23,Lille,frFRA,1.Ligue 1,38.0,"3,420",0.0,0.0,4.0,360.0,0.0,0.0,,,,,42.0,"3,780",0,0,38,"3,420",38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,493.0,765.0,64.4,15376.0,12804.0,71.0,73.0,97.3,215.0,216.0,99.5,205.0,471.0,43.5,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,765.0,484.0,279.0,79.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,493.0,2.0,1.0,691.0,807.0,5.0,1.0,1.0,811.0,0.0,0.0,,0.0,,355.0,2255.0,1634.0,0.0,0.0,0.0,1.0,0.0,264.0,0.0,0.0,1.0,0.0,0.0,0.04,0.0,0.0,,13.5,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,5.0,0.18,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,420",90.0,100.0,38.0,38,90.0,38,0,,0,1.97,68.0,33.0,35.0,0.92,,59.5,42.1,17.4,0.46,,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,29.0,2.0,0.0,100.0,"€ 34,423(£ 29,901, $37,727)","€ 1,790,000(£ 1,554,838, $1,961,801)",Estimación no verificada,https://fbref.com/es/jugadores/fcb38f57/Mike-Maignan
2019-2020,24,Lille,frFRA,1.Ligue 1,28.0,"2,520",0.0,0.0,3.0,270.0,0.0,0.0,6.0,521,0.0,0.0,37.0,"3,311",0,0,28,"2,520",28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,779.0,1071.0,72.7,20474.0,15076.0,167.0,168.0,99.4,376.0,378.0,99.5,225.0,507.0,44.4,0.0,0.1,0.1,-0.1,1.0,10.0,3.0,0.0,4.0,1071.0,760.0,306.0,66.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,779.0,5.0,0.0,964.0,1108.0,23.0,0.0,0.0,1131.0,1.0,1.0,100.0,0.0,0.0,613.0,3134.0,1866.0,0.0,1.0,0.0,1.0,0.0,462.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5.0,0.13,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,"2,520",90.0,100.0,28.0,28,90.0,28,0,,0,1.75,35.0,27.0,8.0,0.29,,40.3,31.4,8.8,0.32,,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,10.0,1.0,90.9,"€ 27,692(£ 24,054, $30,350)","€ 1,440,000(£ 1,250,819, $1,578,209)",Estimación no verificada,https://fbref.com/es/jugadores/fcb38f57/Mike-Maignan
2020-2021,25,Lille,frFRA,1.Ligue 1,38.0,"3,420",0.0,0.0,2.0,180.0,0.0,0.0,8.0,720,0.0,0.0,48.0,"4,320",0,0,38,"3,420",38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,913.0,1154.0,79.1,24884.0,17336.0,172.0,172.0,100.0,429.0,431.0,99.5,305.0,543.0,56.2,1.0,0.4,0.1,0.6,2.0,36.0,2.0,0.0,1.0,1154.0,940.0,213.0,64.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,913.0,1.0,0.0,867.0,1195.0,13.0,0.0,0.0,1207.0,0.0,0.0,,0.0,,798.0,4871.0,3506.0,0.0,0.0,0.0,2.0,1.0,660.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,9.0,0.28,6.0,3.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,"3,420",90.0,100.0,38.0,38,90.0,38,0,,0,2.18,64.0,23.0,41.0,1.08,,48.5,29.8,18.7,0.49,,1.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,51.0,6.0,2.0,75.0,"€ 27,692(£ 24,054, $30,350)","€ 1,440,000(£ 1,250,819, $1,578,209)",,https://fbref.com/es/jugadores/fcb38f57/Mike-Maignan
2021-2022,26,Milan,itITA,1.Serie A,32.0,"2,880",0.0,1.0,4.0,390.0,0.0,0.0,3.0,270,0.0,0.0,39.0,"3,540",0,1,32,"2,880",32.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,0.0,1.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,1.0,674.0,814.0,82.8,16900.0,10659.0,133.0,134.0,99.3,354.0,360.0,98.3,185.0,314.0,58.9,1.0,0.0,0.0,1.0,1.0,17.0,0.0,0.0,1.0,814.0,698.0,112.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.0,4.0,0.0,639.0,838.0,15.0,0.0,0.0,853.0,0.0,0.0,,0.0,,618.0,3323.0,2132.0,0.0,0.0,0.0,0.0,0.0,525.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,"2,880",90.0,84.2,32.0,32,90.0,32,0,,0,2.28,55.0,21.0,34.0,1.06,0.4,51.4,27.7,23.8,0.74,0.74,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,3.0,0.0,100.0,"€ 69,038(£ 59,969, $75,665)","€ 3,590,000(£ 3,118,362, $3,934,562)",,https://fbref.com/es/jugadores/fcb38f57/Mike-Maignan
2022-2023,27,Milan,itITA,1.Serie A,22.0,"1,978",0.0,1.0,,,,,7.0,630,0.0,0.0,29.0,"2,608",0,1,22,"1,978",22.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,3.0,1033.0,1228.0,84.1,25589.0,17105.0,217.0,218.0,99.5,562.0,567.0,99.1,249.0,425.0,58.6,1.0,0.3,0.1,0.7,3.0,18.0,1.0,0.0,0.0,1228.0,1027.0,190.0,43.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1033.0,11.0,2.0,960.0,1281.0,5.0,0.0,0.0,1285.0,1.0,1.0,100.0,0.0,0.0,873.0,4782.0,3225.0,0.0,0.0,0.0,1.0,0.0,732.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,8.0,0.28,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,"1,978",90.0,57.8,22.0,22,90.0,21,0,,0,1.82,37.0,21.0,16.0,0.73,0.42,34.3,22.1,12.2,0.56,0.21,1.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38.0,7.0,1.0,87.5,"€ 69,038(£ 59,395, $75,491)","€ 3,590,000(£ 3,088,514, $3,925,524)",,https://fbref.com/es/jugadores/fcb38f57/Mike-Maignan
2023-2024,28,Milan,itITA,1.Serie A,29.0,"2,609",0.0,1.0,1.0,90.0,0.0,0.0,12.0,"1,000",0.0,0.0,42.0,"3,699",0,1,29,"2,609",29.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,17.0,3.0,1176.0,1366.0,86.1,29287.0,18868.0,195.0,199.0,98.0,692.0,695.0,99.6,286.0,465.0,61.5,0.0,0.8,0.2,-0.8,5.0,17.0,0.0,0.0,4.0,1366.0,1121.0,241.0,65.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1176.0,4.0,1.0,886.0,1411.0,27.0,0.0,0.0,1437.0,1.0,1.0,100.0,0.0,0.0,890.0,4671.0,3094.0,0.0,0.0,0.0,1.0,0.0,830.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5.0,0.15,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,609",90.0,76.3,29.0,29,90.0,28,0,,2,2.14,57.0,34.0,23.0,0.79,0.35,48.7,34.7,14.0,0.48,-0.27,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,63.0,4.0,0.0,100.0,"€ 69,038(£ 58,326, $74,192)","€ 3,590,000(£ 3,032,936, $3,857,974)",,https://fbref.com/es/jugadores/fcb38f57/Mike-Maignan
