Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2015-2016,17,Chelsea,engENG,1.Premier League,2.0,55,0.0,0.0,,,,,,,,,2.0,55,0,0,0.0,55,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,55,28.0,1.6,0.6,0.0,,0.0,2.0,,0.0,1.0,1.0,2.0,-1.0,-1.64,-1.82,,,,,,0.0,0.0,,2.0,,,,,,,,,,,,,"£ 6,000(€ 6,907, $7,571)","£ 312,000(€ 359,154, $393,683)",Estimación no verificada,https://fbref.com/es/jugadores/f586779e/Tammy-Abraham
2016-2017,18,Bristol City,engENG,2.Championship,41.0,"3,414",23.0,3.0,7.0,322.0,3.0,0.0,,,,,48.0,"3,736",26,3,40.0,"3,414",37.9,23.0,3.0,26.0,21.0,2.0,2.0,3.0,0.0,,,,,,,,0.61,0.08,0.69,0.55,0.63,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,0.0,40.0,,0.0,1.05,,0.53,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,"3,414",83.0,82.5,37.9,40.0,,28.0,1.0,,0.0,1.24,53.0,56.0,-3.0,-0.08,0.29,,,,,,3.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"£ 50,000(€ 57,557, $63,090)","£ 2,600,000(€ 2,992,948, $3,280,691)",Estimación no verificada,https://fbref.com/es/jugadores/f586779e/Tammy-Abraham
2017-2018,19,Swansea City,engENG,1.Premier League,31.0,"1,726",5.0,1.0,8.0,524.0,3.0,3.0,,,,,39.0,"2,250",8,4,15.0,"1,726",19.2,5.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,6.8,6.8,1.6,8.4,19.0,20.0,104.0,0.26,0.05,0.31,0.26,0.31,0.35,0.08,0.44,0.35,0.44,10.0,8.0,1.0,7.0,2.0,1.0,13.0,7.7,12.0,8.0,1.0,7.0,1.0,11.0,11.0,0.0,206.0,314.0,65.6,2754.0,557.0,123.0,173.0,71.1,56.0,89.0,62.9,10.0,22.0,45.5,1.0,1.6,0.8,-0.6,12.0,16.0,6.0,2.0,20.0,314.0,286.0,28.0,0.0,2.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,206.0,0.0,6.0,12.0,33.0,246.0,230.0,65.0,498.0,47.0,27.0,57.4,20.0,42.6,305.0,1600.0,555.0,19.0,16.0,8.0,50.0,51.0,393.0,104.0,5.0,42.0,13.0,31.0,2.19,0.68,0.12,0.38,13.1,0.0,0.0,0.0,6.8,6.8,0.16,-1.8,-1.8,42.0,2.19,19.0,0.0,11.0,5.0,5.0,2.0,2.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0,"1,726",56.0,50.5,19.2,15.0,,9.0,16.0,,2.0,0.81,15.0,31.0,-16.0,-0.83,-0.2,16.9,31.8,-14.8,-0.77,-0.13,0.0,0.0,0.0,15.0,27.0,9.0,13.0,1.0,8.0,0.0,0.0,0.0,41.0,39.0,58.0,40.2,"£ 50,000(€ 57,557, $63,090)","£ 2,600,000(€ 2,992,948, $3,280,691)",Estimación no verificada,https://fbref.com/es/jugadores/f586779e/Tammy-Abraham
2018-2019,20,Chelsea,engENG,Jr.PL2 — Div. 1,1.0,90,0.0,0.0,,,,,,,,,1.0,90,0,0,1.0,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,90,90.0,4.5,1.0,1.0,90.0,1.0,0.0,,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.1,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,"£ 57,692(€ 66,412, $72,796)","£ 3,000,000(€ 3,453,402, $3,785,413)",,https://fbref.com/es/jugadores/f586779e/Tammy-Abraham
2018-2019,20,Aston Villa,engENG,2.Championship,37.0,"3,138",25.0,3.0,,,,,,,,,37.0,"3,138",25,3,37.0,"3,138",34.9,25.0,3.0,28.0,20.0,5.0,6.0,3.0,0.0,25.2,20.4,2.9,23.3,48.0,57.0,190.0,0.72,0.09,0.8,0.57,0.66,0.72,0.08,0.8,0.59,0.67,17.0,6.0,2.0,13.0,2.0,3.0,11.0,27.3,8.0,27.0,7.0,20.0,8.0,25.0,39.0,0.0,445.0,654.0,68.0,6279.0,1210.0,263.0,341.0,77.1,109.0,169.0,64.5,38.0,61.0,62.3,3.0,2.9,2.1,0.1,26.0,38.0,13.0,2.0,57.0,654.0,614.0,39.0,6.0,4.0,5.0,18.0,1.0,0.0,0.0,0.0,0.0,445.0,1.0,27.0,44.0,74.0,477.0,519.0,156.0,1050.0,51.0,30.0,58.8,21.0,41.2,558.0,2781.0,1110.0,48.0,32.0,16.0,102.0,56.0,826.0,190.0,25.0,103.0,53.0,51.5,2.95,1.52,0.19,0.38,13.1,1.0,5.0,6.0,25.2,20.4,0.2,-0.2,-0.4,67.0,1.92,44.0,0.0,7.0,8.0,7.0,1.0,10.0,0.29,4.0,0.0,2.0,2.0,2.0,0.0,"3,138",85.0,75.8,34.9,37.0,85.0,25.0,0.0,,0.0,1.73,65.0,42.0,23.0,0.66,0.84,59.0,42.3,16.6,0.48,0.5,3.0,0.0,0.0,30.0,56.0,15.0,18.0,8.0,6.0,1.0,0.0,0.0,55.0,105.0,158.0,39.9,"€ 110,962(£ 96,384, $121,611)","€ 5,770,000(£ 5,011,964, $6,323,794)",,https://fbref.com/es/jugadores/f586779e/Tammy-Abraham
2018-2019,20,Chelsea,engENG,1.Premier League,,,,,1.0,22.0,0.0,0.0,,,,,1.0,22,0,0,25.0,"2,215",24.6,15.0,3.0,18.0,15.0,0.0,0.0,2.0,0.0,16.4,16.4,2.7,19.0,31.0,34.0,134.0,0.61,0.12,0.73,0.61,0.73,0.67,0.11,0.77,0.67,0.77,8.0,4.0,2.0,5.0,1.0,3.0,14.0,21.4,11.0,20.0,2.0,18.0,6.0,14.0,27.0,0.0,275.0,418.0,65.8,3513.0,697.0,161.0,221.0,72.9,63.0,86.0,73.3,13.0,21.0,61.9,3.0,2.7,1.9,0.3,21.0,17.0,7.0,1.0,34.0,418.0,367.0,51.0,0.0,2.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,275.0,0.0,24.0,30.0,60.0,337.0,334.0,146.0,722.0,35.0,16.0,45.7,19.0,54.3,333.0,1698.0,749.0,31.0,17.0,10.0,74.0,42.0,479.0,134.0,15.0,88.0,35.0,39.8,3.58,1.42,0.17,0.43,11.6,0.0,0.0,0.0,16.4,16.4,0.19,-1.4,-1.4,57.0,2.32,37.0,0.0,5.0,10.0,2.0,3.0,9.0,0.37,4.0,0.0,2.0,2.0,1.0,0.0,"2,215",65.0,64.8,24.6,25.0,81.0,9.0,9.0,20.0,0.0,1.82,45.0,34.0,11.0,0.45,0.15,46.3,27.5,18.8,0.76,-0.12,2.0,0.0,0.0,17.0,24.0,23.0,11.0,6.0,4.0,1.0,0.0,1.0,49.0,89.0,113.0,44.1,"€ 110,962(£ 95,461, $121,332)","€ 5,770,000(£ 4,963,991, $6,309,268)",,https://fbref.com/es/jugadores/f586779e/Tammy-Abraham
2019-2020,21,Chelsea,engENG,1.Premier League,34.0,"2,215",15.0,3.0,4.0,127.0,0.0,0.0,9.0,613.0,3.0,1.0,47.0,"2,955",18,4,12.0,"1,040",11.6,6.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,5.9,5.9,0.7,6.6,12.0,11.0,66.0,0.52,0.09,0.61,0.52,0.61,0.51,0.06,0.57,0.51,0.57,7.0,5.0,3.0,3.0,1.0,1.0,7.0,14.3,6.0,6.0,0.0,6.0,5.0,12.0,17.0,0.0,149.0,211.0,70.6,1714.0,297.0,85.0,111.0,76.6,33.0,46.0,71.7,4.0,8.0,50.0,1.0,0.7,0.2,0.3,9.0,14.0,1.0,0.0,11.0,211.0,195.0,16.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,9.0,20.0,35.0,171.0,154.0,61.0,358.0,18.0,6.0,33.3,12.0,66.7,154.0,694.0,266.0,12.0,5.0,8.0,33.0,7.0,239.0,66.0,6.0,32.0,13.0,40.6,2.77,1.13,0.19,0.46,10.7,0.0,0.0,0.0,5.9,5.9,0.18,0.1,0.1,17.0,1.47,9.0,0.0,2.0,4.0,2.0,0.0,2.0,0.17,1.0,0.0,0.0,0.0,1.0,0.0,"1,040",47.0,30.4,11.6,12.0,74.0,7.0,10.0,15.0,8.0,1.77,23.0,12.0,11.0,0.95,0.54,20.0,8.2,11.8,1.02,0.25,0.0,0.0,0.0,22.0,12.0,4.0,6.0,5.0,5.0,1.0,0.0,0.0,28.0,38.0,28.0,57.6,"€ 110,962(£ 93,744, $119,244)","€ 5,770,000(£ 4,874,664, $6,200,700)",,https://fbref.com/es/jugadores/f586779e/Tammy-Abraham
2020-2021,22,Chelsea,engENG,1.Premier League,22.0,"1,040",6.0,1.0,5.0,269.0,5.0,2.0,5.0,230.0,1.0,1.0,32.0,"1,539",12,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,13.0,7.0,14.0,6.0,9.0,22.0,40.9,13.0,17.0,3.0,14.0,5.0,32.0,27.0,0.0,485.0,696.0,69.7,6820.0,1622.0,293.0,401.0,73.1,134.0,180.0,74.4,28.0,39.0,71.8,4.0,4.8,2.4,-0.8,38.0,35.0,27.0,3.0,70.0,696.0,627.0,67.0,6.0,5.0,1.0,16.0,2.0,0.0,0.0,0.0,0.0,485.0,2.0,20.0,32.0,73.0,508.0,495.0,173.0,1061.0,77.0,38.0,49.4,39.0,50.6,494.0,2592.0,1129.0,41.0,31.0,22.0,86.0,41.0,736.0,199.0,17.0,92.0,35.0,38.0,2.68,1.02,0.15,0.4,12.9,3.0,3.0,3.0,20.7,18.4,0.2,-3.7,-4.4,94.0,2.74,62.0,1.0,6.0,17.0,7.0,1.0,14.0,0.41,6.0,0.0,2.0,3.0,3.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,,9.0,0.0,0.0,38.0,49.0,17.0,16.0,5.0,13.0,1.0,1.0,0.0,68.0,78.0,80.0,49.4,"€ 110,962(£ 95,381, $126,020)","€ 5,770,000(£ 4,959,800, $6,553,057)",,https://fbref.com/es/jugadores/f586779e/Tammy-Abraham
2021-2022,23,Chelsea,engENG,1.Premier League,,,,,,,,,,,,,,,0,0,36.0,"3,084",34.3,17.0,4.0,21.0,14.0,3.0,3.0,9.0,0.0,20.7,18.4,4.8,23.2,41.0,70.0,199.0,0.5,0.12,0.61,0.41,0.53,0.6,0.14,0.74,0.54,0.68,17.0,10.0,4.0,8.0,5.0,3.0,16.0,18.8,13.0,10.0,4.0,6.0,3.0,20.0,14.0,0.0,342.0,513.0,66.7,4964.0,1248.0,198.0,260.0,76.2,102.0,163.0,62.6,24.0,36.0,66.7,3.0,3.7,2.8,-0.7,33.0,18.0,17.0,2.0,54.0,513.0,475.0,35.0,2.0,4.0,3.0,11.0,1.0,0.0,0.0,0.0,0.0,342.0,3.0,8.0,19.0,50.0,391.0,355.0,125.0,786.0,68.0,22.0,32.4,37.0,54.4,421.0,2154.0,856.0,35.0,20.0,16.0,62.0,31.0,621.0,141.0,8.0,62.0,28.0,45.2,2.55,1.15,0.13,0.29,12.0,0.0,0.0,0.0,10.8,10.8,0.17,-2.8,-2.8,70.0,2.88,46.0,0.0,7.0,10.0,7.0,0.0,9.0,0.37,4.0,0.0,1.0,3.0,1.0,0.0,"3,084",83.0,90.2,34.3,36.0,85.0,23.0,1.0,32.0,0.0,1.7,54.0,38.0,16.0,0.47,0.47,59.3,33.2,26.1,0.76,0.59,2.0,0.0,0.0,33.0,48.0,11.0,11.0,3.0,10.0,1.0,0.0,0.0,46.0,80.0,74.0,51.9,,,,
2021-2022,23,Roma,itITA,1.Serie A,37.0,"3,084",17.0,4.0,2.0,173.0,1.0,1.0,13.0,917.0,9.0,0.0,52.0,"4,174",27,5,24.0,"2,189",24.3,8.0,3.0,11.0,8.0,0.0,0.0,2.0,0.0,10.8,10.8,3.7,14.5,35.0,54.0,141.0,0.33,0.12,0.45,0.33,0.45,0.44,0.15,0.6,0.44,0.6,3.0,1.0,0.0,1.0,2.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,3.0,4.0,0.0,19.0,40.0,47.5,231.0,75.0,14.0,25.0,56.0,4.0,9.0,44.4,0.0,1.0,0.0,0.0,0.1,0.0,-0.1,3.0,1.0,1.0,0.0,4.0,40.0,37.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,1.0,4.0,4.0,31.0,34.0,9.0,69.0,6.0,2.0,33.3,4.0,66.7,37.0,208.0,111.0,6.0,2.0,2.0,9.0,2.0,53.0,15.0,1.0,4.0,2.0,50.0,1.49,0.74,0.25,0.5,11.9,0.0,0.0,0.0,0.6,0.6,0.15,0.4,0.4,3.0,1.12,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.37,0.0,0.0,0.0,0.0,1.0,0.0,"2,189",58.0,64.0,24.3,24.0,77.0,7.0,14.0,24.0,0.0,1.66,32.0,25.0,7.0,0.29,-0.08,38.0,23.0,15.0,0.62,-0.15,1.0,0.0,0.0,6.0,5.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,5.0,54.5,,,,
