Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2013-2014,17,Huddersfield,engENG,2.Championship,1.0,15,0.0,0.0,,,,,,,,,1.0,15,0,0,0,15,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,15,15.0,0.4,0.2,0,,,1,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,"£ 15,000(€ 17,267, $18,927)","£ 780,000(€ 897,884, $984,207)",Estimación no verificada,https://fbref.com/es/jugadores/d328a254/Philip-Billing
2014-2015,18,Huddersfield,engENG,2.Championship,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,,0.78,,0.17,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,0,,5.0,,,,,,,,,,,,1.0,1.0,,12.0,,,,,,,,,,,,,"£ 15,000(€ 17,267, $18,927)","£ 780,000(€ 897,884, $984,207)",Estimación no verificada,https://fbref.com/es/jugadores/d328a254/Philip-Billing
2015-2016,19,Huddersfield,engENG,2.Championship,13.0,696,1.0,0.0,,,,,,,,,13.0,696,1,0,8,696,7.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,0.13,0.0,0.13,0.13,0.13,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,10.0,,0.0,0.75,,0.2,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,696,54.0,16.8,7.7,8,,5.0,5,,11.0,1.38,8.0,7.0,1.0,0.13,0.44,,,,,,4.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"£ 40,000(€ 46,045, $50,472)","£ 2,080,000(€ 2,394,359, $2,624,553)",Estimación no verificada,https://fbref.com/es/jugadores/d328a254/Philip-Billing
2016-2017,20,Huddersfield,engENG,2.Championship,24.0,"1,207",2.0,0.0,4.0,312.0,0.0,1.0,,,,,28.0,"1,519",2,1,13,"1,207",13.4,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,,,,,,,,0.15,0.0,0.15,0.15,0.15,,,,,,25.0,16.0,11.0,11.0,3.0,8.0,22.0,36.4,14.0,17.0,1.0,16.0,18.0,43.0,19.0,0.0,285.0,394.0,72.3,4747.0,1279.0,142.0,168.0,84.5,107.0,140.0,76.4,25.0,62.0,40.3,0.0,0.5,0.4,-0.5,2.0,22.0,4.0,2.0,26.0,394.0,377.0,17.0,6.0,1.0,2.0,12.0,11.0,0.0,0.0,0.0,0.0,285.0,0.0,8.0,18.0,136.0,284.0,88.0,0.0,500.0,6.0,4.0,66.7,2.0,33.3,229.0,1320.0,700.0,12.0,12.0,0.0,8.0,7.0,255.0,13.0,0.0,7.0,2.0,28.6,0.82,0.24,0.0,0.0,29.6,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,6.0,0.71,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,207",50.0,29.2,13.4,13,,6.0,11,,3.0,1.71,14.0,21.0,-7.0,-0.52,-0.68,,,,,,3.0,0.0,0.0,14.0,6.0,1.0,12.0,18.0,16.0,0.0,1.0,0.0,73.0,25.0,12.0,67.6,"£ 40,000(€ 46,495, $50,840)","£ 2,080,000(€ 2,417,732, $2,643,695)",,https://fbref.com/es/jugadores/d328a254/Philip-Billing
2017-2018,21,Huddersfield,engENG,1.Premier League,16.0,764,0.0,0.0,6.0,415.0,1.0,0.0,,,,,22.0,"1,179",1,0,8,764,8.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.5,0.7,12.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.08,0.02,0.08,73.0,44.0,26.0,39.0,8.0,19.0,42.0,45.2,23.0,57.0,16.0,41.0,53.0,126.0,43.0,0.0,909.0,1261.0,72.1,16703.0,4691.0,408.0,489.0,83.4,330.0,455.0,72.5,136.0,236.0,57.6,0.0,1.7,1.1,-1.7,22.0,69.0,16.0,9.0,101.0,1261.0,1111.0,148.0,17.0,0.0,28.0,56.0,129.0,2.0,1.0,0.0,0.0,909.0,2.0,23.0,64.0,362.0,791.0,505.0,32.0,1633.0,38.0,20.0,52.6,18.0,47.4,773.0,4685.0,2133.0,53.0,50.0,5.0,54.0,28.0,875.0,59.0,2.0,42.0,9.0,21.4,1.73,0.37,0.05,0.22,23.7,3.0,0.0,0.0,1.8,1.8,0.04,0.2,0.2,68.0,2.8,39.0,12.0,2.0,9.0,4.0,2.0,3.0,0.12,2.0,1.0,0.0,0.0,0.0,0.0,764,48.0,22.3,8.5,8,,4.0,8,,4.0,1.0,7.0,11.0,-4.0,-0.47,0.41,7.2,11.3,-4.1,-0.48,-0.04,7.0,0.0,0.0,37.0,30.0,2.0,56.0,53.0,44.0,0.0,1.0,0.0,174.0,86.0,28.0,75.4,"£ 45,000(€ 53,266, $57,242)","£ 2,340,000(€ 2,769,826, $2,976,570)",,https://fbref.com/es/jugadores/d328a254/Philip-Billing
2018-2019,22,Huddersfield,engENG,1.Premier League,27.0,"2,188",2.0,0.0,,,,,,,,,27.0,"2,188",2,0,25,"2,188",24.3,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,1.8,1.8,1.7,3.4,53.0,101.0,59.0,0.08,0.0,0.08,0.08,0.08,0.07,0.07,0.14,0.07,0.14,72.0,46.0,30.0,37.0,5.0,17.0,65.0,26.2,48.0,59.0,16.0,43.0,66.0,138.0,97.0,1.0,879.0,1216.0,72.3,14318.0,3856.0,452.0,594.0,76.1,317.0,397.0,79.8,79.0,139.0,56.8,1.0,1.7,1.9,-0.7,15.0,70.0,18.0,1.0,100.0,1216.0,1149.0,62.0,19.0,1.0,10.0,14.0,43.0,0.0,0.0,0.0,0.0,879.0,5.0,22.0,131.0,462.0,839.0,395.0,50.0,1673.0,35.0,22.0,62.9,13.0,37.1,873.0,4050.0,1646.0,29.0,30.0,4.0,51.0,28.0,905.0,59.0,1.0,33.0,8.0,24.2,1.17,0.28,0.03,0.13,20.7,1.0,0.0,0.0,2.0,2.0,0.06,-1.0,-1.0,50.0,1.78,38.0,3.0,3.0,3.0,2.0,1.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,"2,188",81.0,64.0,24.3,25,85.0,19.0,2,28.0,1.0,0.52,15.0,43.0,-28.0,-1.15,0.75,17.5,34.2,-16.6,-0.68,0.45,8.0,0.0,0.0,38.0,23.0,2.0,14.0,66.0,46.0,0.0,0.0,0.0,162.0,111.0,76.0,59.4,"€ 35,577(£ 30,581, $40,405)","€ 1,850,000(£ 1,590,230, $2,101,067)",,https://fbref.com/es/jugadores/d328a254/Philip-Billing
2019-2020,23,Bournemouth,engENG,1.Premier League,34.0,"2,530",1.0,1.0,2.0,127.0,2.0,0.0,,,,,36.0,"2,657",3,1,29,"2,530",28.1,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,2.0,2.0,1.7,3.6,29.0,100.0,59.0,0.04,0.04,0.07,0.04,0.07,0.07,0.06,0.13,0.07,0.13,42.0,24.0,23.0,17.0,2.0,10.0,34.0,29.4,24.0,43.0,5.0,38.0,21.0,63.0,34.0,0.0,752.0,977.0,77.0,11451.0,2626.0,392.0,502.0,78.1,275.0,322.0,85.4,43.0,72.0,59.7,4.0,4.0,3.3,0.0,29.0,64.0,25.0,2.0,112.0,977.0,960.0,14.0,6.0,2.0,8.0,17.0,5.0,1.0,0.0,0.0,0.0,752.0,3.0,25.0,53.0,241.0,605.0,448.0,66.0,1275.0,38.0,24.0,63.2,14.0,36.8,688.0,3814.0,1494.0,40.0,39.0,3.0,60.0,34.0,877.0,111.0,8.0,32.0,14.0,43.8,1.39,0.61,0.25,0.57,16.9,1.0,0.0,0.0,4.0,4.0,0.13,4.0,4.0,65.0,2.83,54.0,0.0,4.0,3.0,4.0,0.0,6.0,0.26,5.0,0.0,0.0,1.0,0.0,0.0,"2,530",74.0,74.0,28.1,29,82.0,19.0,5,30.0,1.0,0.97,31.0,41.0,-10.0,-0.36,1.16,33.4,45.3,-11.9,-0.42,0.14,9.0,0.0,0.0,38.0,33.0,1.0,17.0,21.0,24.0,0.0,0.0,0.0,113.0,55.0,47.0,53.9,,,,
2020-2021,24,Bournemouth,engENG,2.Championship,34.0,"2,070",8.0,4.0,6.0,490.0,0.0,0.0,,,,,40.0,"2,560",8,4,23,"2,070",23.0,8.0,4.0,12.0,8.0,0.0,0.0,9.0,0.0,4.0,4.0,4.0,8.0,40.0,112.0,111.0,0.35,0.17,0.52,0.35,0.52,0.18,0.17,0.35,0.18,0.35,63.0,45.0,23.0,30.0,10.0,14.0,39.0,35.9,25.0,55.0,10.0,45.0,35.0,98.0,50.0,1.0,922.0,1275.0,72.3,12862.0,3064.0,557.0,688.0,81.0,268.0,366.0,73.2,48.0,86.0,55.8,10.0,6.8,5.8,3.2,43.0,72.0,26.0,5.0,110.0,1275.0,1241.0,30.0,13.0,10.0,5.0,43.0,15.0,0.0,0.0,0.0,0.0,922.0,4.0,40.0,66.0,227.0,807.0,709.0,138.0,1726.0,42.0,25.0,59.5,17.0,40.5,990.0,4302.0,1818.0,61.0,50.0,11.0,89.0,37.0,1166.0,220.0,10.0,68.0,22.0,32.4,1.85,0.6,0.15,0.45,16.6,7.0,0.0,0.0,8.0,8.0,0.12,2.0,2.0,83.0,2.26,65.0,2.0,5.0,6.0,2.0,3.0,13.0,0.35,10.0,2.0,1.0,0.0,0.0,0.0,"2,070",61.0,50.0,23.0,23,82.0,12.0,11,17.0,5.0,1.72,39.0,24.0,15.0,0.65,0.13,32.1,23.7,8.5,0.37,0.11,13.0,0.0,0.0,50.0,25.0,5.0,43.0,35.0,45.0,0.0,0.0,0.0,137.0,85.0,41.0,67.5,,,,
2021-2022,25,Bournemouth,engENG,2.Championship,40.0,"3,304",10.0,10.0,2.0,115.0,1.0,0.0,,,,,42.0,"3,419",11,10,37,"3,304",36.7,10.0,10.0,20.0,10.0,0.0,0.0,13.0,0.0,8.0,8.0,6.8,14.8,61.0,110.0,220.0,0.27,0.27,0.54,0.27,0.54,0.22,0.19,0.4,0.22,0.4,63.0,36.0,21.0,33.0,9.0,11.0,42.0,26.2,31.0,48.0,8.0,40.0,31.0,94.0,58.0,1.0,813.0,1055.0,77.1,11823.0,3165.0,460.0,542.0,84.9,257.0,317.0,81.1,45.0,94.0,47.9,1.0,3.2,2.6,-2.2,26.0,49.0,9.0,3.0,80.0,1055.0,1009.0,43.0,20.0,5.0,10.0,38.0,6.0,10.0,5.0,1.0,0.0,813.0,3.0,32.0,76.0,334.0,666.0,428.0,71.0,1410.0,49.0,28.0,57.1,15.0,30.6,728.0,3709.0,1694.0,37.0,31.0,6.0,42.0,35.0,900.0,101.0,7.0,38.0,18.0,47.4,1.24,0.59,0.18,0.39,18.3,5.0,0.0,0.0,4.9,4.9,0.13,2.1,2.1,54.0,1.76,41.0,2.0,5.0,5.0,1.0,0.0,6.0,0.2,4.0,0.0,0.0,2.0,0.0,0.0,"3,304",83.0,79.8,36.7,37,87.0,27.0,3,31.0,0.0,2.05,61.0,29.0,32.0,0.87,0.55,60.4,36.9,23.5,0.64,0.09,5.0,0.0,0.0,30.0,35.0,3.0,38.0,31.0,36.0,0.0,0.0,0.0,146.0,52.0,35.0,59.8,,,,
2022-2023,26,Bournemouth,engENG,1.Premier League,36.0,"2,764",7.0,1.0,2.0,180.0,0.0,0.0,,,,,38.0,"2,944",7,1,34,"2,764",30.7,7.0,1.0,8.0,7.0,0.0,0.0,5.0,0.0,4.9,4.9,3.2,8.0,37.0,80.0,101.0,0.23,0.03,0.26,0.23,0.26,0.16,0.1,0.26,0.16,0.26,33.0,16.0,7.0,22.0,4.0,9.0,27.0,33.3,18.0,31.0,5.0,26.0,20.0,53.0,28.0,1.0,404.0,537.0,75.2,6037.0,1791.0,232.0,279.0,83.2,121.0,153.0,79.1,31.0,56.0,55.4,2.0,3.2,2.1,-1.2,23.0,39.0,15.0,4.0,53.0,537.0,518.0,17.0,4.0,0.0,6.0,29.0,5.0,6.0,3.0,1.0,0.0,404.0,2.0,17.0,43.0,139.0,337.0,286.0,60.0,755.0,33.0,12.0,36.4,18.0,54.5,366.0,1772.0,798.0,22.0,23.0,6.0,27.0,17.0,438.0,63.0,2.0,30.0,8.0,26.7,1.93,0.52,0.07,0.25,20.6,7.0,0.0,0.0,2.5,2.5,0.08,-0.5,-0.5,46.0,2.96,40.0,2.0,1.0,2.0,1.0,0.0,5.0,0.32,5.0,0.0,0.0,0.0,0.0,0.0,"2,764",77.0,80.8,30.7,34,79.0,11.0,2,36.0,0.0,1.06,32.0,54.0,-22.0,-0.72,0.93,31.4,48.8,-17.4,-0.57,0.52,3.0,1.0,0.0,19.0,12.0,0.0,29.0,20.0,16.0,0.0,0.0,0.0,76.0,36.0,24.0,60.0,,,,
