Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2007-2008,17,Cesena,itITA,2.Serie B,24,"1,103",2,2,,,,,,,,,24,"1,103",2,2,10,"1,103",12.3,2,2,4,2,0,0,6,0,,,,,,,,0.16,0.16,0.33,0.16,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,8,,,0.65,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,103",46,29.2,12.3,10,,,14,,,,,,,,,,,,,,6,0,,,,,,,,,,,,,,,"€ 2,885(£ 2,506, $3,161)","€ 150,000(£ 130,294, $164,397)",Estimación no verificada,https://fbref.com/es/jugadores/405f6586/Milan-Djuric
2009-2010,19,Cesena,itITA,2.Serie B,28,"1,497",3,0,,,,,,,,,28,"1,497",3,0,16,"1,497",16.6,3,0,3,3,0,0,6,0,,,,,,,,0.18,0.0,0.18,0.18,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,6,,,0.36,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,497",53,39.6,16.6,16,,,12,,,,,,,,,,,,,,6,0,,,,,,,,,,,,,,,"€ 7,308(£ 6,348, $8,009)","€ 380,000(£ 330,077, $416,472)",,https://fbref.com/es/jugadores/405f6586/Milan-Djuric
2010-2011,20,Ascoli,itITA,2.Serie B,17,889,2,2,,,,,,,,,17,889,2,2,8,889,9.9,2,2,4,2,0,0,4,0,,,,,,,,0.2,0.2,0.4,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,11,,,1.11,,0.18,,,0,0,,,,,,,,,,,,,,,,,,,,,,889,52,23.5,9.9,8,,,9,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,"€ 17,308(£ 14,890, $18,925)","€ 900,000(£ 774,279, $984,115)",,https://fbref.com/es/jugadores/405f6586/Milan-Djuric
2010-2011,20,Crotone,itITA,2.Serie B,16,"1,159",5,2,,,,,,,,,16,"1,159",5,2,11,"1,159",12.9,5,2,7,5,0,0,5,0,,,,,,,,0.39,0.16,0.54,0.39,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,12,,,0.93,,0.42,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,159",72,30.7,12.9,11,,,5,,,,,,,,,,,,,,5,0,,,,,,,,,,,,,,,"€ 17,308(£ 14,622, $18,600)","€ 900,000(£ 760,346, $967,180)",,https://fbref.com/es/jugadores/405f6586/Milan-Djuric
2011-2012,21,Crotone,itITA,2.Serie B,29,"1,732",2,1,,,,,,,,,29,"1,732",2,1,17,"1,732",19.2,2,1,3,2,0,0,7,0,,,,,,,,0.1,0.05,0.16,0.1,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,13,,,0.68,,0.15,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,732",60,45.8,19.2,17,,,12,,,,,,,,,,,,,,7,0,,,,,,,,,,,,,,,"€ 17,308(£ 14,622, $18,600)","€ 900,000(£ 760,346, $967,180)",Estimación no verificada,https://fbref.com/es/jugadores/405f6586/Milan-Djuric
2013-2014,23,Cittadella,itITA,2.Serie B,15,"1,039",4,1,,,,,,,,,15,"1,039",4,1,11,"1,039",11.5,4,1,5,4,0,1,3,1,,,,,,,,0.35,0.09,0.43,0.35,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,7,,,0.61,,0.57,,,0,1,,,,,,,,,,,,,,,,,,,,,,"1,039",69,27.5,11.5,11,,,4,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,"€ 17,308(£ 14,877, $19,657)","€ 900,000(£ 773,626, $1,022,141)",Estimación no verificada,https://fbref.com/es/jugadores/405f6586/Milan-Djuric
2013-2014,23,Trapani,itITA,2.Serie B,13,625,3,0,,,,,,,,,13,625,3,0,6,625,6.9,3,0,3,3,0,0,0,1,,,,,,,,0.43,0.0,0.43,0.43,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,7,,,1.01,,0.43,,,0,0,,,,,,,,,,,,,,,,,,,,,,625,48,16.5,6.9,6,,,7,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,"€ 19,808(£ 17,026, $22,496)","€ 1,030,000(£ 885,371, $1,169,783)",Estimación no verificada,https://fbref.com/es/jugadores/405f6586/Milan-Djuric
2014-2015,24,Cesena,itITA,1.Serie A,28,"1,589",2,2,2.0,159.0,1.0,0.0,,,,,30,"1,748",3,2,17,"1,589",17.7,2,2,4,2,0,0,2,0,,,,,,,,0.11,0.11,0.23,0.11,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,11,,,0.62,,0.18,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,589",57,46.5,17.7,17,,6.0,11,,8.0,0.61,16.0,33.0,-17.0,-0.96,0.02,,,,,,2,0,,36.0,,,,,,,,,,,,,,,,
2015-2016,25,Istra 1961,hrCRO,1.1. HNL,26,"2,093",0,2,,,,,,,,,26,"2,093",0,2,24,"2,093",23.3,0,2,2,0,0,0,7,0,,,,,,,,0.0,0.09,0.09,0.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,6,,,0.26,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,093",81,64.6,23.3,24,,,2,,0.0,,,,,,,,,,,,7,0,,,,,,,,,,,,,,,,,,
2015-2016,25,Cesena,itITA,2.Serie B,26,"1,906",7,1,1.0,35.0,1.0,0.0,,,,,27,"1,941",8,1,22,"1,906",21.2,7,1,8,6,1,1,2,0,,,,,,,,0.33,0.05,0.38,0.28,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,22,,,1.04,,0.27,,,1,1,,,,,,,,,,,,,,,,,,,,,,"1,906",73,50.4,21.2,22,,13.0,4,,0.0,1.78,33.0,19.0,14.0,0.66,0.37,,,,,,2,0,,,,,,,,,,,,,,,,,,
2016-2017,26,Cesena,itITA,2.Serie B,19,"1,586",6,2,2.0,107.0,0.0,0.0,,,,,21,"1,693",6,2,17,"1,586",17.6,6,2,8,6,0,0,5,0,,,,,,,,0.34,0.11,0.45,0.34,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,18,,,1.02,,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,586",83,42.0,17.6,17,,16.0,2,,,,,,,,,,,,,,5,0,,,,,,,,,,,,,,,,,,
2016-2017,26,Bristol City,engENG,2.Championship,11,464,2,2,3.0,231.0,0.0,0.0,,,,,14,695,2,2,3,464,5.2,2,2,4,2,0,0,1,0,,,,,,,,0.39,0.39,0.78,0.39,0.78,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,7,,0.0,1.36,,0.29,,,0,0,,,,,,,,,,,,,,,,,,,,,,464,42,11.2,5.2,3,,1.0,8,,1.0,0.91,6.0,8.0,-2.0,-0.39,-0.29,,,,,,1,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2017-2018,27,Bristol City,engENG,2.Championship,16,552,3,0,1.0,49.0,1.0,0.0,,,,,17,601,4,0,4,552,6.1,3,0,3,3,0,0,1,0,,,,,,,,0.49,0.0,0.49,0.49,0.49,,,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14.0,5,35.7,2.28,0.82,0.21,0.6,,,0,0,,,,,,,,,,,,,,,,,,,,,,552,35,13.3,6.1,4,,1.0,12,,2.0,1.75,12.0,9.0,3.0,0.49,0.34,,,,,,1,0,0.0,14.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,
2018-2019,28,Salernitana,itITA,2.Serie B,26,"1,580",6,1,,,,,,,,,26,"1,580",6,1,18,"1,580",17.6,6,1,7,6,0,0,4,0,5.2,5.2,2.9,8.1,7.0,39.0,124.0,0.34,0.06,0.4,0.34,0.4,0.29,0.16,0.46,0.29,0.46,5.0,2.0,3.0,1.0,1.0,1.0,7.0,14.3,6.0,8.0,2.0,6.0,2.0,7.0,21.0,0.0,346.0,567.0,61.0,4611.0,802.0,227.0,354.0,64.1,84.0,145.0,57.9,14.0,21.0,66.7,1,2.9,1.7,-1.9,29.0,24.0,7.0,1.0,39.0,567.0,543.0,16.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,346.0,8.0,2.0,20.0,36.0,318.0,399.0,117.0,749.0,12.0,7.0,58.3,5.0,41.7,326.0,1306.0,265.0,7.0,12.0,1.0,57.0,37.0,630.0,124.0,6,45.0,18,40.0,2.56,1.03,0.13,0.33,12.3,0.0,0,0,5.2,5.2,0.11,0.8,0.8,50.0,2.85,45.0,0.0,0.0,2.0,3.0,0.0,5.0,0.28,3.0,0.0,0.0,1.0,1.0,0.0,"1,580",61,48.8,17.6,18,81.0,9.0,8,16.0,8.0,1.14,19.0,27.0,-8.0,-0.46,-0.02,19.5,23.7,-4.1,-0.24,0.13,4,0,0.0,40.0,25.0,7.0,1.0,2.0,2.0,0.0,0.0,0.0,61.0,162.0,72.0,69.2,,,,
2019-2020,29,Salernitana,itITA,2.Serie B,33,"2,317",12,1,,,,,,,,,33,"2,317",12,1,26,"2,317",25.7,12,1,13,11,1,1,2,0,8.8,8.0,2.3,10.3,10.0,40.0,119.0,0.47,0.04,0.5,0.43,0.47,0.34,0.09,0.43,0.31,0.4,8.0,5.0,2.0,4.0,2.0,0.0,6.0,0.0,6.0,14.0,2.0,12.0,1.0,9.0,20.0,0.0,354.0,489.0,72.4,5036.0,796.0,217.0,285.0,76.1,105.0,146.0,71.9,19.0,29.0,65.5,1,2.3,1.7,-1.3,26.0,29.0,7.0,0.0,40.0,489.0,462.0,23.0,1.0,1.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,354.0,4.0,5.0,21.0,47.0,343.0,278.0,106.0,660.0,24.0,13.0,54.2,11.0,45.8,308.0,1304.0,313.0,10.0,4.0,3.0,37.0,32.0,515.0,119.0,12,49.0,25,51.0,1.9,0.97,0.22,0.44,11.8,0.0,1,1,8.8,8.0,0.16,3.2,3.0,55.0,2.14,49.0,0.0,0.0,2.0,3.0,1.0,3.0,0.12,3.0,0.0,0.0,0.0,0.0,0.0,"2,317",70,67.7,25.7,26,87.0,21.0,7,8.0,2.0,1.48,36.0,34.0,2.0,0.08,0.0,33.0,36.4,-3.4,-0.13,-0.27,2,0,0.0,45.0,38.0,12.0,3.0,1.0,5.0,0.0,0.0,0.0,59.0,119.0,58.0,67.2,,,,
