titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
18,"1,715",19.1,3,1,4,3,0,0,5,1,,,,,,,,0.16,0.05,0.21,0.16,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,7,,,0.37,,0.43,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,715",54,50.1,19.1,18,,4,14,,,,,,,,,,,,,,5,1,,44,,,,,,,,,,,,
25,"2,292",25.5,5,2,7,5,0,0,5,0,,,,,,,,0.2,0.08,0.27,0.2,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,30,,,1.18,,0.17,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,292",72,67.0,25.5,25,,17,7,,,,,,,,,,,,,,5,0,,73,,,,,,,,,,,,
27,"2,382",26.5,12,7,19,12,0,0,7,1,,,,,,,,0.45,0.26,0.72,0.45,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,33,,,1.25,,0.36,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,382",77,69.6,26.5,27,,17,4,,,,,,,,,,,,,,7,1,1.0,61,,,,,,,,,,,,
20,"1,666",18.5,12,4,16,12,0,0,4,0,,,,,,,,0.65,0.22,0.86,0.65,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,27,,,1.46,,0.44,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,666",67,48.7,18.5,20,,7,5,,,,,,,,,,,,,,4,0,,21,,,,,,,,,,,,
18,"1,706",19.0,8,9,17,8,0,0,4,0,,,,,,,,0.42,0.47,0.9,0.42,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,25,,,1.32,,0.32,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,706",59,49.9,19.0,18,,7,11,,,,,,,,,,,,,,4,0,,37,,,,,,,,,,,,
27,"2,369",26.3,19,10,29,19,0,0,3,0,,,,,,,,0.72,0.38,1.1,0.72,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,39,,,1.48,,0.49,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,369",70,69.3,26.3,27,,13,7,,,,,,,,,,,,,,3,0,,34,,,,,,,,,,,,
34,"2,942",32.7,16,8,24,16,0,1,4,0,,,,,,,,0.49,0.24,0.73,0.49,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,50,,,1.53,,0.32,,,0,1,,,,,,,,,,,,,,,,,,,,,,"2,942",84,86.0,32.7,34,,22,1,,1.0,1.97,56.0,31.0,25.0,0.76,-1.12,,,,,,4,0,,44,,,,,,,,,,,,
28,"2,436",27.1,13,4,17,13,0,0,1,0,,,,,,,,0.48,0.15,0.63,0.48,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,38,,,1.4,,0.34,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,436",81,71.2,27.1,28,,16,2,,0.0,1.8,50.0,23.0,27.0,1.0,0.81,,,,,,1,0,,32,,,,,,,,,,,,
36,"3,217",35.7,24,10,34,22,2,3,6,0,,,,,,,,0.67,0.28,0.95,0.62,0.9,,,,,,,40.0,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,129.0,49,38.0,3.61,1.37,0.17,0.45,,,2,3,,,,,,,,,,,,,,,,,,,,,,"3,217",85,94.1,35.7,36,,28,2,,0.0,1.97,74.0,41.0,33.0,0.92,0.92,,,,,,6,0,0.0,48,71.0,27.0,65.0,27.0,40.0,1.0,0.0,0.0,,,,
17,"1,503",16.7,7,3,10,6,1,1,4,0,8.1,7.3,4.9,12.2,50.0,149.0,218.0,0.42,0.18,0.6,0.36,0.54,0.49,0.29,0.78,0.44,0.73,20.0,9.0,9.0,4.0,7.0,7.0,32.0,21.9,25.0,5.0,2.0,3.0,6.0,26.0,1.0,0.0,643.0,927.0,69.4,10650.0,3348.0,331.0,410.0,80.7,206.0,302.0,68.2,75.0,130.0,57.7,3,4.9,6.4,-1.9,50.0,56.0,74.0,3.0,149.0,927.0,869.0,58.0,15.0,18.0,10.0,54.0,1.0,37.0,25.0,3.0,0.0,643.0,0.0,31.0,9.0,52.0,351.0,751.0,104.0,1144.0,60.0,40.0,66.7,20.0,33.3,866.0,5393.0,1996.0,50.0,53.0,25.0,64.0,48.0,963.0,218.0,7,68.0,24,35.3,4.07,1.44,0.09,0.25,19.9,14.0,1,1,8.1,7.3,0.11,-1.1,-1.3,122.0,7.31,78.0,6.0,14.0,13.0,11.0,0.0,14.0,0.84,8.0,0.0,3.0,2.0,1.0,0.0,"1,503",79,43.9,16.7,17,,11,2,,0.0,1.89,31.0,21.0,10.0,0.6,-0.01,30.8,20.9,10.0,0.6,0.1,4,0,0.0,21,44.0,16.0,54.0,6.0,9.0,0.0,0.0,0.0,48.0,14.0,24.0,36.8
