titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
3,291,3.2,1,0,1,1,0,0,3,0,,,,,,,,0.31,0.0,0.31,0.31,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,0.31,,1.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,291,58,8.5,3.2,3,,,2,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,
17,"1,532",17.0,4,1,5,4,0,0,2,0,,,,,,,,0.23,0.06,0.29,0.23,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,7,,,0.41,,0.57,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,532",73,44.8,17.0,17,,12.0,4,,1.0,0.9,15.0,25.0,-10.0,-0.59,0.46,,,,,,2,0,,,,,,,,,,,,,,
0,32,0.4,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,32,16,0.9,0.4,0,,0.0,2,,0.0,0.5,0.0,1.0,-1.0,-2.81,-2.49,,,,,,0,0,,1.0,,,,,,,,,,,,
0,18,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,,0.0,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,18,18,0.5,0.2,0,,0.0,1,,1.0,0.0,0.0,0.0,0.0,0.0,-0.08,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
7,846,9.4,1,0,1,1,0,0,3,0,,,,,,,,0.11,0.0,0.11,0.11,0.11,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,5,,0.0,0.53,,0.2,,,0,0,,,,,,,,,,,,,,,,,,,,,,846,38,24.7,9.4,7,,6.0,15,,5.0,2.27,17.0,8.0,9.0,0.96,-0.48,,,,,,3,0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
9,926,10.3,0,0,0,0,0,0,1,0,0.9,0.9,0.5,1.4,24.0,31.0,17.0,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.13,0.09,0.13,29.0,21.0,22.0,5.0,2.0,16.0,19.0,84.2,3.0,6.0,1.0,5.0,14.0,43.0,41.0,0.0,351.0,458.0,76.6,5431.0,1655.0,198.0,221.0,89.6,123.0,159.0,77.4,21.0,45.0,46.7,0,0.5,0.5,-0.5,6.0,21.0,1.0,0.0,31.0,458.0,371.0,83.0,5.0,0.0,2.0,15.0,78.0,0.0,0.0,0.0,0.0,351.0,4.0,13.0,34.0,226.0,286.0,93.0,10.0,597.0,29.0,22.0,75.9,7.0,24.1,299.0,2272.0,1290.0,24.0,16.0,5.0,16.0,10.0,320.0,17.0,0,9.0,1,11.1,0.87,0.1,0.0,0.0,21.2,0.0,0,0,0.9,0.9,0.1,-0.9,-0.9,14.0,1.36,12.0,0.0,1.0,1.0,0.0,0.0,2.0,0.19,2.0,0.0,0.0,0.0,0.0,0.0,926,58,27.1,10.3,9,88.0,8.0,7,19.0,9.0,1.5,14.0,9.0,5.0,0.49,0.77,11.6,11.8,-0.2,-0.02,0.22,1,0,0.0,12.0,10.0,0.0,15.0,14.0,21.0,0.0,1.0,0.0,61.0,10.0,17.0,37.0
18,"1,709",19.0,2,0,2,2,0,0,5,0,1.9,1.9,0.6,2.5,85.0,81.0,82.0,0.11,0.0,0.11,0.11,0.11,0.1,0.03,0.13,0.1,0.13,58.0,47.0,40.0,14.0,4.0,24.0,35.0,68.6,11.0,17.0,2.0,15.0,58.0,116.0,58.0,0.0,891.0,1117.0,79.8,14733.0,4177.0,463.0,516.0,89.7,341.0,414.0,82.4,71.0,125.0,56.8,0,0.6,1.3,-0.6,12.0,57.0,16.0,7.0,81.0,1117.0,952.0,160.0,8.0,0.0,14.0,57.0,152.0,0.0,0.0,0.0,0.0,891.0,5.0,25.0,59.0,484.0,657.0,301.0,19.0,1425.0,53.0,37.0,69.8,16.0,30.2,783.0,5151.0,2847.0,85.0,55.0,4.0,36.0,15.0,844.0,82.0,2,31.0,7,22.6,1.63,0.37,0.06,0.29,21.7,1.0,0,0,1.9,1.9,0.06,0.1,0.1,32.0,1.69,29.0,1.0,2.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,"1,709",74,67.8,19.0,18,89.0,16.0,5,20.0,3.0,1.57,17.0,14.0,3.0,0.16,-0.06,20.3,19.4,0.9,0.05,-0.09,5,0,0.0,20.0,22.0,3.0,57.0,58.0,47.0,0.0,0.0,0.0,134.0,26.0,17.0,60.5
34,"2,960",32.9,2,1,3,2,0,0,3,0,1.4,1.4,2.5,3.9,111.0,142.0,214.0,0.06,0.03,0.09,0.06,0.09,0.04,0.07,0.12,0.04,0.12,65.0,39.0,40.0,16.0,9.0,27.0,49.0,55.1,22.0,39.0,12.0,27.0,55.0,120.0,61.0,1.0,1581.0,1952.0,81.0,25474.0,7831.0,847.0,951.0,89.1,592.0,704.0,84.1,114.0,203.0,56.2,1,2.5,2.9,-1.5,28.0,88.0,37.0,17.0,142.0,1952.0,1679.0,267.0,24.0,1.0,17.0,112.0,242.0,1.0,1.0,0.0,0.0,1581.0,6.0,43.0,93.0,681.0,1027.0,621.0,43.0,2308.0,61.0,36.0,59.0,25.0,41.0,1390.0,7720.0,4293.0,111.0,77.0,16.0,48.0,23.0,1512.0,214.0,2,27.0,4,14.8,0.82,0.12,0.07,0.5,21.6,0.0,0,0,1.4,1.4,0.05,0.6,0.6,59.0,1.79,48.0,0.0,3.0,2.0,6.0,0.0,2.0,0.06,1.0,0.0,0.0,0.0,1.0,0.0,"2,960",82,86.5,32.9,34,85.0,27.0,2,40.0,0.0,1.44,44.0,41.0,3.0,0.09,1.27,40.8,46.1,-5.3,-0.16,0.31,3,0,0.0,22.0,31.0,1.0,112.0,55.0,39.0,0.0,0.0,0.0,178.0,36.0,38.0,48.6
7,544,6.0,0,0,0,0,0,0,2,0,1.1,1.1,0.9,1.9,18.0,12.0,45.0,0.0,0.0,0.0,0.0,0.0,0.17,0.14,0.32,0.17,0.32,13.0,10.0,4.0,6.0,3.0,5.0,8.0,62.5,3.0,10.0,2.0,8.0,9.0,22.0,4.0,0.0,239.0,299.0,79.9,3550.0,489.0,118.0,133.0,88.7,103.0,119.0,86.6,8.0,24.0,33.3,0,0.9,1.2,-0.9,3.0,6.0,5.0,3.0,12.0,299.0,276.0,19.0,2.0,0.0,1.0,16.0,17.0,0.0,0.0,0.0,0.0,239.0,4.0,5.0,9.0,64.0,188.0,114.0,12.0,362.0,9.0,4.0,44.4,5.0,55.6,235.0,1252.0,636.0,18.0,11.0,1.0,6.0,6.0,255.0,45.0,0,13.0,1,7.7,2.15,0.17,0.0,0.0,17.4,0.0,0,0,1.1,1.1,0.08,-1.1,-1.1,7.0,1.16,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,544,49,15.9,6.0,7,73.0,2.0,4,8.0,5.0,2.09,7.0,4.0,3.0,0.5,0.09,9.4,4.0,5.4,0.9,0.66,2,0,0.0,8.0,4.0,3.0,16.0,9.0,10.0,0.0,0.0,0.0,41.0,2.0,13.0,13.3
18,"1,623",18.0,1,0,1,1,0,0,5,1,0.2,0.2,0.6,0.8,32.0,55.0,25.0,0.06,0.0,0.06,0.06,0.06,0.01,0.03,0.04,0.01,0.04,53.0,34.0,31.0,16.0,6.0,27.0,43.0,62.8,16.0,20.0,4.0,16.0,69.0,122.0,67.0,0.0,637.0,917.0,69.5,10140.0,4864.0,352.0,416.0,84.6,223.0,311.0,71.7,48.0,137.0,35.0,0,0.6,0.7,-0.6,10.0,47.0,10.0,4.0,55.0,917.0,725.0,188.0,6.0,3.0,0.0,23.0,182.0,0.0,0.0,0.0,0.0,637.0,4.0,30.0,79.0,547.0,488.0,158.0,9.0,1182.0,30.0,15.0,50.0,15.0,50.0,529.0,2922.0,1403.0,32.0,14.0,2.0,16.0,6.0,505.0,25.0,1,5.0,1,20.0,0.28,0.06,0.2,1.0,25.7,0.0,0,0,0.2,0.2,0.03,0.8,0.8,18.0,1.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,623",85,47.5,18.0,18,88.0,15.0,1,45.0,0.0,0.47,10.0,37.0,-27.0,-1.5,-0.7,16.9,28.5,-11.6,-0.64,0.01,5,1,1.0,24.0,16.0,0.0,23.0,69.0,34.0,0.0,1.0,0.0,153.0,30.0,15.0,66.7
