titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,2,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
0,64,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,64,11.0,1.5,0.7,0,,0,6,,4,1.33,1.0,1.0,0.0,0.0,0.02,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,
1,56,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,5.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,40.0,12.0,30.0,2.4,0.72,0.05,0.17,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,56,56.0,3.3,0.6,1,56.0,0,0,,0,3.0,1.0,0.0,1.0,1.61,0.52,,,,,,1.0,0.0,0.0,43.0,29.0,9.0,10.0,5.0,5.0,3.0,0.0,0.0,,,,
17,"1,497",16.6,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,,,,,,,,0.12,0.06,0.18,0.12,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,497",53.0,36.2,16.6,17,,4,11,,4,1.79,32.0,13.0,19.0,1.14,0.77,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,
2,90,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,0.0,1.0,1.0,1.0,,,,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,32.0,38.0,84.2,425.0,41.0,20.0,21.0,95.2,10.0,12.0,83.3,1.0,1.0,100.0,0.0,0.2,0.1,-0.2,3.0,2.0,1.0,0.0,2.0,38.0,37.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,2.0,2.0,5.0,28.0,32.0,9.0,62.0,8.0,5.0,62.5,3.0,37.5,40.0,265.0,104.0,6.0,4.0,2.0,4.0,3.0,45.0,9.0,0.0,6.0,3.0,50.0,5.4,2.7,0.0,0.0,12.6,0.0,0.0,0.0,0.5,0.5,0.08,-0.5,-0.5,7.0,6.3,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,90,45.0,4.5,1.0,2,45.0,0,0,,0,1.5,1.0,3.0,-2.0,-2.0,-2.33,,,,,,1.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,17.0,10.5
0,100,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2,0.6,6.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.42,0.15,0.56,0.42,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,100,20.0,2.4,1.1,0,,0,5,19.0,12,2.0,1.0,2.0,-1.0,-0.9,-1.39,2.7,0.9,1.8,1.64,1.31,0.0,0.0,0.0,,,,,,,,,0.0,,,,
1,26,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,4.0,0.0,4.0,0.0,1.0,3.0,0.0,101.0,139.0,72.7,1190.0,176.0,79.0,99.0,79.8,15.0,25.0,60.0,3.0,3.0,100.0,0.0,0.2,0.1,-0.2,5.0,7.0,2.0,0.0,9.0,139.0,136.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,101.0,0.0,3.0,4.0,11.0,91.0,120.0,30.0,217.0,20.0,14.0,70.0,6.0,30.0,148.0,864.0,400.0,19.0,11.0,7.0,26.0,11.0,172.0,50.0,0.0,17.0,5.0,29.4,2.79,0.82,0.0,0.0,9.6,0.0,0.0,0.0,2.7,2.7,0.16,-2.7,-2.7,18.0,2.96,9.0,0.0,1.0,4.0,4.0,0.0,3.0,0.49,1.0,0.0,0.0,1.0,1.0,0.0,26,26.0,1.7,0.3,1,26.0,0,0,,0,0.0,0.0,1.0,-1.0,-3.46,-3.46,,,,,,0.0,0.0,0.0,12.0,11.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,15.0,27.0,46.0,37.0
4,548,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2.7,0.2,2.9,19.0,9.0,50.0,0.0,0.0,0.0,0.0,0.0,0.44,0.03,0.47,0.44,0.47,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,55.0,77.0,71.4,689.0,133.0,38.0,41.0,92.7,11.0,20.0,55.0,2.0,5.0,40.0,1.0,0.6,0.4,0.4,6.0,2.0,3.0,0.0,6.0,77.0,76.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,5.0,3.0,8.0,46.0,67.0,29.0,118.0,12.0,9.0,75.0,3.0,25.0,73.0,401.0,182.0,7.0,6.0,4.0,10.0,4.0,97.0,37.0,1.0,9.0,2.0,22.2,2.92,0.65,0.11,0.5,10.6,0.0,0.0,0.0,1.5,1.5,0.16,-0.5,-0.5,14.0,4.53,7.0,0.0,4.0,2.0,1.0,0.0,2.0,0.65,1.0,0.0,1.0,0.0,0.0,0.0,548,30.0,16.0,6.1,4,70.0,0,14,19.0,3,0.83,6.0,7.0,-1.0,-0.16,0.62,8.4,6.3,2.1,0.35,1.15,0.0,0.0,0.0,4.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,10.0,18.0,16.0,52.9
1,277,3.1,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5,0.6,2.1,7.0,6.0,37.0,0.32,0.32,0.65,0.32,0.65,0.47,0.19,0.67,0.47,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,44.0,24.0,1.0,1.0,100.0,2.0,2.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,0.0,0.0,,0.0,,7.0,13.0,6.0,0.0,0.0,0.0,2.0,1.0,7.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,7.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277,18.0,8.1,3.1,1,90.0,1,14,13.0,18,0.93,5.0,1.0,4.0,1.3,1.16,5.1,2.2,2.9,0.93,0.97,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,12,12.0,0.4,0.1,0,,0,1,12.0,5,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.1,0.64,0.77,0.0,0.0,0.0,,,,,,,,,0.0,,,,
2,165,1.8,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,1.09,0.0,1.09,1.09,1.09,,,,,,8.0,6.0,3.0,2.0,3.0,5.0,7.0,71.4,2.0,8.0,0.0,8.0,1.0,9.0,11.0,0.0,192.0,249.0,77.1,2608.0,530.0,108.0,131.0,82.4,60.0,78.0,76.9,9.0,11.0,81.8,2.0,3.4,1.5,-1.4,23.0,11.0,9.0,0.0,25.0,249.0,245.0,2.0,1.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,192.0,2.0,5.0,12.0,39.0,201.0,184.0,64.0,412.0,52.0,38.0,73.1,14.0,26.9,261.0,1949.0,968.0,39.0,23.0,15.0,56.0,32.0,313.0,77.0,5.0,28.0,13.0,46.4,2.38,1.1,0.18,0.38,13.4,0.0,0.0,0.0,3.3,3.3,0.12,1.7,1.7,43.0,3.66,27.0,0.0,10.0,2.0,4.0,0.0,4.0,0.34,3.0,0.0,1.0,0.0,0.0,0.0,165,83.0,7.1,1.8,2,83.0,1,0,,0,0.5,5.0,6.0,-1.0,-0.55,-0.67,,,,,,5.0,0.0,0.0,17.0,22.0,7.0,4.0,1.0,6.0,0.0,0.0,0.0,48.0,26.0,49.0,34.7
