titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
24,"1,899",21.1,7,,,7,0,0,3,0,,,,,,,,0.33,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,899",76,81.2,21.1,24,77.0,13,1,49.0,0,1.72,50,35,15,0.71,-0.92,,,,,,3,0,0,,,,,,,,,0,,,,
21,"1,710",19.0,10,,,10,0,0,4,0,,,,,,,,0.53,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,710",78,73.1,19.0,21,80.0,12,1,30.0,0,1.77,56,30,26,1.37,0.08,,,,,,4,0,0,,,,,,,,,0,,,,
19,"1,587",17.6,20,,,15,5,6,3,0,,,,,,,,1.13,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,"1,587",84,67.8,17.6,19,84.0,10,0,,0,2.38,61,19,42,2.38,0.95,,,,,,3,0,0,,,,,,,,,0,,,,
0,55,0.6,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.4,0.4,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.06,0.63,0.69,0.06,0.69,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,18.0,23.0,78.3,337.0,97.0,8.0,10.0,80.0,4.0,6.0,66.7,5.0,5.0,100.0,0.0,0.4,0.3,-0.4,2.0,1.0,3.0,1.0,4.0,23.0,22.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,6.0,11.0,11.0,3.0,28.0,3.0,2.0,66.7,1.0,33.3,22.0,207.0,84.0,2.0,1.0,1.0,0.0,2.0,20.0,3.0,0,1.0,1.0,100.0,1.64,1.64,0.0,0.0,19.1,0.0,0,0,0.0,0.0,0.04,0.0,0.0,4.0,6.55,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,28,1.8,0.6,0,,0,2,27.0,5,0.0,1,1,0,0.0,-0.36,2.5,1.3,1.2,1.9,1.95,0,0,0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0,8.0,0.0,3.0,0.0
10,"1,008",11.2,1,0.0,1.0,1,0,0,0,0,2.1,2.1,1.9,4.0,44.0,24.0,75.0,0.09,0.0,0.09,0.09,0.09,0.19,0.17,0.36,0.19,0.36,5.0,5.0,4.0,0.0,1.0,2.0,15.0,13.3,13.0,5.0,1.0,4.0,10.0,15.0,3.0,0.0,146.0,239.0,61.1,2183.0,878.0,89.0,110.0,80.9,38.0,64.0,59.4,13.0,42.0,31.0,0.0,1.9,1.3,-1.9,13.0,12.0,10.0,3.0,24.0,239.0,211.0,28.0,5.0,1.0,0.0,32.0,5.0,18.0,14.0,1.0,0.0,146.0,0.0,11.0,7.0,49.0,121.0,210.0,44.0,369.0,67.0,28.0,41.8,39.0,58.2,242.0,1941.0,1044.0,44.0,20.0,21.0,31.0,22.0,247.0,75.0,1,18.0,6.0,33.3,1.61,0.54,0.06,0.17,16.7,1.0,0,0,2.1,2.1,0.12,-1.1,-1.1,39.0,3.48,25.0,4.0,5.0,0.0,5.0,0.0,1.0,0.09,0.0,0.0,0.0,0.0,1.0,0.0,"1,008",56,43.1,11.2,10,83.0,4,8,22.0,2,1.11,9,21,-12,-1.07,-0.06,14.8,21.4,-6.6,-0.59,0.05,0,0,0,12.0,19.0,3.0,32.0,10.0,5.0,1.0,0.0,0,52.0,2.0,13.0,13.3
10,993,11.0,4,1.0,5.0,4,0,0,0,0,,,,,,,,0.36,0.09,0.45,0.36,0.45,,,,,,,13.0,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20.0,10.0,50.0,1.81,0.91,0.2,0.4,,,0,0,,,,,,,,,,,,,,,,,,,,,,993,58,29.0,11.0,10,78.0,3,7,31.0,0,1.47,14,18,-4,-0.36,-1.51,,,,,,0,0,0,4.0,26.0,6.0,29.0,10.0,13.0,,,0,,,,
1,312,3.5,1,0.0,1.0,1,0,0,0,0,0.9,0.9,1.1,2.0,10.0,13.0,30.0,0.29,0.0,0.29,0.29,0.29,0.26,0.33,0.59,0.26,0.59,8.0,6.0,2.0,4.0,2.0,2.0,5.0,40.0,3.0,3.0,0.0,3.0,4.0,12.0,0.0,0.0,59.0,87.0,67.8,733.0,320.0,36.0,49.0,73.5,14.0,20.0,70.0,2.0,4.0,50.0,0.0,1.1,0.6,-1.1,7.0,4.0,6.0,0.0,13.0,87.0,83.0,4.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,59.0,0.0,2.0,0.0,12.0,55.0,74.0,11.0,138.0,15.0,7.0,46.7,8.0,53.3,92.0,567.0,304.0,10.0,11.0,3.0,12.0,4.0,97.0,30.0,1,7.0,2.0,28.6,2.02,0.58,0.14,0.5,13.7,0.0,0,0,0.9,0.9,0.13,0.1,0.1,14.0,4.03,10.0,0.0,1.0,2.0,1.0,0.0,1.0,0.29,1.0,0.0,0.0,0.0,0.0,0.0,312,35,10.2,3.5,1,61.0,0,8,31.0,7,1.0,7,6,1,0.29,1.24,6.6,7.3,-0.7,-0.21,0.29,0,0,0,4.0,4.0,0.0,3.0,4.0,6.0,0.0,0.0,0,16.0,3.0,5.0,37.5
0,79,0.9,0,0.0,0.0,0,0,0,1,0,0.2,0.2,0.1,0.2,6.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.19,0.08,0.28,0.19,0.28,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,26.0,35.0,74.3,323.0,158.0,13.0,17.0,76.5,8.0,10.0,80.0,1.0,3.0,33.3,0.0,0.1,0.1,-0.1,1.0,1.0,3.0,0.0,7.0,35.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,1.0,1.0,6.0,22.0,29.0,7.0,54.0,11.0,5.0,45.5,6.0,54.5,41.0,315.0,179.0,6.0,7.0,2.0,3.0,3.0,40.0,7.0,0,3.0,0.0,0.0,3.42,0.0,0.0,,16.2,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2,4.0,4.56,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79,10,2.6,0.9,0,,0,8,10.0,8,0.38,1,3,-2,-2.28,-1.58,1.0,1.5,-0.4,-0.47,0.08,1,0,0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0,7.0,0.0,1.0,0.0
16,"1,297",14.4,0,2.0,2.0,0,0,0,1,0,,,,,,,,0.0,0.14,0.14,0.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,297",76,37.9,14.4,16,80.0,6,1,22.0,0,1.39,14,34,-20,-1.39,-1.18,,,,,,1,0,0,,,,,,,,,0,,,,
27,"2,443",27.1,10,2.0,12.0,9,1,1,6,0,,,,,,,,0.37,0.07,0.44,0.33,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,"2,443",76,79.8,27.1,27,84.0,11,5,37.0,1,1.06,28,32,-4,-0.15,1.17,,,,,,6,0,0,,,,,,,,,0,,,,
19,"1,498",16.6,3,5.0,8.0,3,0,0,1,0,,,,,,,,0.18,0.3,0.48,0.18,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,498",50,49.0,16.6,19,65.0,1,11,24.0,0,1.57,23,14,9,0.54,0.2,,,,,,1,0,0,,,,,,,,,0,,,,
7,920,10.2,1,1.0,2.0,1,0,0,6,0,2.3,2.3,1.3,3.7,35.0,28.0,70.0,0.1,0.1,0.2,0.1,0.2,0.23,0.13,0.36,0.23,0.36,4.0,3.0,1.0,2.0,1.0,0.0,9.0,0.0,9.0,4.0,0.0,4.0,3.0,7.0,2.0,0.0,191.0,267.0,71.5,2419.0,679.0,128.0,154.0,83.1,41.0,56.0,73.2,10.0,20.0,50.0,1.0,1.3,1.2,-0.3,16.0,12.0,8.0,0.0,28.0,267.0,253.0,13.0,2.0,3.0,0.0,24.0,1.0,8.0,5.0,0.0,0.0,191.0,1.0,12.0,0.0,25.0,143.0,244.0,40.0,406.0,49.0,20.0,40.8,19.0,38.8,289.0,1949.0,929.0,35.0,20.0,15.0,39.0,22.0,314.0,70.0,1,24.0,9.0,37.5,2.35,0.88,0.04,0.11,16.5,0.0,0,0,2.3,2.3,0.1,-1.3,-1.3,39.0,3.82,28.0,2.0,3.0,1.0,5.0,0.0,2.0,0.2,1.0,0.0,0.0,0.0,1.0,0.0,920,32,30.1,10.2,7,68.0,2,22,20.0,0,0.79,11,17,-6,-0.59,0.04,10.9,15.3,-4.4,-0.43,0.19,6,0,0,12.0,16.0,4.0,24.0,3.0,3.0,1.0,0.0,0,35.0,5.0,8.0,38.5
