Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Partidos,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Tkl,Tkl(Derribos),3.º def.,3.º cent.,3.º ataq.,Tkl(Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),xA,A-xAG,PC,1/3,PPA,CrAP,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,npxG/Sh,G-xG,np:G-xG,Toques,Ataq. pen.,Succ,Exitosa%,Tkld,Tkld%,Transportes,TAP,Errores de control,Des,Rec,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,% Salvadas_penales,TL,TE,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),TI,%deLanzamientos,Long. prom.,%deLanzamientos (Saques de meta),Long. prom. (Saques de meta),Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera (expected),2a amarilla,Fls,FR,TklG,Penal ejecutado,Penal concedido,Recup.,% de ganados,link
Remo Freuler,chSUI,CC,33-014,33,33,"2,876",32.0,0,2,2,0,0,0,6,0,1.1,1.1,1.4,2.5,38,186,52,0.00,0.06,0.06,0.00,0.06,0.04,0.04,0.08,0.04,0.08,Partidos,70,2.19,61,2,1,0,1,5,3,0.09,2,0,0,0,0,1,72,36,26,37,9,32,72,44.4,40,35,4,31,35,107,54,1,1547,1759,87.9,25631,6550,706,761,92.8,717,786,91.2,90,144,62.5,1.5,+0.6,32,181,24,4,1655,98,82,2,2,17,14,0,0,0,0,6,3,20.0,0.47,0.09,0.00,0.00,20.6,0.07,-1.1,-1.1,2040,28,5,38.5,7,53.8,1116,1,30,14,1370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,94.0,87,26,0,,0,1.76,47,35,+12,+0.38,-1.09,40.8,29.9,+10.9,+0.34,-0.89,0,43,17,36,0,0,136,49.1,/es/jugadores/98d2c2c4/Remo-Freuler
Sam Beukema,nlNED,DF,26-163,33,31,"2,832",31.5,0,1,1,0,0,0,1,0,1.4,1.4,0.9,2.4,27,144,7,0.00,0.03,0.03,0.00,0.03,0.05,0.03,0.07,0.05,0.07,Partidos,33,1.05,28,2,0,3,0,0,6,0.19,4,0,0,2,0,0,53,28,26,24,3,22,41,53.7,19,33,18,15,27,80,108,0,1717,1988,86.4,34673,10517,498,559,89.1,1033,1097,94.2,174,294,59.2,1.0,+0.1,10,154,10,3,1910,75,68,3,19,8,6,0,0,0,0,3,4,28.6,0.44,0.13,0.00,0.00,10.5,0.10,-1.4,-1.4,2279,29,1,50.0,0,0.0,1434,1,11,7,1524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,92.5,90,30,2,25,1,1.82,49,35,+14,+0.44,+0.05,41.4,30.0,+11.4,+0.36,-0.43,0,27,36,28,0,1,128,56.8,/es/jugadores/de13cee5/Sam-Beukema
Jhon Lucumí,coCOL,DF,26-307,28,26,"2,284",25.4,0,1,1,0,0,0,6,1,0.6,0.6,0.3,0.9,32,93,6,0.00,0.04,0.04,0.00,0.04,0.02,0.01,0.04,0.02,0.04,Partidos,31,1.22,28,0,0,2,0,1,2,0.08,2,0,0,0,0,0,42,23,22,20,0,23,34,67.6,11,29,13,16,24,66,82,6,1645,1806,91.1,31264,9515,586,624,93.9,864,902,95.8,172,245,70.2,0.7,+0.7,7,96,0,0,1704,101,60,0,13,3,4,0,0,0,0,1,2,16.7,0.47,0.08,0.00,0.00,11.2,0.05,-0.6,-0.6,2033,20,9,69.2,2,15.4,1303,0,11,4,1381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,74.6,85,22,2,42,3,1.82,41,27,+14,+0.55,+0.44,33.7,23.8,+9.9,+0.39,-0.03,0,20,11,23,0,1,157,50.6,/es/jugadores/80490d7f/Jhon-Lucumi
Santiago Castro,arARG,DL,20-212,32,25,"2,153",23.9,8,4,12,8,0,1,5,0,7.1,6.3,2.8,9.1,15,37,126,0.33,0.17,0.50,0.33,0.50,0.30,0.12,0.41,0.26,0.38,Partidos,66,2.76,45,1,5,6,7,2,11,0.46,8,0,2,1,0,0,17,9,4,9,4,5,15,33.3,10,13,2,11,3,20,19,0,331,429,77.2,6063,921,135,165,81.8,140,166,84.3,39,51,76.5,1.5,+1.2,27,22,7,0,377,49,1,5,9,7,9,0,0,0,0,3,20,35.1,2.38,0.84,0.14,0.40,15.5,0.11,+0.9,+1.7,675,94,17,41.5,22,53.7,402,7,66,61,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,70.4,80,9,7,21,1,1.81,37,25,+12,+0.50,+0.20,31.9,24.3,+7.7,+0.32,-0.25,0,46,49,9,0,0,67,34.7,/es/jugadores/ee5565ae/Santiago-Castro
Łukasz Skorupski,plPOL,PO,33-359,24,24,"2,094",23.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos,3,0.13,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,11,2,750,970,77.3,20108,12780,98,98,100.0,443,452,98.0,207,414,50.0,0.0,0.0,0,15,0,0,819,147,60,0,0,0,0,0,0,0,0,4,0,,0.00,0.00,,,,,0.0,0.0,1013,0,1,100.0,0,0.0,683,0,0,0,655,26.0,1.12,70.0,45.0,64.3,11.0,11.0,2.0,8.0,33.3,1.0,1.0,1.0,1.0,50.0,0.0,1.0,23.9,0.33,-0.1,0.0,879.0,96.0,28.1,31.7,52.9,45.2,203.0,15.0,7.4,20.0,0.86,12.7,87,68.4,87,23,0,,7,1.83,40,26,+14,+0.60,+0.51,34.9,23.6,+11.3,+0.49,+0.29,0,1,4,0,0,1,45,100.0,/es/jugadores/ab4449d6/Lukasz-Skorupski
Dan Ndoye,chSUI,DL,24-186,28,24,"1,963",21.8,8,3,11,6,2,2,3,0,6.7,5.1,2.7,7.8,127,71,212,0.37,0.14,0.50,0.28,0.41,0.31,0.12,0.43,0.24,0.36,Partidos,81,3.72,53,1,8,3,14,2,8,0.37,7,0,0,0,1,0,22,16,8,6,8,13,23,56.5,10,19,0,19,8,30,4,0,487,660,73.8,7677,1652,273,320,85.3,165,217,76.0,34,65,52.3,1.9,+0.3,24,35,25,2,641,17,3,6,9,43,12,1,0,1,0,2,16,34.8,2.11,0.73,0.13,0.38,17.3,0.11,+1.3,+0.9,943,94,36,39.6,41,45.1,704,45,71,44,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,64.2,79,11,4,18,1,1.86,32,19,+13,+0.60,+0.43,27.7,20.2,+7.6,+0.35,-0.13,0,21,92,16,1,0,86,44.8,/es/jugadores/8e697a8f/Dan-Ndoye
Juan Miranda,esESP,DF,25-100,29,23,"2,124",23.6,0,6,6,0,0,0,4,0,0.6,0.6,5.8,6.4,32,145,84,0.00,0.25,0.25,0.00,0.25,0.03,0.24,0.27,0.03,0.27,Partidos,91,3.86,54,30,1,4,1,1,13,0.55,11,2,0,0,0,0,32,18,11,14,7,14,30,46.7,16,20,3,17,21,53,46,1,1311,1744,75.2,25628,9337,487,546,89.2,631,761,82.9,177,380,46.6,5.0,+0.2,53,144,48,29,1381,359,77,5,4,201,207,75,17,41,0,4,5,25.0,0.85,0.21,0.00,0.00,26.3,0.03,-0.6,-0.6,1932,20,7,38.9,10,55.6,985,4,21,8,1177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,69.4,87,20,6,19,4,1.72,39,28,+11,+0.47,+0.08,33.4,21.1,+12.3,+0.52,+0.41,0,22,30,18,0,0,92,50.0,/es/jugadores/ead61f73/Juan-Miranda
Jens Odgaard,dkDEN,"CC,DL",26-029,28,23,"1,873",20.8,6,1,7,6,0,0,1,0,3.6,3.6,1.8,5.4,35,50,97,0.29,0.05,0.34,0.29,0.34,0.17,0.09,0.26,0.17,0.26,Partidos,45,2.16,28,0,5,8,4,0,6,0.29,4,0,0,2,0,0,20,14,3,12,5,6,21,28.6,15,18,2,16,9,29,11,1,370,493,75.1,5460,1377,213,240,88.8,124,169,73.4,20,38,52.6,1.4,-0.8,16,33,15,3,477,12,2,2,2,24,5,5,3,1,0,4,22,44.9,2.35,1.06,0.12,0.27,19.5,0.07,+2.4,+2.4,740,67,15,30.0,27,54.0,444,12,52,30,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,61.2,76,4,5,26,3,1.96,37,19,+18,+0.86,+1.09,28.1,17.6,+10.5,+0.51,+0.29,0,42,44,14,0,0,68,40.8,/es/jugadores/75374ee7/Jens-Odgaard
Riccardo Orsolini,itITA,DL,28-095,26,20,"1,606",17.8,12,3,15,9,3,3,1,0,8.4,6.1,3.6,9.7,53,64,162,0.67,0.17,0.84,0.50,0.67,0.47,0.20,0.68,0.34,0.54,Partidos,53,2.97,35,5,4,6,3,0,4,0.22,3,0,0,0,1,0,13,11,5,5,3,3,9,33.3,6,24,0,24,7,20,10,1,376,557,67.5,6671,2015,177,213,83.1,148,218,67.9,41,75,54.7,2.7,-0.6,28,32,25,9,533,22,5,4,11,52,3,14,13,0,0,2,22,36.7,3.36,1.23,0.15,0.41,17.5,0.10,+3.6,+2.9,791,77,28,43.8,32,50.0,513,22,37,23,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,52.5,73,5,6,24,3,1.65,29,18,+11,+0.62,+0.37,23.8,17.4,+6.4,+0.36,-0.08,0,25,37,11,0,0,53,56.4,/es/jugadores/e14ec482/Riccardo-Orsolini
Benjamín Domínguez,arARG,DL,21-222,21,15,"1,153",12.8,3,2,5,3,0,0,0,0,2.2,2.2,0.4,2.6,47,30,112,0.23,0.16,0.39,0.23,0.39,0.17,0.03,0.20,0.17,0.20,Partidos,34,2.65,24,0,5,0,4,1,6,0.47,5,0,1,0,0,0,18,7,2,11,5,6,20,30.0,14,14,1,13,4,22,7,0,253,319,79.3,3410,579,175,198,88.4,59,74,79.7,11,18,61.1,0.9,+1.6,7,11,12,1,312,4,0,2,0,10,4,0,0,0,0,3,16,57.1,2.19,1.25,0.11,0.19,18.7,0.08,+0.8,+0.8,509,47,27,39.7,36,52.9,369,18,37,31,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,37.7,70,0,6,17,10,1.90,19,11,+8,+0.62,+0.29,17.7,9.8,+7.9,+0.62,+0.35,0,8,30,7,0,0,58,5.0,/es/jugadores/a83b47fa/Benjamin-Dominguez
