Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,16.0,Parma,itITA,1.Serie A,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,14.0,13.0,4.0,1.0,7.0,9.0,77.8,2.0,21.0,12.0,9.0,31.0,49.0,72.0,0.0,1052.0,1222.0,86.1,22445.0,8067.0,235.0,272.0,86.4,652.0,702.0,92.9,152.0,224.0,67.9,0.0,0.0,0.2,0.0,0.0,63.0,0.0,0.0,68.0,1222.0,1180.0,42.0,40.0,0.0,20.0,1.0,2.0,0.0,0.0,0.0,0.0,1052.0,0.0,5.0,138.0,728.0,632.0,31.0,9.0,1385.0,1.0,1.0,100.0,0.0,0.0,786.0,3959.0,2377.0,8.0,3.0,0.0,4.0,0.0,925.0,2.0,0.0,6.0,1.0,16.7,0.3,0.05,0.0,0.0,11.2,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3,10.0,0.51,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,4.0,,,,,,,,,,,,2.0,1.0,0.0,22.0,17.0,0.0,1.0,31.0,14.0,0.0,1.0,0.0,88.0,39.0,40.0,49.4,"€ 712(£ 618, $780)","€ 37,000(£ 32,139, $40,551)",Estimación no verificada,https://fbref.com/es/jugadores/0fee6bda/Martin-Erlic
2015-2016,17.0,Sassuolo,itITA,1.Serie A,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,14.0,16.0,6.0,1.0,11.0,20.0,55.0,9.0,22.0,16.0,6.0,41.0,64.0,71.0,2.0,911.0,1075.0,84.7,19933.0,5357.0,222.0,262.0,84.7,526.0,580.0,90.7,156.0,215.0,72.6,1.0,0.2,0.6,0.8,1.0,57.0,3.0,1.0,58.0,1075.0,1011.0,62.0,57.0,0.0,13.0,2.0,5.0,0.0,0.0,0.0,0.0,911.0,2.0,4.0,139.0,644.0,603.0,32.0,16.0,1267.0,5.0,3.0,60.0,2.0,40.0,724.0,3742.0,1897.0,15.0,7.0,0.0,9.0,1.0,756.0,2.0,3.0,10.0,3.0,30.0,0.5,0.15,0.3,1.0,12.3,0.0,0.0,0.0,1.2,1.2,0.12,1.8,1.8,7.0,0.35,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,3.0,,,,,,,,,,,,6.0,0.0,0.0,37.0,12.0,0.0,2.0,41.0,14.0,0.0,0.0,0.0,100.0,44.0,36.0,55.0,"€ 712(£ 618, $780)","€ 37,000(£ 32,139, $40,551)",Estimación no verificada,https://fbref.com/es/jugadores/0fee6bda/Martin-Erlic
2016-2017,18.0,Sassuolo,itITA,1.Serie A,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,16.0,18.0,10.0,0.0,10.0,18.0,55.6,8.0,54.0,39.0,15.0,28.0,56.0,122.0,1.0,882.0,1101.0,80.1,18586.0,6448.0,256.0,297.0,86.2,490.0,554.0,88.4,132.0,226.0,58.4,0.0,0.4,0.3,-0.4,5.0,34.0,1.0,0.0,32.0,1101.0,1036.0,60.0,56.0,2.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,882.0,5.0,8.0,265.0,887.0,463.0,40.0,30.0,1383.0,4.0,3.0,75.0,1.0,25.0,662.0,2898.0,1380.0,6.0,5.0,0.0,14.0,2.0,751.0,3.0,2.0,15.0,3.0,20.0,0.52,0.1,0.13,0.67,10.1,0.0,0.0,0.0,3.0,3.0,0.2,-1.0,-1.0,11.0,0.38,7.0,0.0,0.0,1.0,3.0,0.0,2.0,0.07,0.0,0.0,0.0,1.0,1.0,0.0,,,,,0.0,,0.0,0.0,,3.0,,,,,,,,,,,,5.0,0.0,0.0,28.0,20.0,0.0,2.0,28.0,16.0,2.0,2.0,0.0,134.0,55.0,40.0,57.9,"€ 712(£ 618, $780)","€ 37,000(£ 32,139, $40,551)",Estimación no verificada,https://fbref.com/es/jugadores/0fee6bda/Martin-Erlic
2018-2019,20.0,Spezia,itITA,2.Serie B,,,,,1.0,90.0,0.0,0.0,,,,,1.0,90,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,16.0,18.0,8.0,1.0,10.0,23.0,43.5,13.0,36.0,23.0,13.0,31.0,58.0,120.0,1.0,1111.0,1295.0,85.8,22928.0,7861.0,323.0,360.0,89.7,609.0,665.0,91.6,168.0,245.0,68.6,0.0,0.2,0.6,-0.2,2.0,48.0,3.0,0.0,65.0,1295.0,1236.0,57.0,53.0,2.0,20.0,2.0,4.0,0.0,0.0,0.0,0.0,1111.0,2.0,8.0,199.0,855.0,693.0,21.0,10.0,1562.0,2.0,1.0,50.0,1.0,50.0,912.0,4147.0,2132.0,7.0,2.0,1.0,13.0,1.0,964.0,1.0,0.0,4.0,0.0,0.0,0.15,0.0,0.0,,8.8,0.0,0.0,0.0,0.5,0.5,0.12,-0.5,-0.5,10.0,0.39,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,6.0,,,,,,,,,,,,2.0,0.0,0.0,21.0,12.0,0.0,2.0,31.0,16.0,0.0,0.0,1.0,126.0,49.0,40.0,55.1,"€ 5,385(£ 4,677, $5,901)","€ 280,000(£ 243,215, $306,874)",,https://fbref.com/es/jugadores/0fee6bda/Martin-Erlic
2019-2020,21.0,Spezia,itITA,2.Serie B,23.0,"1,771",0.0,0.0,,,,,,,,,23.0,"1,771",0.0,0.0,20.0,"1,771",19.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.3,0.3,0.0,0.3,8.0,68.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,37.0,22.0,26.0,8.0,3.0,20.0,30.0,66.7,10.0,31.0,16.0,15.0,28.0,65.0,128.0,1.0,972.0,1214.0,80.1,19654.0,7045.0,307.0,357.0,86.0,530.0,594.0,89.2,129.0,243.0,53.1,0.0,0.0,0.4,0.0,0.0,76.0,6.0,0.0,78.0,1214.0,1144.0,68.0,53.0,0.0,13.0,5.0,7.0,0.0,0.0,0.0,0.0,972.0,2.0,7.0,196.0,700.0,729.0,53.0,15.0,1476.0,6.0,4.0,66.7,2.0,33.3,690.0,3537.0,2051.0,19.0,8.0,1.0,10.0,0.0,824.0,11.0,1.0,8.0,3.0,37.5,0.28,0.1,0.13,0.33,10.2,0.0,0.0,0.0,1.0,1.0,0.12,0.0,0.0,12.0,0.41,8.0,1.0,0.0,1.0,2.0,0.0,1.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0,"1,771",77.0,51.8,19.7,20.0,87.0,17.0,3.0,9.0,13.0,1.81,26.0,15.0,11.0,0.56,0.4,26.5,17.5,9.0,0.46,0.1,5.0,0.0,0.0,30.0,26.0,0.0,5.0,28.0,22.0,0.0,2.0,0.0,110.0,55.0,48.0,53.4,"€ 5,385(£ 4,677, $5,901)","€ 280,000(£ 243,215, $306,874)",,https://fbref.com/es/jugadores/0fee6bda/Martin-Erlic
2020-2021,22.0,Spezia,itITA,1.Serie A,27.0,"1,798",3.0,1.0,1.0,120.0,0.0,0.0,,,,,28.0,"1,918",3.0,1.0,19.0,"1,798",20.0,3.0,1.0,4.0,3.0,0.0,0.0,6.0,0.0,1.2,1.2,0.2,1.4,15.0,58.0,2.0,0.15,0.05,0.2,0.15,0.2,0.06,0.01,0.07,0.06,0.07,2.0,0.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,5.0,4.0,1.0,2.0,4.0,9.0,0.0,205.0,225.0,91.1,4356.0,1335.0,50.0,53.0,94.3,126.0,134.0,94.0,27.0,35.0,77.1,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,11.0,225.0,218.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,21.0,92.0,148.0,13.0,7.0,253.0,1.0,0.0,0.0,0.0,0.0,168.0,788.0,458.0,4.0,1.0,0.0,2.0,0.0,190.0,1.0,0.0,6.0,0.0,0.0,1.78,0.0,0.0,,14.6,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,4.0,1.18,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,"1,798",67.0,52.6,20.0,19.0,89.0,17.0,8.0,14.0,6.0,1.19,27.0,37.0,-10.0,-0.5,0.05,27.1,34.2,-7.1,-0.35,0.28,0.0,0.0,0.0,7.0,7.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,9.0,10.0,8.0,55.6,"€ 5,385(£ 4,632, $5,888)","€ 280,000(£ 240,887, $306,169)",,https://fbref.com/es/jugadores/0fee6bda/Martin-Erlic
2021-2022,23.0,Spezia,itITA,1.Serie A,30.0,"2,576",2.0,0.0,2.0,135.0,1.0,0.0,,,,,32.0,"2,711",3.0,0.0,30.0,"2,576",28.6,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,3.0,3.0,0.4,3.4,6.0,32.0,3.0,0.07,0.0,0.07,0.07,0.07,0.1,0.01,0.12,0.1,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,576",86.0,75.3,28.6,30.0,86.0,27.0,0.0,,0.0,1.07,29.0,51.0,-22.0,-0.77,0.08,27.1,52.0,-24.9,-0.87,-0.93,,,,,,,,,,,,,,,,,"€ 5,385(£ 4,549, $5,787)","€ 280,000(£ 236,552, $300,901)",,https://fbref.com/es/jugadores/0fee6bda/Martin-Erlic
2022-2023,24.0,Sassuolo,itITA,1.Serie A,28.0,"2,330",0.0,0.0,,,,,,,,,28.0,"2,330",0.0,0.0,26.0,"2,330",25.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.2,0.7,7.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,330",83.0,68.1,25.9,26.0,88.0,22.0,2.0,15.0,8.0,1.43,35.0,36.0,-1.0,-0.04,1.03,36.8,32.0,4.7,0.18,0.42,,,,,,,,,,,,,,,,,"€ 17,885(£ 15,373, $20,312)","€ 930,000(£ 799,413, $1,056,212)",Estimación no verificada,https://fbref.com/es/jugadores/0fee6bda/Martin-Erlic
2023-2024,25.0,Sassuolo,itITA,1.Serie A,32.0,"2,618",1.0,0.0,1.0,120.0,0.0,0.0,,,,,33.0,"2,738",1.0,0.0,31.0,"2,618",29.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0,19.0,78.0,11.0,0.03,0.0,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,618",82.0,76.5,29.1,31.0,83.0,22.0,1.0,45.0,3.0,0.91,38.0,47.0,-9.0,-0.31,2.27,32.6,41.5,-8.9,-0.31,1.13,,,,,,,,,,,,,,,,,"€ 17,885(£ 15,373, $20,312)","€ 930,000(£ 799,413, $1,056,212)",Estimación no verificada,https://fbref.com/es/jugadores/0fee6bda/Martin-Erlic
2024-2025,26.0,Bologna,itITA,1.Serie A,7.0,304,0.0,0.0,2.0,58.0,0.0,0.0,1.0,45.0,0.0,0.0,10.0,407,0.0,0.0,4.0,304,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,4.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,43.0,9.9,3.4,4.0,66.0,2.0,3.0,13.0,21.0,1.0,3.0,3.0,0.0,0.0,-0.49,6.1,3.1,3.0,0.89,0.55,,,,,,,,,,,,,,,,,"€ 17,885(£ 15,373, $20,312)","€ 930,000(£ 799,413, $1,056,212)",Estimación no verificada,https://fbref.com/es/jugadores/0fee6bda/Martin-Erlic
