Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,19,Young Boys,chSUI,1.Super Lg,14,816,1,0,,,,,2.0,61.0,0.0,0.0,16,877,1,0,8,816,9.1,1,0,1,1,0,0,3,0,,,,,,,,0.11,0.0,0.11,0.11,0.11,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,2.0,,0.0,0.22,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,816,58,25.2,9.1,8,,6,6,,12,2.21,21,10,11,1.21,0.58,,,,,,3,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,"€ 12,308(£ 10,691, $13,489)","€ 640,000(£ 555,920, $701,426)",Estimación no verificada,https://fbref.com/es/jugadores/f9c927de/Michel-Aebischer
2017-2018,20,Young Boys,chSUI,1.Super Lg,19,902,0,1,,,,,5.0,355.0,0.0,1.0,24,"1,257",0,2,10,902,10.0,0,1,1,0,0,0,4,0,,,,,,,,0.0,0.1,0.1,0.0,0.1,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,3.0,,0.0,0.3,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,902,47,27.8,10.0,10,,5,9,,12,2.53,13,9,4,0.4,-1.1,,,,,,4,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,"€ 12,308(£ 10,588, $13,458)","€ 640,000(£ 550,599, $699,815)",,https://fbref.com/es/jugadores/f9c927de/Michel-Aebischer
2018-2019,21,Young Boys,chSUI,1.Super Lg,26,"1,710",4,7,,,,,4.0,228.0,0.0,0.0,30,"1,938",4,7,19,"1,710",19.0,4,7,11,4,0,0,7,0,,,,,,,,0.21,0.37,0.58,0.21,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,710",66,52.8,19.0,19,84.0,13,7,15.0,3,2.54,47,21,26,1.37,-0.81,,,,,,7,0,0,,,,,,,,,1,,,,,"€ 12,308(£ 10,398, $13,226)","€ 640,000(£ 540,691, $687,773)",,https://fbref.com/es/jugadores/f9c927de/Michel-Aebischer
2019-2020,22,Young Boys,chSUI,1.Super Lg,32,"2,601",3,7,,,,,6.0,472.0,0.0,0.0,38,"3,073",3,7,30,"2,601",28.9,3,7,10,3,0,0,8,1,,,,,,,,0.1,0.24,0.35,0.1,0.35,,,,,,,35.0,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,48.0,16.0,33.3,1.66,0.55,0.06,0.19,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,601",81,80.3,28.9,30,85.0,20,2,24.0,0,2.13,59,35,24,0.83,-1.28,,,,,,8,1,1,69.0,57.0,2.0,129.0,29.0,35.0,,,0,,,,,"€ 19,808(£ 17,026, $22,496)","€ 1,030,000(£ 885,371, $1,169,783)",,https://fbref.com/es/jugadores/f9c927de/Michel-Aebischer
2020-2021,23,Young Boys,chSUI,1.Super Lg,27,"2,034",2,3,,,,,9.0,576.0,0.0,2.0,36,"2,610",2,5,24,"2,034",22.6,2,3,5,2,0,0,8,0,,,,,,,,0.09,0.13,0.22,0.09,0.22,,,,,,,30.0,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,32.0,12.0,37.5,1.42,0.53,0.06,0.17,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,034",75,62.8,22.6,24,83.0,13,3,17.0,0,2.52,62,19,43,1.9,1.75,,,,,,8,0,0,45.0,41.0,0.0,80.0,29.0,30.0,,,0,,,,,"€ 19,808(£ 17,026, $22,496)","€ 1,030,000(£ 885,371, $1,169,783)",,https://fbref.com/es/jugadores/f9c927de/Michel-Aebischer
2021-2022,24,Young Boys,chSUI,1.Super Lg,15,"1,065",2,3,,,,,6.0,502.0,0.0,1.0,21,"1,567",2,4,13,"1,065",11.8,2,3,5,2,0,0,4,0,,,,,,,,0.17,0.25,0.42,0.17,0.42,,,,,,,10.0,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,31.0,9.0,29.0,2.62,0.76,0.06,0.22,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,065",71,32.9,11.8,13,76.0,5,2,39.0,0,1.87,26,14,12,1.01,0.27,,,,,,4,0,0,10.0,23.0,0.0,57.0,15.0,10.0,,,0,,,,,"€ 19,808(£ 17,026, $22,496)","€ 1,030,000(£ 885,371, $1,169,783)",,https://fbref.com/es/jugadores/f9c927de/Michel-Aebischer
2021-2022,24,Bologna,itITA,1.Serie A,12,443,0,0,,,,,,,,,12,443,0,0,4,443,4.9,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,2.0,19.0,9.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.1,0.02,0.1,14.0,5.0,5.0,8.0,1.0,6.0,11.0,54.5,5.0,4.0,1.0,3.0,6.0,20.0,3.0,0.0,205.0,239.0,85.8,3121.0,883.0,105.0,113.0,92.9,78.0,84.0,92.9,12.0,22.0,54.5,0,0.4,0.3,-0.4,6.0,14.0,4.0,1.0,19.0,239.0,225.0,13.0,5.0,0.0,1.0,7.0,1.0,7.0,0.0,4.0,0.0,205.0,1.0,5.0,12.0,68.0,171.0,56.0,8.0,292.0,4.0,1.0,25.0,3.0,75.0,143.0,635.0,297.0,2.0,2.0,2.0,9.0,5.0,196.0,9.0,0,2.0,2.0,100.0,0.41,0.41,0.0,0.0,22.7,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,10.0,2.05,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443,37,13.0,4.9,4,76.0,2,8,18.0,4,1.42,3,2,1,0.2,0.57,4.6,7.8,-3.2,-0.65,-0.52,1,0,0,13.0,4.0,0.0,7.0,6.0,5.0,0.0,0.0,0,27.0,5.0,4.0,55.6,,,,
2022-2023,25,Bologna,itITA,1.Serie A,32,"1,542",1,0,2.0,83.0,0.0,0.0,,,,,34,"1,625",1,0,18,"1,542",17.1,1,0,1,1,0,0,4,0,1.5,1.5,0.6,2.1,14.0,46.0,85.0,0.06,0.0,0.06,0.06,0.06,0.08,0.04,0.12,0.08,0.12,12.0,6.0,3.0,6.0,3.0,2.0,18.0,11.1,16.0,14.0,2.0,12.0,7.0,19.0,9.0,0.0,557.0,674.0,82.6,8050.0,2143.0,312.0,343.0,91.0,189.0,223.0,84.8,27.0,51.0,52.9,0,0.6,0.5,-0.6,15.0,37.0,7.0,1.0,46.0,674.0,641.0,30.0,10.0,0.0,3.0,21.0,13.0,4.0,1.0,3.0,0.0,557.0,3.0,16.0,14.0,147.0,400.0,246.0,28.0,791.0,13.0,6.0,46.2,7.0,53.8,505.0,1992.0,841.0,14.0,12.0,4.0,30.0,17.0,618.0,85.0,1,15.0,2.0,13.3,0.88,0.12,0.07,0.5,17.1,1.0,0,0,1.5,1.5,0.1,-0.5,-0.5,35.0,2.04,25.0,3.0,2.0,2.0,2.0,1.0,3.0,0.18,1.0,0.0,0.0,1.0,1.0,0.0,"1,542",48,45.1,17.1,18,72.0,5,14,17.0,6,1.5,23,26,-3,-0.18,-0.51,16.9,21.6,-4.8,-0.28,-0.28,4,0,0,22.0,22.0,7.0,21.0,7.0,6.0,1.0,1.0,0,68.0,10.0,25.0,28.6,,,,
2023-2024,26,Bologna,itITA,1.Serie A,36,"2,230",0,1,4.0,359.0,0.0,0.0,,,,,40,"2,589",0,1,26,"2,230",24.8,0,1,1,0,0,0,8,0,1.1,1.1,1.5,2.6,26.0,125.0,55.0,0.0,0.04,0.04,0.0,0.04,0.04,0.06,0.11,0.04,0.11,35.0,20.0,9.0,20.0,6.0,15.0,34.0,44.1,19.0,28.0,6.0,22.0,12.0,47.0,22.0,0.0,1370.0,1503.0,91.2,21535.0,5798.0,729.0,773.0,94.3,525.0,562.0,93.4,79.0,103.0,76.7,1,1.5,1.0,-0.5,17.0,117.0,9.0,1.0,125.0,1503.0,1447.0,53.0,34.0,3.0,5.0,12.0,13.0,6.0,3.0,0.0,0.0,1370.0,3.0,17.0,51.0,405.0,1032.0,270.0,23.0,1694.0,25.0,14.0,56.0,9.0,36.0,1040.0,4507.0,2248.0,26.0,23.0,3.0,27.0,19.0,1308.0,55.0,0,18.0,5.0,27.8,0.73,0.2,0.0,0.0,22.4,0.0,0,0,1.1,1.1,0.06,-1.1,-1.1,40.0,1.61,32.0,2.0,2.0,2.0,2.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,"2,230",62,65.2,24.8,26,79.0,13,10,17.0,1,1.81,29,20,9,0.36,-0.62,27.6,23.8,3.7,0.15,-0.39,8,0,0,37.0,30.0,0.0,12.0,12.0,20.0,0.0,0.0,0,135.0,11.0,16.0,40.7,,,,
2024-2025,27,Bologna,itITA,1.Serie A,12,649,0,0,1.0,9.0,0.0,0.0,1.0,29.0,0.0,0.0,14,687,0,0,8,649,7.2,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.7,7.0,28.0,12.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.05,0.1,16.0,11.0,6.0,7.0,3.0,9.0,13.0,69.2,4.0,4.0,1.0,3.0,6.0,22.0,6.0,0.0,312.0,357.0,87.4,5647.0,1237.0,139.0,150.0,92.7,132.0,146.0,90.4,36.0,46.0,78.3,0,0.3,0.6,-0.3,7.0,36.0,3.0,1.0,28.0,357.0,332.0,23.0,12.0,1.0,5.0,11.0,0.0,8.0,2.0,4.0,0.0,312.0,2.0,3.0,10.0,62.0,263.0,97.0,9.0,418.0,4.0,2.0,50.0,1.0,25.0,247.0,1041.0,413.0,7.0,9.0,2.0,5.0,6.0,295.0,12.0,0,9.0,4.0,44.4,1.25,0.55,0.0,0.0,21.7,1.0,0,0,0.4,0.4,0.04,-0.4,-0.4,15.0,2.08,12.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649,54,21.2,7.2,8,69.0,2,4,25.0,8,1.58,6,6,0,0.0,-0.56,5.5,7.7,-2.2,-0.3,-0.89,1,0,0,14.0,14.0,0.0,11.0,6.0,11.0,0.0,0.0,0,28.0,5.0,9.0,35.7,,,,
