Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2015-2016,19,Cagliari,itITA,2.Serie B,21,"1,163",2,2,4.0,390.0,1.0,0.0,,,,,25,"1,553",3,2,12,"1,163",12.9,2,2,4,2,0,0,2,0,,,,,,,,0.15,0.15,0.31,0.15,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,11,,,0.85,,0.18,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,163",55,30.8,12.9,12,,8,9,,17.0,2.24,29.0,10.0,19.0,1.47,0.85,,,,,,2,0,,,,,,,,,,,,,,,"€ 1,731(£ 1,503, $1,897)","€ 90,000(£ 78,176, $98,638)",Estimación no verificada,https://fbref.com/es/jugadores/7f267d66/Alessandro-Deiola
2016-2017,20,Spezia,itITA,2.Serie B,14,696,1,0,2.0,210.0,0.0,0.0,,,,,16,906,1,0,7,696,7.7,1,0,1,1,0,0,3,1,,,,,,,,0.13,0.0,0.13,0.13,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,0.26,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,696,50,18.4,7.7,7,,2,7,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,"€ 7,115(£ 6,181, $7,798)","€ 370,000(£ 321,391, $405,512)",Estimación no verificada,https://fbref.com/es/jugadores/7f267d66/Alessandro-Deiola
2016-2017,20,Cagliari,itITA,1.Serie A,5,244,0,0,1.0,7.0,0.0,0.0,,,,,6,251,0,0,3,244,2.7,0,0,0,0,0,0,2,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4.0,2,50.0,1.48,0.74,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,244,49,7.1,2.7,3,,0,2,,11.0,2.0,5.0,3.0,2.0,0.74,1.39,,,,,,2,0,0.0,3.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,,,,,"€ 3,269(£ 2,840, $3,583)","€ 170,000(£ 147,666, $186,316)",Estimación no verificada,https://fbref.com/es/jugadores/7f267d66/Alessandro-Deiola
2017-2018,21,Cagliari,itITA,1.Serie A,13,449,0,0,1.0,17.0,0.0,0.0,,,,,14,466,0,0,4,449,5.0,0,0,0,0,0,0,3,0,0.9,0.9,0.2,1.1,2.0,13.0,23.0,0.0,0.0,0.0,0.0,0.0,0.18,0.03,0.21,0.18,0.21,9.0,7.0,5.0,3.0,1.0,6.0,13.0,46.2,7.0,8.0,0.0,8.0,4.0,13.0,12.0,0.0,105.0,153.0,68.6,1510.0,413.0,64.0,84.0,76.2,30.0,45.0,66.7,7.0,15.0,46.7,0,0.2,0.2,-0.2,2.0,7.0,3.0,2.0,13.0,153.0,147.0,5.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,105.0,1.0,3.0,14.0,49.0,96.0,74.0,5.0,218.0,3.0,2.0,66.7,1.0,33.3,113.0,376.0,118.0,2.0,4.0,0.0,16.0,7.0,126.0,23.0,0,10.0,1,10.0,2.0,0.2,0.0,0.0,24.2,0.0,0,0,0.9,0.9,0.09,-0.9,-0.9,7.0,1.4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449,35,13.1,5.0,4,,1,9,,15.0,0.85,2.0,8.0,-6.0,-1.2,-0.54,5.4,6.5,-1.1,-0.22,0.34,3,0,0.0,7.0,2.0,1.0,3.0,4.0,7.0,0.0,0.0,0.0,32.0,2.0,8.0,20.0,"€ 3,269(£ 2,840, $3,583)","€ 170,000(£ 147,666, $186,316)",Estimación no verificada,https://fbref.com/es/jugadores/7f267d66/Alessandro-Deiola
2018-2019,22,Parma,itITA,1.Serie A,10,545,0,1,,,,,,,,,10,545,0,1,5,545,6.1,0,1,1,0,0,0,3,0,0.2,0.2,0.3,0.5,7.0,10.0,20.0,0.0,0.17,0.17,0.0,0.17,0.04,0.05,0.09,0.04,0.09,12.0,8.0,4.0,7.0,1.0,4.0,10.0,40.0,6.0,15.0,4.0,11.0,11.0,23.0,10.0,0.0,130.0,180.0,72.2,1930.0,650.0,73.0,84.0,86.9,42.0,58.0,72.4,10.0,22.0,45.5,1,0.3,0.1,0.7,3.0,6.0,3.0,0.0,10.0,180.0,175.0,5.0,3.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,130.0,0.0,3.0,14.0,73.0,131.0,54.0,3.0,255.0,9.0,2.0,22.2,7.0,77.8,125.0,597.0,258.0,7.0,5.0,1.0,7.0,4.0,133.0,20.0,0,7.0,1,14.3,1.16,0.17,0.0,0.0,24.5,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,6.0,0.99,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545,55,15.9,6.1,5,86.0,4,5,23.0,9.0,1.9,4.0,6.0,-2.0,-0.33,0.23,5.0,9.8,-4.7,-0.78,-0.14,3,0,0.0,9.0,5.0,0.0,4.0,11.0,8.0,0.0,0.0,0.0,39.0,6.0,10.0,37.5,"€ 10,769(£ 9,354, $11,803)","€ 560,000(£ 486,430, $613,748)",,https://fbref.com/es/jugadores/7f267d66/Alessandro-Deiola
2018-2019,22,Cagliari,itITA,1.Serie A,10,450,0,0,,,,,,,,,10,450,0,0,5,450,5.0,0,0,0,0,0,0,2,0,0.8,0.8,0.0,0.8,6.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.16,0.01,0.17,0.16,0.17,7.0,3.0,1.0,6.0,0.0,3.0,13.0,23.1,10.0,14.0,0.0,14.0,6.0,13.0,8.0,0.0,121.0,170.0,71.2,1721.0,580.0,70.0,86.0,81.4,34.0,48.0,70.8,7.0,16.0,43.8,0,0.0,0.1,0.0,1.0,12.0,1.0,0.0,11.0,170.0,163.0,7.0,1.0,1.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,121.0,0.0,6.0,8.0,50.0,124.0,64.0,6.0,237.0,3.0,0.0,0.0,3.0,100.0,131.0,543.0,273.0,6.0,6.0,0.0,7.0,8.0,144.0,19.0,0,8.0,2,25.0,1.6,0.4,0.0,0.0,20.6,0.0,0,0,0.8,0.8,0.1,-0.8,-0.8,9.0,1.8,7.0,0.0,0.0,2.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,450,45,13.2,5.0,5,75.0,2,5,15.0,6.0,1.2,2.0,7.0,-5.0,-1.0,-0.61,4.6,8.0,-3.4,-0.68,-0.18,2,0,0.0,5.0,2.0,0.0,6.0,6.0,3.0,0.0,0.0,0.0,23.0,5.0,5.0,50.0,"€ 10,769(£ 9,354, $11,803)","€ 560,000(£ 486,430, $613,748)",,https://fbref.com/es/jugadores/7f267d66/Alessandro-Deiola
2019-2020,23,Lecce,itITA,1.Serie A,10,717,1,1,,,,,,,,,10,717,1,1,8,717,8.0,1,1,2,1,0,0,3,0,0.4,0.4,0.3,0.7,8.0,27.0,12.0,0.13,0.13,0.25,0.13,0.25,0.05,0.04,0.09,0.05,0.09,16.0,9.0,9.0,7.0,0.0,9.0,24.0,37.5,15.0,12.0,4.0,8.0,8.0,24.0,14.0,1.0,222.0,295.0,75.3,4182.0,1136.0,102.0,130.0,78.5,79.0,98.0,80.6,38.0,49.0,77.6,1,0.3,0.4,0.7,8.0,19.0,2.0,0.0,27.0,295.0,288.0,6.0,5.0,1.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,222.0,1.0,9.0,23.0,125.0,199.0,57.0,11.0,378.0,11.0,9.0,81.8,2.0,18.2,209.0,1057.0,479.0,8.0,7.0,0.0,8.0,7.0,233.0,12.0,1,9.0,2,22.2,1.13,0.25,0.11,0.5,22.3,0.0,0,0,0.4,0.4,0.04,0.6,0.6,15.0,1.88,13.0,0.0,0.0,1.0,1.0,0.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,717,72,21.0,8.0,8,85.0,5,2,18.0,0.0,1.4,10.0,20.0,-10.0,-1.26,-0.49,9.4,20.4,-11.0,-1.38,-0.73,3,0,0.0,7.0,8.0,0.0,10.0,8.0,9.0,0.0,0.0,0.0,46.0,3.0,6.0,33.3,"€ 10,769(£ 9,354, $11,803)","€ 560,000(£ 486,430, $613,748)",,https://fbref.com/es/jugadores/7f267d66/Alessandro-Deiola
2019-2020,23,Cagliari,itITA,1.Serie A,1,1,0,0,1.0,90.0,0.0,0.0,,,,,2,91,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0,,0,1,1.0,15.0,0.0,0.0,1.0,-1.0,-90.0,-89.92,0.0,0.5,-0.5,-40.84,-40.4,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,"€ 10,769(£ 9,354, $11,803)","€ 560,000(£ 486,430, $613,748)",,https://fbref.com/es/jugadores/7f267d66/Alessandro-Deiola
2020-2021,24,Spezia,itITA,1.Serie A,12,360,0,0,3.0,264.0,0.0,0.0,,,,,15,624,0,0,4,360,4.0,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.6,3.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.14,0.06,0.14,6.0,3.0,2.0,3.0,1.0,5.0,13.0,38.5,8.0,3.0,1.0,2.0,3.0,9.0,1.0,0.0,117.0,156.0,75.0,2153.0,449.0,51.0,57.0,89.5,45.0,55.0,81.8,16.0,29.0,55.2,0,0.3,0.3,-0.3,8.0,7.0,0.0,0.0,12.0,156.0,146.0,10.0,4.0,0.0,4.0,8.0,1.0,5.0,0.0,4.0,0.0,117.0,0.0,6.0,8.0,35.0,96.0,56.0,7.0,184.0,2.0,2.0,100.0,0.0,0.0,104.0,448.0,151.0,3.0,2.0,1.0,6.0,2.0,122.0,16.0,0,5.0,1,20.0,1.25,0.25,0.0,0.0,24.1,1.0,0,0,0.2,0.2,0.04,-0.2,-0.2,10.0,2.49,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360,30,10.5,4.0,4,58.0,0,8,16.0,6.0,0.92,3.0,6.0,-3.0,-0.75,-0.25,4.2,8.1,-3.9,-0.98,-0.55,1,0,0.0,6.0,5.0,0.0,8.0,3.0,3.0,0.0,0.0,0.0,21.0,3.0,4.0,42.9,"€ 10,769(£ 9,354, $11,803)","€ 560,000(£ 486,430, $613,748)",,https://fbref.com/es/jugadores/7f267d66/Alessandro-Deiola
2020-2021,24,Cagliari,itITA,1.Serie A,12,615,0,0,,,,,,,,,12,615,0,0,7,615,6.8,0,0,0,0,0,0,2,0,0.2,0.2,0.8,1.0,5.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.03,0.12,0.15,0.03,0.15,13.0,5.0,5.0,4.0,4.0,8.0,23.0,34.8,15.0,7.0,2.0,5.0,11.0,24.0,11.0,0.0,197.0,241.0,81.7,3340.0,872.0,104.0,121.0,86.0,67.0,77.0,87.0,23.0,32.0,71.9,0,0.8,0.2,-0.8,6.0,16.0,3.0,3.0,14.0,241.0,240.0,1.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,5.0,17.0,94.0,160.0,60.0,3.0,310.0,1.0,1.0,100.0,0.0,0.0,129.0,718.0,257.0,5.0,2.0,1.0,7.0,4.0,177.0,9.0,0,6.0,1,16.7,0.88,0.15,0.0,0.0,22.6,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,13.0,1.9,10.0,0.0,0.0,3.0,0.0,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,615,51,18.0,6.8,7,77.0,1,5,15.0,5.0,1.58,6.0,6.0,0.0,0.0,0.51,8.1,10.3,-2.2,-0.32,0.08,2,0,0.0,12.0,3.0,0.0,7.0,11.0,5.0,0.0,0.0,0.0,44.0,7.0,3.0,70.0,"€ 14,231(£ 12,023, $15,293)","€ 740,000(£ 625,174, $795,237)",Estimación no verificada,https://fbref.com/es/jugadores/7f267d66/Alessandro-Deiola
