Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Partidos,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Tkl,Tkl(Derribos),3.º def.,3.º cent.,3.º ataq.,Tkl(Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),xA,A-xAG,PC,1/3,PPA,CrAP,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,npxG/Sh,G-xG,np:G-xG,Toques,Ataq. pen.,Succ,Exitosa%,Tkld,Tkld%,Transportes,TAP,Errores de control,Des,Rec,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,% Salvadas_penales,TL,TE,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),TI,%deLanzamientos,Long. prom.,%deLanzamientos (Saques de meta),Long. prom. (Saques de meta),Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera (expected),2a amarilla,Fls,FR,TklG,Penal ejecutado,Penal concedido,Recup.,% de ganados,link
Sebastiano Luperto,itITA,DF,28-235,33,33,"2,970",33.0,1,3,4,1,0,0,4,0,2.0,2.0,1.3,3.3,22,89,10,0.03,0.09,0.12,0.03,0.12,0.06,0.04,0.10,0.06,0.10,Partidos,28.0,0.85,22.0,0.0,0.0,5.0,1.0,0.0,5.0,0.15,2.0,0.0,0.0,2.0,1.0,0.0,42.0,22.0,28.0,13.0,1.0,15.0,25.0,60.0,10.0,27.0,13.0,14.0,31.0,73.0,147.0,1.0,1232.0,1466.0,84.0,23132.0,7733.0,406.0,442.0,91.9,728.0,800.0,91.0,89.0,195.0,45.6,0.8,1.7,8.0,82.0,6.0,1.0,1397.0,64.0,42.0,1.0,2.0,8.0,7.0,0.0,0.0,0.0,0.0,5.0,5.0,25.0,0.61,0.15,0.05,0.2,12.5,0.1,-1.0,-1.0,1787.0,28.0,1.0,16.7,4.0,66.7,982.0,2.0,10.0,3.0,1115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,97.1,90,33,0,,1,1.00,34,46,-12,-0.36,+1.64,38.0,47.2,-9.2,-0.28,+0.43,0.0,23.0,19.0,22.0,0.0,1.0,127.0,51.4,/es/jugadores/997fff07/Sebastiano-Luperto
Roberto Piccoli,itITA,DL,24-092,33,33,"2,767",30.7,9,1,10,8,1,1,5,0,10.7,9.9,0.9,10.9,24,33,147,0.29,0.03,0.33,0.26,0.29,0.35,0.03,0.38,0.32,0.35,Partidos,51.0,1.66,24.0,1.0,2.0,13.0,11.0,0.0,6.0,0.2,3.0,0.0,1.0,0.0,2.0,0.0,13.0,9.0,2.0,6.0,5.0,3.0,9.0,33.3,6.0,12.0,4.0,8.0,2.0,15.0,28.0,0.0,305.0,456.0,66.9,4086.0,697.0,187.0,255.0,73.3,99.0,133.0,74.4,6.0,11.0,54.5,0.5,0.1,13.0,30.0,6.0,0.0,396.0,56.0,0.0,0.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,4.0,24.0,29.6,2.63,0.78,0.1,0.33,13.5,0.12,-1.7,-1.9,798.0,125.0,14.0,24.6,36.0,63.2,438.0,12.0,95.0,39.0,583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,90.4,84,15,0,,0,0.91,30,47,-17,-0.55,-1.47,31.8,46.2,-14.4,-0.47,-1.85,0.0,53.0,51.0,9.0,2.0,0.0,46.0,42.2,/es/jugadores/1cadaf34/Roberto-Piccoli
Gabriele Zappa,itITA,DF,25-128,33,31,"2,731",30.3,2,0,2,2,0,0,4,0,0.8,0.8,3.6,4.4,55,132,70,0.07,0.00,0.07,0.07,0.07,0.03,0.12,0.14,0.03,0.14,Partidos,55.0,1.81,50.0,2.0,0.0,3.0,0.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,36.0,20.0,18.0,16.0,2.0,16.0,30.0,53.3,14.0,39.0,21.0,18.0,22.0,58.0,79.0,1.0,1201.0,1564.0,76.8,20345.0,10092.0,570.0,639.0,89.2,524.0,652.0,80.4,89.0,198.0,44.9,3.3,-3.6,27.0,117.0,22.0,13.0,1285.0,270.0,29.0,1.0,10.0,65.0,241.0,0.0,0.0,0.0,0.0,9.0,4.0,40.0,0.33,0.13,0.2,0.5,15.9,0.08,1.2,1.2,1824.0,32.0,11.0,40.7,14.0,51.9,993.0,4.0,24.0,6.0,1078.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,89.2,87,28,2,10,0,1.00,33,48,-15,-0.49,-0.77,34.6,46.5,-11.9,-0.39,-0.94,0.0,21.0,15.0,20.0,0.0,0.0,109.0,45.7,/es/jugadores/ca3db240/Gabriele-Zappa
Nadir Zortea,itITA,"DF,DL",25-314,31,29,"2,409",26.8,5,0,5,5,0,0,2,0,2.6,2.6,2.0,4.6,65,53,132,0.19,0.00,0.19,0.19,0.19,0.10,0.07,0.17,0.10,0.17,Partidos,50.0,1.87,34.0,4.0,8.0,2.0,1.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,28.0,12.0,15.0,11.0,2.0,13.0,31.0,41.9,18.0,8.0,0.0,8.0,16.0,44.0,41.0,2.0,498.0,740.0,67.3,8121.0,2683.0,267.0,330.0,80.9,177.0,247.0,71.7,42.0,94.0,44.7,2.0,-2.0,24.0,35.0,28.0,20.0,695.0,42.0,2.0,1.0,1.0,109.0,35.0,4.0,0.0,2.0,0.0,3.0,9.0,31.0,1.08,0.34,0.17,0.56,18.6,0.09,2.4,2.4,998.0,30.0,37.0,45.1,43.0,52.4,588.0,7.0,52.0,30.0,656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,78.7,81,16,2,26,1,1.00,29,44,-15,-0.56,-0.70,29.3,40.6,-11.3,-0.42,-0.61,0.0,28.0,20.0,12.0,0.0,1.0,84.0,37.8,/es/jugadores/82598b71/Nadir-Zortea
Yerry Mina,coCOL,DF,30-218,29,29,"2,389",26.5,0,0,0,0,0,0,6,1,2.1,2.1,0.3,2.4,15,74,9,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09,Partidos,24.0,0.9,21.0,0.0,0.0,3.0,0.0,0.0,2.0,0.08,1.0,0.0,0.0,1.0,0.0,0.0,59.0,27.0,38.0,19.0,2.0,36.0,47.0,76.6,11.0,54.0,31.0,23.0,33.0,92.0,155.0,3.0,1139.0,1333.0,85.4,21073.0,7948.0,422.0,468.0,90.2,615.0,678.0,90.7,88.0,153.0,57.5,0.7,-0.3,4.0,61.0,6.0,1.0,1255.0,75.0,64.0,1.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,3.0,7.0,29.2,0.9,0.26,0.0,0.0,11.3,0.09,-2.1,-2.1,1709.0,41.0,3.0,42.9,2.0,28.6,899.0,0.0,19.0,13.0,925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,78.1,82,21,0,,1,0.93,24,38,-14,-0.53,-0.53,30.1,35.6,-5.5,-0.21,+0.38,1.0,38.0,49.0,27.0,0.0,0.0,144.0,66.2,/es/jugadores/6d5701f2/Yerry-Mina
Tommaso Augello,itITA,DF,30-242,34,26,"2,382",26.5,0,6,6,0,0,0,3,0,0.3,0.3,4.3,4.5,54,111,106,0.00,0.23,0.23,0.00,0.23,0.01,0.16,0.17,0.01,0.17,Partidos,65.0,2.45,42.0,19.0,3.0,1.0,0.0,0.0,8.0,0.3,8.0,0.0,0.0,0.0,0.0,0.0,46.0,26.0,26.0,16.0,4.0,27.0,38.0,71.1,11.0,20.0,5.0,15.0,16.0,62.0,88.0,1.0,1041.0,1459.0,71.4,18133.0,7613.0,503.0,574.0,87.6,428.0,570.0,75.1,103.0,235.0,43.8,4.3,1.7,36.0,73.0,36.0,25.0,1134.0,315.0,43.0,0.0,6.0,191.0,221.0,51.0,5.0,45.0,0.0,10.0,0.0,0.0,0.26,0.0,0.0,,21.8,0.04,-0.3,-0.3,1685.0,10.0,23.0,57.5,16.0,40.0,797.0,2.0,24.0,16.0,915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,77.8,84,18,8,26,0,0.97,25,39,-14,-0.53,-0.53,28.7,37.0,-8.3,-0.31,-0.10,0.0,15.0,10.0,26.0,0.0,0.0,121.0,68.2,/es/jugadores/3cd3b384/Tommaso-Augello
Michel Ndary Adopo,frFRA,CC,24-284,31,23,"2,072",23.0,0,1,1,0,0,0,4,1,1.0,1.0,2.0,3.0,18,92,48,0.00,0.04,0.04,0.00,0.04,0.04,0.09,0.13,0.04,0.13,Partidos,44.0,1.91,41.0,0.0,1.0,1.0,0.0,1.0,5.0,0.22,4.0,0.0,0.0,0.0,0.0,1.0,47.0,28.0,14.0,26.0,7.0,14.0,24.0,58.3,10.0,16.0,4.0,12.0,23.0,70.0,20.0,0.0,711.0,851.0,83.5,11436.0,3357.0,354.0,412.0,85.9,307.0,346.0,88.7,36.0,58.0,62.1,1.1,-1.0,16.0,80.0,13.0,2.0,839.0,9.0,7.0,2.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,16.7,0.78,0.13,0.0,0.0,16.0,0.06,-1.0,-1.0,1052.0,29.0,18.0,48.6,18.0,48.6,567.0,1.0,29.0,24.0,684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,67.7,80,11,8,30,2,1.03,22,35,-13,-0.56,-0.47,23.7,35.2,-11.5,-0.50,-0.64,1.0,27.0,13.0,28.0,0.0,0.0,118.0,54.2,/es/jugadores/599d91d0/Michel-Ndary-Adopo
Antoine Makoumbou,cgCGO,CC,26-285,29,23,"1,875",20.8,0,1,1,0,0,0,3,1,0.3,0.3,0.4,0.7,9,81,12,0.00,0.05,0.05,0.00,0.05,0.02,0.02,0.03,0.02,0.03,Partidos,29.0,1.39,25.0,0.0,0.0,2.0,0.0,2.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,37.0,21.0,26.0,8.0,3.0,18.0,23.0,78.3,5.0,25.0,4.0,21.0,14.0,51.0,23.0,0.0,917.0,1031.0,88.9,14730.0,3554.0,454.0,476.0,95.4,402.0,440.0,91.4,45.0,79.0,57.0,0.8,0.6,4.0,60.0,11.0,3.0,993.0,35.0,33.0,2.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.34,0.0,0.0,,22.4,0.04,-0.3,-0.3,1193.0,4.0,10.0,52.6,8.0,42.1,711.0,0.0,15.0,20.0,838.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,61.3,76,6,6,23,3,1.03,24,32,-8,-0.38,+0.07,23.3,33.2,-9.9,-0.47,-0.47,1.0,23.0,14.0,21.0,0.0,1.0,98.0,19.0,/es/jugadores/f37f3522/Antoine-Makoumbou
Zito Luvumbo,aoANG,"DL,CC",23-051,23,16,"1,394",15.5,2,2,4,2,0,0,2,0,1.9,1.9,2.1,4.0,62,27,115,0.13,0.13,0.26,0.13,0.26,0.12,0.14,0.26,0.12,0.26,Partidos,27.0,1.74,18.0,1.0,3.0,2.0,3.0,0.0,3.0,0.19,3.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,2.0,3.0,3.0,4.0,16.0,25.0,12.0,5.0,0.0,5.0,3.0,11.0,4.0,0.0,162.0,273.0,59.3,2439.0,698.0,96.0,127.0,75.6,49.0,89.0,55.1,11.0,26.0,42.3,1.1,-0.1,12.0,15.0,10.0,5.0,259.0,14.0,1.0,0.0,1.0,58.0,4.0,2.0,1.0,0.0,0.0,0.0,4.0,21.1,1.23,0.26,0.11,0.5,16.8,0.1,0.1,0.1,425.0,59.0,22.0,41.5,20.0,37.7,305.0,31.0,59.0,27.0,326.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,45.6,74,5,7,30,2,0.91,16,22,-6,-0.39,+0.04,18.8,21.2,-2.4,-0.16,+0.25,0.0,38.0,44.0,5.0,0.0,0.0,41.0,31.6,/es/jugadores/b09e0873/Zito-Luvumbo
Nicolas Viola,itITA,"CC,DL",35-199,24,16,"1,147",12.7,3,1,4,3,0,0,2,0,2.1,2.1,1.8,3.9,20,44,69,0.24,0.08,0.31,0.24,0.31,0.17,0.14,0.31,0.17,0.31,Partidos,55.0,4.32,27.0,21.0,2.0,2.0,3.0,0.0,4.0,0.31,2.0,1.0,0.0,0.0,1.0,0.0,14.0,7.0,6.0,7.0,1.0,1.0,10.0,10.0,9.0,4.0,0.0,4.0,2.0,16.0,5.0,0.0,269.0,423.0,63.6,4825.0,1910.0,137.0,166.0,82.5,77.0,127.0,60.6,45.0,93.0,48.4,2.5,-0.8,26.0,33.0,10.0,2.0,341.0,80.0,26.0,4.0,1.0,75.0,4.0,42.0,17.0,24.0,0.0,2.0,9.0,31.0,2.28,0.71,0.1,0.33,20.3,0.07,0.9,0.9,560.0,32.0,10.0,35.7,16.0,57.1,307.0,6.0,29.0,21.0,367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,37.5,61,0,8,21,9,1.13,13,21,-8,-0.63,-0.35,15.1,19.4,-4.2,-0.33,-0.07,0.0,20.0,30.0,7.0,0.0,0.0,50.0,48.8,/es/jugadores/45392b06/Nicolas-Viola
