Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2011-2012,17,AlbinoLeffe,itITA,2.Serie B,8.0,458,2.0,0.0,,,,,,,,,8,458,2,0,4.0,458,5.1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,0.39,0.0,0.39,0.39,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,4.0,,,0.79,,0.5,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,458,57.0,12.1,5.1,4.0,,,4.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,"€ 7,115(£ 6,181, $7,798)","€ 370,000(£ 321,391, $405,512)",Estimación no verificada,https://fbref.com/es/jugadores/d705ba44/Andrea-Belotti
2013-2014,19,Palermo,itITA,2.Serie B,24.0,"1,237",10.0,3.0,,,,,,,,,24,"1,237",10,3,11.0,"1,237",13.7,10.0,3.0,13.0,10.0,0.0,0.0,2.0,0.0,,,,,,,,0.73,0.22,0.95,0.73,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,24.0,,,1.75,,0.42,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,237",52.0,32.7,13.7,11.0,,,13.0,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,"€ 21,346(£ 18,542, $23,395)","€ 1,110,000(£ 964,173, $1,216,536)",Estimación no verificada,https://fbref.com/es/jugadores/d705ba44/Andrea-Belotti
2014-2015,20,Palermo,itITA,1.Serie A,38.0,"1,363",6.0,1.0,1.0,45.0,0.0,0.0,,,,,39,"1,408",6,1,9.0,"1,363",15.1,6.0,1.0,7.0,5.0,1.0,2.0,3.0,0.0,,,,,,,,0.4,0.07,0.46,0.33,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,20.0,,,1.32,,0.25,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,"1,363",36.0,39.9,15.1,9.0,,8.0,29.0,,0.0,1.29,21.0,28.0,-7.0,-0.46,-0.68,,,,,,3.0,0.0,,38.0,,,,,,,,,,,,,"€ 51,346(£ 44,601, $56,274)","€ 2,670,000(£ 2,319,228, $2,926,262)",Estimación no verificada,https://fbref.com/es/jugadores/d705ba44/Andrea-Belotti
2015-2016,21,Palermo,itITA,1.Serie A,,,,,1.0,90.0,0.0,0.0,,,,,1,90,0,0,31.0,"2,588",28.8,12.0,4.0,16.0,8.0,4.0,4.0,4.0,0.0,,,,,,,,0.42,0.14,0.56,0.28,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,29.0,,,1.01,,0.28,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,"2,588",74.0,75.7,28.8,31.0,,20.0,4.0,,3.0,1.03,41.0,42.0,-1.0,-0.03,0.18,,,,,,4.0,0.0,,66.0,,,,,,,,,,,,,"€ 52,692(£ 45,770, $57,750)","€ 2,740,000(£ 2,380,031, $3,002,980)",Estimación no verificada,https://fbref.com/es/jugadores/d705ba44/Andrea-Belotti
2015-2016,21,Torino,itITA,1.Serie A,35.0,"2,588",12.0,4.0,1.0,63.0,0.0,0.0,,,,,36,"2,651",12,4,34.0,"3,070",34.1,26.0,7.0,33.0,24.0,2.0,5.0,5.0,0.0,,,,,,,,0.76,0.21,0.97,0.7,0.91,,,,,,,30.0,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,131.0,49.0,37.4,3.84,1.44,0.18,0.49,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,"3,070",88.0,89.8,34.1,34.0,,33.0,1.0,,0.0,1.49,70.0,62.0,8.0,0.23,1.01,,,,,,5.0,0.0,0.0,77.0,125.0,37.0,24.0,13.0,30.0,5.0,0.0,0.0,,,,,"€ 64,038(£ 55,625, $70,185)","€ 3,330,000(£ 2,892,520, $3,649,607)",Estimación no verificada,https://fbref.com/es/jugadores/d705ba44/Andrea-Belotti
2016-2017,22,Torino,itITA,1.Serie A,35.0,"3,070",26.0,7.0,3.0,228.0,2.0,0.0,,,,,38,"3,298",28,7,29.0,"2,683",29.8,10.0,5.0,15.0,10.0,0.0,2.0,2.0,0.0,10.5,8.9,4.7,13.6,40.0,39.0,202.0,0.34,0.17,0.5,0.34,0.5,0.35,0.16,0.51,0.3,0.46,32.0,23.0,9.0,15.0,8.0,3.0,30.0,10.0,27.0,14.0,1.0,13.0,6.0,38.0,19.0,1.0,429.0,604.0,71.0,5705.0,1057.0,273.0,364.0,75.0,111.0,147.0,75.5,17.0,24.0,70.8,5.0,4.7,3.6,0.3,31.0,30.0,13.0,1.0,39.0,604.0,583.0,20.0,1.0,1.0,4.0,9.0,6.0,0.0,0.0,0.0,0.0,429.0,1.0,27.0,21.0,77.0,414.0,455.0,144.0,933.0,48.0,26.0,54.2,22.0,45.8,637.0,3075.0,1275.0,40.0,26.0,18.0,98.0,61.0,786.0,202.0,10.0,84.0,27.0,32.1,2.82,0.91,0.12,0.37,14.5,0.0,0.0,2.0,10.5,8.9,0.11,-0.5,1.1,85.0,2.86,50.0,0.0,5.0,12.0,18.0,0.0,14.0,0.47,8.0,0.0,1.0,4.0,1.0,0.0,"2,683",84.0,78.5,29.8,29.0,,27.0,3.0,,0.0,1.5,43.0,35.0,8.0,0.27,0.27,36.0,38.5,-2.5,-0.08,-0.26,2.0,0.0,0.0,60.0,95.0,19.0,9.0,6.0,23.0,1.0,0.0,0.0,82.0,80.0,105.0,43.2,"€ 60,577(£ 52,619, $66,391)","€ 3,150,000(£ 2,736,168, $3,452,331)",,https://fbref.com/es/jugadores/d705ba44/Andrea-Belotti
2017-2018,23,Torino,itITA,1.Serie A,32.0,"2,683",10.0,5.0,3.0,270.0,3.0,0.0,,,,,35,"2,953",13,5,37.0,"3,299",36.7,15.0,3.0,18.0,10.0,5.0,6.0,5.0,0.0,17.3,12.6,4.3,16.9,82.0,68.0,267.0,0.41,0.08,0.49,0.27,0.35,0.47,0.12,0.59,0.34,0.46,33.0,22.0,8.0,15.0,10.0,6.0,30.0,20.0,24.0,36.0,5.0,31.0,15.0,48.0,23.0,0.0,482.0,766.0,62.9,6531.0,1569.0,295.0,418.0,70.6,122.0,190.0,64.2,28.0,45.0,62.2,3.0,4.3,2.3,-1.3,35.0,43.0,24.0,2.0,68.0,766.0,750.0,8.0,2.0,4.0,6.0,23.0,1.0,0.0,0.0,0.0,0.0,482.0,8.0,41.0,27.0,90.0,506.0,705.0,194.0,1274.0,82.0,34.0,41.5,48.0,58.5,753.0,4375.0,2168.0,82.0,76.0,34.0,113.0,76.0,995.0,267.0,15.0,119.0,42.0,35.3,3.25,1.15,0.08,0.24,16.4,6.0,5.0,6.0,17.3,12.6,0.11,-2.3,-2.6,96.0,2.62,67.0,0.0,3.0,13.0,13.0,0.0,7.0,0.19,4.0,0.0,0.0,1.0,2.0,0.0,"3,299",89.0,96.5,36.7,37.0,89.0,35.0,0.0,,0.0,1.68,51.0,35.0,16.0,0.44,1.18,45.0,46.1,-1.1,-0.03,0.01,5.0,0.0,0.0,71.0,112.0,30.0,23.0,15.0,22.0,2.0,0.0,0.0,117.0,143.0,174.0,45.1,"€ 71,154(£ 61,806, $77,983)","€ 3,700,000(£ 3,213,911, $4,055,119)",,https://fbref.com/es/jugadores/d705ba44/Andrea-Belotti
2018-2019,24,Torino,itITA,1.Serie A,37.0,"3,299",15.0,3.0,2.0,180.0,2.0,0.0,,,,,39,"3,479",17,3,34.0,"3,008",33.4,16.0,3.0,19.0,9.0,7.0,8.0,4.0,0.0,16.7,10.5,4.6,15.1,132.0,67.0,243.0,0.48,0.09,0.57,0.27,0.36,0.5,0.14,0.64,0.31,0.45,29.0,16.0,7.0,17.0,5.0,5.0,31.0,16.1,26.0,23.0,5.0,18.0,5.0,34.0,20.0,1.0,495.0,759.0,65.2,6879.0,1560.0,307.0,403.0,76.2,120.0,175.0,68.6,34.0,61.0,55.7,3.0,4.6,3.2,-1.6,41.0,43.0,23.0,5.0,67.0,759.0,706.0,51.0,3.0,0.0,10.0,47.0,2.0,0.0,0.0,0.0,0.0,495.0,2.0,49.0,26.0,76.0,505.0,611.0,196.0,1163.0,82.0,47.0,57.3,35.0,42.7,735.0,5289.0,3037.0,132.0,88.0,48.0,94.0,61.0,932.0,243.0,16.0,96.0,33.0,34.4,2.87,0.99,0.09,0.27,17.2,5.0,7.0,8.0,16.7,10.5,0.11,-0.7,-1.5,98.0,2.93,62.0,1.0,8.0,9.0,18.0,0.0,9.0,0.27,5.0,0.0,0.0,3.0,1.0,0.0,"3,008",84.0,88.0,33.4,34.0,87.0,30.0,2.0,17.0,0.0,0.94,38.0,60.0,-22.0,-0.66,-0.66,39.5,52.8,-13.2,-0.4,0.21,4.0,0.0,0.0,64.0,103.0,22.0,47.0,5.0,16.0,1.0,0.0,1.0,78.0,108.0,107.0,50.2,"€ 71,154(£ 61,806, $77,983)","€ 3,700,000(£ 3,213,911, $4,055,119)",,https://fbref.com/es/jugadores/d705ba44/Andrea-Belotti
2019-2020,25,Torino,itITA,1.Serie A,36.0,"3,008",16.0,3.0,2.0,240.0,0.0,0.0,,,,,38,"3,248",16,3,33.0,"2,888",32.1,13.0,6.0,19.0,9.0,4.0,5.0,4.0,0.0,13.7,9.8,7.0,16.8,81.0,64.0,214.0,0.41,0.19,0.59,0.28,0.47,0.43,0.22,0.65,0.3,0.52,30.0,18.0,4.0,16.0,10.0,11.0,35.0,31.4,24.0,27.0,4.0,23.0,12.0,42.0,21.0,0.0,481.0,716.0,67.2,7066.0,1518.0,272.0,347.0,78.4,137.0,198.0,69.2,39.0,58.0,67.2,6.0,7.0,4.2,-1.0,37.0,36.0,32.0,4.0,64.0,716.0,656.0,56.0,4.0,9.0,11.0,25.0,2.0,0.0,0.0,0.0,0.0,481.0,4.0,39.0,26.0,80.0,542.0,544.0,147.0,1137.0,81.0,47.0,58.0,33.0,40.7,688.0,4414.0,2270.0,81.0,71.0,27.0,107.0,41.0,890.0,214.0,13.0,102.0,35.0,34.3,3.18,1.09,0.09,0.26,17.7,8.0,4.0,5.0,13.7,9.8,0.1,-0.7,-0.8,123.0,3.83,56.0,2.0,14.0,17.0,31.0,3.0,16.0,0.5,6.0,0.0,2.0,3.0,4.0,1.0,"2,888",83.0,84.4,32.1,33.0,87.0,23.0,2.0,12.0,2.0,1.06,41.0,47.0,-6.0,-0.19,2.01,41.9,44.4,-2.4,-0.08,1.52,4.0,0.0,0.0,58.0,135.0,21.0,25.0,12.0,18.0,3.0,1.0,0.0,87.0,81.0,111.0,42.2,"€ 85,385(£ 73,457, $93,365)","€ 4,440,000(£ 3,819,778, $4,854,965)",,https://fbref.com/es/jugadores/d705ba44/Andrea-Belotti
2020-2021,26,Torino,itITA,1.Serie A,35.0,"2,888",13.0,6.0,1.0,31.0,0.0,0.0,,,,,36,"2,919",13,6,16.0,"1,371",15.2,8.0,1.0,9.0,5.0,3.0,3.0,1.0,0.0,7.9,5.6,0.7,6.2,25.0,24.0,117.0,0.53,0.07,0.59,0.33,0.39,0.52,0.04,0.56,0.36,0.41,7.0,3.0,2.0,2.0,3.0,3.0,12.0,25.0,9.0,12.0,4.0,8.0,2.0,9.0,9.0,0.0,252.0,369.0,68.3,3263.0,432.0,167.0,209.0,79.9,64.0,89.0,71.9,8.0,18.0,44.4,1.0,0.7,0.6,0.3,10.0,18.0,3.0,0.0,24.0,369.0,341.0,25.0,2.0,2.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,252.0,3.0,17.0,14.0,27.0,236.0,293.0,83.0,548.0,25.0,15.0,60.0,10.0,40.0,318.0,1397.0,576.0,25.0,10.0,10.0,59.0,28.0,461.0,117.0,8.0,55.0,17.0,30.9,3.61,1.12,0.09,0.29,15.5,3.0,3.0,3.0,7.9,5.6,0.1,0.1,-0.6,38.0,2.49,18.0,2.0,2.0,7.0,9.0,0.0,4.0,0.26,1.0,0.0,1.0,0.0,2.0,0.0,"1,371",62.0,40.1,15.2,16.0,76.0,4.0,6.0,27.0,1.0,1.05,14.0,16.0,-2.0,-0.13,-0.44,18.7,15.2,3.5,0.23,-0.05,1.0,0.0,0.0,26.0,51.0,16.0,13.0,2.0,3.0,1.0,0.0,0.0,41.0,55.0,77.0,41.7,"€ 85,385(£ 72,135, $91,758)","€ 4,440,000(£ 3,751,041, $4,771,422)",,https://fbref.com/es/jugadores/d705ba44/Andrea-Belotti
