Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,19,SPAL,itITA,2.Serie B,1.0,12,0.0,0.0,,,,,,,,,1,12,0,0,0.0,12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,12,12.0,0.3,0.1,0.0,,,1.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,"€ 3,654(£ 3,174, $4,005)","€ 190,000(£ 165,039, $208,236)",,https://fbref.com/es/jugadores/ac4a4508/Gabriel-Strefezza
2017-2018,20,Juve Stabia,itITA,Coppa Italia,,,,,2.0,135.0,1.0,0.0,,,,,2,135,1,0,10.0,"1,082",12.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.4,1.4,1.5,2.9,45.0,46.0,156.0,0.08,0.0,0.08,0.08,0.08,0.12,0.12,0.24,0.12,0.24,23.0,20.0,12.0,7.0,4.0,3.0,12.0,25.0,9.0,16.0,1.0,15.0,9.0,32.0,4.0,0.0,322.0,431.0,74.7,4952.0,1228.0,175.0,201.0,87.1,102.0,133.0,76.7,27.0,55.0,49.1,0.0,1.5,1.7,-1.5,26.0,19.0,15.0,2.0,46.0,431.0,389.0,37.0,6.0,3.0,2.0,41.0,14.0,17.0,5.0,11.0,0.0,322.0,5.0,16.0,4.0,64.0,196.0,384.0,46.0,635.0,56.0,33.0,58.9,23.0,41.1,475.0,2813.0,1261.0,45.0,44.0,15.0,56.0,40.0,496.0,156.0,1.0,39.0,14.0,35.9,3.24,1.16,0.03,0.07,24.6,0.0,0.0,0.0,1.4,1.4,0.04,-0.4,-0.4,54.0,4.5,39.0,6.0,3.0,4.0,1.0,1.0,2.0,0.17,2.0,0.0,0.0,0.0,0.0,0.0,"1,082",47.0,33.4,12.0,10.0,84.0,7.0,13.0,18.0,11.0,1.17,9.0,12.0,-3.0,-0.25,-0.54,11.4,13.1,-1.8,-0.15,0.01,3.0,1.0,1.0,25.0,26.0,1.0,41.0,9.0,20.0,0.0,0.0,0.0,48.0,6.0,25.0,19.4,"€ 8,846(£ 7,610, $9,673)","€ 460,000(£ 395,743, $502,992)",,https://fbref.com/es/jugadores/ac4a4508/Gabriel-Strefezza
2018-2019,21,Cremonese,itITA,2.Serie B,23.0,"1,082",1.0,0.0,1.0,55.0,0.0,0.0,,,,,24,"1,137",1,0,24.0,"2,110",23.4,1.0,2.0,3.0,1.0,0.0,0.0,9.0,1.0,2.6,2.6,1.7,4.4,72.0,62.0,121.0,0.04,0.09,0.13,0.04,0.13,0.11,0.07,0.19,0.11,0.19,64.0,40.0,28.0,26.0,10.0,22.0,54.0,40.7,32.0,29.0,3.0,26.0,21.0,85.0,17.0,0.0,658.0,858.0,76.7,9981.0,3035.0,391.0,441.0,88.7,199.0,272.0,73.2,44.0,82.0,53.7,2.0,1.7,1.5,0.3,26.0,43.0,27.0,8.0,62.0,858.0,777.0,81.0,6.0,1.0,4.0,73.0,72.0,2.0,0.0,2.0,0.0,658.0,0.0,29.0,14.0,226.0,467.0,476.0,58.0,1152.0,65.0,40.0,61.5,25.0,38.5,723.0,4075.0,2083.0,72.0,48.0,17.0,38.0,50.0,786.0,121.0,1.0,53.0,11.0,20.8,2.26,0.47,0.02,0.09,21.5,0.0,0.0,0.0,2.6,2.6,0.05,-1.6,-1.6,75.0,3.19,49.0,1.0,10.0,7.0,6.0,2.0,5.0,0.21,2.0,0.0,1.0,2.0,0.0,0.0,"2,110",66.0,61.7,23.4,24.0,79.0,11.0,8.0,27.0,3.0,0.53,16.0,53.0,-37.0,-1.58,-0.69,24.1,39.2,-15.1,-0.64,0.24,9.0,1.0,1.0,52.0,60.0,2.0,73.0,21.0,40.0,0.0,0.0,0.0,101.0,10.0,34.0,22.7,"€ 8,846(£ 7,473, $9,506)","€ 460,000(£ 388,621, $494,337)",,https://fbref.com/es/jugadores/ac4a4508/Gabriel-Strefezza
2019-2020,22,SPAL,itITA,1.Serie A,32.0,"2,110",1.0,2.0,1.0,90.0,0.0,0.0,,,,,33,"2,200",1,2,19.0,"1,829",20.3,4.0,0.0,4.0,4.0,0.0,0.0,8.0,1.0,2.3,2.3,1.9,4.2,74.0,93.0,154.0,0.2,0.0,0.2,0.2,0.2,0.11,0.09,0.21,0.11,0.21,45.0,27.0,23.0,14.0,8.0,19.0,38.0,50.0,19.0,27.0,4.0,23.0,18.0,63.0,11.0,0.0,743.0,972.0,76.4,12743.0,3407.0,397.0,452.0,87.8,236.0,296.0,79.7,90.0,157.0,57.3,0.0,1.9,3.3,-1.9,36.0,59.0,40.0,13.0,93.0,972.0,824.0,139.0,20.0,3.0,28.0,115.0,73.0,45.0,20.0,17.0,0.0,743.0,9.0,25.0,12.0,192.0,498.0,563.0,51.0,1236.0,59.0,29.0,49.2,30.0,50.8,821.0,4815.0,2487.0,74.0,46.0,25.0,43.0,29.0,859.0,154.0,4.0,43.0,8.0,18.6,2.12,0.39,0.09,0.5,21.7,2.0,0.0,0.0,2.3,2.3,0.05,1.7,1.7,94.0,4.63,61.0,11.0,8.0,5.0,7.0,2.0,9.0,0.44,3.0,1.0,2.0,1.0,2.0,0.0,"1,829",63.0,53.5,20.3,19.0,82.0,10.0,10.0,26.0,2.0,1.34,20.0,30.0,-10.0,-0.49,-1.17,24.3,29.2,-4.9,-0.24,-0.14,8.0,1.0,1.0,60.0,70.0,6.0,115.0,18.0,27.0,0.0,0.0,0.0,111.0,19.0,32.0,37.3,"€ 14,231(£ 12,233, $16,162)","€ 740,000(£ 636,092, $840,427)",Estimación no verificada,https://fbref.com/es/jugadores/ac4a4508/Gabriel-Strefezza
2020-2021,23,SPAL,itITA,2.Serie B,29.0,"1,829",4.0,0.0,2.0,83.0,0.0,0.0,,,,,31,"1,912",4,0,33.0,"2,726",30.3,14.0,6.0,20.0,14.0,0.0,0.0,8.0,0.0,7.1,7.0,9.2,16.2,100.0,155.0,241.0,0.46,0.2,0.66,0.46,0.66,0.24,0.3,0.54,0.23,0.54,67.0,43.0,28.0,27.0,12.0,26.0,55.0,47.3,29.0,50.0,3.0,47.0,26.0,93.0,12.0,0.0,793.0,1172.0,67.7,14194.0,4588.0,387.0,467.0,82.9,265.0,386.0,68.7,106.0,210.0,50.5,6.0,9.2,9.3,-3.2,70.0,77.0,66.0,21.0,155.0,1172.0,1065.0,97.0,26.0,4.0,21.0,170.0,18.0,53.0,12.0,30.0,1.0,793.0,10.0,44.0,16.0,166.0,594.0,892.0,113.0,1623.0,102.0,55.0,53.9,47.0,46.1,1157.0,6711.0,3346.0,100.0,85.0,30.0,89.0,67.0,1185.0,241.0,14.0,93.0,31.0,33.3,3.07,1.02,0.15,0.45,20.3,1.0,0.0,0.0,7.1,7.0,0.08,6.9,7.0,151.0,4.99,93.0,20.0,13.0,12.0,10.0,3.0,15.0,0.5,9.0,1.0,3.0,1.0,0.0,1.0,"2,726",78.0,79.7,30.3,33.0,80.0,8.0,2.0,38.0,1.0,1.89,48.0,22.0,26.0,0.86,0.6,48.6,27.5,21.1,0.7,-0.05,8.0,0.0,0.0,56.0,80.0,7.0,170.0,26.0,43.0,0.0,0.0,0.0,170.0,24.0,44.0,35.3,"€ 14,231(£ 12,233, $16,162)","€ 740,000(£ 636,092, $840,427)",Estimación no verificada,https://fbref.com/es/jugadores/ac4a4508/Gabriel-Strefezza
2021-2022,24,Lecce,itITA,2.Serie B,35.0,"2,726",14.0,6.0,1.0,31.0,0.0,0.0,,,,,36,"2,757",14,6,30.0,"2,442",27.1,8.0,4.0,12.0,6.0,2.0,3.0,5.0,0.0,6.2,3.9,4.3,8.2,71.0,107.0,177.0,0.29,0.15,0.44,0.22,0.37,0.23,0.16,0.39,0.14,0.3,50.0,24.0,18.0,20.0,12.0,27.0,53.0,50.9,26.0,36.0,3.0,33.0,16.0,66.0,15.0,0.0,553.0,886.0,62.4,9963.0,3082.0,278.0,353.0,78.8,170.0,258.0,65.9,87.0,196.0,44.4,4.0,4.3,3.8,-0.3,48.0,64.0,43.0,17.0,107.0,886.0,805.0,71.0,19.0,6.0,23.0,121.0,17.0,35.0,15.0,10.0,0.0,553.0,10.0,36.0,14.0,131.0,531.0,648.0,68.0,1282.0,92.0,36.0,39.1,42.0,45.7,839.0,4998.0,2240.0,71.0,58.0,19.0,82.0,69.0,935.0,177.0,8.0,68.0,18.0,26.5,2.51,0.66,0.09,0.33,21.4,4.0,2.0,3.0,6.2,3.9,0.06,1.8,2.1,101.0,3.72,77.0,6.0,8.0,6.0,3.0,1.0,8.0,0.29,8.0,0.0,0.0,0.0,0.0,0.0,"2,442",70.0,71.4,27.1,30.0,78.0,4.0,5.0,22.0,0.0,1.0,25.0,35.0,-10.0,-0.37,-0.09,24.6,30.2,-5.6,-0.21,-0.16,5.0,0.0,0.0,51.0,71.0,0.0,121.0,16.0,24.0,0.0,1.0,0.0,134.0,16.0,45.0,26.2,"€ 14,231(£ 12,233, $16,162)","€ 740,000(£ 636,092, $840,427)",Estimación no verificada,https://fbref.com/es/jugadores/ac4a4508/Gabriel-Strefezza
2022-2023,25,Lecce,itITA,1.Serie A,35.0,"2,442",8.0,4.0,1.0,120.0,1.0,0.0,,,,,36,"2,562",9,4,13.0,"1,112",12.4,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,2.5,1.7,1.2,2.8,34.0,54.0,81.0,0.08,0.0,0.08,0.0,0.0,0.2,0.09,0.29,0.14,0.23,24.0,17.0,8.0,7.0,9.0,14.0,20.0,70.0,6.0,17.0,0.0,17.0,7.0,31.0,11.0,0.0,300.0,412.0,72.8,5197.0,1463.0,151.0,174.0,86.8,103.0,137.0,75.2,37.0,70.0,52.9,0.0,1.2,1.3,-1.2,20.0,34.0,20.0,7.0,54.0,412.0,352.0,57.0,19.0,3.0,6.0,42.0,10.0,22.0,7.0,2.0,0.0,300.0,3.0,9.0,11.0,61.0,234.0,279.0,21.0,560.0,35.0,15.0,42.9,15.0,42.9,369.0,2365.0,1141.0,34.0,37.0,4.0,24.0,24.0,385.0,81.0,1.0,27.0,5.0,18.5,2.19,0.4,0.0,0.0,22.8,1.0,1.0,1.0,2.5,1.7,0.06,-1.5,-1.7,41.0,3.32,30.0,4.0,1.0,3.0,1.0,2.0,2.0,0.16,1.0,1.0,0.0,0.0,0.0,0.0,"1,112",59.0,32.5,12.4,13.0,75.0,2.0,6.0,22.0,2.0,1.05,9.0,18.0,-9.0,-0.73,-0.22,11.9,19.0,-7.1,-0.57,-0.45,4.0,0.0,0.0,20.0,37.0,3.0,42.0,7.0,17.0,0.0,0.0,0.0,51.0,4.0,14.0,22.2,,,,
2023-2024,26,Lecce,itITA,1.Serie A,19.0,"1,112",1.0,0.0,2.0,161.0,1.0,0.0,,,,,21,"1,273",2,0,15.0,"1,172",13.0,3.0,2.0,5.0,3.0,0.0,0.0,2.0,1.0,1.6,1.6,2.6,4.2,45.0,80.0,88.0,0.23,0.15,0.38,0.23,0.38,0.12,0.2,0.32,0.12,0.32,22.0,13.0,2.0,14.0,6.0,10.0,17.0,58.8,7.0,21.0,2.0,19.0,5.0,27.0,3.0,0.0,418.0,567.0,73.7,7171.0,2201.0,193.0,222.0,86.9,163.0,203.0,80.3,44.0,92.0,47.8,2.0,2.6,4.2,-0.6,33.0,62.0,22.0,6.0,80.0,567.0,502.0,60.0,15.0,2.0,4.0,68.0,4.0,41.0,9.0,19.0,0.0,418.0,5.0,15.0,5.0,52.0,329.0,369.0,36.0,737.0,43.0,18.0,41.9,21.0,48.8,470.0,2989.0,1523.0,45.0,36.0,9.0,35.0,24.0,524.0,88.0,3.0,37.0,15.0,40.5,2.84,1.15,0.08,0.2,22.4,0.0,0.0,0.0,1.6,1.6,0.04,1.4,1.4,71.0,5.45,53.0,13.0,2.0,0.0,3.0,0.0,5.0,0.38,3.0,2.0,0.0,0.0,0.0,0.0,"1,172",78.0,34.3,13.0,15.0,78.0,9.0,0.0,,0.0,2.07,20.0,11.0,9.0,0.69,0.33,15.4,9.6,5.8,0.44,0.17,2.0,1.0,0.0,26.0,34.0,2.0,68.0,5.0,13.0,0.0,0.0,0.0,64.0,4.0,24.0,14.3,,,,
2023-2024,26,Como,itITA,2.Serie B,15.0,"1,172",3.0,2.0,,,,,,,,,15,"1,172",3,2,29.0,"2,332",25.9,4.0,4.0,8.0,4.0,0.0,0.0,4.0,0.0,3.4,3.4,3.5,7.0,63.0,97.0,155.0,0.15,0.15,0.31,0.15,0.31,0.13,0.14,0.27,0.13,0.27,52.0,38.0,19.0,18.0,15.0,20.0,50.0,40.0,30.0,23.0,2.0,21.0,12.0,64.0,23.0,0.0,791.0,1052.0,75.2,12108.0,3131.0,441.0,495.0,89.1,231.0,303.0,76.2,66.0,135.0,48.9,4.0,3.5,3.6,0.5,52.0,62.0,26.0,8.0,97.0,1052.0,946.0,98.0,31.0,6.0,10.0,108.0,6.0,57.0,18.0,20.0,0.0,791.0,8.0,40.0,24.0,187.0,546.0,627.0,79.0,1348.0,78.0,34.0,43.6,32.0,41.0,942.0,4779.0,2280.0,63.0,36.0,27.0,45.0,50.0,1007.0,155.0,4.0,53.0,18.0,34.0,2.05,0.69,0.08,0.22,20.5,2.0,0.0,0.0,3.4,3.4,0.06,0.6,0.6,101.0,3.9,69.0,22.0,2.0,3.0,3.0,2.0,4.0,0.15,4.0,0.0,0.0,0.0,0.0,0.0,"2,332",71.0,76.2,25.9,29.0,78.0,6.0,4.0,19.0,0.0,1.27,32.0,30.0,2.0,0.08,0.82,26.7,23.8,2.9,0.11,0.07,4.0,0.0,0.0,44.0,66.0,1.0,108.0,12.0,38.0,0.0,0.0,0.0,103.0,9.0,22.0,29.0,,,,
2024-2025,27,Como,itITA,1.Serie A,33.0,"2,332",4.0,4.0,1.0,120.0,0.0,1.0,,,,,34,"2,452",4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
