Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2015-2016,17,Palermo,itITA,1.Serie A,9,594,0,0,1.0,16.0,0.0,0.0,,,,,10,610,0,0,7,594,6.6,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,594,66,17.4,6.6,7,,5,2,,16,0.33,2,15,-13,-1.97,-1.52,,,,,,0,0,,4,,,,,,,,,,,,,"€ 712(£ 618, $780)","€ 37,000(£ 32,139, $40,551)",Estimación no verificada,https://fbref.com/es/jugadores/149c5f5d/Giuseppe-Pezzella
2016-2017,18,Palermo,itITA,1.Serie A,10,805,0,0,1.0,89.0,0.0,0.0,,,,,11,894,0,0,9,805,8.9,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,12.0,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5.0,1,20.0,0.56,0.11,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,805,81,23.5,8.9,9,,8,1,,20,0.4,7,21,-14,-1.57,-0.53,,,,,,1,0,0.0,7,9.0,1.0,28.0,10.0,12.0,0.0,0.0,0.0,,,,,"€ 2,500(£ 2,172, $2,740)","€ 130,000(£ 112,921, $142,477)",Estimación no verificada,https://fbref.com/es/jugadores/149c5f5d/Giuseppe-Pezzella
2017-2018,19,Udinese,itITA,1.Serie A,15,903,0,0,3.0,231.0,0.0,0.0,,,,,18,"1,134",0,0,10,903,10.0,0,0,0,0,0,0,3,1,0.2,0.2,0.9,1.1,22.0,33.0,46.0,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.11,0.02,0.11,19.0,11.0,10.0,4.0,5.0,7.0,19.0,36.8,12.0,8.0,1.0,7.0,6.0,25.0,32.0,0.0,329.0,475.0,69.3,5259.0,2266.0,167.0,192.0,87.0,136.0,193.0,70.5,19.0,55.0,34.5,0,0.9,0.9,-0.9,10.0,19.0,13.0,8.0,33.0,475.0,360.0,112.0,4.0,0.0,1.0,44.0,108.0,0.0,0.0,0.0,0.0,329.0,3.0,23.0,23.0,142.0,268.0,178.0,6.0,579.0,19.0,13.0,68.4,6.0,31.6,300.0,1563.0,776.0,22.0,17.0,2.0,9.0,18.0,337.0,46.0,0,7.0,1,14.3,0.7,0.1,0.0,0.0,26.3,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,20.0,1.99,16.0,3.0,1.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,903,60,26.4,10.0,10,,5,5,,21,0.87,13,21,-8,-0.8,-0.55,11.1,13.7,-2.6,-0.26,-0.14,3,1,0.0,14,9.0,1.0,44.0,6.0,11.0,0.0,2.0,0.0,40.0,7.0,10.0,41.2,"€ 14,231(£ 12,361, $15,597)","€ 740,000(£ 642,782, $811,024)",Estimación no verificada,https://fbref.com/es/jugadores/149c5f5d/Giuseppe-Pezzella
2018-2019,20,Genoa,itITA,1.Serie A,5,112,0,0,,,,,,,,,5,112,0,0,1,112,1.2,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,2.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,3.0,4.0,0.0,32.0,43.0,74.4,617.0,335.0,14.0,15.0,93.3,10.0,14.0,71.4,7.0,11.0,63.6,0,0.1,0.1,-0.1,1.0,4.0,2.0,1.0,4.0,43.0,37.0,6.0,1.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,32.0,0.0,1.0,4.0,18.0,21.0,14.0,0.0,53.0,0.0,0.0,,0.0,,25.0,93.0,28.0,0.0,1.0,1.0,0.0,2.0,31.0,6.0,0,1.0,0,0.0,0.8,0.0,0.0,,28.0,0.0,0,0,0.0,0.0,0.02,0.0,0.0,2.0,1.61,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,112,22,3.3,1.2,1,90.0,1,4,6.0,13,1.2,1,4,-3,-2.41,-2.0,1.5,2.8,-1.3,-1.05,-0.91,0,1,0.0,3,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,,"€ 14,231(£ 12,361, $15,597)","€ 740,000(£ 642,782, $811,024)",Estimación no verificada,https://fbref.com/es/jugadores/149c5f5d/Giuseppe-Pezzella
2018-2019,20,Udinese,itITA,1.Serie A,4,184,0,0,1.0,74.0,0.0,0.0,,,,,5,258,0,0,2,184,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,5.0,4.0,4.0,1.0,0.0,2.0,8.0,25.0,6.0,2.0,1.0,1.0,1.0,6.0,9.0,0.0,44.0,69.0,63.8,653.0,368.0,22.0,24.0,91.7,16.0,26.0,61.5,3.0,12.0,25.0,0,0.1,0.1,-0.1,2.0,3.0,1.0,1.0,1.0,69.0,49.0,19.0,2.0,0.0,0.0,4.0,17.0,0.0,0.0,0.0,0.0,44.0,1.0,2.0,9.0,31.0,42.0,15.0,0.0,88.0,1.0,1.0,100.0,0.0,0.0,35.0,224.0,130.0,4.0,3.0,0.0,2.0,1.0,35.0,4.0,0,1.0,0,0.0,0.49,0.0,0.0,,34.0,0.0,0,0,0.0,0.0,0.02,0.0,0.0,3.0,1.47,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184,46,5.4,2.0,2,81.0,1,2,11.0,12,1.75,1,2,-1,-0.49,-0.13,1.6,3.8,-2.2,-1.05,-0.63,1,0,0.0,4,2.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,"€ 14,231(£ 12,361, $15,597)","€ 740,000(£ 642,782, $811,024)",Estimación no verificada,https://fbref.com/es/jugadores/149c5f5d/Giuseppe-Pezzella
2019-2020,21,Udinese,itITA,1.Serie A,1,80,0,0,,,,,,,,,1,80,0,0,1,80,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,33.0,49.0,67.3,567.0,215.0,11.0,15.0,73.3,21.0,26.0,80.8,1.0,4.0,25.0,0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,49.0,41.0,8.0,1.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,33.0,0.0,3.0,2.0,10.0,25.0,19.0,1.0,53.0,1.0,1.0,100.0,0.0,0.0,37.0,282.0,131.0,5.0,3.0,0.0,0.0,1.0,37.0,8.0,0,0.0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,3.0,3.38,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,80,2.3,0.9,1,80.0,0,0,,0,3.0,1,0,1,1.13,1.53,0.7,0.6,0.1,0.14,0.46,0,0,0.0,0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0,"€ 12,500(£ 10,858, $13,700)","€ 650,000(£ 564,606, $712,386)",,https://fbref.com/es/jugadores/149c5f5d/Giuseppe-Pezzella
2019-2020,21,Parma,itITA,1.Serie A,22,949,0,0,2.0,180.0,0.0,0.0,,,,,24,"1,129",0,0,8,949,10.5,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.2,31.0,29.0,41.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02,20.0,12.0,17.0,3.0,0.0,11.0,19.0,57.9,8.0,13.0,9.0,4.0,6.0,26.0,30.0,0.0,357.0,484.0,73.8,6027.0,1867.0,192.0,215.0,89.3,116.0,168.0,69.0,46.0,81.0,56.8,0,0.2,0.4,-0.2,3.0,28.0,8.0,3.0,29.0,484.0,379.0,103.0,6.0,0.0,0.0,33.0,97.0,0.0,0.0,0.0,0.0,357.0,2.0,13.0,39.0,192.0,264.0,151.0,7.0,600.0,23.0,12.0,52.2,11.0,47.8,319.0,2078.0,1176.0,31.0,27.0,1.0,12.0,7.0,329.0,41.0,0,2.0,1,50.0,0.19,0.09,0.0,0.0,24.5,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,19.0,1.79,15.0,2.0,0.0,0.0,2.0,0.0,1.0,0.09,0.0,1.0,0.0,0.0,0.0,0.0,949,43,27.7,10.5,8,85.0,6,14,19.0,14,1.14,14,20,-6,-0.57,-0.75,13.1,19.7,-6.6,-0.62,-0.29,2,0,0.0,17,15.0,0.0,33.0,6.0,12.0,0.0,0.0,0.0,44.0,9.0,11.0,45.0,"€ 15,962(£ 13,865, $17,494)","€ 830,000(£ 720,958, $909,662)",,https://fbref.com/es/jugadores/149c5f5d/Giuseppe-Pezzella
2020-2021,22,Parma,itITA,1.Serie A,24,"1,828",1,4,,,,,,,,,24,"1,828",1,4,21,"1,828",20.3,1,4,5,1,0,0,7,0,0.2,0.2,3.2,3.4,58.0,69.0,114.0,0.05,0.2,0.25,0.05,0.25,0.01,0.16,0.17,0.01,0.17,34.0,19.0,23.0,9.0,2.0,22.0,41.0,53.7,19.0,22.0,9.0,13.0,12.0,46.0,52.0,3.0,766.0,997.0,76.8,13448.0,3870.0,352.0,403.0,87.3,309.0,383.0,80.7,85.0,150.0,56.7,4,3.2,2.9,0.8,19.0,57.0,24.0,13.0,69.0,997.0,849.0,140.0,14.0,0.0,4.0,92.0,121.0,5.0,3.0,1.0,0.0,766.0,8.0,26.0,87.0,372.0,518.0,314.0,25.0,1188.0,49.0,35.0,71.4,14.0,28.6,650.0,3963.0,2250.0,58.0,45.0,8.0,18.0,24.0,721.0,114.0,1,7.0,2,28.6,0.34,0.1,0.14,0.5,24.6,0.0,0,0,0.2,0.2,0.03,0.8,0.8,29.0,1.43,25.0,1.0,1.0,0.0,1.0,1.0,7.0,0.34,6.0,0.0,0.0,0.0,1.0,0.0,"1,828",76,53.5,20.3,21,82.0,11,3,35.0,3,0.58,27,37,-10,-0.49,1.43,24.3,30.6,-6.3,-0.31,0.38,7,0,0.0,24,25.0,0.0,92.0,12.0,19.0,0.0,0.0,0.0,121.0,20.0,10.0,66.7,"€ 12,500(£ 10,858, $13,700)","€ 650,000(£ 564,606, $712,386)",,https://fbref.com/es/jugadores/149c5f5d/Giuseppe-Pezzella
2021-2022,23,Atalanta,itITA,1.Serie A,21,"1,072",0,2,1.0,72.0,0.0,0.0,7.0,170.0,0.0,0.0,29,"1,314",0,2,10,"1,072",11.9,0,2,2,0,0,0,3,0,0.6,0.6,0.9,1.5,35.0,46.0,80.0,0.0,0.17,0.17,0.0,0.17,0.05,0.07,0.13,0.05,0.13,28.0,13.0,15.0,7.0,6.0,8.0,18.0,44.4,10.0,13.0,5.0,8.0,9.0,37.0,16.0,0.0,508.0,658.0,77.2,7346.0,2203.0,315.0,352.0,89.5,145.0,183.0,79.2,32.0,68.0,47.1,2,0.9,0.8,1.1,9.0,30.0,7.0,3.0,46.0,658.0,541.0,112.0,4.0,0.0,0.0,37.0,108.0,0.0,0.0,0.0,0.0,508.0,5.0,23.0,22.0,169.0,348.0,285.0,23.0,788.0,19.0,8.0,42.1,11.0,57.9,443.0,2351.0,1237.0,35.0,29.0,7.0,18.0,12.0,495.0,80.0,0,9.0,1,11.1,0.76,0.08,0.0,0.0,16.6,0.0,0,0,0.6,0.6,0.07,-0.6,-0.6,13.0,1.09,10.0,2.0,0.0,1.0,0.0,0.0,2.0,0.17,1.0,0.0,0.0,1.0,0.0,0.0,"1,072",51,31.3,11.9,10,81.0,5,11,24.0,11,1.71,18,12,6,0.5,0.08,15.0,13.5,1.5,0.13,-0.47,3,0,0.0,19,30.0,2.0,37.0,9.0,13.0,0.0,0.0,0.0,82.0,14.0,14.0,50.0,"€ 12,500(£ 10,754, $13,668)","€ 650,000(£ 559,202, $710,749)",,https://fbref.com/es/jugadores/149c5f5d/Giuseppe-Pezzella
2022-2023,24,Lecce,itITA,1.Serie A,16,918,0,1,,,,,,,,,16,918,0,1,10,918,10.2,0,1,1,0,0,0,2,0,0.1,0.1,0.6,0.7,28.0,65.0,48.0,0.0,0.1,0.1,0.0,0.1,0.01,0.05,0.07,0.01,0.07,21.0,9.0,16.0,2.0,3.0,9.0,16.0,56.3,7.0,11.0,3.0,8.0,8.0,29.0,31.0,1.0,419.0,534.0,78.5,6752.0,2619.0,209.0,238.0,87.8,176.0,215.0,81.9,25.0,55.0,45.5,1,0.6,0.3,0.4,7.0,44.0,10.0,4.0,65.0,534.0,410.0,123.0,13.0,0.0,3.0,34.0,109.0,1.0,0.0,1.0,0.0,419.0,1.0,16.0,41.0,217.0,253.0,185.0,11.0,649.0,19.0,7.0,36.8,9.0,47.4,320.0,2060.0,1151.0,28.0,16.0,3.0,12.0,11.0,334.0,48.0,0,4.0,0,0.0,0.39,0.0,0.0,,20.7,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,17.0,1.66,14.0,2.0,0.0,0.0,1.0,0.0,3.0,0.29,3.0,0.0,0.0,0.0,0.0,0.0,918,57,26.8,10.2,10,80.0,5,6,20.0,18,0.75,10,18,-8,-0.78,-0.6,10.3,14.7,-4.3,-0.42,-0.36,2,0,0.0,16,11.0,1.0,34.0,8.0,9.0,0.0,0.0,0.0,49.0,11.0,8.0,57.9,"€ 15,962(£ 13,485, $17,153)","€ 830,000(£ 701,208, $891,955)",Estimación no verificada,https://fbref.com/es/jugadores/149c5f5d/Giuseppe-Pezzella
