Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2017-2018,18,Fiorentina,itITA,1.Serie A,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,19.0,18.0,7.0,3.0,14.0,29.0,48.3,15.0,23.0,13.0,10.0,37.0,65.0,125.0,0.0,1190.0,1490.0,79.9,21759.0,8767.0,512.0,568.0,90.1,531.0,642.0,82.7,127.0,228.0,55.7,0.0,0.4,1.0,-0.4,8.0,110.0,11.0,10.0,117.0,1490.0,1320.0,160.0,64.0,1.0,17.0,35.0,96.0,0.0,0.0,0.0,0.0,1190.0,10.0,15.0,139.0,696.0,914.0,171.0,20.0,1763.0,19.0,9.0,47.4,10.0,52.6,885.0,4681.0,3070.0,51.0,30.0,2.0,18.0,10.0,1074.0,44.0,0.0,12.0,1.0,8.3,0.46,0.04,0.0,0.0,17.5,0.0,0.0,0.0,0.6,0.6,0.05,-0.6,-0.6,30.0,1.15,24.0,1.0,1.0,1.0,3.0,0.0,2.0,0.08,1.0,0.0,0.0,0.0,1.0,0.0,,,,,0,,0,0,,3,,,,,,,,,,,,7.0,0.0,0.0,10.0,23.0,0.0,35.0,37.0,19.0,2.0,0.0,0.0,140.0,48.0,30.0,61.5,"€ 712(£ 618, $780)","€ 37,000(£ 32,139, $40,551)",Estimación no verificada,https://fbref.com/es/jugadores/8c63fae5/Luca-Ranieri
2018-2019,19,Foggia,itITA,2.Serie B,29.0,"2,341",0.0,0.0,,,,,,,,,29.0,"2,341",0,0,26,"2,341",26.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.6,0.6,0.4,1.0,51.0,117.0,44.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04,2.0,2.0,2.0,0.0,0.0,2.0,3.0,66.7,1.0,1.0,0.0,1.0,2.0,4.0,7.0,0.0,134.0,166.0,80.7,2571.0,1185.0,42.0,47.0,89.4,81.0,90.0,90.0,11.0,24.0,45.8,0.0,0.3,0.7,-0.3,5.0,14.0,1.0,1.0,14.0,166.0,153.0,13.0,6.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,134.0,0.0,1.0,9.0,64.0,98.0,23.0,4.0,185.0,5.0,4.0,80.0,1.0,20.0,109.0,571.0,413.0,5.0,2.0,1.0,1.0,0.0,119.0,3.0,0.0,3.0,0.0,0.0,1.16,0.0,0.0,,19.0,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1,8.0,3.12,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,341",81.0,72.3,26.0,26,88.0,22,3,20.0,6,1.24,29.0,31.0,-2.0,-0.08,0.22,32.4,36.6,-4.2,-0.16,-0.03,2.0,1.0,1.0,5.0,1.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,14.0,7.0,5.0,58.3,"€ 5,385(£ 4,677, $5,901)","€ 280,000(£ 243,215, $306,874)",,https://fbref.com/es/jugadores/8c63fae5/Luca-Ranieri
2019-2020,20,Fiorentina,itITA,1.Serie A,3.0,232,0.0,0.0,2.0,180.0,0.0,0.0,,,,,5.0,412,0,0,2,232,2.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.3,0.5,5.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.13,0.19,0.05,0.19,19.0,13.0,14.0,5.0,0.0,9.0,12.0,75.0,3.0,14.0,10.0,4.0,16.0,35.0,61.0,2.0,277.0,353.0,78.5,5096.0,2246.0,106.0,118.0,89.8,147.0,172.0,85.5,23.0,52.0,44.2,0.0,0.1,0.1,-0.1,3.0,26.0,1.0,0.0,32.0,353.0,315.0,33.0,29.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,277.0,5.0,4.0,86.0,229.0,224.0,31.0,5.0,476.0,7.0,5.0,71.4,2.0,28.6,224.0,1691.0,1068.0,18.0,6.0,1.0,4.0,0.0,230.0,4.0,0.0,3.0,0.0,0.0,0.32,0.0,0.0,,10.5,0.0,0.0,0.0,0.3,0.3,0.1,-0.3,-0.3,11.0,1.16,10.0,0.0,0.0,0.0,0.0,1.0,3.0,0.32,3.0,0.0,0.0,0.0,0.0,0.0,232,77.0,6.8,2.6,2,90.0,2,1,52.0,17,0.33,2.0,4.0,-2.0,-0.78,-0.92,3.5,3.2,0.3,0.12,0.0,4.0,0.0,0.0,8.0,9.0,1.0,2.0,16.0,13.0,0.0,0.0,0.0,38.0,23.0,19.0,54.8,"€ 21,346(£ 18,542, $23,395)","€ 1,110,000(£ 964,173, $1,216,536)",,https://fbref.com/es/jugadores/8c63fae5/Luca-Ranieri
2019-2020,20,Ascoli,itITA,2.Serie B,10.0,857,0.0,0.0,,,,,,,,,10.0,857,0,0,9,857,9.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.1,0.4,18.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,21.0,14.0,12.0,8.0,1.0,11.0,17.0,64.7,6.0,26.0,12.0,14.0,30.0,51.0,71.0,1.0,969.0,1232.0,78.7,18756.0,8383.0,349.0,391.0,89.3,499.0,593.0,84.1,111.0,216.0,51.4,1.0,0.5,1.0,0.5,6.0,133.0,13.0,1.0,131.0,1232.0,1150.0,78.0,53.0,0.0,10.0,21.0,25.0,0.0,0.0,0.0,0.0,969.0,4.0,12.0,113.0,619.0,685.0,123.0,12.0,1416.0,13.0,8.0,61.5,5.0,38.5,842.0,4096.0,2670.0,36.0,21.0,1.0,5.0,2.0,883.0,16.0,0.0,6.0,4.0,66.7,0.26,0.17,0.0,0.0,10.8,0.0,0.0,0.0,0.5,0.5,0.08,-0.5,-0.5,29.0,1.23,24.0,0.0,1.0,2.0,2.0,0.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0,857,86.0,25.1,9.5,9,89.0,7,1,60.0,2,1.7,14.0,10.0,4.0,0.42,0.84,12.1,13.6,-1.5,-0.15,0.33,3.0,0.0,0.0,20.0,14.0,0.0,21.0,30.0,14.0,0.0,0.0,0.0,127.0,33.0,31.0,51.6,"€ 21,346(£ 18,364, $23,341)","€ 1,110,000(£ 954,944, $1,213,741)",,https://fbref.com/es/jugadores/8c63fae5/Luca-Ranieri
2020-2021,21,SPAL,itITA,2.Serie B,25.0,"2,115",0.0,1.0,4.0,308.0,0.0,0.0,,,,,29.0,"2,423",0,1,23,"2,115",23.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.5,1.0,36.0,131.0,16.0,0.0,0.04,0.04,0.0,0.04,0.02,0.02,0.04,0.02,0.04,38.0,21.0,23.0,11.0,4.0,19.0,33.0,57.6,14.0,18.0,8.0,10.0,22.0,60.0,67.0,0.0,698.0,993.0,70.3,11546.0,5442.0,339.0,396.0,85.6,280.0,401.0,69.8,58.0,123.0,47.2,0.0,1.0,1.0,-1.0,11.0,56.0,17.0,14.0,76.0,993.0,789.0,199.0,27.0,0.0,1.0,66.0,171.0,1.0,0.0,1.0,0.0,698.0,5.0,32.0,94.0,374.0,575.0,275.0,22.0,1214.0,36.0,17.0,47.2,19.0,52.8,564.0,2654.0,1488.0,37.0,22.0,1.0,21.0,10.0,644.0,69.0,1.0,9.0,4.0,44.4,0.39,0.17,0.11,0.25,16.6,0.0,0.0,0.0,0.6,0.6,0.07,0.4,0.4,26.0,1.11,23.0,2.0,0.0,1.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,"2,115",85.0,61.8,23.5,23,88.0,17,2,43.0,6,1.56,25.0,24.0,1.0,0.04,-0.03,25.3,30.0,-4.7,-0.2,-0.07,9.0,0.0,0.0,16.0,10.0,2.0,66.0,22.0,21.0,0.0,0.0,0.0,103.0,18.0,16.0,52.9,"€ 32,115(£ 27,132, $34,513)","€ 1,670,000(£ 1,410,865, $1,794,657)",Estimación no verificada,https://fbref.com/es/jugadores/8c63fae5/Luca-Ranieri
2021-2022,22,Salernitana,itITA,1.Serie A,27.0,"2,103",1.0,0.0,,,,,,,,,27.0,"2,103",1,0,25,"2,103",23.4,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.6,0.6,1.0,1.6,37.0,76.0,69.0,0.04,0.0,0.04,0.04,0.04,0.03,0.04,0.07,0.03,0.07,9.0,4.0,6.0,3.0,0.0,6.0,9.0,66.7,3.0,5.0,3.0,2.0,11.0,20.0,15.0,1.0,278.0,334.0,83.2,5363.0,1832.0,96.0,105.0,91.4,143.0,158.0,90.5,37.0,62.0,59.7,0.0,0.1,0.1,-0.1,2.0,18.0,0.0,0.0,11.0,334.0,322.0,10.0,5.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,278.0,2.0,3.0,33.0,192.0,179.0,15.0,3.0,381.0,2.0,1.0,50.0,1.0,50.0,208.0,944.0,485.0,4.0,2.0,0.0,4.0,1.0,258.0,0.0,0.0,1.0,0.0,0.0,0.18,0.0,0.0,,5.9,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1,4.0,0.71,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,103",78.0,61.5,23.4,25,81.0,10,2,34.0,2,0.81,20.0,47.0,-27.0,-1.16,0.07,17.7,36.0,-18.3,-0.78,-0.07,1.0,0.0,0.0,6.0,2.0,2.0,0.0,11.0,4.0,0.0,0.0,0.0,30.0,11.0,13.0,45.8,"€ 42,692(£ 36,698, $48,486)","€ 2,220,000(£ 1,908,276, $2,521,280)",Estimación no verificada,https://fbref.com/es/jugadores/8c63fae5/Luca-Ranieri
2021-2022,22,Fiorentina,itITA,1.Serie A,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,10.0,11.0,1.0,2.0,8.0,13.0,61.5,5.0,25.0,11.0,14.0,29.0,43.0,64.0,0.0,1142.0,1362.0,83.8,23351.0,8689.0,350.0,385.0,90.9,617.0,682.0,90.5,165.0,265.0,62.3,1.0,0.4,0.7,0.6,7.0,95.0,11.0,2.0,99.0,1362.0,1289.0,69.0,51.0,0.0,5.0,13.0,16.0,0.0,0.0,0.0,0.0,1142.0,4.0,8.0,120.0,683.0,775.0,89.0,16.0,1538.0,13.0,4.0,30.8,8.0,61.5,937.0,4601.0,2808.0,17.0,22.0,0.0,13.0,0.0,1013.0,5.0,2.0,10.0,3.0,30.0,0.44,0.13,0.2,0.67,8.8,0.0,0.0,0.0,0.9,0.9,0.09,1.1,1.1,22.0,0.96,19.0,1.0,0.0,2.0,0.0,0.0,2.0,0.09,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0,,0,0,,1,,,,,,,,,,,,14.0,0.0,0.0,32.0,11.0,1.0,13.0,29.0,10.0,0.0,0.0,0.0,99.0,40.0,38.0,51.3,"€ 42,692(£ 36,698, $48,486)","€ 2,220,000(£ 1,908,276, $2,521,280)",Estimación no verificada,https://fbref.com/es/jugadores/8c63fae5/Luca-Ranieri
2022-2023,23,Fiorentina,itITA,1.Serie A,9.0,508,0.0,0.0,3.0,138.0,0.0,1.0,7.0,598.0,0.0,0.0,19.0,"1,244",0,1,5,508,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,37.0,21.0,26.0,9.0,2.0,18.0,22.0,81.8,4.0,43.0,31.0,12.0,25.0,62.0,142.0,1.0,1393.0,1624.0,85.8,26385.0,9556.0,513.0,547.0,93.8,705.0,757.0,93.1,155.0,267.0,58.1,2.0,1.5,1.3,0.5,12.0,72.0,10.0,4.0,73.0,1624.0,1510.0,100.0,66.0,0.0,8.0,8.0,7.0,0.0,0.0,0.0,0.0,1393.0,14.0,12.0,249.0,989.0,884.0,61.0,13.0,1922.0,18.0,9.0,50.0,8.0,44.4,1124.0,5389.0,2749.0,21.0,17.0,2.0,9.0,3.0,1269.0,9.0,1.0,9.0,3.0,33.3,0.29,0.1,0.11,0.33,17.0,0.0,0.0,0.0,0.9,0.9,0.12,0.1,0.1,21.0,0.68,17.0,0.0,2.0,2.0,0.0,0.0,4.0,0.13,4.0,0.0,0.0,0.0,0.0,0.0,508,56.0,14.9,5.6,5,89.0,4,4,16.0,27,2.0,14.0,5.0,9.0,1.59,1.56,8.6,5.0,3.6,0.63,0.38,5.0,0.0,0.0,22.0,19.0,1.0,8.0,25.0,21.0,0.0,1.0,0.0,84.0,44.0,52.0,45.8,"€ 42,692(£ 36,698, $48,486)","€ 2,220,000(£ 1,908,276, $2,521,280)",Estimación no verificada,https://fbref.com/es/jugadores/8c63fae5/Luca-Ranieri
2023-2024,24,Fiorentina,itITA,1.Serie A,26.0,"2,065",2.0,1.0,4.0,375.0,0.0,0.0,11.0,857.0,3.0,1.0,41.0,"3,297",5,2,23,"2,065",22.9,2.0,1.0,3.0,2.0,0.0,0.0,14.0,0.0,0.9,0.9,0.4,1.3,17.0,99.0,5.0,0.09,0.04,0.13,0.09,0.13,0.04,0.02,0.06,0.04,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,065",79.0,60.4,22.9,23,87.0,19,3,22.0,10,1.69,38.0,28.0,10.0,0.44,0.1,32.5,29.9,2.5,0.11,0.04,,,,,,,,,,,,,,,,,"€ 42,692(£ 36,698, $48,486)","€ 2,220,000(£ 1,908,276, $2,521,280)",Estimación no verificada,https://fbref.com/es/jugadores/8c63fae5/Luca-Ranieri
2024-2025,25,Fiorentina,itITA,1.Serie A,33.0,"2,801",1.0,2.0,1.0,120.0,0.0,0.0,7.0,472.0,1.0,1.0,41.0,"3,393",2,3,32,"2,801",31.1,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.9,0.9,1.5,2.4,21.0,73.0,9.0,0.03,0.06,0.1,0.03,0.1,0.03,0.05,0.08,0.03,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,801",85.0,91.5,31.1,32,86.0,25,1,45.0,0,1.76,51.0,30.0,21.0,0.67,1.37,40.2,31.3,8.9,0.29,1.34,,,,,,,,,,,,,,,,,,,,
