Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Partidos,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Tkl,Tkl(Derribos),3.º def.,3.º cent.,3.º ataq.,Tkl(Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),xA,A-xAG,PC,1/3,PPA,CrAP,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,npxG/Sh,G-xG,np:G-xG,Toques,Ataq. pen.,Succ,Exitosa%,Tkld,Tkld%,Transportes,TAP,Errores de control,Des,Rec,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,% Salvadas_penales,TL,TE,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),TI,%deLanzamientos,Long. prom.,%deLanzamientos (Saques de meta),Long. prom. (Saques de meta),Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera (expected),2a amarilla,Fls,FR,TklG,Penal ejecutado,Penal concedido,Recup.,% de ganados,link
Morten Frendrup,dkDEN,CC,24-022,32,32,"2,833",31.5,2,0,2,2,0,0,5,0,1.5,1.5,0.8,2.3,21,98,27,0.06,0.00,0.06,0.06,0.06,0.05,0.03,0.07,0.05,0.07,Partidos,48,1.52,41,0,0,0,3,4,3,0.10,3,0,0,0,0,0,99,59,22,50,27,33,72,45.8,39,57,15,42,44,143,53,0,973,1145,85.0,14741,2966,511,564,90.6,386,438,88.1,38,63,60.3,0.7,-0.8,12,71,11,0,1106,33,22,3,3,3,10,0,0,0,0,6,9,33.3,0.86,0.29,0.07,0.22,22.0,0.05,+0.5,+0.5,1519,17,10,41.7,11,45.8,664,3,39,24,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,92.6,89,28,0,,0,1.19,26,35,-9,-0.29,+0.90,32.4,36.3,-3.9,-0.12,+1.46,0,48,31,59,0,0,171,43.8,/es/jugadores/f4d60499/Morten-Frendrup
Aarón Martín,esESP,DF,28-007,32,32,"2,783",30.9,0,4,4,0,0,0,5,0,0.9,0.9,4.9,5.8,47,84,103,0.00,0.13,0.13,0.00,0.13,0.03,0.16,0.19,0.03,0.19,Partidos,85,2.75,37,43,2,1,2,0,8,0.26,4,4,0,0,0,0,68,45,40,24,4,31,47,66.0,16,31,10,21,18,86,65,1,1105,1532,72.1,20578,7867,445,500,89.0,504,642,78.5,138,331,41.7,5.4,-0.9,57,73,25,17,1116,411,85,0,2,233,235,91,41,47,0,5,4,26.7,0.49,0.13,0.00,0.00,24.0,0.06,-0.9,-0.9,1780,19,12,46.2,12,46.2,785,4,21,17,942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,90.9,87,27,0,,1,1.22,26,37,-11,-0.36,-0.03,31.3,37.2,-5.9,-0.19,+0.44,0,33,25,45,0,1,129,38.8,/es/jugadores/2f3e911a/Aaron-Martin
Johan Vásquez,mxMEX,DF,26-189,33,31,"2,827",31.4,2,0,2,2,0,0,8,0,2.3,2.3,0.3,2.6,33,92,12,0.06,0.00,0.06,0.06,0.06,0.07,0.01,0.08,0.07,0.08,Partidos,24,0.76,18,1,0,3,1,1,0,0.00,0,0,0,0,0,0,49,26,22,23,4,21,37,56.8,16,55,27,28,44,93,142,1,1401,1649,85.0,26842,8518,433,485,89.3,840,898,93.5,114,217,52.5,0.4,-0.3,7,74,6,2,1556,91,66,0,4,6,6,0,0,0,0,2,6,18.2,1.05,0.19,0.06,0.33,16.4,0.07,-0.3,-0.3,2045,44,5,71.4,2,28.6,1107,2,22,5,1293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,92.4,90,30,2,23,0,1.15,26,39,-13,-0.41,-0.80,31.0,38.2,-7.3,-0.23,0.00,0,30,25,26,1,1,115,54.9,/es/jugadores/5eaed77a/Johan-Vasquez
Andrea Pinamonti,itITA,DL,25-345,33,30,"2,594",28.8,8,1,9,8,0,1,4,0,7.3,6.5,1.6,8.1,18,39,126,0.28,0.03,0.31,0.28,0.31,0.25,0.06,0.31,0.23,0.28,Partidos,42,1.46,30,1,0,9,2,0,4,0.14,2,0,0,2,0,0,9,5,0,7,2,1,6,16.7,5,14,4,10,1,10,26,2,371,596,62.2,5316,888,201,278,72.3,124,195,63.6,19,35,54.3,1.2,-0.6,13,20,7,2,547,45,1,4,2,15,1,0,0,0,0,4,26,36.1,2.50,0.90,0.11,0.31,16.4,0.09,+0.7,+1.5,862,109,11,47.8,12,52.2,430,10,64,33,635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,84.8,83,18,3,35,0,1.15,23,33,-10,-0.35,+0.04,25.2,34.5,-9.3,-0.32,-0.59,0,19,38,5,0,0,51,44.0,/es/jugadores/08aa9cd1/Andrea-Pinamonti
Nicola Leali,itITA,PO,32-071,27,27,"2,430",27.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos,2,0.07,2,0,0,0,0,0,1,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,14,1,613,864,70.9,17166,12082,115,116,99.1,302,305,99.0,196,440,44.5,0.0,0.0,0,7,0,0,579,283,83,0,1,0,0,0,0,0,0,2,0,,0.00,0.00,,,,,0.0,0.0,923,0,0,,0,,480,0,0,0,399,26.0,0.96,100.0,75.0,77.0,8.0,10.0,9.0,10.0,37.0,3.0,3.0,3.0,3.0,25.0,0.0,4.0,30.8,0.28,6.8,0.25,662.0,107.0,38.8,33.7,50.5,41.5,376.0,21.0,5.6,14.0,0.52,11.1,90,79.4,90,27,0,,7,1.26,24,26,-2,-0.07,+1.35,26.8,27.9,-1.1,-0.04,+0.92,0,1,6,0,0,0,28,100.0,/es/jugadores/5f9970a0/Nicola-Leali
Fabio Miretti,itITA,"CC,DL",21-269,25,22,"1,677",18.6,3,3,6,3,0,0,2,0,3.1,3.1,2.0,5.1,33,54,100,0.16,0.16,0.32,0.16,0.32,0.17,0.11,0.27,0.17,0.27,Partidos,53,2.84,29,11,4,5,4,0,6,0.32,4,2,0,0,0,0,28,15,6,14,8,18,33,54.5,15,20,1,19,7,35,13,2,422,567,74.4,7280,2006,206,234,88.0,155,189,82.0,43,97,44.3,2.1,+1.0,22,24,13,2,494,67,20,5,8,61,7,33,7,22,0,6,6,25.0,1.29,0.32,0.13,0.50,17.4,0.13,-0.1,-0.1,847,56,25,34.2,38,52.1,461,14,63,36,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,54.8,72,2,3,31,2,1.12,15,23,-8,-0.43,-0.17,17.2,19.8,-2.7,-0.14,+0.19,0,23,53,15,0,0,85,32.4,/es/jugadores/34693494/Fabio-Miretti
Koni De Winter,beBEL,DF,22-321,22,21,"1,899",21.1,3,0,3,3,0,0,6,0,1.7,1.7,0.2,1.9,8,52,9,0.14,0.00,0.14,0.14,0.14,0.08,0.01,0.09,0.08,0.09,Partidos,14,0.66,10,2,0,0,1,1,1,0.05,1,0,0,0,0,0,30,18,19,8,3,15,22,68.2,7,10,6,4,21,51,105,3,1000,1157,86.4,18075,6176,359,400,89.8,551,598,92.1,69,113,61.1,0.2,-0.2,3,36,3,2,1069,85,44,0,2,4,39,0,0,0,0,3,7,58.3,0.57,0.33,0.25,0.43,9.2,0.14,+1.3,+1.3,1391,30,5,38.5,8,61.5,717,0,14,8,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,62.1,90,21,1,9,1,1.23,17,27,-10,-0.47,-0.32,21.6,26.6,-5.0,-0.24,-0.01,0,36,14,18,0,2,98,68.6,/es/jugadores/f4797849/Koni-De-Winter
Morten Thorsby,noNOR,CC,28-359,28,21,"1,813",20.1,0,1,1,0,0,0,5,0,2.8,2.8,2.0,4.8,23,58,70,0.00,0.05,0.05,0.00,0.05,0.14,0.10,0.24,0.14,0.24,Partidos,53,2.63,46,0,0,4,2,1,2,0.10,2,0,0,0,0,0,45,30,18,17,10,14,26,53.8,12,21,1,20,5,50,28,0,339,506,67.0,4470,1684,206,273,75.5,94,144,65.3,12,17,70.6,1.2,-1.0,25,45,10,1,504,0,0,3,0,9,0,0,0,0,0,2,5,35.7,0.69,0.25,0.00,0.00,12.1,0.20,-2.8,-2.8,720,61,9,40.9,13,59.1,281,6,44,27,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,59.2,80,8,7,19,1,1.11,17,25,-8,-0.40,-0.11,21.8,26.3,-4.5,-0.22,+0.02,0,50,14,30,0,2,49,51.3,/es/jugadores/d1b49282/Morten-Thorsby
Stefano Sabelli,itITA,DF,32-106,30,20,"1,843",20.5,0,1,1,0,0,0,3,0,0.1,0.1,1.5,1.6,33,80,39,0.00,0.05,0.05,0.00,0.05,0.01,0.07,0.08,0.01,0.08,Partidos,32,1.56,29,2,0,0,1,0,1,0.05,1,0,0,0,0,0,55,29,26,24,5,19,46,41.3,27,28,7,21,20,75,59,0,734,1076,68.2,13966,6844,282,318,88.7,356,478,74.5,82,218,37.6,1.4,-0.5,15,73,28,12,836,233,26,2,4,57,204,3,0,2,0,7,0,0.0,0.24,0.00,0.00,,21.5,0.03,-0.1,-0.1,1284,10,3,25.0,5,41.7,559,1,20,3,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,60.2,79,10,10,26,4,1.13,22,21,+1,+0.05,+1.01,22.4,22.1,+0.3,+0.02,+0.62,0,25,19,29,0,0,81,35.0,/es/jugadores/0ccac09c/Stefano-Sabelli
Milan Badelj,hrCRO,CC,36-063,22,20,"1,406",15.6,1,0,1,1,0,0,2,0,1.0,1.0,1.1,2.1,7,81,14,0.06,0.00,0.06,0.06,0.06,0.06,0.07,0.13,0.06,0.13,Partidos,25,1.60,19,0,0,4,2,0,1,0.06,0,0,0,1,0,0,28,15,14,9,5,15,35,42.9,20,18,6,12,18,46,42,0,652,802,81.3,11283,3747,291,338,86.1,286,317,90.2,58,110,52.7,0.9,-1.1,12,71,10,0,763,34,28,4,7,5,3,2,0,0,0,5,2,14.3,0.90,0.13,0.07,0.50,21.0,0.07,0.0,0.0,973,13,9,47.4,8,42.1,470,1,19,11,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,45.9,68,4,2,19,8,1.14,11,15,-4,-0.26,+0.18,14.8,18.9,-4.0,-0.26,-0.05,0,17,17,15,0,0,70,62.5,/es/jugadores/e8c930bb/Milan-Badelj
