Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,18,Sparta R'dam,nlNED,2.Eerste Divisie,3,105,0,0,,,,,,,,,3,105,0,0,0,105,1.2,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,105,35,3.1,1.2,0,,0,3,,10,1.0,1,1,0,0.0,-0.71,,,,,,0,0,,,,,,,,,,,,,,,"€ 61,731(£ 53,621, $67,656)","€ 3,210,000(£ 2,788,285, $3,518,090)",,https://fbref.com/es/jugadores/481c9ece/Denzel-Dumfries
2015-2016,19,Sparta R'dam,nlNED,2.Eerste Divisie,31,"2,658",1,1,,,,,,,,,31,"2,658",1,1,30,"2,658",29.5,1,1,2,1,0,0,9,0,,,,,,,,0.03,0.03,0.07,0.03,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,0.07,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,658",86,82.0,29.5,30,,27,1,,4,2.19,66,32,34,1.15,-0.24,,,,,,9,0,,,,,,,,,,,,,,,"€ 61,731(£ 53,108, $67,500)","€ 3,210,000(£ 2,761,596, $3,510,009)",,https://fbref.com/es/jugadores/481c9ece/Denzel-Dumfries
2016-2017,20,Sparta R'dam,nlNED,1.Eredivisie,31,"2,644",1,1,,,,,,,,,31,"2,644",1,1,30,"2,644",29.4,1,1,2,1,0,0,9,2,,,,,,,,0.03,0.03,0.07,0.03,0.07,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,2,,0.0,0.07,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,644",85,86.4,29.4,30,,26,1,,1,1.0,32,51,-19,-0.65,-0.65,,,,,,9,2,1.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 61,731(£ 52,152, $66,339)","€ 3,210,000(£ 2,711,901, $3,449,609)",,https://fbref.com/es/jugadores/481c9ece/Denzel-Dumfries
2017-2018,21,Heerenveen,nlNED,1.Eredivisie,33,"2,940",3,7,,,,,,,,,33,"2,940",3,7,33,"2,940",32.7,3,7,10,3,0,0,7,0,,,,,,,,0.09,0.21,0.31,0.09,0.31,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,7,,0.0,0.21,,0.43,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,940",89,96.1,32.7,33,,31,0,,0,1.4,48,52,-4,-0.12,0.63,,,,,,7,0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,"€ 98,654(£ 84,801, $112,042)","€ 5,130,000(£ 4,409,666, $5,826,202)",,https://fbref.com/es/jugadores/481c9ece/Denzel-Dumfries
2018-2019,22,PSV Eindhoven,nlNED,1.Eredivisie,34,"2,981",4,6,,,,,6.0,540.0,0.0,0.0,40,"3,521",4,6,34,"2,981",33.1,4,6,10,4,0,0,4,0,7.0,7.0,6.0,13.0,139.0,183.0,181.0,0.12,0.18,0.3,0.12,0.3,0.21,0.18,0.39,0.21,0.39,71.0,40.0,35.0,28.0,8.0,27.0,52.0,51.9,25.0,31.0,8.0,23.0,43.0,114.0,81.0,0.0,1630.0,2056.0,79.3,24708.0,8964.0,910.0,1015.0,89.7,592.0,741.0,79.9,74.0,178.0,41.6,6,6.0,6.2,0.0,26.0,121.0,24.0,6.0,183.0,2056.0,1705.0,346.0,31.0,2.0,11.0,59.0,315.0,0.0,0.0,0.0,0.0,1630.0,5.0,47.0,97.0,491.0,1324.0,744.0,126.0,2522.0,77.0,42.0,54.5,35.0,45.5,1391.0,7977.0,4669.0,139.0,68.0,33.0,60.0,33.0,1471.0,181.0,4,45.0,12,26.7,1.36,0.36,0.09,0.33,12.4,0.0,0,0,7.0,7.0,0.16,-3.0,-3.0,68.0,2.05,44.0,4.0,8.0,6.0,6.0,0.0,12.0,0.36,8.0,0.0,3.0,0.0,1.0,0.0,"2,981",88,97.4,33.1,34,88.0,30,0,,0,2.44,93,26,67,2.02,-3.67,86.0,25.3,60.7,1.83,-2.65,4,0,0.0,69.0,44.0,5.0,59.0,43.0,40.0,1.0,0.0,0.0,220.0,103.0,25.0,80.5,"€ 98,654(£ 84,801, $112,042)","€ 5,130,000(£ 4,409,666, $5,826,202)",,https://fbref.com/es/jugadores/481c9ece/Denzel-Dumfries
2019-2020,23,PSV Eindhoven,nlNED,1.Eredivisie,25,"2,241",7,3,,,,,6.0,540.0,0.0,0.0,31,"2,781",7,3,25,"2,241",24.9,7,3,10,7,0,0,6,0,5.2,5.2,3.8,9.0,57.0,90.0,149.0,0.28,0.12,0.4,0.28,0.4,0.21,0.15,0.36,0.21,0.36,46.0,29.0,27.0,14.0,5.0,28.0,44.0,63.6,16.0,34.0,10.0,24.0,27.0,73.0,60.0,1.0,988.0,1301.0,75.9,14370.0,4793.0,566.0,643.0,88.0,324.0,428.0,75.7,52.0,125.0,41.6,3,3.8,4.2,-0.8,29.0,66.0,15.0,4.0,90.0,1301.0,1039.0,259.0,24.0,1.0,11.0,35.0,235.0,0.0,0.0,0.0,0.0,988.0,3.0,32.0,87.0,390.0,726.0,568.0,125.0,1663.0,53.0,28.0,52.8,25.0,47.2,821.0,4172.0,2014.0,57.0,39.0,22.0,41.0,34.0,933.0,149.0,7,45.0,14,31.1,1.81,0.56,0.16,0.5,11.6,0.0,0,0,5.2,5.2,0.12,1.8,1.8,54.0,2.17,41.0,2.0,1.0,6.0,4.0,0.0,3.0,0.12,1.0,0.0,1.0,0.0,1.0,0.0,"2,241",90,95.8,24.9,25,90.0,24,0,,0,1.84,49,27,22,0.88,-2.75,45.1,30.4,14.7,0.59,-1.58,6,0,0.0,49.0,38.0,4.0,35.0,27.0,29.0,1.0,1.0,0.0,129.0,85.0,36.0,70.2,"€ 98,654(£ 84,801, $112,042)","€ 5,130,000(£ 4,409,666, $5,826,202)",,https://fbref.com/es/jugadores/481c9ece/Denzel-Dumfries
2020-2021,24,PSV Eindhoven,nlNED,1.Eredivisie,30,"2,469",2,6,,,,,6.0,510.0,1.0,1.0,36,"2,979",3,7,27,"2,469",27.4,2,6,8,1,1,1,6,0,3.4,2.6,6.6,9.2,90.0,133.0,213.0,0.07,0.22,0.29,0.04,0.26,0.12,0.24,0.36,0.09,0.33,46.0,27.0,22.0,19.0,5.0,24.0,47.0,51.1,23.0,44.0,8.0,36.0,49.0,95.0,62.0,0.0,1211.0,1605.0,75.5,18777.0,6369.0,658.0,757.0,86.9,441.0,586.0,75.3,70.0,156.0,44.9,6,6.6,5.3,-0.6,41.0,88.0,32.0,4.0,133.0,1605.0,1312.0,287.0,28.0,1.0,15.0,50.0,259.0,0.0,0.0,0.0,0.0,1211.0,6.0,44.0,76.0,474.0,861.0,666.0,124.0,1982.0,56.0,26.0,46.4,30.0,53.6,954.0,5325.0,2806.0,90.0,41.0,34.0,60.0,30.0,1177.0,213.0,2,23.0,7,30.4,0.84,0.26,0.04,0.14,14.1,2.0,1,1,3.4,2.6,0.11,-1.4,-1.6,83.0,3.03,66.0,4.0,6.0,0.0,6.0,1.0,12.0,0.44,10.0,0.0,1.0,0.0,1.0,0.0,"2,469",82,80.7,27.4,27,89.0,25,3,18.0,1,2.23,61,27,34,1.24,0.48,57.3,27.7,29.7,1.08,-0.21,6,0,0.0,44.0,44.0,3.0,50.0,49.0,27.0,1.0,1.0,0.0,159.0,74.0,31.0,70.5,"€ 98,654(£ 84,801, $112,042)","€ 5,130,000(£ 4,409,666, $5,826,202)",,https://fbref.com/es/jugadores/481c9ece/Denzel-Dumfries
2021-2022,25,Inter,itITA,1.Serie A,33,"2,028",5,4,5.0,359.0,0.0,1.0,7.0,466.0,0.0,1.0,45,"2,853",5,6,21,"2,028",22.5,5,4,9,5,0,0,3,0,5.2,5.2,4.4,9.6,55.0,58.0,204.0,0.22,0.18,0.4,0.22,0.4,0.23,0.19,0.43,0.23,0.43,32.0,12.0,9.0,14.0,9.0,16.0,32.0,50.0,16.0,15.0,6.0,9.0,9.0,41.0,26.0,0.0,630.0,860.0,73.3,9792.0,2884.0,335.0,400.0,83.8,244.0,332.0,73.5,32.0,64.0,50.0,4,4.4,3.5,-0.4,28.0,31.0,22.0,7.0,58.0,860.0,712.0,143.0,2.0,0.0,2.0,36.0,141.0,0.0,0.0,0.0,0.0,630.0,5.0,30.0,35.0,200.0,376.0,523.0,127.0,1088.0,30.0,15.0,50.0,15.0,50.0,568.0,3136.0,1540.0,55.0,24.0,27.0,39.0,23.0,683.0,204.0,5,38.0,17,44.7,1.69,0.75,0.13,0.29,11.3,0.0,0,0,5.2,5.2,0.14,-0.2,-0.2,63.0,2.79,49.0,4.0,3.0,4.0,3.0,0.0,7.0,0.31,5.0,1.0,0.0,0.0,1.0,0.0,"2,028",61,59.3,22.5,21,83.0,13,12,24.0,5,2.15,54,14,40,1.78,1.0,51.3,22.8,28.5,1.26,0.35,3,0,0.0,32.0,37.0,4.0,36.0,9.0,12.0,2.0,1.0,0.0,89.0,43.0,32.0,57.3,,,,
2022-2023,26,Inter,itITA,1.Serie A,34,"2,218",1,4,5.0,332.0,0.0,0.0,12.0,885.0,1.0,0.0,51,"3,435",2,4,25,"2,218",24.6,1,4,5,1,0,0,4,0,3.6,3.6,4.9,8.5,62.0,59.0,172.0,0.04,0.16,0.2,0.04,0.2,0.15,0.2,0.35,0.15,0.35,35.0,18.0,17.0,13.0,5.0,22.0,34.0,64.7,12.0,33.0,9.0,24.0,12.0,47.0,26.0,0.0,745.0,1004.0,74.2,12394.0,3688.0,358.0,416.0,86.1,313.0,409.0,76.5,56.0,111.0,50.5,4,4.9,3.9,-0.9,32.0,32.0,32.0,18.0,59.0,1004.0,833.0,168.0,6.0,1.0,2.0,82.0,162.0,0.0,0.0,0.0,0.0,745.0,3.0,27.0,42.0,266.0,551.0,467.0,99.0,1263.0,52.0,18.0,34.6,23.0,44.2,674.0,3940.0,1928.0,62.0,32.0,23.0,39.0,20.0,785.0,172.0,1,33.0,13,39.4,1.34,0.53,0.03,0.08,11.4,0.0,0,0,3.6,3.6,0.11,-2.6,-2.6,71.0,2.88,48.0,4.0,1.0,9.0,8.0,1.0,11.0,0.45,6.0,0.0,0.0,2.0,3.0,0.0,"2,218",65,64.9,24.6,25,80.0,11,9,23.0,4,1.85,54,26,28,1.14,1.06,49.2,23.4,25.8,1.05,0.61,4,0,0.0,31.0,39.0,2.0,82.0,12.0,18.0,2.0,1.0,1.0,90.0,41.0,41.0,50.0,,,,
2023-2024,27,Inter,itITA,1.Serie A,31,"1,639",4,4,,,,,5.0,320.0,0.0,1.0,36,"1,959",4,5,19,"1,639",18.2,4,4,8,4,0,0,2,1,2.3,2.3,4.9,7.1,50.0,51.0,147.0,0.22,0.22,0.44,0.22,0.44,0.12,0.27,0.39,0.12,0.39,22.0,13.0,9.0,11.0,2.0,9.0,23.0,39.1,14.0,15.0,6.0,9.0,12.0,34.0,33.0,1.0,614.0,801.0,76.7,9956.0,2925.0,287.0,345.0,83.2,265.0,335.0,79.1,41.0,70.0,58.6,4,4.9,3.2,-0.9,27.0,34.0,29.0,13.0,51.0,801.0,656.0,142.0,4.0,0.0,2.0,47.0,138.0,0.0,0.0,0.0,0.0,614.0,3.0,16.0,32.0,231.0,385.0,367.0,73.0,977.0,33.0,14.0,42.4,12.0,36.4,502.0,2532.0,1121.0,50.0,19.0,11.0,29.0,9.0,626.0,147.0,4,24.0,6,25.0,1.32,0.33,0.17,0.67,11.8,0.0,0,0,2.3,2.3,0.09,1.7,1.7,47.0,2.59,37.0,3.0,3.0,1.0,3.0,0.0,8.0,0.44,5.0,0.0,1.0,0.0,2.0,0.0,"1,639",53,47.9,18.2,19,72.0,5,12,23.0,3,2.35,46,13,33,1.81,0.09,36.6,14.0,22.6,1.24,0.01,2,1,0.0,25.0,18.0,5.0,47.0,12.0,13.0,0.0,0.0,0.0,58.0,36.0,18.0,66.7,,,,
