Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,20,Perugia,itITA,2.Serie B,24.0,"2,132",0.0,0.0,1.0,120.0,0.0,0.0,,,,,25,"2,252",0,0,23,"2,132",23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,132",89.0,56.4,23.7,23,,22.0,1,,2.0,1.25,25.0,27.0,-2.0,-0.08,-0.69,,,,,,0.0,1.0,,,,,,,,,,,,,,,"€ 8,846(£ 7,684, $9,695)","€ 460,000(£ 399,567, $504,150)",Estimación no verificada,https://fbref.com/es/jugadores/277da414/Ivan-Provedel
2015-2016,21,Modena,itITA,2.Serie B,21.0,"1,812",0.0,0.0,,,,,,,,,21,"1,812",0,0,21,"1,812",20.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,812",86.0,47.9,20.1,21,,20.0,0,,18.0,1.19,20.0,21.0,-1.0,-0.05,0.73,,,,,,1.0,1.0,,,,,,,,,,,,,,,"€ 12,885(£ 11,192, $14,121)","€ 670,000(£ 581,978, $734,305)",Estimación no verificada,https://fbref.com/es/jugadores/277da414/Ivan-Provedel
2016-2017,22,Pro Vercelli,itITA,2.Serie B,40.0,"3,565",0.0,0.0,1.0,90.0,0.0,0.0,,,,,41,"3,655",0,0,40,"3,565",39.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"3,565",89.0,94.3,39.6,40,,39.0,0,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,"€ 10,769(£ 9,354, $11,803)","€ 560,000(£ 486,430, $613,748)",,https://fbref.com/es/jugadores/277da414/Ivan-Provedel
2017-2018,23,Empoli,itITA,2.Serie B,23.0,"2,070",0.0,0.0,1.0,120.0,0.0,0.0,,,,,24,"2,190",0,0,23,"2,070",23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,070",90.0,54.8,23.0,23,,23.0,0,,0.0,1.74,48.0,33.0,15.0,0.65,-0.61,,,,,,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 35,577(£ 30,607, $38,902)","€ 1,850,000(£ 1,591,574, $2,022,902)",,https://fbref.com/es/jugadores/277da414/Ivan-Provedel
2018-2019,24,Empoli,itITA,1.Serie A,16.0,"1,440",0.0,0.0,,,,,,,,,16,"1,440",0,0,16,"1,440",16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,358.0,485.0,73.8,10639.0,7942.0,36.0,36.0,100.0,178.0,183.0,97.3,143.0,263.0,54.4,0.0,0.1,0.0,-0.1,3.0,7.0,0.0,0.0,0.0,485.0,293.0,191.0,68.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0,1.0,1.0,501.0,529.0,1.0,0.0,0.0,530.0,0.0,0.0,,0.0,,239.0,1670.0,1267.0,0.0,0.0,0.0,1.0,0.0,153.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4.0,0.25,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,440",90.0,42.1,16.0,16,90.0,16.0,0,,22.0,1.0,24.0,36.0,-12.0,-0.75,-0.43,21.1,26.3,-5.3,-0.33,-0.06,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,1.0,0.0,100.0,"€ 71,154(£ 60,113, $76,465)","€ 3,700,000(£ 3,125,868, $3,976,185)",,https://fbref.com/es/jugadores/277da414/Ivan-Provedel
2019-2020,25,Juve Stabia,itITA,2.Serie B,18.0,"1,620",1.0,0.0,,,,,,,,,18,"1,620",1,0,18,"1,620",18.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.9,1.6,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,0.04,0.05,0.09,0.04,0.09,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,1.0,2.0,7.0,1.0,635.0,833.0,76.2,17680.0,12762.0,101.0,101.0,100.0,299.0,309.0,96.8,228.0,411.0,55.5,0.0,0.9,0.1,-0.9,4.0,12.0,1.0,0.0,0.0,833.0,574.0,255.0,88.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,635.0,4.0,1.0,683.0,878.0,11.0,2.0,2.0,889.0,2.0,1.0,50.0,1.0,50.0,462.0,2639.0,1881.0,0.0,0.0,0.0,1.0,0.0,392.0,0.0,1.0,1.0,1.0,100.0,0.06,0.06,1.0,1.0,4.0,0.0,0.0,0.0,0.7,0.7,0.65,0.3,0.3,7.0,0.39,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,620",90.0,47.4,18.0,18,90.0,18.0,0,,0.0,0.78,25.0,35.0,-10.0,-0.56,-0.26,25.7,35.9,-10.2,-0.57,-0.28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,50.0,5.0,2.0,71.4,"€ 71,154(£ 61,163, $80,810)","€ 3,700,000(£ 3,180,461, $4,202,134)",,https://fbref.com/es/jugadores/277da414/Ivan-Provedel
2019-2020,25,Empoli,itITA,2.Serie B,,,,,1.0,90.0,0.0,0.0,,,,,1,90,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,0.0,2.0,6.0,33.3,4.0,0.0,0.0,0.0,2.0,4.0,20.0,1.0,1042.0,1404.0,74.2,29950.0,19305.0,138.0,140.0,98.6,469.0,482.0,97.3,430.0,774.0,55.6,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1404.0,1146.0,255.0,98.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1042.0,3.0,0.0,1185.0,1482.0,9.0,0.0,0.0,1491.0,1.0,1.0,100.0,0.0,0.0,944.0,4169.0,2180.0,0.0,0.0,0.0,3.0,0.0,906.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,0.0,0,,19.0,,,,,,,,,,,,1.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,60.0,5.0,1.0,83.3,"€ 71,154(£ 61,163, $80,810)","€ 3,700,000(£ 3,180,461, $4,202,134)",,https://fbref.com/es/jugadores/277da414/Ivan-Provedel
2020-2021,26,Empoli,itITA,2.Serie B,,,,,1.0,90.0,0.0,0.0,,,,,1,90,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,736.0,1199.0,61.4,23789.0,17852.0,95.0,96.0,99.0,291.0,301.0,96.7,349.0,788.0,44.3,0.0,0.0,0.1,0.0,0.0,25.0,1.0,0.0,2.0,1199.0,837.0,349.0,120.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,736.0,13.0,0.0,1031.0,1266.0,16.0,0.0,0.0,1281.0,0.0,0.0,,0.0,,716.0,3740.0,2345.0,0.0,0.0,0.0,1.0,0.0,568.0,0.0,0.0,1.0,1.0,100.0,0.03,0.03,0.0,0.0,68.4,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,,0,,2.0,,,,,,,,,,,,2.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,50.0,6.0,0.0,100.0,"€ 71,154(£ 61,163, $80,810)","€ 3,700,000(£ 3,180,461, $4,202,134)",,https://fbref.com/es/jugadores/277da414/Ivan-Provedel
2020-2021,26,Spezia,itITA,1.Serie A,29.0,"2,610",0.0,0.0,,,,,,,,,29,"2,610",0,0,29,"2,610",29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1.0,1061.0,1323.0,80.2,28575.0,20681.0,236.0,237.0,99.6,410.0,421.0,97.4,408.0,654.0,62.4,0.0,0.0,0.1,0.0,1.0,21.0,1.0,0.0,0.0,1323.0,1037.0,282.0,84.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1061.0,4.0,0.0,1206.0,1397.0,9.0,0.0,0.0,1405.0,1.0,1.0,100.0,0.0,0.0,845.0,4576.0,2732.0,0.0,0.0,0.0,1.0,0.0,748.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,7.0,0.18,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,"2,610",90.0,76.3,29.0,29,90.0,29.0,0,,2.0,0.97,38.0,55.0,-17.0,-0.59,-0.25,35.0,48.2,-13.2,-0.45,0.14,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,3.0,1.0,75.0,,,,
2021-2022,27,Spezia,itITA,1.Serie A,31.0,"2,761",0.0,0.0,,,,,,,,,31,"2,761",0,0,31,"2,761",30.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,835.0,1022.0,81.7,22233.0,15095.0,166.0,166.0,100.0,350.0,353.0,99.2,316.0,494.0,64.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,3.0,1022.0,790.0,227.0,51.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,835.0,5.0,0.0,925.0,1075.0,17.0,0.0,0.0,1092.0,2.0,1.0,50.0,1.0,50.0,614.0,3186.0,1775.0,0.0,0.0,0.0,1.0,0.0,603.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,0.1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,761",89.0,80.7,30.7,31,89.0,30.0,0,,7.0,1.03,33.0,52.0,-19.0,-0.62,0.88,31.7,52.4,-20.6,-0.67,-0.17,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,3.0,0.0,100.0,,,,
