Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2007-2008,20,Barcelona,esESP,1.La Liga,2.0,19,0.0,0.0,,,,,,,,,2,19,0,0,0.0,19,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,19,10.0,0.6,0.2,0.0,,,2.0,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,"€ 104,423(£ 90,704, $114,445)","€ 5,430,000(£ 4,716,632, $5,951,162)",Estimación no verificada,https://fbref.com/es/jugadores/3ca7254a/Pedro
2008-2009,21,Barcelona,esESP,1.La Liga,6.0,355,0.0,0.0,,,,,4.0,126.0,0.0,0.0,10,481,0,0,4.0,355,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,,0.51,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,355,59.0,10.4,3.9,4.0,,2.0,2.0,,,,,,,,,,,,,,0.0,0.0,,5.0,,,,,,,,,,,,,"€ 91,731(£ 79,680, $100,535)","€ 4,770,000(£ 4,143,339, $5,227,816)",Estimación no verificada,https://fbref.com/es/jugadores/3ca7254a/Pedro
2009-2010,22,Barcelona,esESP,1.La Liga,34.0,"2,087",12.0,2.0,,,,,9.0,650.0,4.0,1.0,43,"2,737",16,3,22.0,"2,087",23.2,12.0,2.0,14.0,12.0,0.0,0.0,2.0,0.0,,,,,,,,0.52,0.09,0.6,0.52,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,31.0,,,1.34,,0.39,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,087",61.0,61.0,23.2,22.0,,11.0,12.0,,,,,,,,,,,,,,2.0,0.0,,34.0,,,,,,,,,,,,,"£ 79,404(€ 91,404, $100,192)","£ 4,129,000(€ 4,753,032, $5,209,990)",Estimación no verificada,https://fbref.com/es/jugadores/3ca7254a/Pedro
2010-2011,23,Barcelona,esESP,1.La Liga,33.0,"2,126",13.0,9.0,,,,,12.0,772.0,5.0,1.0,45,"2,898",18,10,24.0,"2,126",23.6,13.0,9.0,22.0,13.0,0.0,0.0,2.0,0.0,,,,,,,,0.55,0.38,0.93,0.55,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,34.0,,,1.44,,0.38,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,126",64.0,62.2,23.6,24.0,,5.0,9.0,,,,,,,,,,,,,,2.0,0.0,,30.0,,,,,,,,,,,,,"£ 95,750(€ 110,221, $120,818)","£ 4,979,000(€ 5,731,496, $6,282,523)",Estimación no verificada,https://fbref.com/es/jugadores/3ca7254a/Pedro
2011-2012,24,Barcelona,esESP,1.La Liga,29.0,"1,621",5.0,3.0,,,,,9.0,498.0,4.0,0.0,38,"2,119",9,3,20.0,"1,621",18.0,5.0,3.0,8.0,5.0,0.0,0.0,4.0,0.0,,,,,,,,0.28,0.17,0.44,0.28,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,25.0,,,1.39,,0.2,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,621",56.0,47.4,18.0,20.0,,6.0,9.0,,,,,,,,,,,,,,4.0,0.0,,23.0,,,,,,,,,,,,,"£ 99,096(€ 114,073, $125,040)","£ 5,153,000(€ 5,931,793, $6,502,077)",Estimación no verificada,https://fbref.com/es/jugadores/3ca7254a/Pedro
2012-2013,25,Barcelona,esESP,1.La Liga,28.0,"2,066",7.0,7.0,,,,,10.0,860.0,1.0,1.0,38,"2,926",8,8,23.0,"2,066",23.0,7.0,7.0,14.0,7.0,0.0,0.0,3.0,0.0,,,,,,,,0.3,0.3,0.61,0.3,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,25.0,,,1.09,,0.28,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,066",74.0,60.4,23.0,23.0,,12.0,5.0,,,,,,,,,,,,,,3.0,0.0,,23.0,,,,,,,,,,,,,"£ 99,788(€ 114,870, $125,914)","£ 5,189,000(€ 5,973,234, $6,547,502)",Estimación no verificada,https://fbref.com/es/jugadores/3ca7254a/Pedro
2013-2014,26,Barcelona,esESP,1.La Liga,37.0,"2,349",15.0,8.0,,,,,7.0,304.0,1.0,0.0,44,"2,653",16,8,28.0,"2,349",26.1,15.0,8.0,23.0,15.0,0.0,0.0,3.0,0.0,,,,,,,,0.57,0.31,0.88,0.57,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,30.0,,,1.15,,0.5,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,349",63.0,68.7,26.1,28.0,,10.0,9.0,,,,,,,,,,,,,,3.0,0.0,,27.0,,,,,,,,,,,,,"£ 99,808(€ 114,892, $125,938)","£ 5,190,000(€ 5,974,385, $6,548,764)",Estimación no verificada,https://fbref.com/es/jugadores/3ca7254a/Pedro
2014-2015,27,Barcelona,esESP,1.La Liga,35.0,"1,555",6.0,6.0,6.0,278.0,5.0,0.0,9.0,394.0,0.0,2.0,50,"2,227",11,8,15.0,"1,555",17.3,6.0,6.0,12.0,6.0,0.0,0.0,3.0,0.0,,,,,,,,0.35,0.35,0.69,0.35,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,18.0,,,1.04,,0.33,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,555",44.0,45.5,17.3,15.0,,8.0,20.0,,3.0,2.43,46.0,5.0,41.0,2.37,0.06,,,,,,3.0,0.0,,23.0,,,,,,,,,,,,,"€ 74,038(£ 64,312, $81,145)","€ 3,850,000(£ 3,344,205, $4,219,516)",,https://fbref.com/es/jugadores/3ca7254a/Pedro
2015-2016,28,Barcelona,esESP,1.La Liga,,,,,2.0,137.0,0.0,0.0,1.0,28.0,1.0,0.0,3,165,1,0,24.0,"2,033",22.6,7.0,3.0,10.0,7.0,0.0,0.0,3.0,0.0,,,,,,,,0.31,0.13,0.44,0.31,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,15.0,,,0.66,,0.47,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,033",70.0,59.4,22.6,24.0,,9.0,5.0,,0.0,1.41,40.0,27.0,13.0,0.58,1.03,,,,,,3.0,0.0,,23.0,,,,,,,,,,,,,"€ 61,731(£ 53,621, $67,656)","€ 3,210,000(£ 2,788,285, $3,518,090)",,https://fbref.com/es/jugadores/3ca7254a/Pedro
2015-2016,28,Chelsea,engENG,1.Premier League,29.0,"2,033",7.0,3.0,5.0,278.0,1.0,0.0,6.0,294.0,0.0,0.0,40,"2,605",8,3,26.0,"2,140",23.8,9.0,9.0,18.0,9.0,0.0,0.0,6.0,0.0,,,,,,,,0.38,0.38,0.76,0.38,0.76,,,,,,,36.0,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,59.0,18.0,30.5,2.48,0.76,0.15,0.5,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,140",61.0,62.6,23.8,26.0,,6.0,9.0,,2.0,2.46,51.0,15.0,36.0,1.51,0.39,,,,,,6.0,0.0,0.0,32.0,40.0,8.0,72.0,21.0,36.0,1.0,0.0,0.0,,,,,"€ 61,731(£ 53,108, $67,500)","€ 3,210,000(£ 2,761,596, $3,510,009)",,https://fbref.com/es/jugadores/3ca7254a/Pedro
