Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,20,Westerlo,beBEL,1.First Division A,26,"2,198",9,3,,,,,,,,,26,"2,198",9,3,25,"2,198",24.4,9,3,12,9,0,0,2,1,,,,,,,,0.37,0.12,0.49,0.37,0.49,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,26,,0.0,1.06,,0.35,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,198",85,81.4,24.4,25,,19,1,,0,0.77,26,46,-20,-0.82,1.33,,,,,,2,1,0,28,0,0,0,0,0,0.0,0.0,0,,,,,"€ 4,423(£ 3,842, $4,848)","€ 230,000(£ 199,784, $252,075)",Estimación no verificada,https://fbref.com/es/jugadores/6c731625/Silvere-Ganvoula-MBoussy
2017-2018,21,Anderlecht,beBEL,1.First Division A,16,483,3,0,,,,,,,,,16,483,3,0,4,483,5.4,3,0,3,2,1,1,1,0,4.3,3.5,0.0,3.6,11.0,6.0,57.0,0.56,0.0,0.56,0.37,0.37,0.8,0.01,0.81,0.65,0.66,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,0,1.0,2.0,0.0,72.0,136.0,52.9,1032.0,108.0,35.0,64.0,54.7,31.0,53.0,58.5,2.0,9.0,22.2,0,0.0,0.1,0.0,1.0,3.0,2.0,1.0,6.0,136.0,129.0,7.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,72.0,0.0,3.0,2.0,7.0,78.0,113.0,35.0,197.0,9.0,4.0,44.4,5.0,55.6,121.0,653.0,123.0,11.0,3.0,3.0,19.0,7.0,173.0,57.0,3,21,7,33.3,3.91,1.3,0.1,0.29,13.4,0.0,1,1,4.3,3.5,0.17,-1.3,-1.5,10.0,1.86,6.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483,30,13.4,5.4,4,,3,12,,4,1.56,9,7,2,0.37,0.31,12.9,6.6,6.3,1.17,0.88,1,0,0,16,7,5,7,0,0,0.0,0.0,0,11.0,22.0,26.0,45.8,"€ 4,423(£ 3,805, $4,836)","€ 230,000(£ 197,871, $251,496)",Estimación no verificada,https://fbref.com/es/jugadores/6c731625/Silvere-Ganvoula-MBoussy
2017-2018,21,Mechelen,beBEL,1.First Division A,9,514,0,0,,,,,,,,,9,514,0,0,6,514,5.7,0,0,0,0,0,0,1,0,1.7,1.7,0.3,1.9,5.0,5.0,58.0,0.0,0.0,0.0,0.0,0.0,0.29,0.05,0.34,0.29,0.34,1.0,0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,4.0,0.0,4.0,0,1.0,2.0,0.0,58.0,109.0,53.2,749.0,78.0,41.0,58.0,70.7,12.0,33.0,36.4,3.0,10.0,30.0,0,0.3,0.3,-0.3,5.0,1.0,2.0,0.0,5.0,109.0,106.0,1.0,0.0,1.0,1.0,6,0.0,0.0,0.0,0.0,0.0,58.0,2.0,0.0,2.0,2.0,58.0,102.0,24.0,162.0,6.0,3.0,50.0,3.0,50.0,90.0,482.0,111.0,5.0,3.0,2.0,18.0,13.0,149.0,58.0,0,19,2,10.5,3.33,0.35,0.0,0.0,14.2,0.0,0,0,1.7,1.7,0.09,-1.7,-1.7,5.0,0.88,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514,57,19.0,5.7,6,,1,3,,5,0.89,4,12,-8,-1.4,-0.99,4.8,6.7,-1.9,-0.33,-0.43,1,0,0,12,14,10,6,0,0,0.0,0.0,0,6.0,23.0,16.0,59.0,"€ 28,462(£ 24,465, $32,324)","€ 1,480,000(£ 1,272,184, $1,680,853)",Estimación no verificada,https://fbref.com/es/jugadores/6c731625/Silvere-Ganvoula-MBoussy
2018-2019,22,Bochum,deGER,2.2. Bundesliga,21,635,5,1,1.0,90.0,0.0,0.0,,,,,22,725,5,1,5,635,7.1,5,1,6,4,1,1,4,2,,,,,,,,0.71,0.14,0.85,0.57,0.71,,,,,,,2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,32,12,37.5,4.54,1.7,0.13,0.33,,,1,1,,,,,,,,,,,,,,,,,,,,,,635,30,20.8,7.1,5,71.0,2,16,18.0,7,1.38,13,10,3,0.43,0.57,,,,,,4,2,1,11,7,10,9,0,2,0.0,0.0,0,,,,,,,,
2019-2020,23,Bochum,deGER,2.2. Bundesliga,28,"2,355",13,5,2.0,180.0,3.0,0.0,,,,,30,"2,535",16,5,26,"2,355",26.2,13,5,18,10,3,4,7,0,,,,,,,,0.5,0.19,0.69,0.38,0.57,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,96,36,37.5,3.67,1.38,0.1,0.28,,,3,4,,,,,,,,,,,,,,,,,,,,,,"2,355",84,77.0,26.2,26,89.0,24,2,27.0,0,1.29,42,41,1,0.04,-0.09,,,,,,7,0,0,35,27,38,46,2,2,,,0,,,,,,,,
2020-2021,24,Bochum,deGER,2.2. Bundesliga,29,872,2,3,3.0,216.0,0.0,0.0,,,,,32,"1,088",2,3,5,872,9.7,2,3,5,1,1,1,3,0,,,,,,,,0.21,0.31,0.52,0.1,0.41,,,,,,,2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,7,35.0,2.06,0.72,0.05,0.14,,,1,1,,,,,,,,,,,,,,,,,,,,,,872,30,28.5,9.7,5,76.0,2,24,20.0,4,1.79,21,8,13,1.34,0.77,,,,,,3,0,0,17,11,14,6,0,2,,,0,,,,,,,,
2021-2022,25,Cercle Brugge,beBEL,1.First Division A,5,85,0,0,,,,,,,,,5,85,0,0,0,85,0.9,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,1.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.5,0.04,0.54,0.5,0.54,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,0,1.0,1.0,0.0,22.0,35.0,62.9,339.0,87.0,12.0,19.0,63.2,9.0,13.0,69.2,1.0,3.0,33.3,0,0.0,0.1,0.0,1.0,1.0,1.0,0.0,4.0,35.0,35.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1.0,1.0,20.0,30.0,7.0,51.0,0.0,0.0,,0.0,,27.0,155.0,23.0,1.0,0.0,0.0,7.0,1.0,38.0,8.0,0,3,1,33.3,3.18,1.06,0.0,0.0,17.0,0.0,0,0,0.5,0.5,0.15,-0.5,-0.5,4.0,4.29,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,17,2.8,0.9,0,,0,5,17.0,3,1.0,0,0,0,0.0,-0.09,0.9,1.3,-0.4,-0.41,-0.76,0,0,0,1,0,0,1,0,1,0.0,0.0,0,4.0,10.0,5.0,66.7,,,,
2021-2022,25,Bochum,deGER,1.Bundesliga,9,153,0,0,1.0,48.0,0.0,0.0,,,,,10,201,0,0,0,153,1.7,0,0,0,0,0,0,0,0,0.8,0.8,0.0,0.8,3.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.47,0.47,0.47,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,34.0,59.0,57.6,529.0,85.0,18.0,31.0,58.1,12.0,18.0,66.7,2.0,3.0,66.7,0,0.0,0.1,0.0,0.0,2.0,0.0,0.0,7.0,59.0,53.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,2.0,2.0,3.0,36.0,43.0,9.0,79.0,3.0,2.0,66.7,1.0,33.3,34.0,213.0,104.0,3.0,4.0,3.0,9.0,4.0,58.0,9.0,0,3,1,33.3,1.76,0.59,0.0,0.0,8.1,0.0,0,0,0.8,0.8,0.26,-0.8,-0.8,2.0,1.18,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,17,5.0,1.7,0,,0,9,17.0,3,0.78,2,7,-5,-2.94,-2.66,2.4,6.0,-3.6,-2.15,-1.79,0,0,0,2,1,6,0,0,0,0.0,0.0,0,5.0,22.0,8.0,73.3,,,,
2022-2023,26,Bochum,deGER,1.Bundesliga,16,247,0,0,,,,,,,,,16,247,0,0,0,247,2.7,0,0,0,0,0,0,1,0,0.5,0.5,0.5,0.9,5.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.34,0.17,0.34,2.0,2,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,2.0,3.0,0.0,49.0,87.0,56.3,669.0,184.0,32.0,48.0,66.7,15.0,27.0,55.6,1.0,6.0,16.7,0,0.5,0.2,-0.5,5.0,8.0,5.0,0.0,12.0,87.0,82.0,5.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,49.0,0.0,1.0,3.0,5.0,45.0,69.0,18.0,118.0,7.0,3.0,42.9,4.0,57.1,51.0,246.0,79.0,5.0,2.0,6.0,7.0,1.0,92.0,19.0,0,9,3,33.3,3.28,1.09,0.0,0.0,20.2,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5,11.0,3.99,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247,15,8.1,2.7,0,,0,16,15.0,4,0.75,3,10,-7,-2.55,-1.75,2.2,6.5,-4.3,-1.58,-0.89,1,0,0,2,0,5,1,0,2,0.0,0.0,0,4.0,24.0,17.0,58.5,,,,
2023-2024,27,Young Boys,chSUI,1.Super Lg,35,"1,520",9,2,,,,,8.0,175.0,1.0,0.0,43,"1,695",10,2,15,"1,520",16.9,9,2,11,8,1,1,5,0,,,,,,,,0.53,0.12,0.65,0.47,0.59,,,,,,,3,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,61,21,34.4,3.61,1.24,0.13,0.38,,,1,1,,,,,,,,,,,,,,,,,,,,,,"1,520",43,44.4,16.9,15,75.0,5,20,20.0,2,2.03,34,16,18,1.07,-0.07,,,,,,5,0,0,23,23,10,30,2,3,,,0,,,,,,,,
