Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2017-2018,22,Parma,itITA,2.Serie B,18,"1,323",0,1,,,,,,,,,18,"1,323",0,1,15,"1,323",14.7,0,1,1,0,0,0,3,0,,,,,,,,0.0,0.07,0.07,0.0,0.07,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,,0.0,0.14,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,323",74,35.0,14.7,15,,10,3,,16,1.89,23,11,12,0.82,0.52,,,,,,3,0,0,,0,0,0,0,0,0,0,0,,,,,"€ 8,462(£ 7,350, $9,274)","€ 440,000(£ 382,195, $482,230)",,https://fbref.com/es/jugadores/eb0ec070/Pasquale-Mazzocchi
2018-2019,23,Perugia,itITA,2.Serie B,31,"2,083",0,4,1.0,90.0,0.0,0.0,,,,,32,"2,173",0,4,24,"2,083",23.1,0,4,4,0,0,0,2,0,0.5,0.5,1.4,1.9,77.0,86.0,83.0,0.0,0.17,0.17,0.0,0.17,0.02,0.06,0.08,0.02,0.08,35.0,27,24.0,5.0,6.0,17.0,33.0,51.5,16.0,17.0,4.0,13.0,26,61.0,59.0,2.0,1015.0,1284.0,79.0,17433.0,5873.0,476.0,539.0,88.3,424.0,534.0,79.4,95.0,155.0,61.3,4,1.4,1.3,2.6,19.0,68.0,25.0,11.0,86.0,1284.0,1047.0,234.0,19.0,2.0,20.0,71,209.0,6.0,1.0,4.0,0.0,1015.0,3.0,27.0,72.0,467.0,738.0,351.0,11.0,1533.0,55.0,32.0,58.2,23.0,41.8,810.0,5151.0,2870.0,77.0,64.0,9.0,50.0,24.0,877.0,83.0,0,14,1,7.1,0.6,0.04,0.0,0.0,27.9,5.0,0,0,0.5,0.5,0.04,-0.5,-0.5,38.0,1.64,29.0,4.0,3.0,1.0,1.0,0.0,5.0,0.22,4.0,0.0,1.0,0.0,0.0,0.0,"2,083",67,64.3,23.1,24,82.0,16,7,17.0,5,1.38,33,33,0,0.0,0.0,32.4,26.9,5.5,0.24,-0.22,2,0,0,36.0,16,1,71,26,27,1,0,0,140.0,20.0,18.0,52.6,"€ 3,846(£ 3,341, $4,215)","€ 200,000(£ 173,725, $219,196)",,https://fbref.com/es/jugadores/eb0ec070/Pasquale-Mazzocchi
2019-2020,24,Perugia,itITA,2.Serie B,26,"1,947",1,2,1.0,65.0,1.0,0.0,,,,,27,"2,012",2,2,22,"1,947",21.6,1,2,3,1,0,0,4,0,1.6,1.6,2.6,4.3,88.0,64.0,147.0,0.05,0.09,0.14,0.05,0.14,0.08,0.12,0.2,0.08,0.2,29.0,17,18.0,7.0,4.0,17.0,30.0,56.7,13.0,20.0,5.0,15.0,24,53.0,54.0,1.0,754.0,1049.0,71.9,12796.0,4966.0,359.0,436.0,82.3,312.0,407.0,76.7,63.0,136.0,46.3,2,2.6,3.7,-0.6,32.0,43.0,31.0,22.0,64.0,1049.0,828.0,215.0,12.0,0.0,8.0,116,190.0,13.0,3.0,6.0,0.0,754.0,6.0,36.0,64.0,319.0,520.0,460.0,45.0,1283.0,44.0,24.0,54.5,20.0,45.5,645.0,4118.0,2405.0,88.0,46.0,17.0,35.0,22.0,728.0,147.0,1,27,4,14.8,1.25,0.18,0.04,0.25,19.1,1.0,0,0,1.6,1.6,0.06,-0.6,-0.6,61.0,2.82,48.0,8.0,0.0,2.0,1.0,2.0,4.0,0.18,4.0,0.0,0.0,0.0,0.0,0.0,"1,947",75,56.9,21.6,22,86.0,17,4,14.0,11,1.18,20,30,-10,-0.46,-0.4,24.6,31.6,-7.0,-0.32,0.04,4,0,0,37.0,16,5,116,24,17,0,2,0,106.0,36.0,32.0,52.9,"€ 5,769(£ 4,963, $6,308)","€ 300,000(£ 258,093, $328,038)",,https://fbref.com/es/jugadores/eb0ec070/Pasquale-Mazzocchi
2020-2021,25,Venezia,itITA,2.Serie B,34,"2,733",1,1,1.0,68.0,0.0,0.0,,,,,35,"2,801",1,1,30,"2,733",30.4,1,1,2,1,0,0,7,0,0.6,0.6,2.3,2.9,123.0,111.0,117.0,0.03,0.03,0.07,0.03,0.07,0.02,0.08,0.1,0.02,0.1,54.0,31,27.0,17.0,10.0,18.0,42.0,42.9,24.0,27.0,6.0,21.0,38,92.0,67.0,0.0,1180.0,1593.0,74.1,19789.0,7533.0,582.0,652.0,89.3,481.0,626.0,76.8,93.0,234.0,39.7,1,2.3,3.8,-1.3,28.0,80.0,45.0,27.0,111.0,1593.0,1244.0,343.0,36.0,1.0,11.0,142,307.0,0.0,0.0,0.0,0.0,1180.0,6.0,35.0,96.0,647.0,763.0,549.0,32.0,1920.0,88.0,43.0,48.9,45.0,51.1,1054.0,7491.0,4198.0,123.0,94.0,17.0,48.0,37.0,1053.0,117.0,1,18,3,16.7,0.59,0.1,0.06,0.33,25.0,0.0,0,0,0.6,0.6,0.03,0.4,0.4,64.0,2.11,48.0,9.0,6.0,1.0,0.0,0.0,8.0,0.26,4.0,2.0,2.0,0.0,0.0,0.0,"2,733",80,79.9,30.4,30,87.0,23,4,34.0,1,1.62,42,30,12,0.4,0.13,43.7,33.6,10.1,0.33,-0.09,7,0,0,40.0,23,2,142,38,31,0,1,0,188.0,36.0,34.0,51.4,"€ 5,769(£ 4,874, $6,200)","€ 300,000(£ 253,449, $322,393)",,https://fbref.com/es/jugadores/eb0ec070/Pasquale-Mazzocchi
2021-2022,26,Venezia,itITA,1.Serie A,18,"1,243",0,0,2.0,127.0,0.0,0.0,,,,,20,"1,370",0,0,15,"1,243",13.8,0,0,0,0,0,0,3,0,0.3,0.3,0.4,0.8,44.0,33.0,43.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,18.0,8,11.0,4.0,3.0,10.0,26.0,38.5,16.0,11.0,8.0,3.0,21,39.0,31.0,1.0,446.0,596.0,74.8,7334.0,2607.0,241.0,272.0,88.6,154.0,211.0,73.0,43.0,80.0,53.8,0,0.4,0.5,-0.4,5.0,26.0,7.0,3.0,33.0,596.0,473.0,121.0,7.0,2.0,4.0,46,114.0,0.0,0.0,0.0,0.0,446.0,2.0,16.0,49.0,285.0,291.0,198.0,5.0,762.0,37.0,17.0,45.9,20.0,54.1,426.0,3017.0,1502.0,44.0,32.0,1.0,34.0,13.0,406.0,43.0,0,6,0,0.0,0.43,0.0,0.0,,22.3,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,11.0,0.8,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,243",69,36.3,13.8,15,79.0,10,3,17.0,1,0.78,15,25,-10,-0.72,0.31,14.0,22.2,-8.2,-0.59,0.53,3,0,0,22.0,6,0,46,21,8,0,0,0,74.0,11.0,10.0,52.4,"€ 35,577(£ 30,056, $38,233)","€ 1,850,000(£ 1,562,934, $1,988,093)",,https://fbref.com/es/jugadores/eb0ec070/Pasquale-Mazzocchi
2021-2022,26,Salernitana,itITA,1.Serie A,15,"1,269",0,2,,,,,,,,,15,"1,269",0,2,15,"1,269",14.1,0,2,2,0,0,0,2,0,0.1,0.1,1.6,1.8,43.0,40.0,46.0,0.0,0.14,0.14,0.0,0.14,0.01,0.12,0.13,0.01,0.13,28.0,19,15.0,11.0,2.0,14.0,34.0,41.2,20.0,5.0,0.0,5.0,11,39.0,31.0,0.0,416.0,579.0,71.8,7213.0,2846.0,199.0,231.0,86.1,164.0,220.0,74.5,43.0,100.0,43.0,2,1.6,1.4,0.4,18.0,24.0,17.0,12.0,40.0,579.0,452.0,127.0,11.0,0.0,3.0,79,98.0,17.0,0.0,16.0,0.0,416.0,0.0,12.0,41.0,217.0,293.0,227.0,10.0,725.0,37.0,18.0,48.6,19.0,51.4,361.0,2547.0,1282.0,43.0,25.0,4.0,31.0,12.0,392.0,46.0,0,5,2,40.0,0.35,0.14,0.0,0.0,23.6,1.0,0,0,0.1,0.1,0.03,-0.1,-0.1,35.0,2.48,21.0,8.0,0.0,1.0,4.0,1.0,4.0,0.28,3.0,1.0,0.0,0.0,0.0,0.0,"1,269",85,37.1,14.1,15,85.0,9,0,,0,1.07,16,23,-7,-0.5,1.09,15.1,21.1,-6.0,-0.42,0.53,2,0,0,18.0,7,1,79,11,19,0,0,0,62.0,11.0,9.0,55.0,"€ 35,577(£ 30,581, $40,405)","€ 1,850,000(£ 1,590,230, $2,101,067)",,https://fbref.com/es/jugadores/eb0ec070/Pasquale-Mazzocchi
2022-2023,27,Salernitana,itITA,1.Serie A,27,"1,958",2,3,,,,,,,,,27,"1,958",2,3,23,"1,958",21.8,2,3,5,2,0,0,2,0,1.3,1.3,2.6,3.9,70.0,60.0,102.0,0.09,0.14,0.23,0.09,0.23,0.06,0.12,0.18,0.06,0.18,32.0,18,21.0,5.0,6.0,17.0,37.0,45.9,20.0,10.0,2.0,8.0,10,42.0,37.0,2.0,702.0,949.0,74.0,11136.0,3985.0,379.0,417.0,90.9,245.0,339.0,72.3,56.0,122.0,45.9,3,2.6,2.0,0.4,30.0,37.0,21.0,12.0,60.0,949.0,726.0,219.0,13.0,2.0,6.0,90,185.0,21.0,2.0,17.0,0.0,702.0,4.0,29.0,59.0,348.0,469.0,398.0,36.0,1196.0,103.0,58.0,56.3,36.0,35.0,654.0,4495.0,2330.0,70.0,55.0,15.0,54.0,34.0,680.0,102.0,2,18,6,33.3,0.83,0.28,0.11,0.33,21.0,1.0,0,0,1.3,1.3,0.07,0.7,0.7,63.0,2.9,43.0,12.0,5.0,0.0,2.0,1.0,9.0,0.41,5.0,1.0,2.0,0.0,1.0,0.0,"1,958",73,57.3,21.8,23,80.0,10,4,31.0,1,1.3,28,34,-6,-0.28,0.22,21.9,34.7,-12.8,-0.59,0.5,2,0,0,27.0,17,5,90,10,18,1,0,0,129.0,12.0,14.0,46.2,"€ 35,577(£ 30,581, $40,405)","€ 1,850,000(£ 1,590,230, $2,101,067)",,https://fbref.com/es/jugadores/eb0ec070/Pasquale-Mazzocchi
2023-2024,28,Salernitana,itITA,1.Serie A,18,"1,272",0,1,1.0,13.0,0.0,0.0,,,,,19,"1,285",0,1,16,"1,272",14.1,0,1,1,0,0,0,4,0,0.3,0.3,1.3,1.6,36.0,36.0,62.0,0.0,0.07,0.07,0.0,0.07,0.02,0.09,0.11,0.02,0.11,25.0,19,14.0,10.0,1.0,16.0,29.0,55.2,13.0,14.0,6.0,8.0,5,30.0,31.0,0.0,460.0,635.0,72.4,6631.0,3051.0,276.0,317.0,87.1,149.0,210.0,71.0,20.0,68.0,29.4,1,1.3,1.0,-0.3,14.0,30.0,16.0,10.0,36.0,635.0,502.0,131.0,11.0,1.0,4.0,42,119.0,1.0,0.0,1.0,0.0,460.0,2.0,17.0,47.0,253.0,327.0,210.0,12.0,780.0,40.0,17.0,42.5,19.0,47.5,384.0,2438.0,1358.0,36.0,29.0,5.0,31.0,13.0,440.0,62.0,0,8,1,12.5,0.57,0.07,0.0,0.0,28.6,1.0,0,0,0.3,0.3,0.04,-0.3,-0.3,30.0,2.12,26.0,1.0,0.0,2.0,1.0,0.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0,"1,272",71,37.2,14.1,16,76.0,8,2,25.0,0,0.67,13,30,-17,-1.2,0.14,11.5,26.5,-15.0,-1.06,0.16,4,0,0,23.0,9,3,42,5,19,0,0,0,72.0,6.0,26.0,18.8,"€ 35,577(£ 30,581, $40,405)","€ 1,850,000(£ 1,590,230, $2,101,067)",,https://fbref.com/es/jugadores/eb0ec070/Pasquale-Mazzocchi
2023-2024,28,Napoli,itITA,1.Serie A,10,428,0,1,2.0,153.0,0.0,0.0,,,,,12,581,0,1,4,428,4.8,0,1,1,0,0,0,0,1,0.2,0.2,0.2,0.4,13.0,24.0,22.0,0.0,0.21,0.21,0.0,0.21,0.03,0.04,0.08,0.03,0.08,5.0,2,1.0,2.0,2.0,2.0,3.0,66.7,1.0,5.0,1.0,4.0,1,6.0,13.0,0.0,225.0,276.0,81.5,3611.0,1120.0,136.0,148.0,91.9,74.0,100.0,74.0,15.0,24.0,62.5,1,0.2,0.3,0.8,3.0,18.0,6.0,3.0,24.0,276.0,237.0,39.0,4.0,2.0,3.0,14,35.0,0.0,0.0,0.0,0.0,225.0,0.0,2.0,12.0,92.0,155.0,82.0,6.0,328.0,18.0,6.0,33.3,9.0,50.0,189.0,1222.0,519.0,13.0,13.0,2.0,5.0,3.0,212.0,22.0,0,5,1,20.0,1.05,0.21,0.0,0.0,24.5,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,7.0,1.48,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.21,1.0,0.0,0.0,0.0,0.0,0.0,428,43,12.5,4.8,4,78.0,1,6,19.0,9,0.8,5,5,0,0.0,-0.21,4.9,2.8,2.1,0.44,-0.18,0,1,0,9.0,7,0,14,1,2,0,0,0,21.0,12.0,7.0,63.2,,,,
2024-2025,29,Napoli,itITA,1.Serie A,18,691,0,0,2.0,162.0,0.0,0.0,,,,,20,853,0,0,7,691,7.7,0,0,0,0,0,0,2,0,0.3,0.3,0.4,0.6,20.0,23.0,42.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.08,0.04,0.08,15.0,7,7.0,5.0,3.0,8.0,15.0,53.3,7.0,5.0,2.0,3.0,5,20.0,24.0,0.0,236.0,295.0,80.0,3648.0,998.0,124.0,134.0,92.5,97.0,121.0,80.2,10.0,24.0,41.7,0,0.4,0.5,-0.4,5.0,6.0,8.0,3.0,23.0,295.0,241.0,53.0,2.0,1.0,0.0,13,51.0,0.0,0.0,0.0,0.0,236.0,1.0,6.0,27.0,116.0,139.0,126.0,10.0,374.0,17.0,10.0,58.8,4.0,23.5,205.0,1267.0,707.0,20.0,13.0,2.0,13.0,11.0,221.0,42.0,0,3,1,33.3,0.39,0.13,0.0,0.0,13.4,0.0,0,0,0.3,0.3,0.09,-0.3,-0.3,18.0,2.34,15.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691,38,22.6,7.7,7,83.0,3,11,10.0,9,2.37,13,10,3,0.39,-0.6,10.2,8.2,2.0,0.27,-0.41,2,0,0,7.0,5,1,13,5,7,0,0,0,31.0,4.0,7.0,36.4,,,,
