Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,17,Steaua,roROU,1.Liga I,6,347,1,0,,,,,,,,,6,347,1,0,1,347,3.9,1,0,1,1,0,0,0,0,,,,,,,,0.26,0.0,0.26,0.26,0.26,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,1.0,,0.0,0.26,,1.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,347,58,10.7,3.9,1,,1,5,,7,2.17,6,3,3,0.78,0.25,,,,,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,"€ 34,423(£ 29,901, $37,727)","€ 1,790,000(£ 1,554,838, $1,961,801)",Estimación no verificada,https://fbref.com/es/jugadores/2079b3cc/Dennis-Man
2017-2018,18,FCSB,roROU,1.Liga I,34,"2,349",10,1,,,,,8.0,469.0,0.0,0.0,42,"2,818",10,1,24,"2,349",26.1,10,1,11,10,0,0,6,0,,,,,,,,0.38,0.04,0.42,0.38,0.42,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.0,18.0,,0.0,0.69,,0.56,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,349",69,72.5,26.1,24,,16,10,,1,2.15,51,16,35,1.34,0.63,,,,,,6,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,"€ 36,923(£ 31,738, $41,934)","€ 1,920,000(£ 1,650,401, $2,180,567)",,https://fbref.com/es/jugadores/2079b3cc/Dennis-Man
2018-2019,19,FCSB,roROU,1.Liga I,33,"2,840",9,5,,,,,,,,,33,"2,840",9,5,33,"2,840",31.6,9,5,14,9,0,0,3,1,,,,,,,,0.29,0.16,0.44,0.29,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,840",86,87.7,31.6,33,86.0,23,0,,1,2.12,58,27,31,0.98,0.76,,,,,,3,1,0,,,,,,,,,0,,,,,"€ 36,923(£ 31,738, $41,934)","€ 1,920,000(£ 1,650,401, $2,180,567)",,https://fbref.com/es/jugadores/2079b3cc/Dennis-Man
2019-2020,20,FCSB,roROU,1.Liga I,23,"1,741",7,3,,,,,,,,,23,"1,741",7,3,21,"1,741",19.3,7,3,10,7,0,0,5,0,,,,,,,,0.36,0.16,0.52,0.36,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,741",76,55.3,19.3,21,79.0,15,2,42.0,1,1.57,31,22,9,0.47,0.59,,,,,,5,0,0,,,,,,,,,0,,,,,"€ 36,923(£ 31,738, $41,934)","€ 1,920,000(£ 1,650,401, $2,180,567)",,https://fbref.com/es/jugadores/2079b3cc/Dennis-Man
2020-2021,21,FCSB,roROU,1.Liga I,18,"1,523",14,5,,,,,,,,,18,"1,523",14,5,18,"1,523",16.9,14,5,19,13,1,1,2,0,,,,,,,,0.83,0.3,1.12,0.77,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,"1,523",85,42.3,16.9,18,85.0,13,0,,0,2.33,38,12,26,1.54,1.19,,,,,,2,0,0,,,,,,,,,0,,,,,,,,
2020-2021,21,Parma,itITA,1.Serie A,14,699,2,1,,,,,,,,,14,699,2,1,8,699,7.8,2,1,3,2,0,0,1,0,2.5,2.5,0.5,3.0,22.0,38.0,56.0,0.26,0.13,0.39,0.26,0.39,0.33,0.06,0.39,0.33,0.39,12.0,6.0,6.0,4.0,2.0,6.0,21.0,28.6,15.0,5.0,0.0,5.0,2.0,14.0,6.0,0.0,220.0,262.0,84.0,3261.0,807.0,120.0,141.0,85.1,72.0,82.0,87.8,15.0,19.0,78.9,1,0.5,0.5,0.5,5.0,21.0,12.0,3.0,38.0,262.0,260.0,2.0,0.0,0.0,3.0,7.0,1.0,1.0,0.0,0.0,0.0,220.0,0.0,5.0,5.0,48.0,159.0,146.0,30.0,345.0,18.0,13.0,72.2,5.0,27.8,225.0,1444.0,683.0,22.0,23.0,6.0,20.0,10.0,262.0,56.0,2,19.0,6.0,31.6,2.45,0.77,0.11,0.33,15.5,0.0,0,0,2.5,2.5,0.13,-0.5,-0.5,20.0,2.58,14.0,0.0,4.0,0.0,2.0,0.0,4.0,0.52,3.0,0.0,1.0,0.0,0.0,0.0,699,50,20.4,7.8,8,72.0,4,6,21.0,0,0.5,12,17,-5,-0.64,0.65,12.7,12.0,0.7,0.09,0.73,1,0,0,6.0,7.0,0.0,7.0,2.0,6.0,0.0,0.0,0,31.0,6.0,7.0,46.2,,,,
2021-2022,22,Parma,itITA,2.Serie B,26,"1,789",3,1,1.0,59.0,0.0,0.0,,,,,27,"1,848",3,1,21,"1,789",19.9,3,1,4,3,0,0,4,0,3.1,3.1,3.0,6.1,109.0,109.0,128.0,0.15,0.05,0.2,0.15,0.2,0.16,0.15,0.31,0.16,0.31,28.0,13.0,19.0,5.0,4.0,13.0,29.0,44.8,16.0,17.0,7.0,10.0,10.0,38.0,27.0,0.0,790.0,1005.0,78.6,13055.0,4596.0,405.0,466.0,86.9,308.0,382.0,80.6,63.0,97.0,64.9,1,3.0,3.3,-2.0,28.0,57.0,30.0,8.0,109.0,1005.0,874.0,128.0,12.0,1.0,5.0,37.0,111.0,4.0,4.0,0.0,0.0,790.0,3.0,31.0,40.0,299.0,507.0,460.0,73.0,1240.0,91.0,49.0,53.8,42.0,46.2,843.0,6948.0,3744.0,109.0,88.0,34.0,45.0,23.0,848.0,128.0,3,26.0,10.0,38.5,1.31,0.5,0.12,0.3,19.0,1.0,0,0,3.1,3.1,0.12,-0.1,-0.1,78.0,3.92,63.0,0.0,9.0,1.0,5.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,"1,789",69,52.3,19.9,21,80.0,10,5,24.0,6,1.23,24,19,5,0.25,0.25,26.4,26.0,0.5,0.02,0.32,4,0,0,14.0,31.0,4.0,37.0,10.0,13.0,0.0,1.0,0,111.0,13.0,15.0,46.4,,,,
2022-2023,23,Parma,itITA,2.Serie B,28,"1,678",6,2,2.0,82.0,0.0,0.0,,,,,30,"1,760",6,2,20,"1,678",18.6,6,2,8,5,1,1,1,0,5.4,4.6,3.0,7.6,72.0,116.0,182.0,0.32,0.11,0.43,0.27,0.38,0.29,0.16,0.45,0.25,0.41,15.0,9.0,4.0,9.0,2.0,7.0,25.0,28.0,18.0,8.0,1.0,7.0,5.0,20.0,9.0,0.0,591.0,765.0,77.3,9074.0,2699.0,343.0,390.0,87.9,194.0,236.0,82.2,40.0,85.0,47.1,2,3.0,3.4,-1.0,35.0,32.0,54.0,6.0,116.0,765.0,695.0,67.0,8.0,5.0,7.0,75.0,9.0,50.0,17.0,19.0,0.0,591.0,3.0,26.0,9.0,77.0,357.0,549.0,84.0,965.0,91.0,45.0,49.5,40.0,44.0,623.0,4702.0,2197.0,72.0,53.0,36.0,43.0,29.0,714.0,182.0,6,40.0,12.0,30.0,2.15,0.64,0.13,0.42,16.3,0.0,1,1,5.4,4.6,0.12,0.6,0.4,83.0,4.45,57.0,6.0,11.0,4.0,4.0,1.0,9.0,0.48,3.0,0.0,4.0,1.0,1.0,0.0,"1,678",60,49.1,18.6,20,71.0,2,8,33.0,2,1.53,23,21,2,0.11,-0.25,28.1,18.0,10.2,0.55,0.36,1,0,0,15.0,20.0,3.0,75.0,5.0,9.0,0.0,0.0,0,94.0,9.0,22.0,29.0,,,,
2023-2024,24,Parma,itITA,2.Serie B,32,"2,338",11,6,3.0,184.0,2.0,0.0,,,,,35,"2,522",13,6,29,"2,338",26.0,11,6,17,9,2,3,2,0,11.0,8.6,5.3,13.9,111.0,142.0,272.0,0.42,0.23,0.65,0.35,0.58,0.42,0.21,0.63,0.33,0.54,23.0,12.0,6.0,10.0,7.0,10.0,26.0,38.5,16.0,18.0,0.0,18.0,17.0,40.0,13.0,0.0,848.0,1062.0,79.8,12955.0,4176.0,484.0,559.0,86.6,302.0,354.0,85.3,41.0,83.0,49.4,6,5.3,7.3,0.7,60.0,59.0,77.0,9.0,142.0,1062.0,962.0,97.0,8.0,7.0,5.0,74.0,20.0,69.0,26.0,7.0,1.0,848.0,3.0,30.0,13.0,126.0,483.0,818.0,154.0,1399.0,145.0,76.0,52.4,67.0,46.2,908.0,6772.0,3224.0,111.0,79.0,50.0,59.0,31.0,998.0,272.0,11,64.0,30.0,46.9,2.46,1.15,0.14,0.3,15.1,1.0,2,3,11.0,8.6,0.13,0.0,0.4,137.0,5.28,93.0,15.0,17.0,7.0,5.0,0.0,16.0,0.62,14.0,1.0,0.0,1.0,0.0,0.0,"2,338",73,68.4,26.0,29,77.0,11,3,38.0,1,2.03,45,24,21,0.81,-0.02,37.5,23.5,14.0,0.54,0.51,2,0,0,24.0,28.0,4.0,74.0,17.0,12.0,0.0,0.0,0,126.0,27.0,28.0,49.1,,,,
2024-2025,25,Parma,itITA,1.Serie A,32,"1,990",4,4,1.0,80.0,0.0,0.0,,,,,33,"2,070",4,4,23,"1,990",22.1,4,4,8,4,0,0,0,0,4.6,4.6,4.2,8.8,67.0,59.0,141.0,0.18,0.18,0.36,0.18,0.36,0.21,0.19,0.4,0.21,0.4,13.0,6.0,7.0,3.0,3.0,6.0,24.0,25.0,18.0,15.0,3.0,12.0,8.0,21.0,11.0,0.0,629.0,790.0,79.6,8875.0,2232.0,396.0,463.0,85.5,167.0,200.0,83.5,38.0,64.0,59.4,4,4.2,2.7,-0.2,45.0,44.0,25.0,5.0,59.0,790.0,733.0,56.0,8.0,4.0,3.0,33.0,12.0,30.0,7.0,1.0,0.0,629.0,1.0,28.0,8.0,100.0,423.0,513.0,84.0,1020.0,75.0,25.0,33.3,45.0,60.0,659.0,4450.0,1899.0,67.0,40.0,31.0,44.0,31.0,735.0,141.0,4,45.0,18.0,40.0,2.04,0.81,0.09,0.22,17.4,0.0,0,0,4.6,4.6,0.1,-0.6,-0.6,79.0,3.57,61.0,8.0,5.0,3.0,1.0,1.0,7.0,0.32,5.0,1.0,0.0,1.0,0.0,0.0,"1,990",62,65.0,22.1,23,77.0,9,9,26.0,0,0.97,26,40,-14,-0.63,-0.72,25.0,40.4,-15.4,-0.7,-0.7,0,0,0,8.0,17.0,4.0,33.0,8.0,6.0,0.0,0.0,0,72.0,9.0,17.0,34.6,,,,
