Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,17,Manchester City,engENG,1.Premier League,,,,,,,,,,,,,,,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7.0,,0.0,0.51,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,,6.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"£ 400(€ 460, $505)","£ 20,800(€ 23,944, $26,246)",Estimación no verificada,https://fbref.com/es/jugadores/30941e96/Angelino
2015-2016,18,Manchester City,engENG,1.Premier League,,,,,1.0,10.0,0.0,0.0,,,,,1.0,10,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,2.0,,,,,,,,,,,,3.0,0.0,0.0,,,,,,,,,0.0,,,,,"£ 60,000(€ 69,068, $75,708)","£ 3,120,000(€ 3,591,538, $3,936,829)",Estimación no verificada,https://fbref.com/es/jugadores/30941e96/Angelino
2016-2017,19,Manchester City,engENG,1.Premier League,,,,,1.0,57.0,0.0,1.0,,,,,1.0,57,0,1,14.0,"1,237",13.7,0.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,,,,,,,,0.0,0.22,0.22,0.0,0.22,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,11.0,,0.0,0.32,,0.27,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,237",77.0,32.7,13.7,14.0,,12.0,2.0,,0.0,1.12,14.0,18.0,-4.0,-0.29,-0.15,,,,,,3.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 90,385(£ 78,510, $99,060)","€ 4,700,000(£ 4,082,536, $5,151,098)",Estimación no verificada,https://fbref.com/es/jugadores/30941e96/Angelino
2016-2017,19,Mallorca,esESP,2.La Liga 2,16.0,"1,237",0.0,3.0,,,,,,,,,16.0,"1,237",0,3,6.0,540,6.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,0.0,0.17,0.17,0.0,0.17,,,,,,74.0,41.0,39.0,28.0,7.0,37.0,60.0,61.7,23.0,34.0,7.0,27.0,48.0,122.0,89.0,0.0,1803.0,2442.0,73.8,29085.0,10813.0,937.0,1055.0,88.8,661.0,909.0,72.7,149.0,329.0,45.3,9.0,10.8,10.1,-1.8,68.0,146.0,88.0,44.0,194.0,2442.0,2001.0,438.0,45.0,2.0,8.0,212.0,380.0,13.0,1.0,9.0,2.0,1803.0,3.0,59.0,86.0,579.0,1343.0,927.0,89.0,2815.0,77.0,49.0,63.6,28.0,36.4,1542.0,8670.0,5216.0,143.0,110.0,25.0,45.0,23.0,1671.0,274.0,1.0,28.0,13.0,46.4,0.83,0.38,0.04,0.08,18.4,2.0,0.0,0.0,2.0,2.0,0.07,-1.0,-1.0,129.0,3.81,106.0,8.0,6.0,2.0,5.0,2.0,17.0,0.5,14.0,1.0,0.0,0.0,0.0,2.0,540,90.0,27.3,6.0,6.0,90.0,6.0,0.0,,0.0,1.83,10.0,7.0,3.0,0.5,-0.63,,,,,,3.0,0.0,0.0,18.0,38.0,10.0,212.0,48.0,41.0,0.0,0.0,0.0,243.0,27.0,20.0,57.4,"€ 90,385(£ 78,510, $99,060)","€ 4,700,000(£ 4,082,536, $5,151,098)",Estimación no verificada,https://fbref.com/es/jugadores/30941e96/Angelino
2016-2017,19,Manchester City,engENG,Jr.PL2 — Div. 1,6.0,540,0.0,1.0,,,,,,,,,6.0,540,0,1,34.0,"3,060",34.0,3.0,6.0,9.0,3.0,0.0,0.0,3.0,0.0,,,,,,,,0.09,0.18,0.26,0.09,0.26,,,,,,5.0,2.0,3.0,1.0,1.0,5.0,7.0,71.4,2.0,1.0,0.0,1.0,9.0,14.0,15.0,0.0,333.0,429.0,77.6,5053.0,1272.0,178.0,201.0,88.6,131.0,169.0,77.5,16.0,36.0,44.4,0.0,1.5,1.1,-1.5,9.0,30.0,16.0,9.0,41.0,429.0,377.0,50.0,4.0,0.0,1.0,43.0,46.0,0.0,0.0,0.0,0.0,333.0,2.0,8.0,14.0,89.0,186.0,208.0,11.0,478.0,5.0,4.0,80.0,1.0,20.0,333.0,1405.0,797.0,21.0,28.0,1.0,6.0,3.0,338.0,70.0,0.0,5.0,0.0,0.0,1.06,0.0,0.0,,19.8,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,15.0,3.19,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,060",90.0,100.0,34.0,34.0,,34.0,0.0,,0.0,1.0,41.0,57.0,-16.0,-0.47,,,,,,,1.0,0.0,0.0,2.0,2.0,0.0,43.0,9.0,2.0,0.0,0.0,0.0,29.0,6.0,7.0,46.2,"€ 90,385(£ 78,510, $99,060)","€ 4,700,000(£ 4,082,536, $5,151,098)",Estimación no verificada,https://fbref.com/es/jugadores/30941e96/Angelino
2017-2018,20,NAC Breda,nlNED,1.Eredivisie,34.0,"3,060",3.0,6.0,,,,,,,,,34.0,"3,060",3,6,34.0,"3,048",33.9,1.0,9.0,10.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,10.8,12.8,143.0,194.0,274.0,0.03,0.27,0.3,0.03,0.3,0.06,0.32,0.38,0.06,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"3,048",90.0,99.6,33.9,34.0,90.0,32.0,0.0,,0.0,2.44,96.0,26.0,70.0,2.07,-12.93,89.5,25.8,63.7,1.88,-5.4,0.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 90,385(£ 77,759, $98,832)","€ 4,700,000(£ 4,043,459, $5,139,265)",Estimación no verificada,https://fbref.com/es/jugadores/30941e96/Angelino
2018-2019,21,PSV Eindhoven,nlNED,1.Eredivisie,34.0,"3,048",1.0,9.0,,,,,6.0,540.0,0.0,1.0,40.0,"3,588",1,10,4.0,423,4.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.5,1.7,21.0,41.0,70.0,0.0,0.0,0.0,0.0,0.0,0.05,0.32,0.36,0.05,0.36,15.0,9.0,7.0,5.0,3.0,5.0,15.0,33.3,10.0,14.0,1.0,13.0,19.0,34.0,24.0,0.0,574.0,767.0,74.8,9428.0,3269.0,282.0,324.0,87.0,208.0,262.0,79.4,56.0,117.0,47.9,2.0,2.0,2.8,0.0,19.0,42.0,22.0,7.0,56.0,767.0,613.0,151.0,19.0,1.0,5.0,80.0,102.0,30.0,20.0,3.0,0.0,574.0,3.0,20.0,24.0,187.0,396.0,303.0,26.0,881.0,25.0,20.0,80.0,5.0,20.0,430.0,2075.0,1099.0,24.0,16.0,12.0,15.0,6.0,518.0,92.0,1.0,5.0,2.0,40.0,0.41,0.16,0.2,0.5,12.5,0.0,0.0,0.0,0.9,0.9,0.18,0.1,0.1,41.0,3.37,27.0,9.0,3.0,1.0,1.0,0.0,5.0,0.41,4.0,0.0,1.0,0.0,0.0,0.0,423,71.0,12.4,4.7,4.0,90.0,4.0,2.0,32.0,9.0,2.0,11.0,7.0,4.0,0.85,-1.04,11.4,4.9,6.5,1.38,-0.09,2.0,0.0,0.0,12.0,16.0,3.0,80.0,19.0,9.0,0.0,0.0,0.0,73.0,7.0,21.0,25.0,"€ 38,462(£ 32,493, $41,332)","€ 2,000,000(£ 1,689,658, $2,149,289)",,https://fbref.com/es/jugadores/30941e96/Angelino
2019-2020,22,Manchester City,engENG,1.Premier League,6.0,423,0.0,0.0,5.0,378.0,0.0,2.0,1.0,90.0,0.0,0.0,12.0,891,0,2,1.0,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,31.0,19.0,10.0,18.0,3.0,13.0,24.0,54.2,11.0,22.0,1.0,21.0,30.0,61.0,40.0,0.0,1057.0,1500.0,70.5,17210.0,6049.0,561.0,634.0,88.5,373.0,516.0,72.3,92.0,248.0,37.1,4.0,5.5,7.2,-1.5,52.0,70.0,55.0,28.0,93.0,1500.0,1207.0,284.0,44.0,1.0,4.0,184.0,193.0,47.0,23.0,15.0,0.0,1057.0,9.0,36.0,35.0,339.0,743.0,649.0,79.0,1723.0,32.0,16.0,50.0,16.0,50.0,848.0,4039.0,2112.0,47.0,36.0,14.0,26.0,13.0,1072.0,242.0,4.0,35.0,13.0,37.1,1.46,0.54,0.11,0.31,16.1,4.0,0.0,0.0,4.2,4.2,0.12,-0.2,-0.2,96.0,4.0,65.0,14.0,6.0,6.0,3.0,2.0,9.0,0.37,5.0,1.0,1.0,1.0,1.0,0.0,90,90.0,5.6,1.0,1.0,90.0,1.0,0.0,,0.0,0.0,1.0,2.0,-1.0,-1.0,-1.12,,,,,,2.0,0.0,0.0,22.0,27.0,7.0,184.0,30.0,19.0,0.0,0.0,0.0,110.0,12.0,22.0,35.3,"€ 71,154(£ 61,163, $80,810)","€ 3,700,000(£ 3,180,461, $4,202,134)",,https://fbref.com/es/jugadores/30941e96/Angelino
2019-2020,22,Manchester City,engENG,Jr.PL2 — Div. 1,1.0,90,0.0,0.0,,,,,,,,,1.0,90,0,0,12.0,"1,095",12.2,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,2.0,2.9,24.0,56.0,92.0,0.08,0.16,0.25,0.08,0.25,0.07,0.16,0.24,0.07,0.24,28.0,21.0,14.0,13.0,1.0,14.0,30.0,46.7,16.0,24.0,3.0,21.0,29.0,57.0,40.0,0.0,1082.0,1516.0,71.4,17957.0,6443.0,546.0,608.0,89.8,381.0,519.0,73.4,109.0,291.0,37.5,5.0,5.2,8.4,-0.2,52.0,68.0,54.0,36.0,73.0,1516.0,1201.0,304.0,47.0,0.0,6.0,187.0,205.0,52.0,26.0,9.0,0.0,1082.0,11.0,20.0,46.0,401.0,703.0,617.0,60.0,1708.0,19.0,14.0,73.7,5.0,26.3,782.0,2986.0,1429.0,35.0,21.0,11.0,30.0,19.0,1039.0,177.0,2.0,12.0,6.0,50.0,0.47,0.23,0.17,0.33,16.1,0.0,0.0,0.0,1.2,1.2,0.1,0.8,0.8,83.0,3.25,53.0,22.0,3.0,4.0,1.0,0.0,8.0,0.31,5.0,3.0,0.0,0.0,0.0,0.0,"1,095",84.0,35.8,12.2,12.0,89.0,11.0,1.0,25.0,1.0,1.69,22.0,11.0,11.0,0.9,-0.61,20.4,13.3,7.1,0.58,-0.59,3.0,0.0,0.0,15.0,35.0,4.0,187.0,29.0,21.0,0.0,0.0,0.0,155.0,11.0,21.0,34.4,"€ 71,154(£ 61,163, $80,810)","€ 3,700,000(£ 3,180,461, $4,202,134)",,https://fbref.com/es/jugadores/30941e96/Angelino
2019-2020,22,RB Leipzig,deGER,1.Bundesliga,13.0,"1,095",1.0,2.0,1.0,90.0,0.0,1.0,4.0,360.0,0.0,2.0,18.0,"1,545",1,5,24.0,"2,161",24.0,4.0,4.0,8.0,4.0,0.0,0.0,2.0,0.0,4.2,4.2,5.5,9.7,47.0,93.0,242.0,0.17,0.17,0.33,0.17,0.33,0.17,0.23,0.4,0.17,0.4,40.0,24.0,19.0,18.0,3.0,23.0,37.0,62.2,14.0,32.0,6.0,26.0,25.0,65.0,67.0,0.0,1012.0,1544.0,65.5,19297.0,7991.0,424.0,501.0,84.6,433.0,616.0,70.3,143.0,339.0,42.2,8.0,7.2,7.7,0.8,50.0,82.0,52.0,29.0,108.0,1544.0,1160.0,366.0,42.0,1.0,16.0,179.0,276.0,48.0,18.0,23.0,0.0,1012.0,18.0,40.0,78.0,506.0,771.0,533.0,32.0,1798.0,28.0,13.0,46.4,11.0,39.3,818.0,3134.0,1459.0,24.0,26.0,4.0,27.0,15.0,966.0,120.0,0.0,21.0,4.0,19.0,0.72,0.14,0.0,0.0,20.5,4.0,0.0,0.0,1.1,1.1,0.05,-1.1,-1.1,88.0,3.03,61.0,20.0,1.0,2.0,3.0,1.0,10.0,0.34,8.0,1.0,0.0,1.0,0.0,0.0,"2,161",83.0,70.6,24.0,24.0,87.0,18.0,2.0,38.0,2.0,1.88,43.0,20.0,23.0,0.96,0.46,46.2,19.6,26.5,1.11,0.26,2.0,0.0,0.0,12.0,29.0,7.0,179.0,25.0,24.0,0.0,0.0,0.0,148.0,15.0,27.0,35.7,"€ 71,154(£ 61,163, $80,810)","€ 3,700,000(£ 3,180,461, $4,202,134)",,https://fbref.com/es/jugadores/30941e96/Angelino
