Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,16.0,Auxerre,frFRA,2.Ligue 2,2.0,180,0.0,0.0,,,,,,,,,2.0,180,0.0,0.0,2.0,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,180,90.0,5.3,2.0,2.0,,2.0,0.0,,2.0,1.5,1.0,2.0,-1.0,-0.5,-0.19,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 23,077(£ 20,045, $25,292)","€ 1,200,000(£ 1,042,350, $1,315,174)",Estimación no verificada,https://fbref.com/es/jugadores/441197b8/Obite-NDicka
2017-2018,17.0,Auxerre,frFRA,2.Ligue 2,12.0,890,0.0,0.0,2.0,121.0,0.0,1.0,,,,,14.0,"1,011",0.0,1.0,10.0,890,9.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,,0.0,0.1,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,890,74.0,26.0,9.9,10.0,,9.0,2.0,,9.0,0.58,10.0,25.0,-15.0,-1.52,-1.91,,,,,,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 23,077(£ 20,045, $25,292)","€ 1,200,000(£ 1,042,350, $1,315,174)",Estimación no verificada,https://fbref.com/es/jugadores/441197b8/Obite-NDicka
2018-2019,18.0,Eint Frankfurt,deGER,1.Bundesliga,27.0,"2,304",1.0,1.0,,,,,9.0,708.0,0.0,1.0,36.0,"3,012",1.0,2.0,24.0,"2,304",25.6,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,0.1,1.3,30.0,105.0,9.0,0.04,0.04,0.08,0.04,0.08,0.04,0.01,0.05,0.04,0.05,43.0,28.0,31.0,10.0,2.0,31.0,52.0,59.6,21.0,29.0,11.0,18.0,29.0,72.0,123.0,0.0,883.0,1120.0,78.8,16294.0,5800.0,347.0,394.0,88.1,417.0,503.0,82.9,102.0,181.0,56.4,1.0,0.1,0.3,0.9,4.0,84.0,2.0,1.0,105.0,1120.0,1083.0,31.0,22.0,1.0,6.0,2.0,9.0,0.0,0.0,0.0,0.0,883.0,6.0,13.0,109.0,583.0,781.0,68.0,19.0,1418.0,11.0,5.0,45.5,6.0,54.5,721.0,3993.0,2208.0,30.0,21.0,0.0,29.0,11.0,767.0,9.0,1.0,13.0,2.0,15.4,0.51,0.08,0.08,0.5,11.3,0.0,0.0,0.0,1.1,1.1,0.09,-0.1,-0.1,18.0,0.7,15.0,1.0,0.0,1.0,0.0,1.0,3.0,0.12,3.0,0.0,0.0,0.0,0.0,0.0,"2,304",85.0,75.3,25.6,24.0,88.0,23.0,3.0,65.0,4.0,1.67,50.0,37.0,13.0,0.51,0.63,43.5,35.9,7.6,0.3,0.42,3.0,0.0,0.0,27.0,7.0,1.0,2.0,29.0,28.0,0.0,0.0,0.0,167.0,73.0,50.0,59.3,"€ 23,077(£ 20,045, $25,292)","€ 1,200,000(£ 1,042,350, $1,315,174)",Estimación no verificada,https://fbref.com/es/jugadores/441197b8/Obite-NDicka
2019-2020,19.0,Eint Frankfurt,deGER,1.Bundesliga,22.0,"1,721",1.0,1.0,4.0,360.0,0.0,0.0,5.0,405.0,1.0,1.0,31.0,"2,486",2.0,2.0,20.0,"1,721",19.1,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,1.1,1.8,31.0,75.0,43.0,0.05,0.05,0.1,0.05,0.1,0.04,0.06,0.09,0.04,0.09,27.0,13.0,13.0,11.0,3.0,15.0,28.0,53.6,13.0,28.0,6.0,22.0,29.0,56.0,57.0,0.0,866.0,1069.0,81.0,13708.0,5177.0,449.0,499.0,90.0,355.0,419.0,84.7,44.0,99.0,44.4,1.0,1.1,0.8,-0.1,8.0,62.0,5.0,1.0,75.0,1069.0,927.0,140.0,17.0,0.0,4.0,10.0,123.0,0.0,0.0,0.0,0.0,866.0,2.0,23.0,71.0,460.0,671.0,150.0,18.0,1274.0,22.0,18.0,81.8,4.0,18.2,576.0,2942.0,1554.0,31.0,23.0,2.0,25.0,7.0,721.0,43.0,1.0,10.0,2.0,20.0,0.52,0.1,0.1,0.5,13.0,0.0,0.0,0.0,0.7,0.7,0.07,0.3,0.3,23.0,1.2,21.0,0.0,1.0,1.0,0.0,0.0,2.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0,"1,721",78.0,56.2,19.1,20.0,85.0,15.0,2.0,15.0,12.0,1.09,28.0,35.0,-7.0,-0.37,-0.77,30.0,28.0,2.0,0.1,-0.41,3.0,0.0,0.0,17.0,8.0,0.0,10.0,29.0,13.0,0.0,1.0,1.0,145.0,39.0,28.0,58.2,"€ 23,077(£ 20,045, $25,292)","€ 1,200,000(£ 1,042,350, $1,315,174)",Estimación no verificada,https://fbref.com/es/jugadores/441197b8/Obite-NDicka
2020-2021,20.0,Eint Frankfurt,deGER,1.Bundesliga,23.0,"2,044",3.0,1.0,2.0,180.0,0.0,0.0,,,,,25.0,"2,224",3.0,1.0,23.0,"2,044",22.7,3.0,1.0,4.0,3.0,0.0,0.0,10.0,0.0,1.4,1.4,0.4,1.8,43.0,95.0,29.0,0.13,0.04,0.18,0.13,0.18,0.06,0.02,0.08,0.06,0.08,31.0,23.0,16.0,15.0,0.0,16.0,28.0,57.1,12.0,27.0,6.0,21.0,47.0,78.0,85.0,0.0,1142.0,1356.0,84.2,18110.0,6946.0,596.0,646.0,92.3,467.0,548.0,85.2,62.0,114.0,54.4,1.0,0.4,1.1,0.6,6.0,66.0,4.0,1.0,95.0,1356.0,1263.0,92.0,30.0,0.0,6.0,14.0,62.0,0.0,0.0,0.0,0.0,1142.0,1.0,19.0,119.0,630.0,841.0,177.0,30.0,1633.0,20.0,10.0,50.0,10.0,50.0,952.0,5125.0,2861.0,43.0,45.0,5.0,26.0,13.0,1034.0,29.0,3.0,17.0,5.0,29.4,0.75,0.22,0.18,0.6,10.9,0.0,0.0,0.0,1.4,1.4,0.08,1.6,1.6,24.0,1.06,20.0,2.0,1.0,1.0,0.0,0.0,5.0,0.22,4.0,1.0,0.0,0.0,0.0,0.0,"2,044",89.0,66.8,22.7,23.0,89.0,22.0,0.0,,4.0,1.96,51.0,35.0,16.0,0.7,0.7,36.5,31.4,5.1,0.23,-0.35,10.0,0.0,0.0,33.0,31.0,0.0,14.0,47.0,23.0,0.0,0.0,0.0,171.0,48.0,41.0,53.9,"€ 23,077(£ 19,853, $25,234)","€ 1,200,000(£ 1,032,372, $1,312,153)",,https://fbref.com/es/jugadores/441197b8/Obite-NDicka
2021-2022,21.0,Eint Frankfurt,deGER,1.Bundesliga,32.0,"2,857",4.0,4.0,1.0,90.0,0.0,0.0,11.0,969.0,0.0,0.0,44.0,"3,916",4.0,4.0,32.0,"2,857",31.7,4.0,4.0,8.0,4.0,0.0,0.0,3.0,0.0,2.6,2.6,1.5,4.1,37.0,114.0,11.0,0.13,0.13,0.25,0.13,0.25,0.08,0.05,0.13,0.08,0.13,60.0,34.0,29.0,27.0,4.0,44.0,59.0,74.6,15.0,46.0,20.0,26.0,48.0,108.0,137.0,0.0,1581.0,1892.0,83.6,27387.0,9785.0,684.0,751.0,91.1,790.0,889.0,88.9,92.0,202.0,45.5,4.0,1.5,1.2,2.5,11.0,68.0,8.0,2.0,114.0,1892.0,1832.0,54.0,34.0,1.0,10.0,12.0,20.0,0.0,0.0,0.0,0.0,1581.0,6.0,17.0,235.0,1119.0,1059.0,132.0,36.0,2288.0,16.0,13.0,81.3,3.0,18.8,1317.0,6206.0,2933.0,37.0,26.0,2.0,21.0,6.0,1444.0,11.0,4.0,26.0,5.0,19.2,0.82,0.16,0.15,0.8,9.0,0.0,0.0,0.0,2.6,2.6,0.1,1.4,1.4,28.0,0.88,24.0,1.0,1.0,2.0,0.0,0.0,7.0,0.22,5.0,0.0,0.0,2.0,0.0,0.0,"2,857",89.0,93.4,31.7,32.0,89.0,31.0,0.0,,1.0,1.22,43.0,46.0,-3.0,-0.09,0.35,39.0,42.6,-3.6,-0.11,0.66,3.0,0.0,0.0,42.0,14.0,4.0,12.0,48.0,34.0,0.0,1.0,1.0,211.0,112.0,66.0,62.9,"€ 98,654(£ 83,346, $106,018)","€ 5,130,000(£ 4,333,973, $5,512,927)",,https://fbref.com/es/jugadores/441197b8/Obite-NDicka
2022-2023,22.0,Eint Frankfurt,deGER,1.Bundesliga,30.0,"2,692",1.0,0.0,5.0,405.0,1.0,0.0,9.0,810.0,0.0,1.0,44.0,"3,907",2.0,1.0,30.0,"2,692",29.9,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.4,1.4,0.2,1.6,16.0,94.0,5.0,0.03,0.0,0.03,0.03,0.03,0.05,0.01,0.05,0.05,0.05,25.0,18.0,10.0,11.0,4.0,18.0,32.0,56.3,14.0,47.0,19.0,28.0,31.0,56.0,150.0,0.0,1563.0,1815.0,86.1,26918.0,10983.0,683.0,736.0,92.8,750.0,834.0,89.9,108.0,199.0,54.3,0.0,0.2,0.3,-0.2,3.0,74.0,3.0,0.0,94.0,1815.0,1755.0,58.0,52.0,1.0,7.0,4.0,6.0,0.0,0.0,0.0,0.0,1563.0,2.0,14.0,234.0,1078.0,1003.0,90.0,25.0,2159.0,10.0,6.0,60.0,3.0,30.0,1265.0,5821.0,3115.0,16.0,14.0,2.0,18.0,5.0,1394.0,5.0,1.0,17.0,3.0,17.6,0.57,0.1,0.06,0.33,12.7,0.0,0.0,0.0,1.4,1.4,0.08,-0.4,-0.4,13.0,0.43,12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,"2,692",90.0,88.0,29.9,30.0,90.0,29.0,0.0,,1.0,1.6,54.0,44.0,10.0,0.33,1.31,47.7,38.5,9.2,0.31,0.46,4.0,0.0,0.0,31.0,14.0,0.0,4.0,31.0,18.0,0.0,1.0,1.0,193.0,77.0,48.0,61.6,"€ 98,654(£ 84,801, $112,042)","€ 5,130,000(£ 4,409,666, $5,826,202)",,https://fbref.com/es/jugadores/441197b8/Obite-NDicka
2023-2024,23.0,Roma,itITA,1.Serie A,25.0,"2,168",0.0,3.0,,,,,9.0,756.0,0.0,0.0,34.0,"2,924",0.0,3.0,25.0,"2,168",24.1,0.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,1.0,2.0,26.0,87.0,11.0,0.0,0.12,0.12,0.0,0.12,0.04,0.04,0.09,0.04,0.09,32.0,18.0,12.0,19.0,1.0,12.0,20.0,60.0,8.0,30.0,16.0,14.0,16.0,48.0,75.0,0.0,1437.0,1587.0,90.5,24097.0,8613.0,655.0,676.0,96.9,687.0,735.0,93.5,79.0,148.0,53.4,3.0,1.0,0.5,2.0,6.0,74.0,3.0,1.0,87.0,1587.0,1523.0,62.0,38.0,0.0,2.0,11.0,7.0,0.0,0.0,0.0,0.0,1437.0,2.0,7.0,230.0,860.0,843.0,81.0,13.0,1770.0,3.0,2.0,66.7,1.0,33.3,1164.0,5998.0,3599.0,26.0,22.0,1.0,7.0,4.0,1345.0,11.0,0.0,9.0,1.0,11.1,0.37,0.04,0.0,0.0,13.2,0.0,0.0,0.0,1.0,1.0,0.11,-1.0,-1.0,23.0,0.95,20.0,1.0,0.0,1.0,1.0,0.0,3.0,0.12,2.0,0.0,0.0,1.0,0.0,0.0,"2,168",87.0,63.4,24.1,25.0,87.0,22.0,0.0,,4.0,1.72,41.0,27.0,14.0,0.58,0.22,31.0,28.6,2.3,0.1,-0.42,6.0,0.0,0.0,26.0,16.0,0.0,11.0,16.0,18.0,0.0,0.0,0.0,100.0,38.0,27.0,58.5,"€ 98,654(£ 84,801, $112,042)","€ 5,130,000(£ 4,409,666, $5,826,202)",,https://fbref.com/es/jugadores/441197b8/Obite-NDicka
2024-2025,24.0,Roma,itITA,1.Serie A,34.0,"3,060",0.0,1.0,2.0,180.0,0.0,0.0,11.0,990.0,1.0,0.0,47.0,"4,230",1.0,1.0,34.0,"3,060",34.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,0.7,1.7,26.0,93.0,5.0,0.0,0.03,0.03,0.0,0.03,0.03,0.02,0.05,0.03,0.05,29.0,23.0,14.0,15.0,0.0,11.0,17.0,64.7,6.0,41.0,27.0,14.0,32.0,61.0,138.0,1.0,2077.0,2260.0,91.9,37730.0,12453.0,756.0,787.0,96.1,1150.0,1201.0,95.8,140.0,223.0,62.8,1.0,0.7,0.4,0.3,8.0,104.0,3.0,0.0,93.0,2260.0,2147.0,110.0,53.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,2077.0,3.0,7.0,325.0,1219.0,1275.0,80.0,25.0,2563.0,3.0,0.0,0.0,2.0,66.7,1550.0,8003.0,3715.0,26.0,17.0,0.0,17.0,3.0,1854.0,5.0,0.0,17.0,5.0,29.4,0.5,0.15,0.0,0.0,11.3,0.0,0.0,0.0,0.9,0.9,0.06,-0.9,-0.9,30.0,0.88,27.0,0.0,0.0,3.0,0.0,0.0,3.0,0.09,1.0,0.0,0.0,2.0,0.0,0.0,"3,060",90.0,100.0,34.0,34.0,90.0,34.0,0.0,,0.0,1.76,49.0,32.0,17.0,0.5,,48.6,35.7,12.9,0.38,,2.0,0.0,0.0,32.0,23.0,1.0,0.0,32.0,23.0,0.0,0.0,0.0,122.0,57.0,44.0,56.4,"€ 98,654(£ 84,801, $112,042)","€ 5,130,000(£ 4,409,666, $5,826,202)",,https://fbref.com/es/jugadores/441197b8/Obite-NDicka
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€ 98,654(£ 84,801, $112,042)","€ 5,130,000(£ 4,409,666, $5,826,202)",,https://fbref.com/es/jugadores/441197b8/Obite-NDicka
