Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2008-2009,15,Genoa,itITA,1.Serie A,1,8,0,0,,,,,,,,,1,8,0,0,0,8,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,8,8,0.2,0.1,0,,,1,,,,,,,,,,,,,,0,0,,0.0,,,,,,,,,,,,,"€ 17,885(£ 15,535, $19,601)","€ 930,000(£ 807,821, $1,019,260)",Estimación no verificada,https://fbref.com/es/jugadores/d3aaad90/Stephan-El-Shaarawy
2009-2010,16,Genoa,itITA,1.Serie A,2,44,0,0,,,,,,,,,2,44,0,0,0,44,0.5,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,44,22,1.3,0.5,0,,,2,,,,,,,,,,,,,,1,0,,1.0,,,,,,,,,,,,,"€ 28,462(£ 24,722, $31,193)","€ 1,480,000(£ 1,285,564, $1,622,048)",Estimación no verificada,https://fbref.com/es/jugadores/d3aaad90/Stephan-El-Shaarawy
2010-2011,17,Padova,itITA,2.Serie B,25,"1,615",7,0,,,,,,,,,25,"1,615",7,0,19,"1,615",17.9,7,0,7,7,0,0,0,0,,,,,,,,0.39,0.0,0.39,0.39,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,22,,,1.23,,0.32,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,615",65,42.7,17.9,19,,,6,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,"€ 79,038(£ 68,655, $86,624)","€ 4,110,000(£ 3,570,047, $4,504,470)",Estimación no verificada,https://fbref.com/es/jugadores/d3aaad90/Stephan-El-Shaarawy
2011-2012,18,Milan,itITA,1.Serie A,22,799,2,2,,,,,2.0,108.0,0.0,0.0,24,907,2,2,6,799,8.9,2,2,4,2,0,0,1,0,,,,,,,,0.23,0.23,0.45,0.23,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,11,,,1.24,,0.18,,,0,0,,,,,,,,,,,,,,,,,,,,,,799,36,23.4,8.9,6,,1.0,16,,,,,,,,,,,,,,1,0,,11.0,,,,,,,,,,,,,"€ 66,923(£ 58,131, $73,346)","€ 3,480,000(£ 3,022,814, $3,814,004)",Estimación no verificada,https://fbref.com/es/jugadores/d3aaad90/Stephan-El-Shaarawy
2012-2013,19,Milan,itITA,1.Serie A,37,"2,825",16,5,,,,,8.0,549.0,2.0,2.0,45,"3,374",18,7,34,"2,825",31.4,16,5,21,16,0,0,3,0,,,,,,,,0.51,0.16,0.67,0.51,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,50,,,1.59,,0.32,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,825",76,82.6,31.4,34,,19.0,3,,,,,,,,,,,,,,3,0,,16.0,,,,,,,,,,,,,"€ 64,038(£ 55,625, $70,185)","€ 3,330,000(£ 2,892,520, $3,649,607)",Estimación no verificada,https://fbref.com/es/jugadores/d3aaad90/Stephan-El-Shaarawy
2013-2014,20,Milan,itITA,1.Serie A,6,213,0,0,,,,,1.0,24.0,0.0,0.0,7,237,0,0,1,213,2.4,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3,,,1.27,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,213,36,6.2,2.4,1,,0.0,5,,,,,,,,,,,,,,1,0,,2.0,,,,,,,,,,,,,"€ 68,077(£ 59,133, $74,611)","€ 3,540,000(£ 3,074,931, $3,879,763)",Estimación no verificada,https://fbref.com/es/jugadores/d3aaad90/Stephan-El-Shaarawy
2014-2015,21,Milan,itITA,1.Serie A,18,"1,194",3,3,1.0,90.0,0.0,0.0,,,,,19,"1,284",3,3,14,"1,194",13.3,3,3,6,3,0,0,3,0,,,,,,,,0.23,0.23,0.45,0.23,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,10,,,0.75,,0.3,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,194",66,34.9,13.3,14,,7.0,4,,4.0,1.28,21.0,14.0,7.0,0.53,0.57,,,,,,3,0,,6.0,,,,,,,,,,,,,"€ 70,577(£ 61,305, $77,351)","€ 3,670,000(£ 3,187,852, $4,022,240)",Estimación no verificada,https://fbref.com/es/jugadores/d3aaad90/Stephan-El-Shaarawy
2015-2016,22,Monaco,frFRA,1.Ligue 1,15,681,0,0,,,,,6.0,399.0,2.0,1.0,21,"1,080",2,1,7,681,7.6,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,9,,,1.19,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,681,45,19.9,7.6,7,,0.0,8,,3.0,1.33,13.0,8.0,5.0,0.66,0.6,,,,,,1,0,,2.0,,,,,,,,,,,,,"€ 71,154(£ 61,806, $77,983)","€ 3,700,000(£ 3,213,911, $4,055,119)",Estimación no verificada,https://fbref.com/es/jugadores/d3aaad90/Stephan-El-Shaarawy
2015-2016,22,Roma,itITA,1.Serie A,16,"1,191",8,2,,,,,2.0,138.0,0.0,0.0,18,"1,329",8,2,15,"1,191",13.2,8,2,10,8,0,0,0,0,,,,,,,,0.6,0.15,0.76,0.6,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,21,,,1.59,,0.38,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,191",74,34.8,13.2,15,,3.0,1,,1.0,2.63,27.0,10.0,17.0,1.28,0.28,,,,,,0,0,,11.0,,,,,,,,,,,,,"€ 124,615(£ 108,244, $136,576)","€ 6,480,000(£ 5,628,687, $7,101,939)",,https://fbref.com/es/jugadores/d3aaad90/Stephan-El-Shaarawy
2016-2017,23,Roma,itITA,1.Serie A,32,"1,630",8,3,4.0,239.0,2.0,2.0,7.0,370.0,2.0,0.0,43,"2,239",12,5,19,"1,630",18.1,8,3,11,8,0,0,0,0,,,,,,,,0.44,0.17,0.61,0.44,0.61,,,,,,,11.0,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,65.0,28,43.1,3.59,1.55,0.12,0.29,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,630",51,47.7,18.1,19,,7.0,13,,5.0,2.16,44.0,19.0,25.0,1.38,0.02,,,,,,0,0,0.0,15.0,29.0,15.0,32.0,19.0,11.0,1.0,0.0,0.0,,,,,"€ 124,615(£ 108,244, $136,576)","€ 6,480,000(£ 5,628,687, $7,101,939)",,https://fbref.com/es/jugadores/d3aaad90/Stephan-El-Shaarawy
