Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,18,Sheffield Utd,engENG,3.League One,10,467,0,0,2.0,63.0,2.0,0.0,,,,,12,530,2,0,5,467,5.2,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3.0,,,0.58,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,467,47,11.3,5.2,5,,2,5,,18,1.27,4,3,1,0.19,-0.1,,,,,,1,0,,2.0,,,,,,,,,,,,,"£ 30,000(€ 34,534, $37,854)","£ 1,560,000(€ 1,795,769, $1,968,415)",Estimación no verificada,https://fbref.com/es/jugadores/f2bf1b0f/Che-Adams
2015-2016,19,Sheffield Utd,engENG,3.League One,36,"2,633",11,2,4.0,147.0,0.0,0.0,,,,,40,"2,780",11,2,29,"2,633",29.3,11,2,13,10,1,1,5,0,,,,,,,,0.38,0.07,0.44,0.34,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,37.0,,,1.26,,0.27,,,1,1,,,,,,,,,,,,,,,,,,,,,,"2,633",73,63.6,29.3,29,,19,7,,3,1.39,39,35,4,0.14,0.08,,,,,,5,0,,60.0,,,,,,,,,,,,,"£ 30,000(€ 34,534, $37,854)","£ 1,560,000(€ 1,795,769, $1,968,415)",,https://fbref.com/es/jugadores/f2bf1b0f/Che-Adams
2016-2017,20,Sheffield Utd,engENG,3.League One,1,24,0,0,,,,,,,,,1,24,0,0,0,24,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,24,24,0.6,0.3,0,,0,1,,0,0.0,0,0,0,0.0,-0.98,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"£ 30,000(€ 34,534, $37,854)","£ 1,560,000(€ 1,795,769, $1,968,415)",,https://fbref.com/es/jugadores/f2bf1b0f/Che-Adams
2016-2017,20,Birmingham City,engENG,2.Championship,40,"2,619",7,3,2.0,180.0,0.0,0.0,,,,,42,"2,799",7,3,28,"2,619",29.1,7,3,10,7,0,0,3,1,,,,,,,,0.24,0.1,0.34,0.24,0.34,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.0,25.0,,0.0,0.86,,0.28,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,619",65,63.3,29.1,28,,17,12,,5,1.15,27,49,-22,-0.76,-0.93,,,,,,3,1,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"£ 30,000(€ 34,871, $38,130)","£ 1,560,000(€ 1,813,299, $1,982,771)",,https://fbref.com/es/jugadores/f2bf1b0f/Che-Adams
2017-2018,21,Birmingham City,engENG,2.Championship,30,"1,541",5,2,3.0,263.0,4.0,0.0,,,,,33,"1,804",9,2,16,"1,541",17.1,5,2,7,5,0,0,1,1,,,,,,,,0.29,0.12,0.41,0.29,0.41,,,,,,,11.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,47.0,20.0,42.6,2.74,1.17,0.11,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,541",51,37.2,17.1,16,,6,14,,1,1.1,14,23,-9,-0.53,0.2,,,,,,1,1,0.0,28.0,20.0,15.0,24.0,5.0,11.0,0.0,0.0,0.0,,,,,"€ 64,038(£ 55,046, $72,729)","€ 3,330,000(£ 2,862,415, $3,781,920)",,https://fbref.com/es/jugadores/f2bf1b0f/Che-Adams
2018-2019,22,Birmingham City,engENG,2.Championship,46,"3,728",22,4,2.0,115.0,0.0,0.0,,,,,48,"3,843",22,4,43,"3,728",41.4,22,4,26,21,1,1,5,0,15.9,15.4,6.2,21.6,69.0,61.0,332.0,0.53,0.1,0.63,0.51,0.6,0.39,0.15,0.53,0.37,0.52,26.0,20.0,4.0,16.0,6.0,2.0,9.0,22.2,7.0,28.0,3.0,25.0,8.0,34.0,26.0,0.0,526.0,792.0,66.4,8111.0,1453.0,257.0,374.0,68.7,195.0,266.0,73.3,39.0,63.0,61.9,4,6.2,5.1,-2.2,67.0,33.0,19.0,5.0,61.0,792.0,704.0,86.0,4.0,6.0,6.0,34.0,2.0,0.0,0.0,0.0,0.0,526.0,2.0,34.0,19.0,64.0,453.0,749.0,189.0,1248.0,78.0,39.0,50.0,39.0,50.0,797.0,4498.0,1745.0,69.0,44.0,40.0,123.0,84.0,926.0,332.0,22,113.0,54.0,47.8,2.73,1.3,0.19,0.39,16.5,0.0,1,1,15.9,15.4,0.14,6.1,5.6,133.0,3.21,91.0,2.0,12.0,11.0,16.0,1.0,15.0,0.36,8.0,0.0,6.0,1.0,0.0,0.0,"3,728",81,90.0,41.4,43,86.0,28,3,16.0,0,1.33,61,56,5,0.12,-0.1,51.1,54.0,-3.0,-0.07,-0.08,5,0,0.0,76.0,67.0,15.0,34.0,8.0,20.0,0.0,0.0,0.0,122.0,38.0,133.0,22.2,"€ 64,038(£ 55,046, $72,729)","€ 3,330,000(£ 2,862,415, $3,781,920)",,https://fbref.com/es/jugadores/f2bf1b0f/Che-Adams
2019-2020,23,Southampton,engENG,Jr.PL2 — Div. 1,1,90,1,0,,,,,,,,,1,90,1,0,1,90,1.0,1,0,1,1,0,0,0,0,,,,,,,,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,90,90,5.6,1.0,1,90.0,1,0,,0,0.0,1,3,-2,-2.0,-0.71,,,,,,0,0,0.0,,,,,,,,,0.0,,,,,"€ 64,038(£ 55,046, $72,729)","€ 3,330,000(£ 2,862,415, $3,781,920)",,https://fbref.com/es/jugadores/f2bf1b0f/Che-Adams
2019-2020,23,Southampton,engENG,1.Premier League,30,"1,111",4,2,5.0,229.0,0.0,1.0,,,,,35,"1,340",4,3,12,"1,111",12.3,4,2,6,4,0,0,0,0,5.3,5.3,1.7,7.0,20.0,16.0,87.0,0.32,0.16,0.49,0.32,0.49,0.43,0.14,0.57,0.43,0.57,6.0,4.0,1.0,5.0,0.0,1.0,4.0,25.0,3.0,9.0,1.0,8.0,2.0,8.0,10.0,0.0,162.0,263.0,61.6,2292.0,522.0,97.0,124.0,78.2,44.0,73.0,60.3,9.0,19.0,47.4,2,1.7,0.6,0.3,13.0,9.0,3.0,0.0,16.0,263.0,261.0,0.0,0.0,4.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,162.0,2.0,10.0,11.0,29.0,181.0,214.0,60.0,418.0,25.0,18.0,72.0,7.0,28.0,232.0,1282.0,464.0,20.0,16.0,10.0,40.0,21.0,298.0,87.0,4,36.0,9.0,25.0,2.92,0.73,0.11,0.44,15.2,0.0,0,0,5.3,5.3,0.15,-1.3,-1.3,29.0,2.35,18.0,0.0,4.0,3.0,3.0,1.0,6.0,0.49,3.0,0.0,1.0,0.0,2.0,0.0,"1,111",37,32.5,12.3,12,73.0,0,18,13.0,6,1.47,17,17,0,0.0,0.35,20.0,17.7,2.3,0.19,0.15,0,0,0.0,17.0,16.0,10.0,13.0,2.0,4.0,1.0,0.0,0.0,51.0,41.0,75.0,35.3,,,,
2020-2021,24,Southampton,engENG,1.Premier League,36,"2,667",9,5,6.0,301.0,0.0,0.0,,,,,42,"2,968",9,5,30,"2,667",29.6,9,5,14,9,0,0,1,0,9.8,9.8,5.0,14.8,32.0,57.0,149.0,0.3,0.17,0.47,0.3,0.47,0.33,0.17,0.5,0.33,0.5,25.0,16.0,4.0,15.0,6.0,6.0,17.0,35.3,11.0,20.0,2.0,18.0,4.0,29.0,19.0,1.0,431.0,622.0,69.3,6240.0,1416.0,228.0,308.0,74.0,125.0,162.0,77.2,34.0,49.0,69.4,5,5.0,3.0,0.0,37.0,35.0,23.0,1.0,57.0,622.0,615.0,2.0,1.0,7.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,431.0,5.0,19.0,24.0,98.0,403.0,439.0,97.0,926.0,50.0,28.0,56.0,22.0,44.0,516.0,2336.0,900.0,32.0,28.0,13.0,88.0,44.0,713.0,149.0,9,55.0,31.0,56.4,1.86,1.05,0.16,0.29,13.8,0.0,0,0,9.8,9.8,0.18,-0.8,-0.8,68.0,2.29,50.0,0.0,2.0,7.0,9.0,0.0,7.0,0.24,6.0,0.0,0.0,0.0,1.0,0.0,"2,667",74,78.0,29.6,30,84.0,16,6,25.0,0,1.11,39,51,-12,-0.4,0.67,32.1,37.4,-5.3,-0.18,0.6,1,0,0.0,30.0,55.0,19.0,6.0,4.0,16.0,0.0,0.0,0.0,84.0,53.0,133.0,28.5,,,,
2021-2022,25,Southampton,engENG,1.Premier League,30,"2,039",7,3,3.0,133.0,1.0,0.0,,,,,33,"2,172",8,3,23,"2,039",22.7,7,3,10,7,0,0,0,0,7.1,7.1,3.0,10.1,19.0,33.0,153.0,0.31,0.13,0.44,0.31,0.44,0.31,0.13,0.45,0.31,0.45,13.0,6.0,5.0,5.0,3.0,2.0,16.0,12.5,14.0,18.0,2.0,16.0,8.0,21.0,18.0,0.0,304.0,472.0,64.4,4188.0,1017.0,188.0,256.0,73.4,73.0,106.0,68.9,18.0,34.0,52.9,3,3.0,1.7,0.0,26.0,24.0,10.0,0.0,33.0,472.0,468.0,2.0,0.0,4.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,304.0,2.0,22.0,22.0,81.0,293.0,344.0,94.0,712.0,35.0,20.0,57.1,15.0,42.9,394.0,1804.0,651.0,19.0,13.0,13.0,59.0,34.0,537.0,153.0,7,49.0,24.0,49.0,2.16,1.06,0.14,0.29,13.3,0.0,0,0,7.1,7.1,0.15,-0.1,-0.1,51.0,2.25,32.0,0.0,2.0,4.0,11.0,2.0,5.0,0.22,3.0,0.0,1.0,0.0,0.0,1.0,"2,039",68,59.6,22.7,23,82.0,13,7,22.0,4,1.03,25,40,-15,-0.66,-0.08,28.5,36.1,-7.7,-0.34,0.16,0,0,0.0,29.0,40.0,7.0,8.0,8.0,6.0,0.0,0.0,0.0,70.0,61.0,91.0,40.1,,,,
