Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2012-2013,16,RB Salzburg,atAUT,1.Bundesliga,5,157,0,0,,,,,,,,,5,157,0,0,2,157,1.7,0,0,0,0,0,0,2,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,,,1.15,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,157,31,4.8,1.7,2,,,3,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,"€ 7,692(£ 6,682, $8,431)","€ 400,000(£ 347,450, $438,391)",Estimación no verificada,https://fbref.com/es/jugadores/016ff750/Valentino-Lazaro
2013-2014,17,RB Salzburg,atAUT,1.Bundesliga,11,440,2,0,,,,,1.0,1.0,0.0,0.0,12,441,2,0,4,440,4.9,2,0,2,2,0,0,2,0,,,,,,,,0.41,0.0,0.41,0.41,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,,,0.82,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,440,40,13.6,4.9,4,,,7,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,"€ 23,077(£ 20,045, $25,292)","€ 1,200,000(£ 1,042,350, $1,315,174)",Estimación no verificada,https://fbref.com/es/jugadores/016ff750/Valentino-Lazaro
2014-2015,18,RB Salzburg,atAUT,1.Bundesliga,25,"1,476",4,5,,,,,2.0,111.0,0.0,0.0,27,"1,587",4,5,17,"1,476",16.4,4,5,9,4,0,0,4,0,,,,,,,,0.24,0.3,0.55,0.24,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,12,,,0.73,,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,476",59,45.6,16.4,17,,8.0,8,,2.0,2.12,50.0,14.0,36.0,2.2,1.12,,,,,,4,0,,,,,,,,,,,,,,,"£ 38,077(€ 43,832, $48,046)","£ 1,980,000(€ 2,279,245, $2,498,372)",,https://fbref.com/es/jugadores/016ff750/Valentino-Lazaro
2015-2016,19,RB Salzburg,atAUT,1.Bundesliga,17,939,2,0,,,,,,,,,17,939,2,0,9,939,10.4,2,0,2,2,0,0,1,0,,,,,,,,0.19,0.0,0.19,0.19,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,7,,,0.67,,0.29,,,0,0,,,,,,,,,,,,,,,,,,,,,,939,55,29.0,10.4,9,,3.0,8,,7.0,2.06,18.0,3.0,15.0,1.44,0.54,,,,,,1,0,,9.0,,,,,,,,,,,,,"€ 36,923(£ 32,072, $40,467)","€ 1,920,000(£ 1,667,759, $2,104,278)",,https://fbref.com/es/jugadores/016ff750/Valentino-Lazaro
2016-2017,20,RB Salzburg,atAUT,1.Bundesliga,29,"2,157",3,6,,,,,6.0,490.0,0.0,0.0,35,"2,647",3,6,26,"2,157",24.0,3,6,9,3,0,0,3,0,,,,,,,,0.13,0.25,0.38,0.13,0.38,,,,,,,30.0,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,36.0,8,22.2,1.5,0.33,0.08,0.38,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,157",74,66.6,24.0,26,,16.0,3,,2.0,2.34,47.0,16.0,31.0,1.29,-0.29,,,,,,3,0,0.0,19.0,33.0,10.0,114.0,36.0,30.0,0.0,0.0,0.0,,,,,"€ 46,154(£ 40,090, $50,584)","€ 2,400,000(£ 2,084,699, $2,630,348)",Estimación no verificada,https://fbref.com/es/jugadores/016ff750/Valentino-Lazaro
2017-2018,21,Hertha BSC,deGER,1.Bundesliga,26,"1,864",2,5,1.0,90.0,0.0,0.0,4.0,338.0,0.0,1.0,31,"2,292",2,6,19,"1,864",20.7,2,5,7,2,0,0,4,0,2.2,2.2,3.9,6.1,33.0,59.0,136.0,0.1,0.24,0.34,0.1,0.34,0.11,0.19,0.3,0.11,0.3,33.0,28.0,11.0,12.0,10.0,15.0,31.0,48.4,16.0,35.0,2.0,33.0,15.0,48.0,32.0,0.0,477.0,694.0,68.7,7422.0,2238.0,251.0,306.0,82.0,164.0,219.0,74.9,38.0,108.0,35.2,5,3.9,3.0,1.1,29.0,38.0,22.0,11.0,59.0,694.0,605.0,85.0,27.0,0.0,2.0,82.0,17.0,32.0,6.0,21.0,2.0,477.0,4.0,28.0,33.0,124.0,396.0,393.0,34.0,899.0,62.0,22.0,35.5,40.0,64.5,471.0,2701.0,1064.0,33.0,32.0,11.0,23.0,25.0,568.0,136.0,2,17.0,11,64.7,0.82,0.53,0.12,0.18,18.6,2.0,0,0,2.2,2.2,0.13,-0.2,-0.2,55.0,2.66,39.0,9.0,3.0,1.0,2.0,1.0,9.0,0.43,6.0,2.0,1.0,0.0,0.0,0.0,"1,864",72,60.9,20.7,19,,16.0,7,,0.0,1.31,29.0,26.0,3.0,0.14,0.6,27.8,29.0,-1.2,-0.06,0.23,4,0,0.0,18.0,14.0,5.0,82.0,15.0,28.0,0.0,0.0,0.0,77.0,20.0,42.0,32.3,"€ 36,923(£ 31,765, $40,374)","€ 1,920,000(£ 1,651,796, $2,099,444)",,https://fbref.com/es/jugadores/016ff750/Valentino-Lazaro
2018-2019,22,Hertha BSC,deGER,1.Bundesliga,31,"2,741",3,6,3.0,300.0,0.0,0.0,,,,,34,"3,041",3,6,31,"2,741",30.5,3,6,9,3,0,0,6,0,2.1,2.1,6.4,8.6,73.0,127.0,168.0,0.1,0.2,0.3,0.1,0.3,0.07,0.21,0.28,0.07,0.28,46.0,31.0,23.0,17.0,6.0,21.0,53.0,39.6,32.0,52.0,12.0,40.0,44.0,90.0,65.0,0.0,1179.0,1634.0,72.2,19266.0,8435.0,600.0,703.0,85.3,441.0,588.0,75.0,105.0,240.0,43.8,6,6.4,5.8,-0.4,55.0,86.0,31.0,12.0,127.0,1634.0,1235.0,389.0,68.0,0.0,11.0,156.0,263.0,58.0,12.0,45.0,0.0,1179.0,10.0,43.0,80.0,419.0,956.0,605.0,42.0,1954.0,66.0,34.0,51.5,32.0,48.5,1013.0,5273.0,2664.0,73.0,65.0,13.0,42.0,24.0,1065.0,168.0,3,20.0,8,40.0,0.66,0.26,0.15,0.38,18.3,3.0,0,0,2.1,2.1,0.11,0.9,0.9,101.0,3.32,58.0,27.0,7.0,5.0,3.0,1.0,12.0,0.39,7.0,2.0,2.0,1.0,0.0,0.0,"2,741",88,89.6,30.5,31,88.0,29.0,0,,0.0,1.26,45.0,54.0,-9.0,-0.3,-0.58,46.2,57.0,-10.9,-0.36,-0.47,6,0,0.0,23.0,28.0,5.0,156.0,44.0,31.0,0.0,0.0,0.0,181.0,20.0,45.0,30.8,"€ 36,923(£ 31,194, $39,679)","€ 1,920,000(£ 1,622,072, $2,063,318)",Estimación no verificada,https://fbref.com/es/jugadores/016ff750/Valentino-Lazaro
2019-2020,23,Newcastle Utd,engENG,1.Premier League,13,480,1,0,2.0,105.0,1.0,0.0,,,,,15,585,2,0,4,480,5.3,1,0,1,1,0,0,0,1,0.4,0.4,0.2,0.6,7.0,7.0,14.0,0.19,0.0,0.19,0.19,0.19,0.07,0.04,0.11,0.07,0.11,13.0,9.0,11.0,2.0,0.0,11.0,18.0,61.1,7.0,2.0,0.0,2.0,3.0,16.0,4.0,0.0,157.0,197.0,79.7,2316.0,877.0,86.0,95.0,90.5,50.0,59.0,84.7,10.0,27.0,37.0,0,0.2,0.2,-0.2,6.0,5.0,3.0,1.0,7.0,197.0,168.0,28.0,4.0,0.0,1.0,13.0,13.0,11.0,3.0,6.0,0.0,157.0,1.0,2.0,16.0,91.0,88.0,64.0,6.0,242.0,13.0,8.0,61.5,5.0,38.5,142.0,639.0,349.0,7.0,4.0,2.0,4.0,6.0,141.0,14.0,1,4.0,1,25.0,0.75,0.19,0.25,1.0,21.9,0.0,0,0,0.4,0.4,0.1,0.6,0.6,11.0,2.06,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480,37,14.0,5.3,4,79.0,1.0,9,18.0,0.0,1.0,4.0,13.0,-9.0,-1.69,-1.35,3.8,9.9,-6.1,-1.14,-0.4,0,1,0.0,3.0,2.0,0.0,13.0,3.0,9.0,0.0,0.0,0.0,27.0,2.0,6.0,25.0,"€ 36,923(£ 31,738, $41,934)","€ 1,920,000(£ 1,650,401, $2,180,567)",Estimación no verificada,https://fbref.com/es/jugadores/016ff750/Valentino-Lazaro
2019-2020,23,Inter,itITA,1.Serie A,6,323,0,1,1.0,90.0,0.0,0.0,4.0,104.0,0.0,1.0,11,517,0,2,3,323,3.6,0,1,1,0,0,0,2,0,0.1,0.1,1.4,1.5,11.0,14.0,32.0,0.0,0.28,0.28,0.0,0.28,0.03,0.39,0.42,0.03,0.42,6.0,5.0,3.0,2.0,1.0,4.0,8.0,50.0,4.0,5.0,0.0,5.0,1.0,7.0,8.0,1.0,147.0,195.0,75.4,2392.0,788.0,76.0,82.0,92.7,56.0,79.0,70.9,12.0,21.0,57.1,1,1.4,1.0,-0.4,9.0,8.0,9.0,5.0,14.0,195.0,157.0,38.0,3.0,0.0,2.0,18.0,27.0,8.0,3.0,1.0,0.0,147.0,0.0,5.0,5.0,45.0,86.0,109.0,10.0,238.0,14.0,5.0,35.7,9.0,64.3,138.0,847.0,416.0,11.0,9.0,7.0,6.0,3.0,150.0,32.0,0,3.0,0,0.0,0.84,0.0,0.0,,21.7,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,14.0,3.9,9.0,3.0,1.0,1.0,0.0,0.0,1.0,0.28,1.0,0.0,0.0,0.0,0.0,0.0,323,54,9.4,3.6,3,81.0,0.0,3,27.0,14.0,2.67,5.0,5.0,0.0,0.0,-1.31,6.7,3.6,3.2,0.88,0.14,2,0,0.0,7.0,1.0,0.0,18.0,1.0,5.0,0.0,0.0,0.0,16.0,5.0,4.0,55.6,,,,
2020-2021,24,Gladbach,deGER,1.Bundesliga,22,"1,240",2,0,1.0,23.0,0.0,0.0,5.0,247.0,0.0,1.0,28,"1,510",2,1,13,"1,240",13.8,2,0,2,2,0,0,3,0,2.3,2.3,1.2,3.4,33.0,30.0,71.0,0.15,0.0,0.15,0.15,0.15,0.16,0.08,0.25,0.16,0.25,17.0,11.0,7.0,5.0,5.0,12.0,19.0,63.2,7.0,18.0,1.0,17.0,15.0,32.0,20.0,0.0,431.0,575.0,75.0,6443.0,1798.0,255.0,294.0,86.7,132.0,184.0,71.7,30.0,62.0,48.4,0,1.2,1.7,-1.2,17.0,25.0,9.0,3.0,30.0,575.0,500.0,73.0,14.0,0.0,0.0,41.0,49.0,10.0,7.0,3.0,0.0,431.0,2.0,13.0,26.0,148.0,342.0,225.0,28.0,707.0,26.0,14.0,53.8,12.0,46.2,372.0,2187.0,1000.0,33.0,28.0,11.0,16.0,8.0,444.0,71.0,2,15.0,4,26.7,1.09,0.29,0.13,0.5,16.4,0.0,0,0,2.3,2.3,0.15,-0.3,-0.3,34.0,2.47,29.0,3.0,0.0,1.0,1.0,0.0,2.0,0.15,2.0,0.0,0.0,0.0,0.0,0.0,"1,240",56,40.5,13.8,13,79.0,5.0,9,24.0,1.0,1.23,25.0,24.0,1.0,0.07,-0.27,23.7,17.8,5.9,0.43,0.27,3,0,0.0,7.0,13.0,3.0,41.0,15.0,11.0,0.0,0.0,0.0,61.0,16.0,18.0,47.1,,,,
