titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
4,451,5.0,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,451,45,14.7,5.0,4,,3,6,,,,,,,,,,,,,,1,0,,9,,,,,,,,,,,,
1,112,1.2,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,0.8,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,112,56,3.7,1.2,1,,0,1,,,,,,,,,,,,,,1,0,,3,,,,,,,,,,,,
2,512,5.7,0,0,0,0,0,0,3,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,0.18,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,512,28,16.7,5.7,2,,2,16,,16.0,2.0,11.0,6.0,5.0,0.88,0.81,,,,,,3,0,,14,,,,,,,,,,,,
26,"2,284",25.4,3,2,5,3,0,0,4,0,,,,,,,,0.12,0.08,0.2,0.12,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,5,,,0.2,,0.6,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,284",85,74.6,25.4,26,,23,1,,0.0,1.81,55.0,42.0,13.0,0.51,0.05,,,,,,4,0,,31,,,,,,,,,,,,
30,"2,639",29.3,0,2,2,0,0,0,7,1,,,,,,,,0.0,0.07,0.07,0.0,0.07,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,8,,0.0,0.27,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,639",88,86.2,29.3,30,,28,0,,0.0,1.48,49.0,42.0,7.0,0.24,0.88,,,,,,7,1,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
22,"1,717",19.1,0,1,1,0,0,0,3,0,,,,,,,,0.0,0.05,0.05,0.0,0.05,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1,,0.0,0.05,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,717",75,56.1,19.1,22,,16,1,,5.0,2.0,45.0,21.0,24.0,1.26,0.39,,,,,,3,0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6,523,5.8,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.7,21.0,24.0,41.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.13,0.04,0.13,17.0,6.0,9.0,6.0,2.0,12.0,19.0,63.2,7.0,7.0,0.0,7.0,11.0,28.0,33.0,1.0,290.0,346.0,83.8,4837.0,1167.0,150.0,157.0,95.5,98.0,117.0,83.8,34.0,49.0,69.4,0,0.5,0.6,-0.5,3.0,32.0,5.0,3.0,24.0,346.0,301.0,45.0,6.0,0.0,3.0,14.0,39.0,0.0,0.0,0.0,0.0,290.0,0.0,11.0,34.0,131.0,231.0,103.0,15.0,460.0,19.0,9.0,47.4,10.0,52.6,273.0,1527.0,822.0,21.0,10.0,10.0,12.0,4.0,254.0,41.0,0,5.0,3,60.0,0.86,0.52,0.0,0.0,20.9,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,10.0,1.72,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523,58,17.1,5.8,6,80.0,5,3,15.0,1.0,1.56,15.0,8.0,7.0,1.2,0.25,13.1,8.7,4.4,0.76,-0.03,0,0,0.0,3,14.0,0.0,14.0,11.0,6.0,0.0,0.0,0.0,45.0,9.0,6.0,60.0
15,"1,340",14.9,2,2,4,2,0,0,1,0,1.0,1.0,1.7,2.6,53.0,54.0,80.0,0.13,0.13,0.27,0.13,0.27,0.06,0.11,0.18,0.06,0.18,45.0,33.0,23.0,14.0,8.0,13.0,15.0,86.7,2.0,15.0,0.0,15.0,25.0,70.0,22.0,0.0,655.0,839.0,78.1,11585.0,3292.0,316.0,372.0,84.9,247.0,297.0,83.2,78.0,120.0,65.0,2,1.7,1.3,0.3,12.0,37.0,12.0,1.0,54.0,839.0,686.0,150.0,25.0,0.0,12.0,18.0,125.0,0.0,0.0,0.0,0.0,655.0,3.0,23.0,36.0,262.0,531.0,258.0,41.0,1032.0,46.0,32.0,69.6,14.0,30.4,581.0,3727.0,2153.0,53.0,26.0,16.0,28.0,18.0,580.0,80.0,2,17.0,6,35.3,1.14,0.4,0.12,0.33,19.7,0.0,0,0,1.0,1.0,0.06,1.0,1.0,42.0,2.82,23.0,0.0,6.0,3.0,8.0,2.0,4.0,0.27,2.0,0.0,0.0,0.0,2.0,0.0,"1,340",84,59.6,14.9,15,89.0,14,1,11.0,1.0,1.69,28.0,25.0,3.0,0.2,-0.99,28.5,16.8,11.7,0.78,0.05,1,0,0.0,17,45.0,0.0,18.0,25.0,33.0,1.0,0.0,0.0,115.0,28.0,14.0,66.7
13,"1,272",14.1,3,2,5,3,0,0,1,0,1.3,1.3,2.3,3.5,38.0,49.0,131.0,0.21,0.14,0.35,0.21,0.35,0.09,0.16,0.25,0.09,0.25,22.0,17.0,11.0,10.0,1.0,10.0,20.0,50.0,10.0,16.0,0.0,16.0,25.0,47.0,21.0,0.0,614.0,744.0,82.5,9646.0,2711.0,324.0,369.0,87.8,229.0,273.0,83.9,41.0,65.0,63.1,2,2.3,2.4,-0.3,17.0,28.0,12.0,6.0,49.0,744.0,661.0,82.0,13.0,0.0,7.0,27.0,69.0,0.0,0.0,0.0,0.0,614.0,1.0,11.0,28.0,202.0,409.0,308.0,35.0,911.0,29.0,20.0,69.0,9.0,31.0,537.0,2769.0,1301.0,38.0,22.0,11.0,29.0,22.0,597.0,131.0,3,16.0,9,56.3,1.13,0.64,0.19,0.33,19.4,0.0,0,0,1.3,1.3,0.08,1.7,1.7,42.0,2.97,32.0,1.0,3.0,2.0,3.0,1.0,8.0,0.57,6.0,0.0,1.0,0.0,1.0,0.0,"1,272",61,41.6,14.1,13,81.0,9,8,27.0,7.0,1.83,30.0,16.0,14.0,0.99,0.29,26.1,15.8,10.3,0.73,0.1,1,0,0.0,10,31.0,3.0,27.0,25.0,17.0,1.0,0.0,1.0,88.0,17.0,9.0,65.4
0,19,0.2,0,1,1,0,0,0,0,0,0.0,0.0,0.8,0.8,0.0,0.0,2.0,0.0,4.74,4.74,0.0,4.74,0.22,3.6,3.82,0.22,3.82,1.0,0.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,17.0,76.5,165.0,25.0,10.0,11.0,90.9,2.0,2.0,100.0,1.0,3.0,33.3,1,0.8,0.0,0.2,1.0,0.0,0.0,0.0,0.0,17.0,16.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,13.0,0.0,1.0,0.0,1.0,10.0,8.0,2.0,19.0,0.0,0.0,,0.0,,15.0,59.0,23.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0,1.0,0,0.0,4.74,0.0,0.0,,17.9,0.0,0,0,0.0,0.0,0.05,0.0,0.0,1.0,4.74,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.74,0.0,0.0,0.0,1.0,0.0,0.0,19,19,0.6,0.2,0,,0,1,19.0,2.0,3.0,1.0,0.0,1.0,4.74,3.52,0.8,0.4,0.4,2.06,0.94,0,0,0.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
