Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
25,Bilal Bayazıt,Goalkeeper,"Apr 8, 1999 (26)","Türkiye, Netherlands","1,85m",right,"Aug 5, 2021",,"Jun 30, 2026",€2.00m,https://www.transfermarkt.com/bilal-bayazit/profil/spieler/361032
1,Onurcan Piri,Goalkeeper,"Sep 28, 1994 (30)",Türkiye,"1,90m",right,"Sep 15, 2023",,"Jun 30, 2026",€200k,https://www.transfermarkt.com/onurcan-piri/profil/spieler/199470
39,Şamil Öztürk,Goalkeeper,"May 9, 2005 (19)",Türkiye,"1,94m",right,"Jul 1, 2022",,"Jun 30, 2028",€100k,https://www.transfermarkt.com/samil-ozturk/profil/spieler/1014342
5,Majid Hosseini,Centre-Back,"Jun 20, 1996 (28)",Iran,"1,87m",right,"Aug 6, 2021",,"Jun 30, 2025",€1.30m,https://www.transfermarkt.com/majid-hosseini/profil/spieler/294767
54,Arif Kocaman,Centre-Back,"Sep 14, 2003 (21)",Türkiye,"1,86m",left,"Jan 14, 2022",,"Jun 30, 2026",€1.30m,https://www.transfermarkt.com/arif-kocaman/profil/spieler/889613
3,Joseph Attamah,Centre-Back,"May 22, 1994 (30)",Ghana,"1,80m",right,"Sep 3, 2020",,"Jun 30, 2025",€500k,https://www.transfermarkt.com/joseph-attamah/profil/spieler/263546
17,Julian Jeanvier,Centre-Back,"Mar 31, 1992 (33)","Guinea, France","1,83m",right,"Sep 15, 2023",,"Jun 30, 2025",€500k,https://www.transfermarkt.com/julian-jeanvier/profil/spieler/134277
4,Dimitrios Kolovetsios,Centre-Back,"Oct 16, 1991 (33)",Greece,"1,83m",right,"Aug 25, 2020",,"Jun 30, 2025",€325k,https://www.transfermarkt.com/dimitrios-kolovetsios/profil/spieler/112648
-,Bilal Ceylan,Centre-Back,"Aug 14, 2004 (20)",Türkiye,"1,84m",right,"Jul 1, 2024",,"Jun 30, 2025",-,https://www.transfermarkt.com/bilal-ceylan/profil/spieler/954143
35,Batuhan Özgan,Centre-Back,"Jan 5, 2007 (18)",Türkiye,"1,82m",right,,,"Jun 30, 2026",-,https://www.transfermarkt.com/batuhan-ozgan/profil/spieler/1072255
23,Lionel Carole,Left-Back,"Apr 12, 1991 (34)","France, Martinique","1,80m",left,"Aug 5, 2021",,"Jun 30, 2025",€400k,https://www.transfermarkt.com/lionel-carole/profil/spieler/11530
33,Hasan Ali Kaldırım,Left-Back,"Dec 9, 1989 (35)","Türkiye, Germany","1,83m",left,"Sep 15, 2023",,"Jun 30, 2025",€100k,https://www.transfermarkt.com/hasan-ali-kaldirim/profil/spieler/55605
11,Gökhan Sazdağı,Right-Back,"Sep 20, 1994 (30)",Türkiye,"1,80m",right,"Jul 28, 2021",,"Jun 30, 2026",€1.00m,https://www.transfermarkt.com/gokhan-sazdagi/profil/spieler/257785
19,Anthony Uzodimma,Right-Back,"Apr 17, 1999 (26)",Nigeria,"1,76m",right,"Aug 16, 2019",,"Jun 30, 2025",€225k,https://www.transfermarkt.com/anthony-uzodimma/profil/spieler/699005
8,Kartal Yılmaz,Defensive Midfield,"Nov 4, 2000 (24)",Türkiye,"1,74m",right,"Sep 15, 2023",,"Jun 30, 2025",€2.50m,https://www.transfermarkt.com/kartal-yilmaz/profil/spieler/461951
26,Baran Gezek,Defensive Midfield,"Aug 26, 2005 (19)",Türkiye,"1,82m",right,"Jul 1, 2022",,"Jun 30, 2028",€900k,https://www.transfermarkt.com/baran-gezek/profil/spieler/988710
79,Yaw Ackah,Defensive Midfield,"Jun 1, 1999 (25)",Ghana,"1,75m",right,"Aug 17, 2020",,"Jun 30, 2026",€325k,https://www.transfermarkt.com/yaw-ackah/profil/spieler/672933
-,Berat Eskin,Defensive Midfield,"Oct 13, 2004 (20)",Türkiye,"1,76m",right,"Jan 11, 2024",,"Jun 30, 2028",€50k,https://www.transfermarkt.com/berat-eskin/profil/spieler/954135
10,Mehdi Bourabia,Central Midfield,"Aug 7, 1991 (33)","Morocco, France","1,83m",right,"Feb 9, 2024",,"Jun 30, 2025",€650k,https://www.transfermarkt.com/mehdi-bourabia/profil/spieler/131731
6,Ali Karimi,Central Midfield,"Feb 11, 1994 (31)",Iran,"1,85m",right,"Aug 5, 2021",,"Jun 30, 2027",€500k,https://www.transfermarkt.com/ali-karimi/profil/spieler/269393
16,Eray Özbek,Attacking Midfield,"Jan 9, 2003 (22)",Türkiye,"1,78m",left,"Jul 1, 2022",,"Jun 30, 2026",€325k,https://www.transfermarkt.com/eray-ozbek/profil/spieler/662140
7,Miguel Cardoso,Left Winger,"Jun 19, 1994 (30)",Portugal,"1,76m",right,"Aug 4, 2021",,"Jun 30, 2027",€2.00m,https://www.transfermarkt.com/miguel-cardoso/profil/spieler/348425
20,Carlos Mané,Left Winger,"Mar 11, 1994 (31)","Guinea-Bissau, Portugal","1,73m",right,"Aug 13, 2021",,"Jun 30, 2026",€1.10m,https://www.transfermarkt.com/carlos-mane/profil/spieler/182711
77,Nurettin Korkmaz,Left Winger,"Jun 27, 2002 (22)",Türkiye,"1,78m",left,"Feb 18, 2019",,"Jun 30, 2025",€75k,https://www.transfermarkt.com/nurettin-korkmaz/profil/spieler/654374
28,Ramazan Civelek,Right Winger,"Jan 22, 1996 (29)",Türkiye,"1,71m",right,"Jan 20, 2021",,"Jun 30, 2025",€600k,https://www.transfermarkt.com/ramazan-civelek/profil/spieler/282560
9,Duckens Nazon,Centre-Forward,"Apr 7, 1994 (31)","Haiti, France","1,81m",right,"Feb 9, 2024",,"Jun 30, 2026",€1.20m,https://www.transfermarkt.com/duckens-nazon/profil/spieler/345763
13,Stéphane Bahoken,Centre-Forward,"May 28, 1992 (32)","Cameroon, France","1,85m",right,"Sep 15, 2023",,"Jun 30, 2025",€550k,https://www.transfermarkt.com/stephane-bahoken/profil/spieler/170953
99,Talha Sarıarslan,Centre-Forward,"Jan 18, 2004 (21)",Türkiye,"1,86m",right,"Jul 1, 2022",,"Jun 30, 2026",€250k,https://www.transfermarkt.com/talha-sariarslan/profil/spieler/777502
