titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,5.0,10.0,0.0,17.0,24.0,70.8,386.0,176.0,5.0,5.0,100.0,8.0,11.0,72.7,4.0,6.0,66.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,24.0,22.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0,0.0,2.0,8.0,25.0,16.0,0.0,0.0,41.0,0.0,0.0,,0.0,,15.0,104.0,15.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,0,0,,2,,,,,,,,,,,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,33.3
1,82,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,82,41.0,2.4,0.9,1,,0,1,,16,1.5,0.0,2.0,-2.0,-2.2,-0.87,0.5,1.4,-1.0,-1.05,-0.13,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
8,744,8.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,39.0,28.0,29.0,10.0,0.0,21.0,29.0,72.4,8.0,46.0,32.0,14.0,38.0,77.0,140.0,1.0,973.0,1180.0,82.5,21099.0,8426.0,271.0,305.0,88.9,524.0,590.0,88.8,172.0,263.0,65.4,0.0,0.4,0.4,-0.4,5.0,45.0,8.0,3.0,59.0,1180.0,1121.0,50.0,26.0,0.0,30.0,7.0,24.0,0.0,0.0,0.0,0.0,973.0,9.0,3.0,203.0,843.0,594.0,59.0,21.0,1489.0,9.0,7.0,77.8,2.0,22.2,799.0,3572.0,2016.0,10.0,12.0,2.0,13.0,5.0,866.0,6.0,2.0,16.0,7.0,43.8,0.57,0.25,0.13,0.29,14.9,0.0,0.0,0.0,2.0,2.0,0.12,0.0,0.0,18.0,0.64,12.0,0.0,1.0,3.0,1.0,1.0,3.0,0.11,0.0,0.0,0.0,2.0,1.0,0.0,744,83.0,19.7,8.3,8,,7,1,,9,1.0,6.0,6.0,0.0,0.0,0.42,,,,,,6.0,0.0,0.0,34.0,30.0,1.0,7.0,38.0,28.0,1.0,4.0,0.0,155.0,40.0,47.0,46.0
28,"2,540",28.2,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,2.0,2.0,0.4,2.4,10.0,59.0,6.0,0.07,0.0,0.07,0.07,0.07,0.07,0.01,0.08,0.07,0.08,43.0,31.0,33.0,8.0,2.0,24.0,34.0,70.6,10.0,48.0,41.0,7.0,35.0,78.0,132.0,0.0,1025.0,1262.0,81.2,21672.0,8029.0,302.0,345.0,87.5,547.0,604.0,90.6,161.0,272.0,59.2,0.0,0.1,0.3,-0.1,3.0,55.0,4.0,1.0,71.0,1262.0,1204.0,54.0,50.0,0.0,26.0,8.0,4.0,0.0,0.0,0.0,0.0,1025.0,4.0,7.0,259.0,969.0,541.0,49.0,6.0,1543.0,9.0,7.0,77.8,2.0,22.2,846.0,4385.0,2700.0,12.0,13.0,2.0,12.0,3.0,950.0,8.0,0.0,6.0,1.0,16.7,0.22,0.04,0.0,0.0,25.8,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,10.0,0.37,7.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,540",88.0,78.4,28.2,28,90.0,28,1,19.0,4,1.62,41.0,39.0,2.0,0.07,-0.19,36.5,44.5,-8.0,-0.28,-0.17,11.0,0.0,0.0,36.0,21.0,0.0,8.0,35.0,31.0,0.0,0.0,0.0,134.0,54.0,33.0,62.1
28,"2,440",27.1,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.2,0.2,0.1,0.4,12.0,71.0,8.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,26.0,17.0,17.0,9.0,0.0,13.0,28.0,46.4,15.0,44.0,31.0,13.0,59.0,85.0,118.0,4.0,906.0,1216.0,74.5,17053.0,7311.0,368.0,434.0,84.8,423.0,497.0,85.1,106.0,242.0,43.8,2.0,0.7,0.5,1.3,8.0,59.0,8.0,4.0,50.0,1216.0,1166.0,45.0,43.0,1.0,15.0,9.0,2.0,0.0,0.0,0.0,0.0,906.0,5.0,16.0,193.0,841.0,640.0,50.0,13.0,1526.0,8.0,7.0,87.5,1.0,12.5,822.0,3587.0,2051.0,16.0,13.0,1.0,16.0,4.0,887.0,10.0,2.0,14.0,4.0,28.6,0.55,0.16,0.14,0.5,16.3,1.0,0.0,0.0,1.6,1.6,0.11,0.4,0.4,11.0,0.44,10.0,1.0,0.0,0.0,0.0,0.0,4.0,0.16,4.0,0.0,0.0,0.0,0.0,0.0,"2,440",84.0,71.3,27.1,28,87.0,25,1,16.0,2,0.9,32.0,44.0,-12.0,-0.44,-0.81,35.1,47.6,-12.6,-0.46,-0.21,3.0,1.0,0.0,18.0,36.0,0.0,9.0,59.0,17.0,0.0,2.0,1.0,140.0,53.0,51.0,51.0
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,24.0,19.0,13.0,0.0,17.0,27.0,63.0,10.0,25.0,15.0,10.0,33.0,65.0,83.0,1.0,718.0,950.0,75.6,14232.0,6063.0,269.0,321.0,83.8,341.0,417.0,81.8,98.0,179.0,54.7,0.0,0.6,0.9,-0.6,10.0,66.0,8.0,6.0,64.0,950.0,830.0,117.0,40.0,0.0,25.0,24.0,74.0,0.0,0.0,0.0,0.0,718.0,3.0,13.0,142.0,556.0,523.0,124.0,13.0,1193.0,11.0,5.0,45.5,6.0,54.5,628.0,2938.0,1668.0,20.0,17.0,2.0,25.0,9.0,686.0,23.0,0.0,16.0,4.0,25.0,0.67,0.17,0.0,0.0,20.5,2.0,0.0,0.0,0.8,0.8,0.05,-0.8,-0.8,22.0,0.93,15.0,4.0,1.0,2.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,0,0,,1,,,,,,,,,,,,9.0,2.0,2.0,35.0,21.0,0.0,24.0,33.0,24.0,0.0,1.0,0.0,97.0,32.0,27.0,54.2
26,"2,272",25.2,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,1.6,1.6,0.7,2.3,16.0,50.0,10.0,0.08,0.08,0.16,0.08,0.16,0.06,0.03,0.09,0.06,0.09,16.0,8.0,9.0,6.0,1.0,8.0,13.0,61.5,5.0,18.0,9.0,9.0,21.0,37.0,36.0,0.0,330.0,445.0,74.2,6298.0,2474.0,127.0,157.0,80.9,159.0,191.0,83.2,38.0,75.0,50.7,0.0,0.4,0.6,-0.4,3.0,31.0,4.0,2.0,38.0,445.0,384.0,58.0,19.0,2.0,5.0,16.0,39.0,0.0,0.0,0.0,0.0,330.0,3.0,7.0,58.0,236.0,260.0,80.0,6.0,566.0,12.0,7.0,58.3,3.0,25.0,370.0,2213.0,1183.0,18.0,12.0,1.0,11.0,4.0,307.0,14.0,0.0,8.0,1.0,12.5,0.69,0.09,0.0,0.0,18.3,1.0,0.0,0.0,0.8,0.8,0.1,-0.8,-0.8,9.0,0.78,5.0,2.0,0.0,2.0,0.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,"2,272",87.0,66.4,25.2,26,87.0,24,0,,4,1.04,30.0,44.0,-14.0,-0.55,-0.24,31.5,38.5,-7.0,-0.28,-0.52,3.0,0.0,0.0,18.0,14.0,0.0,16.0,21.0,8.0,0.0,0.0,0.0,65.0,13.0,12.0,52.0
24,"2,135",23.7,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.8,0.8,0.6,1.4,20.0,64.0,23.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,3.0,3.0,0.0,3.0,0.0,0.0,0.0,,0.0,4.0,2.0,2.0,9.0,12.0,16.0,0.0,131.0,163.0,80.4,2543.0,762.0,46.0,51.0,90.2,75.0,85.0,88.2,10.0,21.0,47.6,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,163.0,156.0,6.0,4.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,131.0,1.0,1.0,25.0,121.0,77.0,14.0,0.0,212.0,2.0,1.0,50.0,1.0,50.0,112.0,428.0,242.0,1.0,2.0,0.0,3.0,1.0,131.0,0.0,0.0,1.0,0.0,0.0,0.29,0.0,0.0,,26.5,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,135",82.0,62.4,23.7,24,87.0,18,2,23.0,0,1.31,26.0,26.0,0.0,0.0,0.07,21.7,27.1,-5.4,-0.23,0.01,2.0,0.0,0.0,9.0,1.0,0.0,3.0,9.0,3.0,0.0,0.0,0.0,10.0,6.0,5.0,54.5
12,"1,038",11.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,0.4,1.1,18.0,38.0,14.0,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.1,0.07,0.1,,26.0,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,27.0,3.0,11.1,0.88,0.1,0.07,0.67,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,038",80.0,30.4,11.5,12,86.0,9,1,6.0,4,0.85,11.0,18.0,-7.0,-0.61,-0.87,15.3,16.0,-0.7,-0.06,-0.42,4.0,0.0,0.0,23.0,25.0,1.0,6.0,32.0,26.0,,,0.0,,,,
4,312,3.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,12.0,5.0,41.7,1.5,0.62,0.08,0.2,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,312,45.0,9.1,3.5,4,70.0,0,3,11.0,11,1.0,3.0,5.0,-2.0,-0.58,-0.66,3.0,4.6,-1.7,-0.49,-0.59,0.0,0.0,0.0,1.0,7.0,0.0,4.0,7.0,2.0,,,0.0,,,,
31,"2,756",30.6,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,,,,,,,,0.07,0.0,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,756",84.0,80.6,30.6,31,88.0,27,2,14.0,0,1.12,42.0,51.0,-9.0,-0.29,-0.56,,,,,,,,,,,,,,,,,,,,,
8,720,8.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,0.25,0.0,0.25,0.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,90.0,25.8,8.0,8,90.0,8,0,,0,0.13,7.0,20.0,-13.0,-1.62,-0.02,,,,,,,,,,,,,,,,,,,,,
